"id","title","short_title","api_uri","first_name","last_name","date_of_birth","party","govtrack_id","icpsr_id","fec_candidate_id","url","in_office","seniority","last_updated","ocd_id","state","senate_class","state_rank","lis_id","middle_name","gender","youtube_account","cspan_id","google_entity_id","suffix","twitter_account","votesmart_id","crp_id","facebook_account","rss_url"
"A000031","Senator, 3rd Class","Sen.","https://api.propublica.org/congress/v1/members/A000031.json","Brockman","Adams","1927-01-13","D","400692","10700","","",false,"1","2013-04-12 20:11:54 -0400","ocd-division/country:us/state:wa","WA","3","","S180",,,,,,,,,,,
"A000219","Senator, 2nd Class","Sen.","https://api.propublica.org/congress/v1/members/A000219.json","William","Armstrong","1937-03-16","R","400927","14002","","",false,"9","2013-04-12 20:11:53 -0400","ocd-division/country:us/state:co","CO","2","","S134","Lester","M",,,,,,,,,
"B000243","Senator, 2nd Class","Sen.","https://api.propublica.org/congress/v1/members/B000243.json","Max","Baucus","1941-12-11","D","300005","14203","","http://www.baucus.senate.gov",false,"9","2016-06-14 16:25:58 -0400","ocd-division/country:us/state:mt","MT","2","","S127",,"M","SenatorBaucus","1727","/m/01rcm2",,,,,,
"B000401","Senator, 1st Class","Sen.","https://api.propublica.org/congress/v1/members/B000401.json","Lloyd","Bentsen","1921-02-11","D","401391","660","","",false,"17","2013-04-12 20:11:54 -0400","ocd-division/country:us/state:tx","TX","1","","S009","Millard",,,,,,,,,,
"B000444","Senator, 2nd Class","Sen.","https://api.propublica.org/congress/v1/members/B000444.json","Joseph","Biden","1942-11-20","D","300008","14101","","",false,"15","2017-11-29 06:35:51 -0500","ocd-division/country:us/state:de","DE","2","","S010","R.","M",,"34",,"Jr.",,,,,
"B000468","Senator, 1st Class","Sen.","https://api.propublica.org/congress/v1/members/B000468.json","Jeff","Bingaman","1943-10-03","D","300009","15101","","",false,"5","2016-06-14 16:25:59 -0400","ocd-division/country:us/state:nm","NM","1","","S167",,"M","SenJeffBingaman","590","/m/01xck2",,"jeffbingaman",,,,
"B000611","Senator, 3rd Class","Sen.","https://api.propublica.org/congress/v1/members/B000611.json","Christopher","Bond","1939-03-06","R","300010","15500","","",false,"1","2016-06-14 16:26:01 -0400","ocd-division/country:us/state:mo","MO","3","","S200","S.","M","CSBondMO","2360","/m/01_6h2",,,,,,
"B000639","Senator, 2nd Class","Sen.","https://api.propublica.org/congress/v1/members/B000639.json","David","Boren","1941-04-21","D","401604","14700","","",false,"9","2013-04-12 20:11:55 -0400","ocd-division/country:us/state:ok","OK","2","","S128","Lyle","M",,,,,,,,,
"B000647","Senator, 2nd Class","Sen.","https://api.propublica.org/congress/v1/members/B000647.json","Rudolph","Boschwitz","1930-11-07","R","401611","14701","","",false,"9","2013-04-12 20:11:53 -0400","ocd-division/country:us/state:mn","MN","2","","S135","Eli",,,,,,,,,,
"B001225","Senator, 2nd Class","Sen.","https://api.propublica.org/congress/v1/members/B001225.json","William","Bradley","1943-07-28","D","401709","14702","","",false,"9","2013-04-12 20:11:55 -0400","ocd-division/country:us/state:nj","NJ","2","","S132","Warren","M",,,,,,,,,
