"id","title","short_title","api_uri","first_name","last_name","date_of_birth","gender","party","govtrack_id","icpsr_id","fec_candidate_id","url","in_office","seniority","next_election","total_votes","missed_votes","total_present","last_updated","ocd_id","state","senate_class","state_rank","lis_id","missed_votes_pct","votes_with_party_pct","votes_against_party_pct","middle_name","twitter_account","youtube_account","cspan_id","google_entity_id","suffix","facebook_account","rss_url","votesmart_id","crp_id"
"A000355","Senator, 1st Class","Sen.","https://api.propublica.org/congress/v1/members/A000355.json","Spencer","Abraham","1952-06-12","M","R","400555","49500","","",false,"3","2000",612,0,0,"2019-10-07 09:09:42 -0400","ocd-division/country:us/state:mi","MI","1","","S238",0,92.9,7.1,,,,,,,,,,
"A000069","Senator, 1st Class","Sen.","https://api.propublica.org/congress/v1/members/A000069.json","Daniel","Akaka","1924-09-11","M","D","300001","14400","","",false,"7","2000",612,27,0,"2019-10-07 09:09:42 -0400","ocd-division/country:us/state:hi","HI","1","","S213",4.41,95.66,4.34,"K.","SenatorAkaka","senatorakaka","8704","/m/01rbrq",,,,,
"A000109","Senator, 2nd Class","Sen.","https://api.propublica.org/congress/v1/members/A000109.json","Wayne","Allard","1943-12-02","M","R","300003","15801","","",false,"1","2002",612,1,0,"2019-10-07 09:09:42 -0400","ocd-division/country:us/state:co","CO","2","","S250",0.16,91.24,8.76,"A.",,,,,,,,,
"A000356","Senator, 1st Class","Sen.","https://api.propublica.org/congress/v1/members/A000356.json","John","Ashcroft","1942-05-09","M","R","400556","49501","","",false,"3","2000",612,3,0,"2019-10-07 09:09:42 -0400","ocd-division/country:us/state:mo","MO","1","","S239",0.49,88.72,11.28,,,,,,,,,,
"B000243","Senator, 2nd Class","Sen.","https://api.propublica.org/congress/v1/members/B000243.json","Max","Baucus","1941-12-11","M","D","300005","14203","","http://www.baucus.senate.gov",false,"19","2002",612,18,1,"2019-10-07 09:09:42 -0400","ocd-division/country:us/state:mt","MT","2","","S127",2.94,86.84,13.16,,,"SenatorBaucus","1727","/m/01rcm2",,,,,
"B000382","Senator, 3rd Class","Sen.","https://api.propublica.org/congress/v1/members/B000382.json","Robert","Bennett","1933-09-18","M","R","300007","49307","","",false,"5","1998",612,27,0,"2019-10-07 09:09:42 -0400","ocd-division/country:us/state:ut","UT","3","","S231",4.41,90.67,9.33,"F.",,"SenatorBennett","25708","/m/01xtg9",,,,,
"B000444","Senator, 2nd Class","Sen.","https://api.propublica.org/congress/v1/members/B000444.json","Joseph","Biden","1942-11-20","M","D","300008","14101","","",false,"25","2002",612,25,0,"2019-10-07 09:09:42 -0400","ocd-division/country:us/state:de","DE","2","","S010",4.08,88.58,11.42,"R.",,,"34",,"Jr.",,,,
"B000468","Senator, 1st Class","Sen.","https://api.propublica.org/congress/v1/members/B000468.json","Jeff","Bingaman","1943-10-03","M","D","300009","15101","","",false,"15","2000",612,28,0,"2019-10-07 09:09:42 -0400","ocd-division/country:us/state:nm","NM","1","","S167",4.58,89.91,10.09,,"jeffbingaman","SenJeffBingaman","590","/m/01xck2",,,,,
"B000611","Senator, 3rd Class","Sen.","https://api.propublica.org/congress/v1/members/B000611.json","Christopher","Bond","1939-03-06","M","R","300010","15500","","",false,"11","1998",612,9,0,"2019-10-07 09:09:42 -0400","ocd-division/country:us/state:mo","MO","3","","S200",1.47,91.62,8.38,"S.",,"CSBondMO","2360","/m/01_6h2",,,,,
"B000711","Senator, 3rd Class","Sen.","https://api.propublica.org/congress/v1/members/B000711.json","Barbara","Boxer","1940-11-11","F","D","300011","15011","","https://www.boxer.senate.gov",false,"5","1998",612,10,4,"2019-10-07 09:09:42 -0400","ocd-division/country:us/state:ca","CA","3","","S223",1.63,92.06,7.94,,"SenatorBoxer","SenatorBoxer","2470","/m/01c1n5",,"senatorboxer","https://www.boxer.senate.gov/rss/?p=release",,
