"id","title","short_title","api_uri","first_name","last_name","date_of_birth","gender","party","twitter_account","youtube_account","govtrack_id","icpsr_id","google_entity_id","fec_candidate_id","url","in_office","seniority","total_votes","missed_votes","total_present","last_updated","ocd_id","state","district","at_large","geoid","missed_votes_pct","votes_with_party_pct","votes_against_party_pct","middle_name","cspan_id","facebook_account","votesmart_id","crp_id","rss_url","suffix"
"A000014","Representative","Rep.","https://api.propublica.org/congress/v1/members/A000014.json","Neil","Abercrombie","1938-06-26","M","D","neilabercrombie","hawaiirep1","400001","15244","/m/0255rj","","",false,"16",1221,49,1,"2019-10-07 12:19:05 -0400","ocd-division/country:us/state:hi/cd:1","HI","1",false,"1501",4.01,94.02,6.07,,,,,,,
"A000359","Resident Commissioner","R.C.","https://api.propublica.org/congress/v1/members/A000359.json","An","Acevedo-Vila","1962-02-13","M","D",,,"400002","70601",,"","",false,"4",0,0,0,"2013-04-12 20:12:01 -0400","ocd-division/country:us/state:pr/cd:80","PR","At-Large",true,"7298",0,0,,,,,,,,
"A000022","Representative","Rep.","https://api.propublica.org/congress/v1/members/A000022.json","Gary","Ackerman","1942-11-19","M","D","repgaryackerman","RepAckerman","400003","15080","/m/03rhdq","","",false,"22",1221,134,2,"2019-10-07 12:19:05 -0400","ocd-division/country:us/state:ny/cd:5","NY","5",false,"3605",10.97,96.25,3.93,"L.","1002061",,,,,
"A000055","Representative","Rep.","https://api.propublica.org/congress/v1/members/A000055.json","Robert","Aderholt","1965-07-22","M","R","Robert_Aderholt","RobertAderholt","400004","29701","/m/024p03","","https://aderholt.house.gov",false,"8",1221,46,0,"2021-03-02 02:35:23 -0500","ocd-division/country:us/state:al/cd:4","AL","4",false,"0104",3.77,94.85,5.23,"B.","45516","RobertAderholt","441","N00003028","https://aderholt.house.gov/rss.xml",
"A000358","Representative","Rep.","https://api.propublica.org/congress/v1/members/A000358.json","Todd","Akin","1947-07-05","M","R","reptoddakin","RepToddAkin","400005","20123","/m/025xzm","","",false,"4",1221,43,0,"2019-10-07 12:19:05 -0400","ocd-division/country:us/state:mo/cd:2","MO","2",false,"2902",3.52,93.83,6.34,,"87412",,,,,
"A000361","Representative","Rep.","https://api.propublica.org/congress/v1/members/A000361.json","Rodney","Alexander","1946-12-05","M","R","USRepAlexander","RepRodneyMAlexander","400006","90327","/m/025jxc","","",false,"2",0,0,0,"2016-05-03 15:22:14 -0400","ocd-division/country:us/state:la/cd:5","LA","5",false,"2205",0,0,,,"1004256","RepRodneyAlexander",,,,
"A000361","Representative","Rep.","https://api.propublica.org/congress/v1/members/A000361.json","Rodney","Alexander","1946-12-05","M","D","USRepAlexander","RepRodneyMAlexander","400006","90327","/m/025jxc","","",false,"2",1221,18,0,"2019-10-07 12:19:05 -0400","ocd-division/country:us/state:la/cd:5","LA","5",false,"2205",1.47,80.56,19.61,,"1004256","RepRodneyAlexander",,,,
"A000357","Representative","Rep.","https://api.propublica.org/congress/v1/members/A000357.json","Thomas","Allen","1945-04-16","M","D",,,"400007","29728",,"","",false,"8",1221,22,0,"2019-10-07 12:19:05 -0400","ocd-division/country:us/state:me/cd:1","ME","1",false,"2301",1.8,95.16,5.01,"H.",,,,,,
"A000210","Representative","Rep.","https://api.propublica.org/congress/v1/members/A000210.json","Robert","Andrews","1957-08-04","M","D","RepAndrews",,"400008","29132",,"","http://andrews.house.gov/",false,"16",1221,59,0,"2019-10-07 12:19:05 -0400","ocd-division/country:us/state:nj/cd:1","NJ","1",false,"3401",4.83,94.23,5.86,"E.","19670",,,,,
"B001234","Representative","Rep.","https://api.propublica.org/congress/v1/members/B001234.json","Joe","Baca","1947-01-23","M","D",,,"400009","29942","/m/024xk0","","",false,"6",1221,23,0,"2019-10-07 12:19:05 -0400","ocd-division/country:us/state:ca/cd:43","CA","43",false,"0643",1.88,94.22,5.95,,"81682",,,,,
"B000013","Representative","Rep.","https://api.propublica.org/congress/v1/members/B000013.json","Spencer","Bachus","1947-12-28","M","R","BachusAL06","congressmanbachus","400010","29301","/m/024p0v","","http://bachus.house.gov",false,"12",1221,59,1,"2019-10-07 12:19:05 -0400","ocd-division/country:us/state:al/cd:6","AL","6",false,"0106",4.83,96.18,4,,"26397","SpencerBachus",,,,
"B001229","Representative","Rep.","https://api.propublica.org/congress/v1/members/B001229.json","Brian","Baird","1956-03-07","M","D",,,"400011","29938","/m/02593n","","",false,"6",1221,40,5,"2019-10-07 12:19:05 -0400","ocd-division/country:us/state:wa/cd:3","WA","3",false,"5303",3.28,92.25,7.92,,"45981",,,,,
"B000072","Representative","Rep.","https://api.propublica.org/congress/v1/members/B000072.json","Richard","Baker","1948-05-22","M","R",,,"400012","15400",,"","",false,"18",1221,58,0,"2019-10-07 12:19:05 -0400","ocd-division/country:us/state:la/cd:6","LA","6",false,"2206",4.75,97.31,2.86,"Hugh",,,,,,
"B001230","Representative","Rep.","https://api.propublica.org/congress/v1/members/B001230.json","Tammy","Baldwin","1962-02-11","F","D","SenatorBaldwin","witammybaldwin","400013","29940","/m/024v02","","https://www.baldwin.senate.gov",false,"6",1221,7,0,"2019-10-07 12:19:05 -0400","ocd-division/country:us/state:wi/cd:2","WI","2",false,"5502",0.57,94.39,5.69,,"57884","senatortammybaldwin","3470","N00004367",,
"B001238","Representative","Rep.","https://api.propublica.org/congress/v1/members/B001238.json","Frank","Ballance","1942-02-15","M","D",,,"400014","20339",,"","",false,"2",908,60,3,"2019-10-07 12:19:05 -0400","ocd-division/country:us/state:nc/cd:1","NC","1",false,"3701",6.61,95.44,4.8,"W.",,,,,,
"B000104","Representative","Rep.","https://api.propublica.org/congress/v1/members/B000104.json","Cass","Ballenger","1926-12-06","M","R",,,"400015","15401",,"","",false,"20",1221,146,0,"2019-10-07 12:19:05 -0400","ocd-division/country:us/state:nc/cd:10","NC","10",false,"3710",11.96,97.47,2.72,,,,,,,
"B001239","Representative","Rep.","https://api.propublica.org/congress/v1/members/B001239.json","J.","Barrett","1961-02-14","M","R","greshambarrett","Repgreshambarrett","400016","20347",,"","",false,"2",1221,13,0,"2019-10-07 12:19:05 -0400","ocd-division/country:us/state:sc/cd:3","SC","3",false,"4503",1.06,94.25,5.84,"Gresham","1003613",,,,,
"B000208","Representative","Rep.","https://api.propublica.org/congress/v1/members/B000208.json","Roscoe","Bartlett","1926-06-03","M","R",,"RepRoscoeBartlett","400017","29356","/m/025k82","","",false,"12",1221,8,0,"2019-10-07 12:19:05 -0400","ocd-division/country:us/state:md/cd:6","MD","6",false,"2406",0.66,90.18,9.98,"G.","27026",,,,,
"B000213","Representative","Rep.","https://api.propublica.org/congress/v1/members/B000213.json","Joe","Barton","1949-09-15","M","R","RepJoeBarton","repjoebarton","400018","15085","/m/03rspq","","https://joebarton.house.gov",false,"20",1221,73,0,"2019-10-07 12:19:05 -0400","ocd-division/country:us/state:tx/cd:6","TX","6",false,"4806",5.98,95.87,4.3,"L.","5248","RepJoeBarton","27082","N00005656",,
"B000220","Representative","Rep.","https://api.propublica.org/congress/v1/members/B000220.json","Charles","Bass","1952-01-08","M","R","RepCharlesBass",,"400019","29538","/m/02vypx","","",false,"10",1221,18,0,"2019-10-07 12:19:05 -0400","ocd-division/country:us/state:nh/cd:2","NH","2",false,"3302",1.47,92.62,7.55,"F.","37079",,,,,
"B001240","Representative","Rep.","https://api.propublica.org/congress/v1/members/B001240.json","Bob","Beauprez","1948-09-22","M","R",,,"400020","20312",,"","",false,"2",1221,18,0,"2019-10-07 12:19:05 -0400","ocd-division/country:us/state:co/cd:7","CO","7",false,"0807",1.47,96.22,3.94,,,,,,,
"B000287","Representative","Rep.","https://api.propublica.org/congress/v1/members/B000287.json","Xavier","Becerra","1958-01-26","M","D","RepBecerra","XavierBecerra","400021","29316","/m/024trk","","http://becerra.house.gov",false,"12",1221,83,3,"2019-10-07 12:19:05 -0400","ocd-division/country:us/state:ca/cd:31","CA","31",false,"0631",6.8,96.42,3.76,,"26567","XavierBecerra",,,"https://becerra.house.gov/rss/press-releases.xml",
"B001241","Representative","Rep.","https://api.propublica.org/congress/v1/members/B001241.json","Chris","Bell","1959-11-23","M","D",,,"400022","20354",,"","",false,"2",1221,92,0,"2019-10-07 12:19:05 -0400","ocd-division/country:us/state:tx/cd:25","TX","25",false,"4825",7.53,93.15,7.03,,,,,,,
"B000403","Representative","Rep.","https://api.propublica.org/congress/v1/members/B000403.json","Douglas","Bereuter","1939-10-06","M","R",,,"400023","14605",,"","",false,"26",1098,95,3,"2019-10-07 12:19:05 -0400","ocd-division/country:us/state:ne/cd:1","NE","1",false,"3101",8.65,91.85,8.35,"K.",,,,,,
"B001231","Representative","Rep.","https://api.propublica.org/congress/v1/members/B001231.json","Shelley","Berkley","1951-01-20","F","D","repberkley","ShelleyBerkley","400024","29922","/m/025h7j","","",false,"6",1221,124,0,"2019-10-07 12:19:05 -0400","ocd-division/country:us/state:nv/cd:1","NV","1",false,"3201",10.16,94.99,5.19,,,,,,,
"B000410","Representative","Rep.","https://api.propublica.org/congress/v1/members/B000410.json","Howard","Berman","1941-04-15","M","D","RepHowardBerman","RepHowardBerman","400025","15004",,"","",false,"22",1221,145,1,"2019-10-07 12:19:05 -0400","ocd-division/country:us/state:ca/cd:28","CA","28",false,"0628",11.88,95.86,4.14,"L.","1592",,,,,
"B000420","Representative","Rep.","https://api.propublica.org/congress/v1/members/B000420.json","Marion","Berry","1942-08-27","M","D",,"CongressmanBerry","400026","29702",,"","",false,"8",1221,31,1,"2019-10-07 12:19:05 -0400","ocd-division/country:us/state:ar/cd:1","AR","1",false,"0501",2.54,85.97,14.2,,"45115",,,,,
"B001232","Representative","Rep.","https://api.propublica.org/congress/v1/members/B001232.json","Judy","Biggert","1937-08-15","F","R","JudyBiggert","JudyBiggert","400027","29912","/m/0256wq","","",false,"6",1221,9,0,"2019-10-07 12:19:05 -0400","ocd-division/country:us/state:il/cd:13","IL","13",false,"1713",0.74,94.01,6.16,,"57890",,,,,
"B000463","Representative","Rep.","https://api.propublica.org/congress/v1/members/B000463.json","Michael","Bilirakis","1930-07-16","M","R",,,"400028","15005",,"","",false,"22",1221,21,0,"2019-10-07 12:19:05 -0400","ocd-division/country:us/state:fl/cd:9","FL","9",false,"1209",1.72,95.3,4.78,,,,,,,
"B001250","Representative","Rep.","https://api.propublica.org/congress/v1/members/B001250.json","Rob","Bishop","1951-07-13","M","R","RepRobBishop","CongressmanBishop","400029","20357","/m/02tn41","","https://robbishop.house.gov",false,"2",1221,78,0,"2019-10-07 12:19:05 -0400","ocd-division/country:us/state:ut/cd:1","UT","1",false,"4901",6.39,95.14,5.04,,"1003621","RepRobBishop","50544","N00025292","https://robbishop.house.gov/rss.xml",
"B000490","Representative","Rep.","https://api.propublica.org/congress/v1/members/B000490.json","Sanford","Bishop","1947-02-04","M","D","SanfordBishop","RepSanfordBishop","400030","29339","/m/02554k","","https://bishop.house.gov",false,"12",1221,34,0,"2021-03-02 02:35:25 -0500","ocd-division/country:us/state:ga/cd:2","GA","2",false,"1302",2.78,89.11,11.06,"D.","26194","sanfordbishop","26817","N00002674","https://bishop.house.gov/rss.xml","Jr."
"B001242","Representative","Rep.","https://api.propublica.org/congress/v1/members/B001242.json","Timothy","Bishop","1950-06-01","M","D","TimBishopNY","timbishop01","400031","20338",,"","http://timbishop.house.gov",false,"2",1221,25,0,"2019-10-07 12:19:05 -0400","ocd-division/country:us/state:ny/cd:1","NY","1",false,"3601",2.05,96.6,3.57,"H.","1003587","RepTimBishop",,,,
"B001243","Representative","Rep.","https://api.propublica.org/congress/v1/members/B001243.json","Marsha","Blackburn","1952-06-06","F","R","MarshaBlackburn","RepMarshaBlackburn","400032","20351","/m/01fnkt","","https://www.blackburn.senate.gov",false,"2",1221,24,0,"2019-10-07 12:19:05 -0400","ocd-division/country:us/state:tn/cd:7","TN","7",false,"4707",1.97,95.45,4.72,,"31226","marshablackburn","25186","N00003105",,
"B000574","Representative","Rep.","https://api.propublica.org/congress/v1/members/B000574.json","Earl","Blumenauer","1948-08-16","M","D","BlumenauerMedia","RepBlumenauer","400033","29588","/m/033tw8","","https://blumenauer.house.gov",false,"10",1221,65,3,"2021-03-02 02:35:25 -0500","ocd-division/country:us/state:or/cd:3","OR","3",false,"4103",5.32,94.27,5.9,,"43809",,"367","N00007727","https://blumenauer.house.gov/rss.xml",
"B000575","Representative","Rep.","https://api.propublica.org/congress/v1/members/B000575.json","Roy","Blunt","1950-01-10","M","R","RoyBlunt","SenatorBlunt","400034","29735","/m/034fn4","","https://www.blunt.senate.gov",false,"8",1221,35,0,"2019-10-07 12:19:05 -0400","ocd-division/country:us/state:mo/cd:7","MO","7",false,"2907",2.87,96.77,3.4,,"45465","SenatorBlunt","418","N00005195",,
"B000586","Representative","Rep.","https://api.propublica.org/congress/v1/members/B000586.json","Sherwood","Boehlert","1936-09-28","M","R",,,"400035","15006",,"","",false,"22",1221,109,0,"2019-10-07 12:19:05 -0400","ocd-division/country:us/state:ny/cd:24","NY","24",false,"3624",8.93,90.3,9.79,"L.",,,,,,
"B000589","Representative","Rep.","https://api.propublica.org/congress/v1/members/B000589.json","John","Boehner","1949-11-17","M","R","SpeakerBoehner","johnboehner","400036","15806","/m/039rwf","","http://boehner.house.gov",false,"14",1221,43,0,"2019-10-07 12:19:05 -0400","ocd-division/country:us/state:oh/cd:8","OH","8",false,"3908",3.52,97.43,2.74,"A.","16740","SpeakerJohnBoehner",,,,
"B000617","Representative","Rep.","https://api.propublica.org/congress/v1/members/B000617.json","Henry","Bonilla","1954-01-02","M","R",,,"400037","39302",,"","",false,"12",1221,46,0,"2019-10-07 12:19:05 -0400","ocd-division/country:us/state:tx/cd:23","TX","23",false,"4823",3.77,96.74,3.43,,,,,,,
