symbol,date,open,high,low,close,volume
"A32","2018-11-29","18.28","18.28","18.28","18.28","1000"
"A32","2018-12-03","18.28","18.28","18.28","18.28","100"
"A32","2018-12-04","16","16","16","16","2000"
"A32","2018-12-21","18.23","18.23","18.23","18.23","100"
"A32","2019-01-02","19.32","19.32","19.32","19.32","100"
"A32","2019-01-07","19.32","19.32","19.32","19.32","100"
"A32","2019-02-13","17.1","17.1","17.1","17.1","100"
"A32","2019-02-14","15.84","15.84","15.84","15.84","100"
"A32","2019-02-19","13.94","13.94","13.94","13.94","100"
"A32","2019-03-08","15.96","15.96","15.96","15.96","100"
"A32","2019-03-11","15.96","15.96","15.96","15.96","300"
"A32","2019-03-13","15.96","15.96","15.96","15.96","100"
"A32","2019-03-14","15.96","15.96","15.96","15.96","200"
"A32","2019-03-15","15.96","15.96","15.96","15.96","100"
"A32","2019-03-21","15.96","15.96","15.96","15.96","200"
"A32","2019-03-22","15.96","15.96","15.96","15.96","100"
"A32","2019-03-25","15.96","15.96","15.96","15.96","100"
"A32","2019-03-27","16.15","16.15","16.15","16.15","100"
"A32","2019-04-02","16.15","16.15","16.15","16.15","18"
"A32","2019-04-09","16.15","16.15","16.15","16.15","100"
"A32","2019-04-12","16.15","16.15","16.15","16.15","45"
"A32","2019-04-25","16.15","16.15","16.15","16.15","3"
"A32","2019-04-26","16.15","16.15","16.15","16.15","10"
"A32","2019-05-07","16.15","16.15","16.15","16.15","302"
"A32","2019-05-08","16.15","16.15","16.15","16.15","500"
"A32","2019-05-10","16.15","16.15","16.15","16.15","200"
"A32","2019-05-13","16.15","16.15","16.15","16.15","300"
"A32","2019-05-14","16.15","16.15","16.15","16.15","300"
"A32","2019-05-16","16.15","16.15","16.15","16.15","400"
"A32","2019-05-27","16.79","16.79","15.84","15.84","1100"
"A32","2019-06-03","16.72","16.72","15.84","15.84","10"
"A32","2019-06-05","16.72","16.72","15.84","15.84","35"
"A32","2019-06-06","16.72","16.72","16.27","16.27","20"
"A32","2019-06-10","16.27","16.27","16.27","16.27","135"
"A32","2019-06-11","16.27","16.27","16.27","16.27","800"
"A32","2019-06-18","14.31","14.31","14.31","14.31","1000"
"A32","2019-06-19","14.31","14.31","14.31","14.31","20"
"A32","2019-06-24","13.66","14.31","13.66","14.31","1200"
"A32","2019-06-25","14.96","14.96","14.96","14.96","120"
"A32","2019-06-28","14.64","14.64","14.64","14.64","500"
"A32","2019-07-01","14.64","14.64","14.64","14.64","1"
"A32","2019-07-02","14.96","15.29","14.96","15.29","601"
"A32","2019-07-04","15.29","15.42","15.03","15.03","2800"
"A32","2019-07-10","14.96","14.96","14.31","14.31","2600"
"A32","2019-07-11","14.64","15.16","14.51","15.16","11100"
"A32","2019-07-16","14.57","15.29","14.57","15.29","300"
"A32","2019-07-18","15.29","15.29","15.29","15.29","500"
"A32","2019-07-26","15.03","15.03","15.03","15.03","100"
"A32","2019-07-29","15.62","15.62","15.62","15.62","100"
"A32","2019-07-31","15.29","15.29","15.29","15.29","200"
"A32","2019-08-01","15.62","15.62","15.62","15.62","400"
"A32","2019-08-02","15.81","15.81","15.81","15.81","100"
