symbol,date,open,high,low,close,volume,year,month,week,weekday
"ABT","2006-12-26","16.01","16.01","16.01","16.01","6000","2006","12","52","Tuesday"
"ABT","2006-12-27","16.77","16.77","16.77","16.77","1000","2006","12","52","Wednesday"
"ABT","2006-12-28","17.45","17.45","17.45","17.45","3800","2006","12","52","Thursday"
"ABT","2006-12-29","18.3","18.3","17.79","18.3","51250","2006","12","52","Friday"
"ABT","2007-01-02","19.14","19.14","19.14","19.14","42030","2007","01","1","Tuesday"
"ABT","2007-01-03","19.99","19.99","19.65","19.65","111590","2007","01","1","Wednesday"
"ABT","2007-01-04","19.99","20.5","19.99","20.5","42780","2007","01","1","Thursday"
"ABT","2007-01-05","20.5","20.5","19.99","19.99","25380","2007","01","1","Friday"
"ABT","2007-01-08","20.84","20.84","20.84","20.84","104230","2007","01","2","Monday"
"ABT","2007-01-09","21.69","21.86","21.52","21.86","30180","2007","01","2","Tuesday"
"ABT","2007-01-10","22.7","22.87","22.02","22.02","29720","2007","01","2","Wednesday"
"ABT","2007-01-11","22.02","22.02","21.69","22.02","17810","2007","01","2","Thursday"
"ABT","2007-01-12","21.69","22.53","21.69","22.53","11170","2007","01","2","Friday"
"ABT","2007-01-15","23.55","23.55","23.21","23.55","25350","2007","01","3","Monday"
"ABT","2007-01-16","24.57","24.57","24.57","24.57","71080","2007","01","3","Tuesday"
"ABT","2007-01-17","25.75","25.75","23.38","23.38","56860","2007","01","3","Wednesday"
"ABT","2007-01-18","23.38","23.72","23.38","23.72","33560","2007","01","3","Thursday"
"ABT","2007-01-19","24.4","24.91","24.4","24.91","23860","2007","01","3","Friday"
"ABT","2007-01-22","23.72","23.72","23.72","23.72","9140","2007","01","4","Monday"
"ABT","2007-01-23","22.87","22.87","22.53","22.53","22580","2007","01","4","Tuesday"
"ABT","2007-01-24","22.53","22.53","22.02","22.02","18640","2007","01","4","Wednesday"
"ABT","2007-01-25","21.52","21.52","21.01","21.01","6470","2007","01","4","Thursday"
"ABT","2007-01-26","22.02","22.02","22.02","22.02","6670","2007","01","4","Friday"
"ABT","2007-01-29","21.69","23.04","21.69","23.04","12430","2007","01","5","Monday"
"ABT","2007-01-30","24.06","24.06","23.72","24.06","68650","2007","01","5","Tuesday"
"ABT","2007-01-31","24.57","24.57","23.38","23.38","20540","2007","01","5","Wednesday"
"ABT","2007-02-01","24.4","24.4","23.72","23.72","25830","2007","02","5","Thursday"
"ABT","2007-02-02","23.72","23.72","23.72","23.72","15140","2007","02","5","Friday"
"ABT","2007-02-05","22.53","23.72","22.53","23.72","18120","2007","02","6","Monday"
"ABT","2007-02-06","24.06","24.06","23.21","23.72","16400","2007","02","6","Tuesday"
"ABT","2007-02-07","23.38","23.38","23.04","23.38","24170","2007","02","6","Wednesday"
"ABT","2007-02-08","23.55","23.55","22.36","22.36","17810","2007","02","6","Thursday"
"ABT","2007-02-09","22.36","22.36","22.02","22.2","16100","2007","02","6","Friday"
"ABT","2007-02-12","22.87","23.21","22.87","23.21","34050","2007","02","7","Monday"
"ABT","2007-02-13","23.72","23.72","23.55","23.55","24030","2007","02","7","Tuesday"
"ABT","2007-02-14","22.53","23.55","22.53","23.55","27690","2007","02","7","Wednesday"
"ABT","2007-02-15","24.06","24.23","23.55","24.23","24660","2007","02","7","Thursday"
"ABT","2007-02-26","25.41","25.41","25.41","25.41","24820","2007","02","9","Monday"
"ABT","2007-02-27","26.6","26.6","26.6","26.6","62370","2007","02","9","Tuesday"
"ABT","2007-02-28","26.6","26.6","25.41","25.41","51270","2007","02","9","Wednesday"
"ABT","2007-03-01","25.41","25.41","25.41","25.41","25310","2007","03","9","Thursday"
"ABT","2007-03-02","25.41","25.41","25.41","25.41","18660","2007","03","9","Friday"
"ABT","2007-03-05","25.92","25.92","25.75","25.75","30440","2007","03","10","Monday"
"ABT","2007-03-06","25.75","25.75","24.91","24.91","34340","2007","03","10","Tuesday"
"ABT","2007-03-07","24.91","24.91","23.72","23.72","35570","2007","03","10","Wednesday"
"ABT","2007-03-08","24.91","24.91","24.91","24.91","27820","2007","03","10","Thursday"
"ABT","2007-03-09","25.92","25.92","25.41","25.41","28380","2007","03","10","Friday"
"ABT","2007-03-12","25.75","25.75","24.91","24.91","19150","2007","03","11","Monday"
