symbol,date,open,high,low,close,volume,year,month,week,weekday
"ACG","2021-08-04","76.29","76.29","62.36","76.23","197900","2021","08","32","Wednesday"
"ACG","2021-08-05","76.23","76.23","68.48","71.44","227100","2021","08","32","Thursday"
"ACG","2021-08-06","71.44","71.44","69.32","70.84","155200","2021","08","32","Friday"
"ACG","2021-08-09","69.63","70.23","65.39","67.45","135600","2021","08","33","Monday"
"ACG","2021-08-10","67.33","67.45","65.45","66.78","133900","2021","08","33","Tuesday"
"ACG","2021-08-11","65.99","69.57","65.99","68.6","180500","2021","08","33","Wednesday"
"ACG","2021-08-12","68.42","69.02","66.6","66.6","115900","2021","08","33","Thursday"
"ACG","2021-08-13","67.2","70.78","64.78","65.81","166700","2021","08","33","Friday"
"ACG","2021-08-16","68.36","68.36","64.48","66.48","45200","2021","08","34","Monday"
"ACG","2021-08-17","66.48","66.9","64.48","66.36","98500","2021","08","34","Tuesday"
"ACG","2021-08-18","65.39","66.84","64.48","64.78","32000","2021","08","34","Wednesday"
"ACG","2021-08-19","65.39","65.87","63.39","64.48","24700","2021","08","34","Thursday"
"ACG","2021-08-20","64.48","64.72","61.15","63.45","20600","2021","08","34","Friday"
"ACG","2021-08-23","59.94","65.93","59.94","63.21","28300","2021","08","35","Monday"
"ACG","2021-08-24","65.27","65.27","60.55","62.91","17200","2021","08","35","Tuesday"
"ACG","2021-08-25","63.33","63.51","60.55","62.36","49600","2021","08","35","Wednesday"
"ACG","2021-08-26","62.66","62.66","60.48","61.94","20500","2021","08","35","Thursday"
"ACG","2021-08-27","60.24","61.76","59.94","61.76","18900","2021","08","35","Friday"
"ACG","2021-08-30","61.15","63.57","61.15","62.97","47500","2021","08","36","Monday"
"ACG","2021-08-31","63.57","64.18","62.97","64.18","54600","2021","08","36","Tuesday"
"ACG","2021-09-01","63.57","63.81","63.45","63.81","77200","2021","09","36","Wednesday"
"ACG","2021-09-06","63.75","63.88","62.97","63.75","43800","2021","09","37","Monday"
"ACG","2021-09-07","64.18","64.18","63.27","64.06","34900","2021","09","37","Tuesday"
"ACG","2021-09-08","63.88","64.66","63.75","64.48","37500","2021","09","37","Wednesday"
"ACG","2021-09-09","64.48","66.24","64.18","66.18","101300","2021","09","37","Thursday"
"ACG","2021-09-10","67.2","69.57","66.18","69.02","145500","2021","09","37","Friday"
"ACG","2021-09-13","69.02","70.23","68.42","69.44","96300","2021","09","38","Monday"
"ACG","2021-09-14","69.63","70.53","69.02","70.17","83200","2021","09","38","Tuesday"
"ACG","2021-09-15","69.93","70.78","67.81","70.6","127100","2021","09","38","Wednesday"
"ACG","2021-09-16","70.05","71.32","69.63","70.41","94900","2021","09","38","Thursday"
