symbol,date,open,high,low,close,volume,year,month,week,weekday
"AFX","2016-12-02","8.65","8.65","6.92","6.92","2200","2016","12","49","Friday"
"AFX","2016-12-08","6.06","6.06","6.06","6.06","2000","2016","12","50","Thursday"
"AFX","2016-12-09","5.19","5.19","5.19","5.19","5000","2016","12","50","Friday"
"AFX","2016-12-12","4.41","4.41","4.41","4.41","5000","2016","12","51","Monday"
"AFX","2016-12-13","3.81","3.81","3.81","3.81","3800","2016","12","51","Tuesday"
"AFX","2016-12-14","3.46","3.46","3.46","3.46","1300","2016","12","51","Wednesday"
"AFX","2016-12-16","3.46","3.46","3.03","3.03","800","2016","12","51","Friday"
"AFX","2016-12-22","2.94","2.94","2.94","2.94","100","2016","12","52","Thursday"
"AFX","2016-12-23","3.03","3.03","3.03","3.03","1100","2016","12","52","Friday"
"AFX","2017-02-13","4.24","4.24","4.24","4.24","100","2017","02","7","Monday"
"AFX","2017-02-14","4.24","4.24","3.63","3.63","500","2017","02","7","Tuesday"
"AFX","2017-02-16","3.55","3.55","3.55","3.55","100","2017","02","7","Thursday"
"AFX","2017-02-17","3.55","3.55","3.55","3.55","200","2017","02","7","Friday"
"AFX","2017-02-20","3.03","3.03","3.03","3.03","100","2017","02","8","Monday"
"AFX","2017-02-21","2.86","3.46","2.86","3.46","200","2017","02","8","Tuesday"
"AFX","2017-02-22","2.86","2.86","2.86","2.86","9600","2017","02","8","Wednesday"
"AFX","2017-02-23","3.2","3.2","3.2","3.2","100","2017","02","8","Thursday"
"AFX","2017-02-24","3.63","3.63","3.63","3.63","100","2017","02","8","Friday"
"AFX","2017-02-27","3.63","4.16","3.63","4.16","200","2017","02","9","Monday"
"AFX","2017-02-28","4.41","4.41","3.38","3.38","400","2017","02","9","Tuesday"
"AFX","2017-03-01","3.63","3.63","3.46","3.46","800","2017","03","9","Wednesday"
"AFX","2017-03-02","4.07","4.07","4.07","4.07","100","2017","03","9","Thursday"
"AFX","2017-03-03","3.72","4.24","3.72","4.24","300","2017","03","9","Friday"
"AFX","2017-03-10","3.46","3.55","3.46","3.55","1000","2017","03","10","Friday"
"AFX","2017-03-13","3.72","3.72","3.72","3.72","100","2017","03","11","Monday"
"AFX","2017-03-14","3.81","3.81","3.81","3.81","100","2017","03","11","Tuesday"
"AFX","2017-03-27","3.46","3.46","3.46","3.46","100","2017","03","13","Monday"
"AFX","2017-03-30","3.46","3.46","3.46","3.46","100","2017","03","13","Thursday"
"AFX","2017-03-31","2.94","2.94","2.94","2.94","1900","2017","03","13","Friday"
"AFX","2017-04-05","3.12","3.12","3.12","3.12","200","2017","04","14","Wednesday"
"AFX","2017-04-12","3.12","3.12","3.12","3.12","100","2017","04","15","Wednesday"
"AFX","2017-04-26","2.68","2.68","2.68","2.68","2400","2017","04","17","Wednesday"
"AFX","2017-04-27","2.68","3.03","2.68","3.03","200","2017","04","17","Thursday"
"AFX","2017-05-03","3.2","3.2","3.2","3.2","100","2017","05","18","Wednesday"
"AFX","2017-05-04","3.2","3.2","3.2","3.2","600","2017","05","18","Thursday"
"AFX","2017-05-05","3.38","3.46","3.38","3.46","600","2017","05","18","Friday"
"AFX","2017-05-08","3.2","3.2","3.2","3.2","300","2017","05","19","Monday"
"AFX","2017-05-10","3.2","3.2","3.2","3.2","800","2017","05","19","Wednesday"
"AFX","2017-05-11","3.2","3.2","3.2","3.2","700","2017","05","19","Thursday"
"AFX","2017-05-12","3.2","3.2","3.2","3.2","2000","2017","05","19","Friday"
"AFX","2017-05-15","3.2","3.2","3.2","3.2","300","2017","05","20","Monday"
"AFX","2017-05-16","3.2","3.2","3.2","3.2","800","2017","05","20","Tuesday"
"AFX","2017-05-17","3.2","3.2","3.2","3.2","3200","2017","05","20","Wednesday"
"AFX","2017-05-18","3.12","3.12","3.12","3.12","300","2017","05","20","Thursday"
"AFX","2017-05-19","3.2","3.2","3.2","3.2","1000","2017","05","20","Friday"
