symbol,date,open,high,low,close,volume,year,month,week,weekday
"AGG","2020-01-09","19.11","19.11","19.11","19.11","403500","2020","01","2","Thursday"
"AGG","2020-01-10","19.43","19.93","19.36","19.36","382330","2020","01","2","Friday"
"AGG","2020-01-13","19.43","19.46","19.2","19.2","263410","2020","01","3","Monday"
"AGG","2020-01-14","19.04","19.04","18.63","18.79","573820","2020","01","3","Tuesday"
"AGG","2020-01-15","18.76","18.95","18.76","18.88","228400","2020","01","3","Wednesday"
"AGG","2020-01-16","18.79","19.14","18.69","19.01","283220","2020","01","3","Thursday"
"AGG","2020-01-17","18.98","19.04","18.88","18.91","229940","2020","01","3","Friday"
"AGG","2020-01-20","18.98","19.04","18.82","18.88","238670","2020","01","4","Monday"
"AGG","2020-01-21","18.91","19.04","18.85","18.98","248440","2020","01","4","Tuesday"
"AGG","2020-01-22","19.01","19.17","18.91","19.17","228590","2020","01","4","Wednesday"
"AGG","2020-01-30","19.11","19.49","18.98","19.23","183910","2020","01","5","Thursday"
"AGG","2020-01-31","19.2","19.2","18.95","18.95","211690","2020","01","5","Friday"
"AGG","2020-02-03","18.88","18.88","18.63","18.79","213310","2020","02","6","Monday"
"AGG","2020-02-04","18.82","19.01","18.79","18.91","208640","2020","02","6","Tuesday"
"AGG","2020-02-05","18.85","18.88","18.79","18.85","199390","2020","02","6","Wednesday"
"AGG","2020-02-06","18.85","18.98","18.85","18.88","206740","2020","02","6","Thursday"
"AGG","2020-02-07","18.88","18.91","18.72","18.76","245720","2020","02","6","Friday"
"AGG","2020-02-10","18.76","18.85","18.69","18.82","190510","2020","02","7","Monday"
"AGG","2020-02-11","18.79","18.82","18.66","18.66","197110","2020","02","7","Tuesday"
"AGG","2020-02-12","18.69","18.69","18.41","18.5","190780","2020","02","7","Wednesday"
"AGG","2020-02-13","18.5","18.6","18.37","18.44","206670","2020","02","7","Thursday"
"AGG","2020-02-14","18.41","18.41","18.31","18.37","201670","2020","02","7","Friday"
"AGG","2020-02-17","18.34","18.53","18.34","18.47","207150","2020","02","8","Monday"
"AGG","2020-02-18","18.47","18.47","18.18","18.37","208630","2020","02","8","Tuesday"
"AGG","2020-02-19","18.37","18.53","18.34","18.41","200730","2020","02","8","Wednesday"
"AGG","2020-02-20","18.41","18.5","18.28","18.34","206170","2020","02","8","Thursday"
"AGG","2020-02-21","18.34","18.47","18.31","18.34","203920","2020","02","8","Friday"
"AGG","2020-02-24","18.31","18.34","18.21","18.28","190740","2020","02","9","Monday"
"AGG","2020-02-25","18.31","18.34","18.15","18.31","202890","2020","02","9","Tuesday"
"AGG","2020-02-26","18.28","18.28","18.12","18.18","190600","2020","02","9","Wednesday"
"AGG","2020-02-27","18.18","18.25","18.02","18.05","196230","2020","02","9","Thursday"
"AGG","2020-02-28","17.99","17.99","17.45","17.48","167630","2020","02","9","Friday"
