symbol,date,open,high,low,close,volume,year,month,week,weekday
"AIC","2021-01-08","14.5","14.5","14.5","14.5","23600","2021","01","2","Friday"
"AIC","2021-01-11","16.6","16.6","16.6","16.6","100","2021","01","3","Monday"
"AIC","2021-01-12","19","19","19","19","23700","2021","01","3","Tuesday"
"AIC","2021-01-13","21.8","21.8","21.8","21.8","3000","2021","01","3","Wednesday"
"AIC","2021-01-14","25","25","25","25","14800","2021","01","3","Thursday"
"AIC","2021-01-15","28.7","28.7","28.7","28.7","5900","2021","01","3","Friday"
"AIC","2021-01-18","33","33","26.5","26.5","34800","2021","01","4","Monday"
"AIC","2021-01-19","26.5","26.5","26","26","6700","2021","01","4","Tuesday"
"AIC","2021-01-20","22.1","25.9","22.1","22.1","9200","2021","01","4","Wednesday"
"AIC","2021-01-21","18.9","21.1","18.9","18.9","32000","2021","01","4","Thursday"
"AIC","2021-01-22","16.4","19.5","16.3","19","6100","2021","01","4","Friday"
"AIC","2021-01-25","18","19","18","18.5","14200","2021","01","5","Monday"
"AIC","2021-01-26","17","17","16","16","5700","2021","01","5","Tuesday"
"AIC","2021-01-27","14.6","14.7","14","14","16900","2021","01","5","Wednesday"
"AIC","2021-01-28","12.1","12.5","12.1","12.1","20000","2021","01","5","Thursday"
"AIC","2021-01-29","11","12.3","10.3","12.1","17500","2021","01","5","Friday"
"AIC","2021-02-01","11","13.3","11","13.3","3100","2021","02","6","Monday"
"AIC","2021-02-02","15","15","15","15","14300","2021","02","6","Tuesday"
"AIC","2021-02-03","17.2","17.2","17.1","17.2","21800","2021","02","6","Wednesday"
"AIC","2021-02-04","17.5","19.5","15.1","15.4","7300","2021","02","6","Thursday"
"AIC","2021-02-05","16.3","16.3","14.9","15.3","8700","2021","02","6","Friday"
"AIC","2021-02-08","17.2","17.2","13.3","15.2","8000","2021","02","7","Monday"
"AIC","2021-02-09","15","16.5","15","16.5","8400","2021","02","7","Tuesday"
"AIC","2021-02-17","16.4","16.5","13.9","16","9000","2021","02","8","Wednesday"
"AIC","2021-02-18","17.5","17.5","15.1","15.5","1800","2021","02","8","Thursday"
"AIC","2021-02-19","15.5","15.5","15.5","15.5","500","2021","02","8","Friday"
"AIC","2021-02-22","15.6","15.6","15","15","5800","2021","02","9","Monday"
"AIC","2021-02-23","14.9","15.1","14.9","15","8800","2021","02","9","Tuesday"
"AIC","2021-02-24","15.9","15.9","15","15.2","3900","2021","02","9","Wednesday"
"AIC","2021-02-25","15.2","15.3","14.5","15","12300","2021","02","9","Thursday"
"AIC","2021-02-26","14.4","14.5","14.4","14.4","1600","2021","02","9","Friday"
"AIC","2021-03-01","14.5","15.3","14.5","15.3","4300","2021","03","10","Monday"
"AIC","2021-03-02","15","15.2","15","15","11800","2021","03","10","Tuesday"
"AIC","2021-03-03","15.1","15.1","15","15","8800","2021","03","10","Wednesday"
"AIC","2021-03-04","15.1","15.2","14.9","14.9","12500","2021","03","10","Thursday"
"AIC","2021-03-05","15","15","14.5","14.9","11400","2021","03","10","Friday"
"AIC","2021-03-08","15","15.4","15","15.1","5200","2021","03","11","Monday"
"AIC","2021-03-09","15.1","15.1","15","15","1300","2021","03","11","Tuesday"
"AIC","2021-03-10","15","15.4","15","15.1","9900","2021","03","11","Wednesday"
"AIC","2021-03-11","15.2","15.2","14.9","15.1","6400","2021","03","11","Thursday"
"AIC","2021-03-12","15.1","15.1","15","15.1","5900","2021","03","11","Friday"
"AIC","2021-03-15","15.1","15.4","15","15.4","8300","2021","03","12","Monday"
"AIC","2021-03-16","15.2","15.5","15.1","15.4","4900","2021","03","12","Tuesday"
"AIC","2021-03-17","15.2","16","15.2","16","11200","2021","03","12","Wednesday"
