symbol,date,open,high,low,close,volume
"ALT","2006-11-22","15.07","15.07","15.07","15.07","8100"
"ALT","2006-11-23","15.73","15.83","15.73","15.83","1030"
"ALT","2006-11-24","16.58","16.58","16.58","16.58","1400"
"ALT","2006-11-27","16.58","17.38","16.58","17.38","2000"
"ALT","2006-11-28","18.23","18.23","18.23","18.23","10110"
"ALT","2006-11-29","19.13","19.13","19.13","19.13","3800"
"ALT","2006-11-30","20.07","20.07","20.07","20.07","9800"
"ALT","2006-12-01","21.06","21.06","21.06","21.06","13460"
"ALT","2006-12-04","21.06","22.09","21.06","22.09","5000"
"ALT","2006-12-05","22.09","23.18","22.09","23.18","3130"
"ALT","2006-12-06","24.26","24.26","24.26","24.26","3730"
"ALT","2006-12-07","25.44","25.44","25.44","25.44","5800"
"ALT","2006-12-11","27.79","27.79","27.79","27.79","21350"
"ALT","2006-12-12","28.97","28.97","28.97","28.97","21890"
"ALT","2006-12-13","30.38","30.38","30.38","30.38","31900"
"ALT","2006-12-14","31.8","31.8","31.8","31.8","32400"
"ALT","2006-12-15","33.21","33.21","33.21","33.21","20530"
"ALT","2006-12-18","34.86","34.86","34.86","34.86","18000"
"ALT","2006-12-19","36.51","36.51","36.51","36.51","9830"
"ALT","2006-12-20","36.51","36.51","34.86","34.86","12690"
"ALT","2006-12-21","34.86","34.86","33.21","33.21","3100"
"ALT","2006-12-22","33.21","33.21","31.56","31.56","1020"
"ALT","2006-12-25","31.56","31.56","30.15","30.15","660"
"ALT","2006-12-26","28.73","28.73","28.73","28.73","6700"
"ALT","2006-12-27","28.73","28.73","27.32","27.32","5010"
"ALT","2006-12-28","26.38","26.38","26.14","26.14","15970"
"ALT","2006-12-29","26.14","27.32","26.14","27.32","9300"
"ALT","2007-01-02","28.5","28.5","28.5","28.5","10030"
"ALT","2007-01-03","29.91","29.91","29.91","29.91","18310"
"ALT","2007-01-04","31.32","31.32","31.09","31.32","19610"
"ALT","2007-01-05","31.32","31.32","31.32","31.32","7580"
"ALT","2007-01-08","32.03","32.03","29.91","29.91","16730"
"ALT","2007-01-09","28.5","30.62","28.5","30.62","20740"
"ALT","2007-01-10","29.2","29.2","29.2","29.2","3940"
"ALT","2007-01-11","28.26","28.26","28.03","28.03","19870"
"ALT","2007-01-12","27.09","28.26","27.09","28.26","17310"
"ALT","2007-01-15","28.26","28.73","28.26","28.73","4630"
"ALT","2007-01-16","28.73","28.73","28.73","28.73","1820"
"ALT","2007-01-17","28.26","28.26","27.79","27.79","2730"
"ALT","2007-01-18","26.85","28.97","26.85","28.97","12500"
"ALT","2007-01-19","29.44","29.68","28.97","29.68","11200"
"ALT","2007-01-22","30.15","30.15","29.68","29.68","6800"
"ALT","2007-01-23","29.68","29.68","29.68","29.68","3450"
"ALT","2007-01-24","29.68","29.68","28.26","29.68","8490"
"ALT","2007-01-25","29.68","29.68","29.68","29.68","8400"
