symbol,date,open,high,low,close,volume
"APS","2010-04-19","15.18","15.36","13.5","13.78","1000600"
"APS","2010-04-20","13.41","13.96","13.03","13.22","592300"
"APS","2010-04-21","13.22","13.5","12.94","13.31","358200"
"APS","2010-04-22","13.59","14.06","13.41","14.06","931700"
"APS","2010-04-26","14.24","14.34","13.69","13.69","459400"
"APS","2010-04-27","13.87","14.15","13.69","14.15","462100"
"APS","2010-04-28","14.34","14.8","14.06","14.8","547200"
"APS","2010-04-29","15.73","15.73","15.73","15.73","421800"
"APS","2010-05-04","16.76","16.76","16.76","16.76","313800"
"APS","2010-05-05","17.78","17.88","16.01","17.32","2100000"
"APS","2010-05-06","17.32","18.06","17.04","18.06","617800"
"APS","2010-05-07","19.18","19.18","17.22","19.18","1976500"
"APS","2010-05-10","20.39","20.39","19.09","19.74","1132900"
"APS","2010-05-11","20.02","21.41","18.62","19.55","1651000"
"APS","2010-05-12","19.36","20.3","17.69","17.69","987900"
"APS","2010-05-13","17.97","18.15","16.85","16.85","1003500"
"APS","2010-05-14","17.22","17.69","16.76","17.6","547200"
"APS","2010-05-17","17.5","18.25","17.5","17.97","657200"
"APS","2010-05-18","18.34","18.62","17.04","17.32","249000"
"APS","2010-05-19","17.6","17.6","16.2","16.2","387600"
"APS","2010-05-20","15.73","17.13","15.46","16.57","1231100"
"APS","2010-05-21","15.83","15.83","14.9","14.9","401100"
"APS","2010-05-24","14.9","15.92","14.71","15.92","772200"
"APS","2010-05-25","15.92","16.39","15.46","16.01","561800"
"APS","2010-05-26","16.11","16.76","15.83","16.39","801900"
"APS","2010-05-27","16.57","16.57","15.83","16.29","584000"
"APS","2010-05-28","16.94","17.41","16.85","17.41","734200"
"APS","2010-05-31","18.53","18.53","16.2","16.76","526100"
"APS","2010-06-01","17.22","17.22","16.29","16.76","562000"
"APS","2010-06-02","16.29","16.76","16.01","16.66","345000"
"APS","2010-06-03","16.94","17.69","16.85","17.13","477500"
"APS","2010-06-04","17.32","18.25","17.04","18.15","1865700"
"APS","2010-06-07","17.69","18.62","16.76","16.76","612000"
"APS","2010-06-08","16.66","17.32","16.57","17.22","380300"
"APS","2010-06-09","17.22","17.97","17.22","17.69","743800"
"APS","2010-06-10","18.15","18.15","17.13","17.32","368300"
"APS","2010-06-11","18.62","18.62","17.22","17.78","683900"
