symbol,date,open,high,low,close,volume
"APT","2019-06-21","2.8","2.8","2.8","2.8","500"
"APT","2019-07-05","2.8","2.8","2.8","2.8","600"
"APT","2019-07-12","2.7","2.8","2.7","2.7","2100"
"APT","2019-07-19","2.7","2.7","2.7","2.7","100"
"APT","2019-07-26","2.8","2.8","2.8","2.8","100"
"APT","2019-08-09","2.8","2.8","2.8","2.8","5500"
"APT","2019-08-16","2.9","2.9","2.9","2.9","100"
"APT","2019-08-23","3","3","2.5","2.5","1200"
"APT","2019-08-30","2.5","2.5","2.5","2.5","200"
"APT","2019-09-27","2.8","2.8","2.8","2.8","100"
"APT","2019-10-11","3.2","3.2","3.2","3.2","100"
"APT","2019-11-22","3.6","3.6","3.6","3.6","100"
"APT","2019-12-27","4","4","4","4","200"
"APT","2020-03-06","4","4","4","4","100"
"APT","2020-04-17","4.6","4.6","4.6","4.6","100"
"APT","2020-05-22","4","4","4","4","10000"
"APT","2020-05-29","4.3","4.3","3.4","3.4","7100"
"APT","2020-06-05","3.9","3.9","3.8","3.9","20100"
"APT","2020-06-12","4.4","4.4","4","4.4","7400"
"APT","2020-06-26","3.7","3.7","3.7","3.7","3400"
"APT","2020-07-03","3.2","3.3","3.2","3.3","26500"
"APT","2020-07-10","2.9","3.3","2.9","3.3","15600"
"APT","2020-07-17","3.7","3.7","3.7","3.7","100"
"APT","2020-07-24","3.5","3.5","3.3","3.3","8100"
"APT","2020-07-31","3.5","3.5","3.5","3.5","100"
"APT","2020-08-14","3","3","3","3","8000"
"APT","2020-08-28","2.9","3.2","2.9","3.2","6900"
"APT","2020-10-16","3.2","3.5","3.2","3.5","60100"
"APT","2020-11-13","3.2","3.2","3.2","3.2","10000"
"APT","2020-11-27","3.2","3.2","3.2","3.2","10500"
"APT","2020-12-25","3.6","3.6","3.6","3.6","100"
"APT","2021-04-16","3.6","3.6","3.6","3.6","300"
"APT","2021-05-07","3.6","3.6","3.6","3.6","200"
"APT","2021-08-13","3.6","3.6","3.6","3.6","11900"
"APT","2021-10-22","4.1","4.1","4.1","4.1","800"
"APT","2021-11-05","4.7","4.7","4.7","4.7","1200"
"APT","2021-11-12","4.7","4.7","4.7","4.7","100"
"APT","2021-11-19","4","5.4","4","5.4","3500"
"APT","2021-11-26","4.3","5","4.3","5","400"
"APT","2021-12-03","4.5","4.5","4.5","4.5","500"
"APT","2021-12-10","3.9","3.9","3.9","3.9","200"
"APT","2021-12-17","3.6","3.7","3.6","3.7","9400"
"APT","2021-12-24","3.8","4.1","3.8","4.1","300"
"APT","2021-12-31","3.5","4.4","3.5","4.4","2600"
"APT","2022-01-07","3.9","5","3.9","5","400"
"APT","2022-01-14","4.5","4.8","4.5","4.8","2800"
"APT","2022-01-21","5.1","5.1","5.1","5.1","700"
"APT","2022-02-18","5.1","5.1","5.1","5.1","100"
"APT","2022-02-25","4.5","4.5","4.5","4.5","200"
"APT","2022-03-11","3.9","3.9","3.9","3.9","1400"
"APT","2022-04-01","3.4","3.9","3.4","3.4","10400"
"APT","2022-05-06","3","3","3","3","200"
"APT","2022-08-05","3.4","3.4","3.4","3.4","400"
"APT","2022-09-09","2.9","2.9","2.9","2.9","100"
"APT","2022-09-16","2.7","2.7","2.7","2.7","100"
"APT","2022-10-21","2.3","2.3","2.3","2.3","200"
"APT","2022-11-04","2","2","2","2","300"
"APT","2022-11-11","2.3","2.3","1.7","1.7","1200"
"APT","2022-11-25","2.4","2.4","2.4","2.4","100"
"APT","2022-12-09","2.4","2.4","2.4","2.4","400"
"APT","2023-01-06","2.7","2.7","2.3","2.7","2600"
"APT","2023-02-17","3.1","3.1","2.3","2.3","3400"
