symbol,date,open,high,low,close,volume,year,month,week,weekday
"AST","2018-01-04","38.97","38.97","38.97","38.97","12000","2018","01","1","Thursday"
"AST","2018-01-05","41.65","41.65","41.65","41.65","8700","2018","01","1","Friday"
"AST","2018-01-08","44.53","44.53","44.53","44.53","150720","2018","01","2","Monday"
"AST","2018-01-09","47.63","47.63","47.63","47.63","223230","2018","01","2","Tuesday"
"AST","2018-01-10","50.95","50.95","50.95","50.95","173190","2018","01","2","Wednesday"
"AST","2018-01-11","49.08","50.95","47.42","47.42","203460","2018","01","2","Thursday"
"AST","2018-01-12","49.8","49.8","46.91","47.63","234850","2018","01","2","Friday"
"AST","2018-01-15","47.63","48","46.12","46.41","63550","2018","01","3","Monday"
"AST","2018-01-16","45.54","46.26","45.04","46.26","126190","2018","01","3","Tuesday"
"AST","2018-01-17","47.63","48.36","46.91","47.06","106720","2018","01","3","Wednesday"
"AST","2018-01-18","46.91","46.91","44.6","46.7","118340","2018","01","3","Thursday"
"AST","2018-01-19","46.7","47.13","45.47","46.84","159450","2018","01","3","Friday"
"AST","2018-01-22","46.84","48","46.84","47.78","295680","2018","01","4","Monday"
"AST","2018-01-25","48.36","48.36","46.91","48","278640","2018","01","4","Thursday"
"AST","2018-01-26","48.14","48.21","47.63","47.92","163520","2018","01","4","Friday"
"AST","2018-01-29","45.47","47.85","45.33","47.49","269020","2018","01","5","Monday"
"AST","2018-01-30","46.19","47.49","45.83","46.99","354390","2018","01","5","Tuesday"
"AST","2018-01-31","48.36","48.36","47.42","47.56","116870","2018","01","5","Wednesday"
"AST","2018-02-01","48","49.66","47.63","49.66","471760","2018","02","5","Thursday"
"AST","2018-02-02","50.52","50.52","49.66","50.31","322370","2018","02","5","Friday"
"AST","2018-02-05","50.02","50.02","49.22","49.51","193730","2018","02","6","Monday"
"AST","2018-02-06","46.91","48.21","46.05","46.41","280640","2018","02","6","Tuesday"
"AST","2018-02-07","47.85","48","46.99","48","252300","2018","02","6","Wednesday"
"AST","2018-02-08","48","48.72","47.27","48.36","186020","2018","02","6","Thursday"
"AST","2018-02-09","46.91","47.49","46.19","47.35","175110","2018","02","6","Friday"
"AST","2018-02-12","48","50.45","47.92","48.43","135440","2018","02","7","Monday"
"AST","2018-02-13","49.8","49.8","48.57","49.01","122540","2018","02","7","Tuesday"
"AST","2018-02-21","49.44","51.97","49.44","51.39","179470","2018","02","8","Wednesday"
"AST","2018-02-22","51.97","51.97","50.52","51.46","161180","2018","02","8","Thursday"
"AST","2018-02-23","51.97","51.97","51.6","51.97","172900","2018","02","8","Friday"
"AST","2018-02-26","51.97","53.12","51.24","51.97","145310","2018","02","9","Monday"
"AST","2018-02-27","52.11","52.11","51.32","51.68","159690","2018","02","9","Tuesday"
"AST","2018-02-28","51.68","51.68","51.39","51.68","198250","2018","02","9","Wednesday"
"AST","2018-03-01","51.97","52.11","51.68","51.97","422090","2018","03","9","Thursday"
"AST","2018-03-02","51.82","55.58","51.68","55.43","377660","2018","03","9","Friday"
"AST","2018-03-05","56.3","57.74","56.3","57.02","186220","2018","03","10","Monday"
"AST","2018-03-06","57.02","57.02","55.79","56.8","123950","2018","03","10","Tuesday"
"AST","2018-03-07","56.8","59.18","56.15","56.59","166610","2018","03","10","Wednesday"
"AST","2018-03-08","57.02","58.46","56.59","58.46","187690","2018","03","10","Thursday"
"AST","2018-03-09","58.82","61.56","58.82","61.28","219610","2018","03","10","Friday"
"AST","2018-03-12","61.85","62.07","60.05","60.05","125910","2018","03","11","Monday"
"AST","2018-03-13","59.91","60.48","58.46","59.83","155190","2018","03","11","Tuesday"
"AST","2018-03-14","60.41","60.77","59.83","60.27","138290","2018","03","11","Wednesday"
"AST","2018-03-15","60.63","60.63","56.08","56.08","321820","2018","03","11","Thursday"
"AST","2018-03-16","56.08","59.18","55.94","59.18","228160","2018","03","11","Friday"
"AST","2018-03-19","59.83","59.83","57.96","58.75","124120","2018","03","12","Monday"
"AST","2018-03-20","59.11","59.47","57.81","59.18","152330","2018","03","12","Tuesday"
"AST","2018-03-21","57.96","59.54","55.21","55.21","245380","2018","03","12","Wednesday"
"AST","2018-03-22","57.02","57.02","53.84","55.58","173020","2018","03","12","Thursday"
"AST","2018-03-23","52.69","55.58","52.69","55.43","116420","2018","03","12","Friday"
"AST","2018-03-26","55.43","56.08","55.36","56.01","128920","2018","03","13","Monday"
