symbol,date,open,high,low,close,volume,year,month,week,weekday
"ATA","2009-09-08","24","24","24","24","110300","2009","09","37","Tuesday"
"ATA","2009-09-09","25.2","25.2","25.2","25.2","1000","2009","09","37","Wednesday"
"ATA","2009-09-10","26.4","26.4","26.4","26.4","50","2009","09","37","Thursday"
"ATA","2009-09-11","27.7","27.7","27.7","27.7","46500","2009","09","37","Friday"
"ATA","2009-09-14","29","29","29","29","34450","2009","09","38","Monday"
"ATA","2009-09-15","30.4","30.4","30.2","30.4","162170","2009","09","38","Tuesday"
"ATA","2009-09-16","70","31.3","28.9","28.9","64790","2009","09","38","Wednesday"
"ATA","2009-09-17","28","28.4","27.5","28","38710","2009","09","38","Thursday"
"ATA","2009-09-18","26.9","28","26.9","27","21330","2009","09","38","Friday"
"ATA","2009-09-21","26.2","28.3","26.2","28.3","45990","2009","09","39","Monday"
"ATA","2009-09-22","29.7","29.7","29.7","29.7","76100","2009","09","39","Tuesday"
"ATA","2009-09-23","29.7","30.1","29.2","29.7","74150","2009","09","39","Wednesday"
"ATA","2009-09-24","28.3","29.6","28.3","28.5","31520","2009","09","39","Thursday"
"ATA","2009-09-25","28.5","28.7","28","28.6","77870","2009","09","39","Friday"
"ATA","2009-09-28","29.6","29.6","27.5","28.5","39810","2009","09","40","Monday"
"ATA","2009-09-29","29","29","28.3","28.7","63570","2009","09","40","Tuesday"
"ATA","2009-09-30","29","29","28.1","28.8","43680","2009","09","40","Wednesday"
"ATA","2009-10-01","28.7","28.8","28.5","28.8","91570","2009","10","40","Thursday"
"ATA","2009-10-02","27.9","28.2","27.9","28.2","21660","2009","10","40","Friday"
"ATA","2009-10-05","28.5","28.5","28.2","28.3","11840","2009","10","41","Monday"
"ATA","2009-10-06","27.2","28.5","27.2","28.5","23350","2009","10","41","Tuesday"
"ATA","2009-10-07","28.5","29","28.5","29","35930","2009","10","41","Wednesday"
"ATA","2009-10-08","29","29","28.5","29","37220","2009","10","41","Thursday"
"ATA","2009-10-09","29","29.5","29","29.4","94250","2009","10","41","Friday"
