symbol,date,open,high,low,close,volume
"AVC","2018-01-08","21.68","25.04","21.68","25.04","500"
"AVC","2018-01-10","22.42","22.42","22.42","22.42","1500"
"AVC","2018-01-11","21.38","21.38","21.23","21.23","3520"
"AVC","2018-01-12","21.68","21.68","21.68","21.68","2700"
"AVC","2018-01-16","21.68","21.68","21.68","21.68","3100"
"AVC","2018-01-17","21.68","21.68","21.68","21.68","4600"
"AVC","2018-01-22","21.68","21.68","21.68","21.68","2000"
"AVC","2018-01-23","22.05","22.05","21.68","21.68","1179"
"AVC","2018-01-24","21.15","21.68","21.15","21.68","2400"
"AVC","2018-01-26","21.08","21.08","21.08","21.08","100"
"AVC","2018-02-05","21.68","21.68","21.15","21.3","3400"
"AVC","2018-02-06","21.08","21.08","20.93","21.08","2200"
"AVC","2018-02-09","21.3","21.3","21.3","21.3","800"
"AVC","2018-02-22","22.42","23.17","22.42","23.17","339"
"AVC","2018-02-23","19.43","22.8","19.43","22.42","3800"
"AVC","2018-02-26","18.54","22.42","18.54","22.42","1100"
"AVC","2018-02-27","18.61","21.68","18.61","21.68","298"
"AVC","2018-02-28","21.68","22.42","21.68","22.42","1100"
"AVC","2018-03-02","21.3","21.3","21.3","21.3","100"
"AVC","2018-03-05","22.42","22.42","22.42","22.42","1100"
"AVC","2018-03-08","21.68","21.68","21.3","21.3","4000"
"AVC","2018-03-13","21.38","21.38","21.38","21.38","1000"
"AVC","2018-03-14","21.53","21.53","21.53","21.53","1000"
"AVC","2018-03-15","21.68","21.68","21.68","21.68","4400"
"AVC","2018-03-19","20.93","20.93","20.93","20.93","2800"
"AVC","2018-03-27","21.3","21.3","20.18","20.18","4900"
"AVC","2018-03-28","19.81","19.81","19.81","19.81","3900"
"AVC","2018-03-29","22.42","22.42","22.42","22.42","100"
"AVC","2018-04-03","19.43","21.6","19.43","21.6","500"
"AVC","2018-04-04","20.18","20.18","20.18","20.18","100"
"AVC","2018-04-05","20.18","20.33","20.18","20.33","1000"
"AVC","2018-04-09","20.78","20.78","20.56","20.56","5600"
"AVC","2018-04-10","21.68","21.68","20.56","20.56","2100"
"AVC","2018-04-11","20.18","20.18","20.18","20.18","3000"
"AVC","2018-04-16","19.81","19.81","19.36","19.81","5000"
"AVC","2018-04-17","19.43","19.81","19.43","19.58","4520"
"AVC","2018-04-18","18.84","19.81","18.84","19.43","2500"
"AVC","2018-04-19","19.81","19.81","19.81","19.81","100"
"AVC","2018-04-20","19.43","19.81","19.43","19.81","1700"
"AVC","2018-04-23","19.81","19.81","19.81","19.81","500"
"AVC","2018-04-24","19.58","19.73","19.29","19.43","2000"
"AVC","2018-04-27","19.06","19.06","19.06","19.06","500"
"AVC","2018-05-02","19.43","20.56","19.43","19.43","10000"
"AVC","2018-05-03","20.56","20.56","20.18","20.18","1006"
"AVC","2018-05-04","20.56","20.56","20.56","20.56","200"
"AVC","2018-05-09","21.68","21.68","20.56","20.56","5500"
"AVC","2018-05-10","19.51","21.38","19.51","19.58","2100"
