symbol,date,open,high,low,close,volume,year,month,week,weekday
"B82","2008-03-17","18.46","21.61","15.76","20.26","15800","2008","03","12","Monday"
"B82","2008-03-18","18.06","19.68","17.65","17.65","1700","2008","03","12","Tuesday"
"B82","2008-03-19","18.01","18.91","18.01","18.91","300","2008","03","12","Wednesday"
"B82","2008-03-20","16.8","19.32","16.75","16.8","3600","2008","03","12","Thursday"
"B82","2008-03-21","15.76","15.76","15.18","15.22","1000","2008","03","12","Friday"
"B82","2008-03-24","15.76","15.76","14.01","14.01","300","2008","03","13","Monday"
"B82","2008-03-26","13.15","13.15","13.15","13.15","2700","2008","03","13","Wednesday"
"B82","2008-03-27","12.92","13.37","12.92","13.37","15800","2008","03","13","Thursday"
"B82","2008-03-28","13.42","13.42","13.42","13.42","11600","2008","03","13","Friday"
"B82","2008-03-31","13.64","13.64","13.64","13.64","15600","2008","03","14","Monday"
"B82","2008-04-01","13.91","13.91","13.91","13.91","1500","2008","04","14","Tuesday"
"B82","2008-04-02","14.19","14.19","14.19","14.19","3200","2008","04","14","Wednesday"
"B82","2008-04-03","14.46","14.46","14.46","14.46","2000","2008","04","14","Thursday"
"B82","2008-04-04","14.72","14.72","14.72","14.72","4200","2008","04","14","Friday"
"B82","2008-04-07","15.13","15.13","15.13","15.13","5400","2008","04","15","Monday"
"B82","2008-04-08","15.58","15.58","14.68","14.68","13300","2008","04","15","Tuesday"
"B82","2008-04-09","14.46","14.46","14.46","14.46","1000","2008","04","15","Wednesday"
"B82","2008-04-17","14.05","14.32","14.05","14.05","5800","2008","04","16","Thursday"
"B82","2008-04-18","13.69","13.69","13.69","13.69","1000","2008","04","16","Friday"
"B82","2008-04-21","13.28","13.28","13.28","13.28","100","2008","04","17","Monday"
"B82","2008-04-22","12.92","12.92","12.92","12.92","100","2008","04","17","Tuesday"
"B82","2008-04-23","12.56","12.56","12.56","12.56","100","2008","04","17","Wednesday"
"B82","2008-04-24","12.2","12.2","12.2","12.2","100","2008","04","17","Thursday"
"B82","2008-04-28","11.84","11.84","11.84","11.84","100","2008","04","18","Monday"
"B82","2008-04-29","11.53","11.53","11.53","11.53","1000","2008","04","18","Tuesday"
"B82","2008-05-13","11.21","11.21","11.21","11.21","100","2008","05","20","Tuesday"
"B82","2008-05-15","10.9","10.9","10.9","10.9","100","2008","05","20","Thursday"
"B82","2008-06-12","10.13","10.13","10.13","10.13","3100","2008","06","24","Thursday"
"B82","2008-06-17","9.86","9.86","9.86","9.86","1900","2008","06","25","Tuesday"
"B82","2008-06-24","9.5","9.5","9.5","9.5","100","2008","06","26","Tuesday"
"B82","2008-06-25","9.14","9.14","9.14","9.14","100","2008","06","26","Wednesday"
"B82","2008-07-01","8.78","8.78","8.78","8.78","1600","2008","07","27","Tuesday"
"B82","2008-07-02","8.47","8.47","8.47","8.47","1300","2008","07","27","Wednesday"
"B82","2008-07-03","8.15","8.15","8.15","8.15","300","2008","07","27","Thursday"
"B82","2008-07-04","7.83","8.47","7.83","8.47","15900","2008","07","27","Friday"
"B82","2008-07-07","7.83","7.83","7.79","7.79","1600","2008","07","28","Monday"
"B82","2008-07-08","7.52","7.52","7.52","7.52","900","2008","07","28","Tuesday"
"B82","2008-07-09","7.79","7.79","7.25","7.34","9800","2008","07","28","Wednesday"
"B82","2008-07-10","7.03","7.03","7.03","7.03","1700","2008","07","28","Thursday"
"B82","2008-07-11","6.75","6.98","6.75","6.8","9100","2008","07","28","Friday"
"B82","2008-07-14","7.03","7.03","6.48","7.03","20100","2008","07","29","Monday"
"B82","2008-07-15","7.03","7.03","7.03","7.03","4200","2008","07","29","Tuesday"
"B82","2008-07-16","7.29","7.29","6.75","7.16","7200","2008","07","29","Wednesday"
"B82","2008-07-17","6.89","7.29","6.84","7.21","4000","2008","07","29","Thursday"
"B82","2008-07-18","6.8","6.84","6.8","6.8","3100","2008","07","29","Friday"
"B82","2008-07-21","6.53","6.53","6.53","6.53","1000","2008","07","30","Monday"
"B82","2008-07-22","6.3","6.3","6.3","6.3","100","2008","07","30","Tuesday"
"B82","2008-07-23","6.08","6.08","6.08","6.08","100","2008","07","30","Wednesday"
"B82","2008-07-24","5.85","5.85","5.85","5.85","2300","2008","07","30","Thursday"
"B82","2008-07-25","5.63","5.63","5.63","5.63","1500","2008","07","30","Friday"
"B82","2008-07-28","5.4","5.76","5.4","5.76","4400","2008","07","31","Monday"
"B82","2008-07-29","5.58","5.58","5.58","5.58","1200","2008","07","31","Tuesday"
"B82","2008-07-30","5.76","5.76","5.76","5.76","1400","2008","07","31","Wednesday"
"B82","2008-07-31","5.99","5.99","5.99","5.99","700","2008","07","31","Thursday"
"B82","2008-08-01","6.21","6.21","6.21","6.21","700","2008","08","31","Friday"
"B82","2008-08-04","6.44","6.44","6.44","6.44","2200","2008","08","32","Monday"
"B82","2008-08-05","6.67","6.67","6.67","6.67","7500","2008","08","32","Tuesday"
"B82","2008-08-06","6.44","6.44","6.44","6.44","18900","2008","08","32","Wednesday"
"B82","2008-08-07","6.67","6.67","6.67","6.67","2200","2008","08","32","Thursday"
"B82","2008-08-08","6.89","6.89","6.75","6.89","20800","2008","08","32","Friday"
"B82","2008-08-11","7.12","7.12","7.12","7.12","800","2008","08","33","Monday"
"B82","2008-08-12","7.38","7.38","7.38","7.38","11700","2008","08","33","Tuesday"
"B82","2008-08-13","7.66","7.66","7.38","7.66","29400","2008","08","33","Wednesday"
"B82","2008-08-14","7.83","7.83","7.83","7.83","10600","2008","08","33","Thursday"
"B82","2008-08-15","8.11","8.11","8.11","8.11","200","2008","08","33","Friday"
"B82","2008-08-18","8.65","8.65","8.65","8.65","12400","2008","08","34","Monday"
"B82","2008-08-19","9.23","9.23","8.06","8.65","18300","2008","08","34","Tuesday"
"B82","2008-08-20","8.33","8.65","8.15","8.15","4600","2008","08","34","Wednesday"
"B82","2008-08-21","8.38","8.51","8.24","8.51","8700","2008","08","34","Thursday"
"B82","2008-08-22","8.33","8.33","7.75","7.75","14900","2008","08","34","Friday"
"B82","2008-08-25","7.21","8.29","7.21","8.24","15800","2008","08","35","Monday"
"B82","2008-08-26","8.65","8.65","8.65","8.65","17600","2008","08","35","Tuesday"
"B82","2008-08-27","9.23","9.23","9.1","9.1","18700","2008","08","35","Wednesday"
"B82","2008-08-28","9.82","9.82","8.56","8.56","3800","2008","08","35","Thursday"
"B82","2008-08-29","8.38","8.38","8.38","8.38","17500","2008","08","35","Friday"
"B82","2008-09-03","8.56","8.96","8.56","8.96","13800","2008","09","36","Wednesday"
"B82","2008-09-04","9.55","9.55","8.92","8.92","10200","2008","09","36","Thursday"
"B82","2008-09-05","9.14","9.77","9.14","9.77","30300","2008","09","36","Friday"
"B82","2008-09-08","9.68","9.68","9.01","9.59","5800","2008","09","37","Monday"
"B82","2008-09-09","8.92","9.68","8.87","8.92","17100","2008","09","37","Tuesday"
"B82","2008-09-10","9.68","9.73","8.47","9.01","4000","2008","09","37","Wednesday"
"B82","2008-09-11","8.92","8.92","8.29","8.29","5300","2008","09","37","Thursday"
"B82","2008-09-12","7.75","7.75","7.75","7.75","2200","2008","09","37","Friday"
"B82","2008-09-15","7.21","7.66","7.21","7.21","15500","2008","09","38","Monday"
"B82","2008-09-16","6.8","6.84","6.8","6.84","6600","2008","09","38","Tuesday"
"B82","2008-09-17","6.35","6.35","6.35","6.35","12600","2008","09","38","Wednesday"
"B82","2008-09-18","5.99","5.99","5.94","5.94","7900","2008","09","38","Thursday"
"B82","2008-09-19","6.35","6.35","6.35","6.35","2100","2008","09","38","Friday"
"B82","2008-09-22","6.75","6.75","6.75","6.75","100","2008","09","39","Monday"
"B82","2008-09-23","7.07","7.21","6.98","6.98","10800","2008","09","39","Tuesday"
"B82","2008-09-24","6.98","7.12","6.98","6.98","5000","2008","09","39","Wednesday"
"B82","2008-09-25","6.98","7.29","6.62","7.29","7000","2008","09","39","Thursday"
"B82","2008-09-26","7.29","7.38","7.12","7.38","10800","2008","09","39","Friday"
"B82","2008-09-29","7.7","7.7","6.98","7.38","7400","2008","09","40","Monday"
"B82","2008-09-30","6.84","6.84","6.84","6.84","100","2008","09","40","Tuesday"
"B82","2008-10-01","6.84","6.84","6.75","6.84","2400","2008","10","40","Wednesday"
"B82","2008-10-02","6.93","7.21","6.93","6.98","1400","2008","10","40","Thursday"
"B82","2008-10-03","7.21","7.21","7.21","7.21","200","2008","10","40","Friday"
"B82","2008-10-06","6.71","7.66","6.71","7.66","2500","2008","10","41","Monday"
"B82","2008-10-07","6.8","7.21","6.8","6.8","2700","2008","10","41","Tuesday"
"B82","2008-10-08","7.21","7.21","6.39","6.39","600","2008","10","41","Wednesday"
"B82","2008-10-09","6.98","6.98","6.75","6.98","1700","2008","10","41","Thursday"
"B82","2008-10-10","6.93","6.93","6.67","6.67","500","2008","10","41","Friday"
"B82","2008-10-13","6.3","7.12","6.3","7.12","1000","2008","10","42","Monday"
"B82","2008-10-14","7.38","7.38","7.38","7.38","2500","2008","10","42","Tuesday"
"B82","2008-10-15","7.88","7.88","7.61","7.66","3800","2008","10","42","Wednesday"
"B82","2008-10-16","7.25","7.25","7.25","7.25","4900","2008","10","42","Thursday"
"B82","2008-10-17","7.25","7.25","7.16","7.16","1400","2008","10","42","Friday"
"B82","2008-10-20","7.21","7.21","6.75","7.03","6100","2008","10","43","Monday"
"B82","2008-10-21","7.12","7.12","6.84","6.89","3600","2008","10","43","Tuesday"
"B82","2008-10-22","6.93","6.93","6.75","6.75","800","2008","10","43","Wednesday"
"B82","2008-10-23","6.44","6.44","6.44","6.44","500","2008","10","43","Thursday"
"B82","2008-10-24","5.99","5.99","5.99","5.99","4000","2008","10","43","Friday"
"B82","2008-10-27","5.63","5.63","5.58","5.58","2700","2008","10","44","Monday"
"B82","2008-10-28","5.22","5.4","5.22","5.4","3800","2008","10","44","Tuesday"
"B82","2008-10-29","5.67","5.67","5.4","5.67","10500","2008","10","44","Wednesday"
"B82","2008-10-30","5.9","5.9","5.9","5.9","10800","2008","10","44","Thursday"
"B82","2008-10-31","6.3","6.3","6.26","6.3","3200","2008","10","44","Friday"
"B82","2008-11-03","6.3","6.3","6.3","6.3","200","2008","11","45","Monday"
"B82","2008-11-04","6.3","6.71","6.3","6.3","4700","2008","11","45","Tuesday"
"B82","2008-11-05","6.84","6.84","6.75","6.84","4300","2008","11","45","Wednesday"
"B82","2008-11-06","6.39","6.39","6.39","6.39","800","2008","11","45","Thursday"
"B82","2008-11-07","6.08","6.08","5.99","5.99","7900","2008","11","45","Friday"
"B82","2008-11-10","5.99","5.99","5.76","5.76","200","2008","11","46","Monday"
"B82","2008-11-11","5.76","5.85","5.58","5.58","3800","2008","11","46","Tuesday"
"B82","2008-11-12","5.49","6.08","5.49","5.9","5800","2008","11","46","Wednesday"
"B82","2008-11-13","6.08","6.12","6.08","6.12","1300","2008","11","46","Thursday"
"B82","2008-11-14","6.48","6.48","6.08","6.3","2200","2008","11","46","Friday"
"B82","2008-11-17","6.3","6.71","6.3","6.3","1900","2008","11","47","Monday"
"B82","2008-11-19","6.53","6.53","6.3","6.3","1000","2008","11","47","Wednesday"
"B82","2008-11-26","6.08","6.08","6.08","6.08","100","2008","11","48","Wednesday"
"B82","2008-11-27","6.26","6.26","6.26","6.26","100","2008","11","48","Thursday"
"B82","2008-11-28","6.62","6.62","6.3","6.3","1500","2008","11","48","Friday"
"B82","2008-12-01","6.53","6.53","6.53","6.53","100","2008","12","49","Monday"
"B82","2008-12-02","6.98","6.98","6.98","6.98","100","2008","12","49","Tuesday"
"B82","2008-12-03","7.43","6.98","7.43","6.53","200","2008","12","49","Wednesday"
"B82","2008-12-05","6.53","6.53","6.53","6.53","100","2008","12","49","Friday"
