symbol,date,open,high,low,close,volume,year,month,week,weekday
"BCG","2015-07-16","8.61","9.39","8.45","9.34","2201970","2015","07","29","Thursday"
"BCG","2015-07-17","9.34","9.97","9.19","9.91","1585500","2015","07","29","Friday"
"BCG","2015-07-20","9.91","10.59","9.86","10.44","1404650","2015","07","30","Monday"
"BCG","2015-07-21","10.38","10.38","9.71","9.71","163790","2015","07","30","Tuesday"
"BCG","2015-07-22","9.03","9.03","9.03","9.03","1860","2015","07","30","Wednesday"
"BCG","2015-07-23","8.4","8.4","8.4","8.4","42950","2015","07","30","Thursday"
"BCG","2015-07-24","7.83","7.83","7.83","7.83","13570","2015","07","30","Friday"
"BCG","2015-07-27","7.31","8.35","7.31","8.35","2391150","2015","07","31","Monday"
"BCG","2015-07-28","8.4","8.92","8.35","8.92","1558070","2015","07","31","Tuesday"
"BCG","2015-07-29","8.92","9.34","8.66","9.29","1514120","2015","07","31","Wednesday"
"BCG","2015-07-30","9.29","9.29","8.66","8.66","408000","2015","07","31","Thursday"
"BCG","2015-07-31","8.09","8.56","8.09","8.24","1143300","2015","07","31","Friday"
"BCG","2015-08-03","8.24","8.24","8.04","8.14","533980","2015","08","32","Monday"
"BCG","2015-08-04","8.14","8.35","7.98","8.35","705690","2015","08","32","Tuesday"
"BCG","2015-08-05","8.35","8.56","8.24","8.35","586940","2015","08","32","Wednesday"
"BCG","2015-08-06","8.3","8.4","8.24","8.35","557250","2015","08","32","Thursday"
"BCG","2015-08-07","8.35","8.4","8.14","8.3","1098740","2015","08","32","Friday"
"BCG","2015-08-10","8.3","8.45","8.19","8.24","687310","2015","08","33","Monday"
"BCG","2015-08-11","8.24","8.51","8.14","8.35","912320","2015","08","33","Tuesday"
"BCG","2015-08-12","8.35","8.45","8.3","8.35","518400","2015","08","33","Wednesday"
"BCG","2015-08-13","8.3","8.4","8.19","8.35","568170","2015","08","33","Thursday"
"BCG","2015-08-14","8.35","8.45","8.24","8.3","461220","2015","08","33","Friday"
"BCG","2015-08-17","8.3","8.4","8.19","8.24","448820","2015","08","34","Monday"
"BCG","2015-08-18","8.24","8.35","8.19","8.3","506950","2015","08","34","Tuesday"
"BCG","2015-08-19","8.24","8.24","8.09","8.24","496190","2015","08","34","Wednesday"
"BCG","2015-08-20","8.24","8.3","8.14","8.24","444010","2015","08","34","Thursday"
"BCG","2015-08-21","8.24","8.24","7.98","8.14","667530","2015","08","34","Friday"
"BCG","2015-08-24","8.14","8.14","7.98","8.14","453690","2015","08","35","Monday"
"BCG","2015-08-25","8.14","8.3","8.04","8.19","478680","2015","08","35","Tuesday"
"BCG","2015-08-26","8.19","8.35","8.14","8.3","541340","2015","08","35","Wednesday"
"BCG","2015-08-27","8.3","8.35","8.24","8.3","470310","2015","08","35","Thursday"
"BCG","2015-08-28","8.24","8.4","8.24","8.3","458230","2015","08","35","Friday"
"BCG","2015-08-31","8.3","8.35","8.24","8.3","229710","2015","08","36","Monday"
"BCG","2015-09-01","8.3","8.35","8.24","8.3","189700","2015","09","36","Tuesday"
"BCG","2015-09-03","8.3","8.35","8.24","8.35","153400","2015","09","36","Thursday"
"BCG","2015-09-04","8.3","8.35","8.3","8.35","147730","2015","09","36","Friday"
"BCG","2015-09-07","8.3","8.92","8.3","8.92","1425810","2015","09","37","Monday"
"BCG","2015-09-08","9.34","9.5","9.13","9.5","1441980","2015","09","37","Tuesday"
"BCG","2015-09-09","9.65","10.12","9.5","10.12","2426490","2015","09","37","Wednesday"
"BCG","2015-09-10","10.12","10.44","9.76","10.38","1127060","2015","09","37","Thursday"
"BCG","2015-09-11","10.38","10.44","10.02","10.12","638860","2015","09","37","Friday"
"BCG","2015-09-14","10.12","10.18","9.91","10.02","529530","2015","09","38","Monday"
"BCG","2015-09-15","10.02","10.18","9.91","10.07","545260","2015","09","38","Tuesday"
"BCG","2015-09-16","10.07","10.12","9.97","10.12","620410","2015","09","38","Wednesday"
"BCG","2015-09-17","10.12","10.23","10.02","10.12","706660","2015","09","38","Thursday"
"BCG","2015-09-18","10.12","10.28","10.12","10.23","741730","2015","09","38","Friday"
"BCG","2015-09-21","10.23","10.86","10.18","10.8","1785330","2015","09","39","Monday"
"BCG","2015-09-22","10.75","10.75","10.18","10.23","715840","2015","09","39","Tuesday"
"BCG","2015-09-23","10.12","10.23","10.07","10.18","604100","2015","09","39","Wednesday"
"BCG","2015-09-24","10.12","10.23","9.97","10.18","616750","2015","09","39","Thursday"
"BCG","2015-09-25","10.18","10.28","10.07","10.12","647680","2015","09","39","Friday"
"BCG","2015-09-28","10.12","10.23","10.02","10.07","722460","2015","09","40","Monday"
"BCG","2015-09-29","10.07","10.18","9.91","10.12","665180","2015","09","40","Tuesday"
"BCG","2015-09-30","10.12","10.28","10.07","10.18","741650","2015","09","40","Wednesday"
"BCG","2015-10-01","10.18","10.28","10.12","10.23","729890","2015","10","40","Thursday"
"BCG","2015-10-02","10.23","10.91","10.12","10.91","2611240","2015","10","40","Friday"
"BCG","2015-10-05","11.01","11.64","10.75","11.64","2513710","2015","10","41","Monday"
"BCG","2015-10-06","11.64","12.42","10.86","12.32","3469410","2015","10","41","Tuesday"
"BCG","2015-10-07","11.48","12","11.48","11.48","2289730","2015","10","41","Wednesday"
"BCG","2015-10-08","10.7","11.32","10.7","11.22","3130190","2015","10","41","Thursday"
"BCG","2015-10-09","10.96","10.96","10.44","10.65","1021150","2015","10","41","Friday"
"BCG","2015-10-12","10.59","10.75","10.49","10.54","1643480","2015","10","42","Monday"
"BCG","2015-10-13","10.54","10.54","10.07","10.12","984930","2015","10","42","Tuesday"
"BCG","2015-10-14","10.12","10.23","10.02","10.07","876030","2015","10","42","Wednesday"
"BCG","2015-10-15","10.07","10.18","9.97","10.12","939320","2015","10","42","Thursday"
"BCG","2015-10-16","10.12","10.23","10.02","10.12","819850","2015","10","42","Friday"
"BCG","2015-10-19","10.12","10.12","9.91","10.02","800990","2015","10","43","Monday"
"BCG","2015-10-20","10.02","10.07","9.91","10.07","834450","2015","10","43","Tuesday"
"BCG","2015-10-21","10.07","10.12","9.97","10.07","815910","2015","10","43","Wednesday"
"BCG","2015-10-22","10.02","10.23","9.97","10.12","938120","2015","10","43","Thursday"
"BCG","2015-10-23","10.12","10.33","10.07","10.23","970720","2015","10","43","Friday"
"BCG","2015-10-26","10.23","10.38","10.12","10.12","944760","2015","10","44","Monday"
"BCG","2015-10-27","10.12","10.18","9.91","9.97","885070","2015","10","44","Tuesday"
"BCG","2015-10-28","9.97","10.07","9.91","9.97","822770","2015","10","44","Wednesday"
"BCG","2015-10-29","9.97","10.07","9.86","9.86","694850","2015","10","44","Thursday"
"BCG","2015-10-30","9.86","9.91","9.65","9.71","676050","2015","10","44","Friday"
"BCG","2015-11-02","9.71","9.76","9.45","9.76","1268400","2015","11","45","Monday"
"BCG","2015-11-03","9.76","9.81","9.71","9.81","719890","2015","11","45","Tuesday"
"BCG","2015-11-04","9.81","10.12","9.76","9.76","1039680","2015","11","45","Wednesday"
"BCG","2015-11-05","9.76","9.81","9.65","9.76","642420","2015","11","45","Thursday"
"BCG","2015-11-06","9.76","9.91","9.55","9.76","1179060","2015","11","45","Friday"
"BCG","2015-11-09","9.76","9.81","9.65","9.76","810880","2015","11","46","Monday"
"BCG","2015-11-10","9.76","9.76","9.65","9.65","688110","2015","11","46","Tuesday"
"BCG","2015-11-11","9.65","9.81","9.5","9.71","1032850","2015","11","46","Wednesday"
"BCG","2015-11-12","9.71","9.76","9.65","9.76","824530","2015","11","46","Thursday"
"BCG","2015-11-13","9.76","9.81","9.65","9.76","735410","2015","11","46","Friday"
"BCG","2015-11-16","9.71","9.86","9.65","9.76","773270","2015","11","47","Monday"
"BCG","2015-11-17","9.76","9.86","9.71","9.76","894500","2015","11","47","Tuesday"
"BCG","2015-11-18","9.76","9.81","9.65","9.71","837970","2015","11","47","Wednesday"
"BCG","2015-11-19","9.71","10.38","9.71","10.38","1744860","2015","11","47","Thursday"
"BCG","2015-11-20","10.33","10.7","10.23","10.38","1867310","2015","11","47","Friday"
"BCG","2015-11-23","10.38","10.59","10.18","10.28","1416010","2015","11","48","Monday"
"BCG","2015-11-24","10.23","10.28","9.91","9.91","1010090","2015","11","48","Tuesday"
"BCG","2015-11-25","9.91","10.02","9.81","9.91","1034160","2015","11","48","Wednesday"
"BCG","2015-11-26","9.91","9.97","9.81","9.97","976060","2015","11","48","Thursday"
"BCG","2015-11-27","9.97","10.02","9.86","9.86","782120","2015","11","48","Friday"
"BCG","2015-11-30","9.86","9.97","9.81","9.86","540920","2015","11","49","Monday"
