symbol,date,open,high,low,close,volume
"BEL","2016-07-12","3.9","3.9","3.9","3.9","360500"
"BEL","2016-07-27","4.44","4.44","4.44","4.44","500"
"BEL","2016-08-01","4.59","4.59","4.59","4.59","1000"
"BEL","2016-08-02","4.59","4.59","4.59","4.59","2000"
"BEL","2016-08-04","4.59","4.59","4.59","4.59","1500"
"BEL","2016-08-29","4.59","4.59","4.59","4.59","28000"
"BEL","2016-09-09","4.59","4.59","4.59","4.59","15000"
"BEL","2016-09-15","4.21","4.59","3.9","3.98","3500"
"BEL","2016-09-16","4.59","4.59","4.59","4.59","13400"
"BEL","2016-09-20","4.59","4.59","4.59","4.59","1000"
"BEL","2016-09-21","3.9","4.67","3.9","4.67","1100"
"BEL","2016-09-22","3.98","3.98","3.98","3.98","100"
"BEL","2016-09-23","4.51","4.51","3.67","4.51","1600"
"BEL","2016-09-27","4.59","4.59","4.59","4.59","1000"
"BEL","2016-09-28","4.67","4.67","4.67","4.67","500"
"BEL","2016-10-06","4.13","4.59","4.13","4.67","2200"
"BEL","2016-10-18","4.21","4.21","4.21","4.21","100"
"BEL","2016-10-21","4.82","4.82","4.82","4.82","1000"
"BEL","2016-11-07","4.59","4.59","4.59","4.59","100"
"BEL","2017-02-08","6.35","6.35","6.35","6.35","100"
"BEL","2017-03-02","5.43","5.43","5.43","5.43","3300"
"BEL","2017-03-03","5.43","5.43","5.43","5.43","5000"
"BEL","2017-03-06","5.43","5.43","5.43","5.43","8000"
"BEL","2017-03-07","5.43","5.43","5.43","5.43","2700"
"BEL","2017-03-13","5.43","5.43","5.43","5.43","8500"
"BEL","2017-03-22","5.43","5.43","5.43","5.43","100"
"BEL","2017-03-28","5.43","5.43","5.43","5.43","100"
"BEL","2017-03-29","5.43","5.43","5.43","5.43","300"
"BEL","2018-06-04","5.35","5.35","5.35","5.35","100"
"BEL","2018-10-25","6.88","6.96","6.88","6.96","1100"
"BEL","2018-10-30","7.88","7.88","7.88","7.88","1000"
"BEL","2018-11-01","9.02","9.02","8.95","8.95","300"
"BEL","2018-12-19","12.46","12.46","5.43","11.47","400"
"BEL","2018-12-20","12.01","12.01","12.01","12.01","100"
"BEL","2019-04-22","7.26","7.26","7.26","7.26","500"
"BEL","2019-04-24","6.19","6.19","6.19","6.19","500"
"BEL","2019-05-02","5.28","5.28","5.28","5.28","200"
"BEL","2019-05-10","4.51","4.51","4.51","4.51","100"
"BEL","2019-05-16","3.9","3.9","3.9","3.9","700"
"BEL","2019-05-17","3.37","3.37","3.37","3.37","100"
"BEL","2019-05-20","2.98","2.98","2.98","2.98","300"
"BEL","2019-05-28","2.6","2.6","2.6","2.6","2000"
"BEL","2019-05-29","2.22","2.98","2.22","2.98","3700"
"BEL","2019-05-31","2.22","2.22","2.22","2.22","100"
"BEL","2019-06-04","2.52","2.52","2.52","2.52","900"
"BEL","2019-06-05","2.52","2.52","2.52","2.52","100"
"BEL","2019-06-11","2.52","2.52","2.52","2.52","100"
"BEL","2019-06-12","2.52","2.52","2.52","2.52","200"
"BEL","2019-06-17","2.83","2.83","2.83","2.83","2300"
"BEL","2019-06-18","3.06","3.21","3.06","3.21","1000"
"BEL","2019-06-19","3.59","3.59","3.59","3.59","700"
"BEL","2019-06-20","4.13","4.13","4.13","4.13","200"
"BEL","2019-06-21","4.74","4.74","4.74","4.74","600"
"BEL","2019-06-24","5.43","5.43","5.43","5.43","6100"
"BEL","2019-06-26","5.43","5.43","5.43","5.43","100"
"BEL","2019-06-28","5.43","5.43","5.43","5.43","1200"
"BEL","2019-07-01","5.43","6.19","5.43","5.81","5418"
"BEL","2019-07-02","6.12","6.58","6.12","6.58","25300"
"BEL","2019-07-03","7.5","7.5","7.5","7.5","44100"
"BEL","2019-07-04","8.56","8.56","7.5","7.5","40400"
"BEL","2019-07-05","9.79","9.79","9.79","9.79","84600"
"BEL","2019-07-08","11.24","11.24","10.1","10.1","39000"
"BEL","2019-07-09","10.1","10.63","9.25","9.25","49400"
"BEL","2019-07-10","9.41","10.32","9.41","9.56","17000"
"BEL","2019-07-11","9.33","9.79","9.25","9.25","9700"
"BEL","2019-07-12","9.25","9.25","7.88","7.88","18800"
"BEL","2019-07-15","7.88","9.41","6.96","8.41","26100"
"BEL","2019-07-16","9.56","10.02","8.72","10.02","66500"
"BEL","2019-07-17","10.32","10.71","10.32","10.55","56300"
"BEL","2019-07-18","10.63","11.39","10.55","10.63","17800"
"BEL","2019-07-19","9.48","10.78","9.48","10.78","12100"
"BEL","2019-07-22","9.18","10.48","9.18","9.33","32800"
"BEL","2019-07-23","9.33","9.71","9.18","9.18","10600"
"BEL","2019-07-24","10.17","10.17","9.94","10.02","2500"
"BEL","2019-07-26","9.41","9.41","9.41","9.41","600"
"BEL","2019-07-29","8.26","8.26","8.26","8.26","400"
