symbol,date,open,high,low,close,volume
"BHA","2017-08-07","10.51","10.51","10.51","10.51","6000"
"BHA","2017-08-08","10.51","10.51","10.51","10.51","5000"
"BHA","2017-08-11","10.51","10.51","10.51","10.51","10000"
"BHA","2017-08-16","10.51","10.51","10.51","10.51","5000"
"BHA","2017-09-08","12.03","12.03","11.46","11.46","11000"
"BHA","2017-09-18","12.03","12.03","12.03","12.03","5000"
"BHA","2017-09-19","12.03","12.03","12.03","12.03","4000"
"BHA","2017-09-27","12.99","12.99","12.99","12.99","100"
"BHA","2017-09-29","12.42","12.42","12.42","12.42","100"
"BHA","2017-10-02","12.42","12.42","12.42","12.42","3800"
"BHA","2017-10-03","12.42","12.42","12.42","12.42","4000"
"BHA","2017-10-04","12.51","12.61","12.51","12.61","7000"
"BHA","2017-10-13","14.42","14.42","14.42","14.42","3000"
"BHA","2017-10-16","16.52","16.52","16.52","16.52","100"
"BHA","2017-10-19","14.33","14.33","14.33","14.33","500"
"BHA","2017-10-20","15.47","15.47","15.47","15.47","100"
"BHA","2017-10-23","15.47","15.47","15.47","15.47","100"
"BHA","2017-11-01","13.18","13.18","13.18","13.18","100"
"BHA","2017-11-03","14.99","14.99","14.99","14.99","100"
"BHA","2017-11-07","12.89","12.89","12.89","12.89","1100"
"BHA","2017-11-08","12.89","14.8","12.42","14.8","3200"
"BHA","2017-11-09","14.52","14.52","14.52","14.52","100"
"BHA","2017-11-10","16.14","16.14","16.14","16.14","100"
"BHA","2017-11-13","13.75","13.75","13.75","13.75","5000"
"BHA","2017-11-14","15.76","15.76","15.76","15.76","100"
"BHA","2017-11-15","13.47","13.47","13.47","13.47","200"
"BHA","2017-11-16","15.19","15.19","15.19","15.19","100"
"BHA","2017-11-20","16.24","16.24","16.24","16.24","100"
"BHA","2017-12-05","16.62","16.62","16.62","16.62","100"
"BHA","2017-12-08","16.71","16.71","16.71","16.71","100"
"BHA","2017-12-20","14.33","14.33","14.23","14.23","400"
"BHA","2017-12-21","16.14","16.14","12.42","12.51","5500"
"BHA","2017-12-22","14.33","14.33","14.33","14.33","100"
"BHA","2017-12-25","16.14","16.14","16.14","16.14","100"
"BHA","2017-12-26","13.85","13.85","13.75","13.75","1300"
"BHA","2017-12-27","15.76","15.76","15.76","15.76","100"
"BHA","2018-01-02","13.85","13.85","13.85","13.85","300"
"BHA","2018-01-03","15.28","15.28","12.42","12.42","11500"
"BHA","2018-01-04","13.37","14.33","13.37","14.33","13800"
"BHA","2018-01-08","13.37","13.85","13.37","13.85","800"
"BHA","2018-01-09","13.75","13.75","13.75","13.75","5000"
"BHA","2018-01-10","14.33","14.33","14.33","14.33","11000"
"BHA","2018-01-15","14.33","14.33","14.33","14.33","5000"
"BHA","2018-01-16","14.33","14.33","14.33","14.33","3000"
"BHA","2018-01-19","14.8","15.28","14.33","15.28","2900"
"BHA","2018-01-24","14.8","14.8","14.8","14.8","900"
"BHA","2018-02-01","14.8","14.8","14.33","14.33","6000"
"BHA","2018-02-02","12.89","14.42","12.32","14.42","7400"
"BHA","2018-02-09","14.33","14.33","14.33","14.33","1100"
"BHA","2018-02-22","12.89","12.99","12.89","12.89","10000"
"BHA","2018-03-07","13.37","13.37","13.37","13.37","1100"
"BHA","2018-03-09","11.46","11.46","11.37","11.37","10000"
"BHA","2018-03-23","12.42","12.42","12.42","12.42","1000"
"BHA","2018-03-27","12.42","12.42","12.42","12.42","3000"
"BHA","2018-03-30","14.23","14.23","14.23","14.23","500"
"BHA","2018-04-02","15.76","16.24","15.76","16.24","27800"
"BHA","2018-04-03","17.67","17.67","17.48","17.67","3500"
"BHA","2018-04-04","16.24","16.24","16.24","16.24","500"
"BHA","2018-04-05","18.15","18.15","17.19","17.19","3000"
"BHA","2018-04-06","18.15","18.15","18.15","18.15","1000"
"BHA","2018-04-09","16.24","16.24","16.24","16.24","6000"
"BHA","2018-04-11","14.33","14.33","14.33","14.33","100"
"BHA","2018-04-12","12.42","12.42","12.42","12.42","100"
"BHA","2018-04-13","14.23","14.23","14.23","14.23","1600"
"BHA","2018-04-16","15.28","15.28","15.28","15.28","3000"
"BHA","2018-04-17","15.28","15.28","15.28","15.28","12500"
"BHA","2018-04-18","15.28","15.28","15.28","15.28","5000"
"BHA","2018-04-20","16.24","17.57","16.24","17.57","93800"
"BHA","2018-04-23","19.87","19.87","19.1","19.58","93000"
"BHA","2018-05-02","16.43","16.43","16.43","16.43","500"
"BHA","2018-05-03","15.28","18.15","14.8","14.8","7100"
"BHA","2018-05-07","17.29","17.29","17.29","17.29","900"
"BHA","2018-05-08","19.1","19.1","19.1","19.1","5200"
"BHA","2018-05-21","16.43","19.1","16.33","19.1","7300"
"BHA","2018-05-22","15.28","15.28","15.28","15.28","5000"
"BHA","2018-05-23","17.57","17.57","17.57","17.57","100"
"BHA","2018-06-12","16.71","16.71","16.71","16.71","300"
"BHA","2018-06-13","14.33","14.33","14.33","14.33","1300"
"BHA","2018-06-18","12.61","16.43","12.42","16.43","5800"
