symbol,date,open,high,low,close,volume,year,month,week,weekday
"BIC","2011-09-06","4.92","4.92","4.92","4.92","80800","2011","09","36","Tuesday"
"BIC","2011-09-07","4.71","4.71","4.71","4.71","47270","2011","09","36","Wednesday"
"BIC","2011-09-08","4.81","4.92","4.71","4.92","413500","2011","09","36","Thursday"
"BIC","2011-09-09","4.92","4.92","4.76","4.81","62590","2011","09","36","Friday"
"BIC","2011-09-12","4.87","4.87","4.6","4.6","89140","2011","09","37","Monday"
"BIC","2011-09-13","4.65","4.71","4.49","4.65","109590","2011","09","37","Tuesday"
"BIC","2011-09-14","4.6","4.6","4.44","4.44","140150","2011","09","37","Wednesday"
"BIC","2011-09-15","4.55","4.55","4.22","4.38","57160","2011","09","37","Thursday"
"BIC","2011-09-16","4.38","4.38","4.22","4.22","74480","2011","09","37","Friday"
"BIC","2011-09-19","4.17","4.33","4.17","4.28","21550","2011","09","38","Monday"
"BIC","2011-09-20","4.17","4.28","4.17","4.17","26460","2011","09","38","Tuesday"
"BIC","2011-09-21","4.17","4.17","4.01","4.01","51050","2011","09","38","Wednesday"
"BIC","2011-09-22","4.06","4.17","4.01","4.17","26700","2011","09","38","Thursday"
"BIC","2011-09-23","4.12","4.17","4.12","4.17","8100","2011","09","38","Friday"
"BIC","2011-09-26","4.22","4.22","4.01","4.01","21060","2011","09","39","Monday"
"BIC","2011-09-27","4.01","4.06","4.01","4.06","46590","2011","09","39","Tuesday"
"BIC","2011-09-28","4.12","4.22","4.06","4.06","21670","2011","09","39","Wednesday"
"BIC","2011-09-29","4.06","4.06","3.9","3.96","39000","2011","09","39","Thursday"
"BIC","2011-09-30","4.12","4.12","3.9","4.06","5540","2011","09","39","Friday"
"BIC","2011-10-03","3.9","3.96","3.9","3.96","15850","2011","10","40","Monday"
"BIC","2011-10-04","3.96","3.96","3.8","3.8","7510","2011","10","40","Tuesday"
"BIC","2011-10-05","3.74","3.9","3.74","3.9","12650","2011","10","40","Wednesday"
"BIC","2011-10-06","3.96","3.96","3.9","3.96","7550","2011","10","40","Thursday"
"BIC","2011-10-07","4.01","4.01","3.85","3.9","43730","2011","10","40","Friday"
"BIC","2011-10-10","3.8","3.85","3.8","3.85","28560","2011","10","41","Monday"
"BIC","2011-10-11","3.85","3.85","3.8","3.85","10000","2011","10","41","Tuesday"
"BIC","2011-10-12","3.8","3.8","3.69","3.69","30620","2011","10","41","Wednesday"
"BIC","2011-10-13","3.58","3.74","3.58","3.74","5230","2011","10","41","Thursday"
"BIC","2011-10-14","3.74","3.85","3.74","3.74","14180","2011","10","41","Friday"
"BIC","2011-10-17","3.8","3.85","3.8","3.8","24100","2011","10","42","Monday"
"BIC","2011-10-18","3.8","3.8","3.69","3.69","9620","2011","10","42","Tuesday"
"BIC","2011-10-19","3.64","3.69","3.64","3.64","6440","2011","10","42","Wednesday"
"BIC","2011-10-20","3.69","3.74","3.58","3.58","13980","2011","10","42","Thursday"
"BIC","2011-10-21","3.58","3.74","3.58","3.74","15910","2011","10","42","Friday"
"BIC","2011-10-24","3.69","3.8","3.64","3.64","15760","2011","10","43","Monday"
"BIC","2011-10-25","3.53","3.64","3.53","3.53","25240","2011","10","43","Tuesday"
"BIC","2011-10-26","3.48","3.48","3.37","3.37","100650","2011","10","43","Wednesday"
"BIC","2011-10-27","3.37","3.48","3.37","3.37","2300","2011","10","43","Thursday"
"BIC","2011-10-28","3.42","3.48","3.26","3.42","21500","2011","10","43","Friday"
"BIC","2011-10-31","3.48","3.48","3.32","3.32","16180","2011","10","44","Monday"
"BIC","2011-11-01","3.42","3.42","3.15","3.15","99100","2011","11","44","Tuesday"
"BIC","2011-11-02","3.21","3.21","3.15","3.21","11880","2011","11","44","Wednesday"
