symbol,date,open,high,low,close,volume
"BII","2014-09-22","14.18","14.18","11","12.55","722400"
"BII","2014-09-23","12.73","12.73","12.27","12.27","116900"
"BII","2014-09-24","12.36","13.46","12.18","13.46","473300"
"BII","2014-09-25","13.64","13.64","12.18","12.27","371600"
"BII","2014-09-26","12.27","12.91","12.27","12.55","260300"
"BII","2014-09-29","12.73","12.73","11.82","12.64","350700"
"BII","2014-09-30","12.73","12.73","12.09","12.27","271500"
"BII","2014-10-01","12.27","12.64","12.27","12.55","486300"
"BII","2014-10-02","12.55","12.73","12.46","12.46","399600"
"BII","2014-10-03","12.46","13.64","12.27","13.64","912600"
"BII","2014-10-06","13.91","15","13.73","14.91","860100"
"BII","2014-10-07","15.46","16.27","14.91","16.18","565800"
"BII","2014-10-08","16.09","16.18","14.64","14.64","473200"
"BII","2014-10-09","14.55","14.55","13.18","13.46","710100"
"BII","2014-10-10","13.27","13.27","12.46","12.55","188100"
"BII","2014-10-13","12.73","12.73","12.27","12.27","212900"
"BII","2014-10-14","12.27","12.73","12","12.27","495800"
"BII","2014-10-15","12.46","12.46","11.82","12.27","305200"
"BII","2014-10-16","12.27","12.27","11.36","11.73","274700"
"BII","2014-10-17","11.82","11.91","11.09","11.55","236700"
"BII","2014-10-20","11.55","11.55","11.18","11.18","181800"
"BII","2014-10-21","11.36","11.36","10.46","10.46","169700"
"BII","2014-10-22","10.55","11.36","10.46","10.82","413300"
"BII","2014-10-23","10.82","10.82","10.27","10.27","222400"
"BII","2014-10-24","10.36","10.73","10.27","10.27","305200"
"BII","2014-10-27","10.27","10.36","10","10.27","240700"
"BII","2014-10-28","10.18","10.64","10.18","10.55","341300"
"BII","2014-10-29","10.46","10.82","10.46","10.73","121600"
"BII","2014-10-30","10.64","10.73","9.82","10.46","197200"
"BII","2014-10-31","10.36","10.82","10.36","10.64","164300"
"BII","2014-11-03","10.46","10.82","10.46","10.73","134600"
"BII","2014-11-04","10.73","10.73","10.18","10.36","214400"
"BII","2014-11-05","10.36","10.82","9.91","10.73","437800"
"BII","2014-11-06","10.82","11.64","10.73","11","629000"
"BII","2014-11-07","11","11.27","11","11.09","318300"
"BII","2014-11-10","11.09","11.18","11","11.09","313900"
"BII","2014-11-11","11.09","11.09","10.73","10.73","473700"
"BII","2014-11-12","10.91","10.91","10.64","10.82","123300"
"BII","2014-11-13","10.73","10.91","10.64","10.82","125800"
"BII","2014-11-14","10.82","10.82","10.55","10.73","158000"
"BII","2014-11-17","10.73","10.82","10.64","10.73","100700"
"BII","2014-11-18","10.73","10.73","10.55","10.64","332800"
"BII","2014-11-19","10.64","10.82","10.46","10.64","103800"
"BII","2014-11-20","10.82","10.82","10.36","10.82","439600"
"BII","2014-11-21","10.82","10.82","10.46","10.55","162400"
"BII","2014-11-24","10.46","10.64","10.27","10.46","83300"
"BII","2014-11-25","10.46","10.64","10.09","10.64","360500"
"BII","2014-11-26","10.73","10.91","10.46","10.64","238500"
"BII","2014-11-27","10.64","11","10.46","10.82","189000"
"BII","2014-11-28","10.82","11.18","10.64","10.91","169900"
"BII","2014-12-01","10.91","11.55","10.64","11.46","694800"
"BII","2014-12-02","11.64","11.64","11.36","11.64","443600"
"BII","2014-12-03","11.64","12.73","11.64","12.73","1760600"
"BII","2014-12-04","13.18","13.18","12.55","12.55","625400"
"BII","2014-12-05","12.55","12.73","12.09","12.64","538800"
"BII","2014-12-08","12.64","12.64","12.18","12.36","340200"
"BII","2014-12-09","12.36","12.36","11.55","11.73","359300"
