symbol,date,open,high,low,close,volume
"BKH","2019-07-19","35.81","35.81","35.81","35.81","4800"
"BKH","2019-07-24","35.9","35.9","35.9","35.9","1000"
"BKH","2019-07-25","41.27","41.27","41.27","41.27","100"
"BKH","2019-07-26","47.34","47.34","47.34","47.34","100"
"BKH","2019-07-29","54.38","54.38","40.38","40.38","300"
"BKH","2019-07-31","50.85","50.85","50.85","50.85","200"
"BKH","2019-08-08","43.29","43.29","43.29","43.29","100"
"BKH","2019-08-09","36.87","36.95","36.87","36.95","300"
"BKH","2019-08-12","34.75","34.75","34.75","34.75","200"
"BKH","2019-08-16","30.36","30.36","30.36","30.36","200"
"BKH","2019-08-19","29.91","29.91","29.91","29.91","200"
"BKH","2019-09-11","34.4","34.4","34.4","34.4","200"
"BKH","2019-09-13","39.51","39.51","39.51","39.51","200"
"BKH","2019-09-16","42.06","42.06","42.06","42.06","300"
"BKH","2019-09-17","44.7","44.7","35.9","44.34","500"
"BKH","2019-09-25","43.99","43.99","43.99","43.99","200"
"BKH","2019-09-26","47.34","47.34","47.34","47.34","100"
"BKH","2019-10-01","51.73","51.73","51.73","51.73","200"
"BKH","2019-10-08","43.99","43.99","43.99","43.99","100"
"BKH","2019-10-09","37.39","37.39","37.39","37.39","600"
"BKH","2019-10-10","42.76","42.76","42.76","42.76","200"
"BKH","2019-10-15","47.07","47.07","47.07","47.07","100"
"BKH","2019-10-28","54.02","54.02","54.02","54.02","100"
"BKH","2019-11-11","45.93","45.93","45.93","45.93","100"
"BKH","2019-11-12","50.85","50.85","50.85","50.85","100"
"BKH","2019-11-19","43.29","43.29","43.29","43.29","100"
"BKH","2019-11-21","48.92","48.92","48.92","48.92","200"
"BKH","2019-11-25","41.62","41.62","41.62","41.62","100"
"BKH","2019-11-27","47.69","47.69","47.69","47.69","100"
"BKH","2019-11-28","40.91","40.91","40.91","40.91","500"
"BKH","2019-12-02","46.37","46.37","46.37","46.37","100"
"BKH","2019-12-11","53.14","53.14","53.14","53.14","100"
"BKH","2020-02-10","31.94","31.94","31.94","31.94","100"
"BKH","2020-02-11","36.66","36.66","36.66","36.66","200"
"BKH","2020-02-14","42.13","42.13","42.13","42.13","100"
"BKH","2020-02-17","47.96","47.96","47.96","47.96","100"
"BKH","2020-02-19","54.63","54.63","54.63","54.63","100"
"BKH","2020-02-20","46.48","46.48","46.48","46.48","1100"
"BKH","2020-02-24","39.81","39.81","39.81","39.81","100"
"BKH","2020-03-27","33.89","33.89","33.89","33.89","100"
"BKH","2020-03-31","28.98","28.98","28.98","28.98","100"
"BKH","2020-04-03","28.98","28.98","28.98","28.98","100"
"BKH","2020-04-07","32.41","33.24","32.41","33.24","900"
"BKH","2020-04-08","28.24","28.24","28.24","28.24","100"
"BKH","2020-04-23","32.41","32.41","32.41","32.41","100"
"BKH","2020-04-24","37.22","37.22","37.22","37.22","100"
"BKH","2020-04-28","42.77","42.77","42.77","42.77","100"
"BKH","2020-04-29","49.16","49.16","49.16","49.16","500"
"BKH","2020-05-11","41.85","41.85","41.85","41.85","200"
"BKH","2020-05-13","35.65","35.65","35.65","35.65","1000"
"BKH","2020-05-14","30.55","30.55","30.55","30.55","100"
"BKH","2020-05-15","35.09","35.09","35.09","35.09","4100"
"BKH","2020-05-18","40.09","40.09","40.09","40.09","100"
"BKH","2020-05-19","34.16","34.16","34.16","34.16","100"
"BKH","2020-05-20","34.16","38.89","34.16","38.89","500"
"BKH","2020-05-21","36.02","36.02","36.02","36.02","2000"
"BKH","2020-05-22","30.92","30.92","30.92","30.92","100"
"BKH","2020-05-25","26.94","26.94","26.94","26.94","200"
"BKH","2020-05-26","26.94","26.94","26.94","26.94","200"
"BKH","2020-05-29","30.92","30.92","30.92","30.92","600"
"BKH","2020-06-04","30.55","30.92","30.55","30.92","900"
"BKH","2020-06-08","35.46","35.46","35.46","35.46","200"
"BKH","2020-06-10","35.92","35.92","35.92","35.92","400"
"BKH","2020-06-15","35.65","35.65","35.65","35.65","200"
"BKH","2020-06-17","30.37","30.37","30.37","30.37","100"
"BKH","2020-06-22","26.11","26.11","26.11","26.11","100"
"BKH","2020-06-26","30","30","30","30","100"
"BKH","2020-06-29","30","30","30","30","200"
"BKH","2020-06-30","34.44","34.44","34.44","34.44","100"
"BKH","2020-07-01","39.44","39.44","39.44","39.44","100"
"BKH","2020-07-27","41.57","41.57","38.42","38.42","800"
"BKH","2020-07-28","33.79","33.79","33.33","33.33","900"
"BKH","2020-07-29","36.48","36.48","36.48","36.48","100"
"BKH","2020-07-31","41.94","41.94","41.94","41.94","100"
"BKH","2020-08-05","35.74","35.74","35.74","35.74","100"
