symbol,date,open,high,low,close,volume
"BSI","2011-07-19","6.51","7.77","6.51","6.88","22240"
"BSI","2011-07-20","6.57","6.57","6.57","6.57","4510"
"BSI","2011-07-21","6.25","6.25","6.25","6.25","350"
"BSI","2011-07-22","6","6","6","6","2330"
"BSI","2011-07-25","5.75","5.75","5.75","5.75","12130"
"BSI","2011-07-26","5.5","5.56","5.5","5.56","65950"
"BSI","2011-07-27","5.81","5.81","5.31","5.37","51700"
"BSI","2011-07-28","5.56","5.56","5.12","5.18","4920"
"BSI","2011-07-29","5.43","5.43","5.37","5.43","9940"
"BSI","2011-08-01","5.18","5.43","5.18","5.18","5110"
"BSI","2011-08-02","5.05","5.18","4.99","5.18","2740"
"BSI","2011-08-03","5.31","5.31","5.18","5.18","5500"
"BSI","2011-08-04","5.18","5.31","4.93","4.93","16800"
"BSI","2011-08-05","4.93","5.12","4.93","5.12","19560"
"BSI","2011-08-08","5.31","5.31","5.12","5.18","25550"
"BSI","2011-08-09","5.05","5.05","4.93","4.93","20670"
"BSI","2011-08-10","5.05","5.05","4.74","4.8","25100"
"BSI","2011-08-11","4.67","4.86","4.61","4.86","39380"
"BSI","2011-08-12","4.8","5.05","4.74","5.05","68050"
"BSI","2011-08-15","5.18","5.24","5.18","5.24","28650"
"BSI","2011-08-16","5.24","5.43","5.24","5.43","16160"
"BSI","2011-08-17","5.37","5.5","5.37","5.5","44570"
"BSI","2011-08-18","5.43","5.56","5.43","5.56","61130"
"BSI","2011-08-19","5.56","5.56","5.31","5.37","59790"
"BSI","2011-08-22","5.37","5.62","5.37","5.62","38830"
"BSI","2011-08-23","5.68","5.68","5.56","5.62","35020"
"BSI","2011-08-24","5.81","5.81","5.37","5.37","41120"
"BSI","2011-08-25","5.18","5.37","5.18","5.37","36280"
"BSI","2011-08-26","5.5","5.56","5.43","5.43","55100"
"BSI","2011-08-29","5.56","5.68","5.24","5.68","53310"
"BSI","2011-08-30","5.87","5.87","5.68","5.75","129630"
"BSI","2011-08-31","5.68","5.68","5.5","5.68","41410"
"BSI","2011-09-01","5.43","5.87","5.43","5.68","62070"
"BSI","2011-09-05","5.68","5.68","5.43","5.5","48960"
"BSI","2011-09-06","5.43","5.43","5.24","5.24","59180"
"BSI","2011-09-07","5.05","5.18","5.05","5.12","86390"
"BSI","2011-09-08","5.18","5.37","5.12","5.37","117260"
"BSI","2011-09-09","5.37","5.37","5.37","5.37","99710"
"BSI","2011-09-12","5.31","5.56","5.31","5.56","19520"
"BSI","2011-09-13","5.62","5.62","5.31","5.37","140280"
"BSI","2011-09-14","5.43","5.43","5.12","5.12","21300"
"BSI","2011-09-15","5.12","5.18","4.99","5.05","101580"
"BSI","2011-09-16","4.99","5.24","4.8","5.24","46310"
"BSI","2011-09-19","5.24","5.24","5.05","5.05","114610"
"BSI","2011-09-20","4.93","5.24","4.86","4.93","95800"
"BSI","2011-09-21","5.05","5.05","4.86","4.93","100750"
"BSI","2011-09-22","4.93","4.99","4.86","4.99","99390"
"BSI","2011-09-23","5.05","5.05","4.8","4.8","93810"
"BSI","2011-09-26","4.8","4.99","4.8","4.99","134470"
"BSI","2011-09-27","5.05","5.05","4.93","5.05","90200"
"BSI","2011-09-28","5.18","5.31","4.99","5.24","95270"
"BSI","2011-09-29","5.24","5.37","4.99","5.12","122540"
"BSI","2011-09-30","5.18","5.24","5.12","5.18","111890"
"BSI","2011-10-03","5.24","5.24","5.18","5.18","76020"
"BSI","2011-10-04","5.12","5.12","4.93","4.99","91220"
"BSI","2011-10-05","5.05","5.12","4.99","5.12","85500"
"BSI","2011-10-06","5.18","5.18","4.93","5.12","76750"
"BSI","2011-10-07","5.05","5.12","4.93","5.12","80320"
"BSI","2011-10-10","4.99","5.05","4.86","4.86","72110"
"BSI","2011-10-11","4.86","4.93","4.8","4.93","86980"
"BSI","2011-10-12","4.86","4.86","4.74","4.74","72920"
"BSI","2011-10-13","4.74","4.86","4.55","4.86","113070"
"BSI","2011-10-14","4.86","4.93","4.86","4.93","78250"
"BSI","2011-10-17","4.86","5.05","4.86","5.05","64110"
"BSI","2011-10-18","5.05","5.05","4.99","4.99","62380"
"BSI","2011-10-19","4.8","4.99","4.8","4.93","68670"
"BSI","2011-10-20","4.93","4.93","4.8","4.8","38230"
"BSI","2011-10-21","4.74","4.74","4.61","4.61","83200"
"BSI","2011-10-24","4.61","4.74","4.61","4.74","57260"
"BSI","2011-10-25","4.74","4.74","4.61","4.74","64000"
"BSI","2011-10-26","4.8","4.8","4.67","4.74","56900"
"BSI","2011-10-27","4.74","4.8","4.67","4.74","49860"
"BSI","2011-10-28","4.74","4.74","4.61","4.74","59930"
"BSI","2011-10-31","4.86","4.86","4.61","4.61","72120"
"BSI","2011-11-01","4.67","4.74","4.49","4.74","64350"
"BSI","2011-11-02","4.74","4.74","4.61","4.74","68210"
"BSI","2011-11-03","4.74","4.74","4.67","4.67","68690"
"BSI","2011-11-04","4.61","4.67","4.61","4.67","77570"
"BSI","2011-11-07","4.61","4.67","4.61","4.67","73060"
"BSI","2011-11-08","4.61","4.67","4.61","4.67","77670"
"BSI","2011-11-09","4.61","4.61","4.55","4.55","80440"
"BSI","2011-11-10","4.55","4.55","4.42","4.55","115210"
"BSI","2011-11-11","4.67","4.67","4.55","4.55","52900"
"BSI","2011-11-14","4.55","4.55","4.42","4.55","117830"
"BSI","2011-11-15","4.49","4.55","4.42","4.55","51390"
"BSI","2011-11-16","4.55","4.61","4.55","4.55","108110"
"BSI","2011-11-17","4.55","4.55","4.49","4.49","48780"
"BSI","2011-11-18","4.49","4.49","4.49","4.49","119340"
"BSI","2011-11-21","4.42","4.49","4.36","4.49","63650"
"BSI","2011-11-22","4.42","4.49","4.42","4.49","89300"
"BSI","2011-11-23","4.42","4.49","4.42","4.49","72880"
"BSI","2011-11-24","4.49","4.55","4.49","4.55","83380"
"BSI","2011-11-28","4.49","4.49","4.49","4.49","86200"
"BSI","2011-11-29","4.42","4.42","4.42","4.42","54120"
"BSI","2011-11-30","4.42","4.42","4.36","4.42","72280"
"BSI","2011-12-01","4.29","4.29","4.23","4.23","44620"
"BSI","2011-12-02","4.29","4.29","4.11","4.11","81800"
"BSI","2011-12-05","4.17","4.29","4.11","4.29","60760"
"BSI","2011-12-06","4.36","4.42","4.36","4.42","66830"
"BSI","2011-12-07","4.36","4.36","4.29","4.36","69200"
"BSI","2011-12-08","4.29","4.29","4.23","4.29","62250"
"BSI","2011-12-09","4.29","4.29","4.23","4.23","69930"
"BSI","2011-12-12","4.23","4.29","4.23","4.29","60130"
"BSI","2011-12-13","4.23","4.29","4.23","4.29","89890"
"BSI","2011-12-14","4.17","4.23","4.11","4.11","61110"
"BSI","2011-12-15","4.11","4.17","3.98","4.11","73390"
"BSI","2011-12-16","4.11","4.17","4.11","4.17","49090"
"BSI","2011-12-19","4.11","4.17","4.11","4.17","71200"
"BSI","2011-12-20","4.11","4.11","3.98","3.98","56800"
"BSI","2011-12-21","3.98","4.11","3.98","4.04","78910"
"BSI","2011-12-22","4.04","4.04","3.98","3.98","77940"
"BSI","2011-12-23","3.92","3.98","3.79","3.98","83420"
