symbol,date,open,high,low,close,volume
"BSR","2018-03-01","30.91","30.91","28.84","30.91","14162900"
"BSR","2018-03-02","32.69","33.38","30.62","30.91","7695417"
"BSR","2018-03-05","32.59","32.59","30.52","30.62","4083263"
"BSR","2018-03-06","30.62","31.11","29.63","30.52","3132026"
"BSR","2018-03-07","30.32","31.11","29.23","29.53","2770016"
"BSR","2018-03-08","29.92","29.92","27.65","28.15","2383360"
"BSR","2018-03-09","28.05","29.83","28.05","28.64","3008463"
"BSR","2018-03-12","29.13","29.33","27.65","28.25","1896730"
"BSR","2018-03-13","28.54","28.54","27.45","27.65","1469970"
"BSR","2018-03-14","27.65","27.65","25.48","26.17","5329546"
"BSR","2018-03-15","26.37","27.55","25.58","26.66","2586788"
"BSR","2018-03-16","26.76","27.16","26.47","26.66","1213193"
"BSR","2018-03-19","26.76","26.86","25.58","25.68","2111480"
"BSR","2018-03-20","25.68","27.36","25.18","26.96","3150487"
"BSR","2018-03-21","27.16","27.36","26.86","27.06","1270380"
"BSR","2018-03-22","27.16","27.26","26.37","26.57","1199547"
"BSR","2018-03-23","26.27","26.27","25.28","25.97","1506200"
"BSR","2018-03-26","25.88","26.57","25.58","25.68","916293"
"BSR","2018-03-27","25.68","26.37","25.68","25.78","1025820"
"BSR","2018-03-28","25.68","25.78","25.18","25.38","1111610"
"BSR","2018-03-29","25.48","25.78","25.18","25.38","729200"
"BSR","2018-03-30","25.38","26.27","25.28","26.27","1105930"
"BSR","2018-04-02","26.27","26.86","25.58","25.97","1817678"
"BSR","2018-04-03","25.68","26.17","24.89","25.09","2182202"
"BSR","2018-04-04","25.18","25.18","24.2","24.69","2114026"
"BSR","2018-04-05","24.69","24.69","23.8","24","1953982"
"BSR","2018-04-06","24.1","24.69","23.31","23.6","2342281"
"BSR","2018-04-09","23.7","23.7","22.81","23.7","1716271"
"BSR","2018-04-10","24","24","23.11","23.21","1104775"
"BSR","2018-04-11","23.6","23.7","22.81","23.21","1116412"
"BSR","2018-04-12","23.21","23.21","22.52","22.81","1285128"
