symbol,date,open,high,low,close,volume,year,month,week,weekday
"BST","2008-12-18","3.99","3.99","3.99","3.99","100","2008","12","51","Thursday"
"BST","2008-12-19","4.25","4.25","4.25","4.25","100","2008","12","51","Friday"
"BST","2008-12-23","4.36","4.36","4.36","4.36","100","2008","12","52","Tuesday"
"BST","2008-12-25","4.42","4.42","4.42","4.42","100","2008","12","52","Thursday"
"BST","2008-12-29","4.42","4.42","4.42","4.42","200","2008","12","1","Monday"
"BST","2009-01-07","4.71","4.71","4.71","4.71","100","2009","01","2","Wednesday"
"BST","2009-01-13","4.11","4.11","4.11","4.11","100","2009","01","3","Tuesday"
"BST","2009-02-02","4.39","4.39","4.39","4.39","100","2009","02","6","Monday"
"BST","2009-03-24","4.68","4.68","4.68","4.68","100","2009","03","13","Tuesday"
"BST","2009-04-13","4.36","4.36","4.36","4.36","3000","2009","04","16","Monday"
"BST","2009-04-17","4.08","4.08","4.08","4.08","700","2009","04","16","Friday"
"BST","2009-04-23","4.34","4.34","4.34","4.34","100","2009","04","17","Thursday"
"BST","2009-05-04","4.05","4.28","4.05","4.05","3200","2009","05","19","Monday"
"BST","2009-05-05","3.91","3.99","3.91","3.99","1200","2009","05","19","Tuesday"
"BST","2009-05-06","3.74","3.74","3.74","3.74","100","2009","05","19","Wednesday"
"BST","2009-05-07","3.48","3.48","3.48","3.48","1100","2009","05","19","Thursday"
"BST","2009-05-08","3.68","3.68","3.68","3.68","600","2009","05","19","Friday"
"BST","2009-05-13","3.42","3.45","3.42","3.42","800","2009","05","20","Wednesday"
"BST","2009-05-14","3.19","3.28","3.19","3.19","4100","2009","05","20","Thursday"
"BST","2009-05-15","3.22","3.22","3.22","3.22","2000","2009","05","20","Friday"
"BST","2009-05-18","3.42","3.42","3.42","3.42","1800","2009","05","21","Monday"
"BST","2009-05-19","3.48","3.57","3.48","3.54","4300","2009","05","21","Tuesday"
"BST","2009-05-20","3.57","3.74","3.57","3.59","2000","2009","05","21","Wednesday"
"BST","2009-05-21","3.62","3.62","3.62","3.62","1000","2009","05","21","Thursday"
"BST","2009-05-22","3.62","3.77","3.57","3.57","4400","2009","05","21","Friday"
"BST","2009-05-25","3.57","3.62","3.54","3.62","5200","2009","05","22","Monday"
"BST","2009-05-26","3.79","3.79","3.79","3.79","100","2009","05","22","Tuesday"
"BST","2009-05-27","3.57","3.79","3.57","3.79","1200","2009","05","22","Wednesday"
"BST","2009-05-28","3.94","3.94","3.45","3.45","300","2009","05","22","Thursday"
"BST","2009-05-29","3.74","3.99","3.62","3.99","2500","2009","05","22","Friday"
"BST","2009-06-01","3.94","4.08","3.94","4.08","7600","2009","06","23","Monday"
"BST","2009-06-02","4.36","4.36","4.08","4.36","15200","2009","06","23","Tuesday"
"BST","2009-06-03","4.48","4.51","4.48","4.51","6100","2009","06","23","Wednesday"
"BST","2009-06-04","4.51","4.51","4.42","4.42","200","2009","06","23","Thursday"
"BST","2009-06-05","4.54","4.76","4.51","4.56","19600","2009","06","23","Friday"
"BST","2009-06-08","4.85","4.93","4.82","4.93","17300","2009","06","24","Monday"
"BST","2009-06-09","5.25","5.25","5.08","5.08","700","2009","06","24","Tuesday"
"BST","2009-06-10","4.85","5.13","4.85","4.91","12900","2009","06","24","Wednesday"
"BST","2009-06-11","4.85","4.91","4.79","4.79","4700","2009","06","24","Thursday"
"BST","2009-06-12","4.85","4.85","4.51","4.51","9000","2009","06","24","Friday"
"BST","2009-06-15","4.28","4.51","4.28","4.28","8000","2009","06","25","Monday"
"BST","2009-06-16","4.19","4.22","4.19","4.19","8300","2009","06","25","Tuesday"
"BST","2009-06-17","3.91","3.94","3.91","3.91","6700","2009","06","25","Wednesday"
"BST","2009-06-18","4.17","4.17","4.17","4.17","100","2009","06","25","Thursday"
"BST","2009-06-19","4.28","4.28","4.28","4.28","700","2009","06","25","Friday"
"BST","2009-06-22","3.99","3.99","3.99","3.99","10600","2009","06","26","Monday"
"BST","2009-06-23","3.85","3.99","3.74","3.74","2300","2009","06","26","Tuesday"
"BST","2009-06-24","4.08","4.08","4.08","4.08","100","2009","06","26","Wednesday"
"BST","2009-06-25","3.96","3.96","3.82","3.82","1100","2009","06","26","Thursday"
"BST","2009-06-26","3.59","3.59","3.59","3.59","200","2009","06","26","Friday"
"BST","2009-06-29","3.65","3.65","3.65","3.65","300","2009","06","27","Monday"
"BST","2009-06-30","3.65","3.65","3.65","3.65","200","2009","06","27","Tuesday"
"BST","2009-07-01","3.57","3.57","3.57","3.57","100","2009","07","27","Wednesday"
"BST","2009-07-02","3.65","3.65","3.65","3.65","100","2009","07","27","Thursday"
"BST","2009-07-03","3.57","3.79","3.57","3.79","1000","2009","07","27","Friday"
"BST","2009-07-06","3.96","3.96","3.77","3.77","200","2009","07","28","Monday"
"BST","2009-07-07","3.85","3.85","3.85","3.85","1600","2009","07","28","Tuesday"
"BST","2009-07-08","3.65","3.85","3.65","3.85","2600","2009","07","28","Wednesday"
"BST","2009-07-09","3.85","3.85","3.85","3.85","400","2009","07","28","Thursday"
"BST","2009-07-13","3.71","3.71","3.71","3.71","1500","2009","07","29","Monday"
"BST","2009-07-14","3.74","3.74","3.74","3.74","100","2009","07","29","Tuesday"
"BST","2009-07-20","3.71","3.71","3.71","3.71","1700","2009","07","30","Monday"
"BST","2009-07-23","3.85","3.96","3.85","3.96","2700","2009","07","30","Thursday"
"BST","2009-07-24","4.14","4.14","4.14","4.14","300","2009","07","30","Friday"
"BST","2009-07-27","4.14","4.14","3.85","3.85","1400","2009","07","31","Monday"
"BST","2009-07-29","3.71","4.02","3.71","4.02","6100","2009","07","31","Wednesday"
"BST","2009-07-31","3.71","3.71","3.71","3.71","1300","2009","07","31","Friday"
"BST","2009-08-05","3.71","3.71","3.71","3.71","200","2009","08","32","Wednesday"
"BST","2009-08-06","3.79","3.96","3.79","3.96","6900","2009","08","32","Thursday"
