symbol,date,open,high,low,close,volume
"BT1","2016-11-09","10.26","10.84","10.26","10.84","6100"
"BT1","2016-11-11","11.79","11.79","11.79","11.79","200"
"BT1","2016-11-14","10.52","10.52","10.52","10.52","2000"
"BT1","2016-11-15","10.58","10.58","10.58","10.58","3800"
"BT1","2016-11-18","10.84","11.47","10.84","10.84","16400"
"BT1","2016-11-25","10.77","10.77","10.77","10.77","10000"
"BT1","2016-11-28","10.71","10.71","10.71","10.71","3800"
"BT1","2016-11-30","10.52","10.52","10.52","10.52","400"
"BT1","2016-12-19","11.79","11.79","11.79","11.79","1000"
"BT1","2016-12-21","11.47","11.47","11.47","11.47","3500"
"BT1","2016-12-29","10.2","10.2","10.2","10.2","100"
"BT1","2017-01-05","11.6","11.6","11.6","11.6","100"
"BT1","2017-01-16","11.79","11.79","11.79","11.79","100"
"BT1","2017-01-17","11.86","11.86","11.86","11.86","300"
"BT1","2017-01-24","11.47","11.79","11.47","11.79","5100"
"BT1","2017-01-25","11.47","11.47","11.47","11.47","500"
"BT1","2017-02-08","11.79","11.79","11.79","11.79","500"
"BT1","2017-03-10","10.07","10.07","10.07","10.07","7600"
"BT1","2017-03-23","11.54","11.54","11.54","11.54","100"
"BT1","2017-04-03","10.84","10.84","10.84","10.84","1000"
"BT1","2017-04-27","11.47","11.47","11.47","11.47","2900"
"BT1","2017-05-08","11.15","11.15","11.15","11.15","8000"
"BT1","2017-05-10","11.41","11.41","11.41","11.41","10000"
"BT1","2017-05-16","11.9","11.9","11.9","11.9","1500"
"BT1","2017-05-18","12.25","12.25","12.25","12.25","51500"
"BT1","2017-05-19","10.5","10.85","10.5","10.85","11200"
"BT1","2017-05-22","11.9","11.9","11.9","11.9","100"
"BT1","2017-05-30","11.2","11.2","11.2","11.2","1440"
"BT1","2017-06-07","11.2","11.2","11.2","11.2","1000"
"BT1","2017-06-09","12.6","12.6","12.6","12.6","1900"
"BT1","2017-06-15","12.6","12.6","12.6","12.6","2000"
"BT1","2017-06-20","12.6","12.6","12.6","12.6","1000"
"BT1","2017-06-22","12.6","12.6","12.6","12.6","700"
"BT1","2017-06-27","12.95","12.95","12.95","12.95","2900"
"BT1","2017-06-29","12.95","12.95","12.95","12.95","4000"
"BT1","2017-07-06","12.95","12.95","12.95","12.95","3300"
"BT1","2017-07-28","13.65","13.65","13.65","13.65","2100"
"BT1","2017-08-02","13.65","13.65","13.65","13.65","1000"
"BT1","2017-08-03","11.9","11.9","11.9","11.9","1500"
"BT1","2017-08-17","12.95","12.95","12.95","12.95","600"
"BT1","2017-08-18","11.9","11.9","11.9","11.9","600"
"BT1","2017-08-21","11.9","11.9","11.9","11.9","960"
"BT1","2017-08-25","11.9","11.9","11.9","11.9","1200"
"BT1","2017-09-07","12.6","12.6","12.6","12.6","1000"
"BT1","2017-09-08","11.2","11.2","11.2","11.2","840"
"BT1","2017-09-11","12.6","12.6","12.6","12.6","2000"
"BT1","2017-09-15","12.6","12.6","12.6","12.6","1000"
"BT1","2017-09-19","12.6","12.6","12.6","12.6","900"
"BT1","2017-09-26","12.6","12.6","12.6","12.6","6200"
"BT1","2017-09-28","12.6","12.6","12.6","12.6","1000"
"BT1","2017-11-02","12.6","12.6","12.6","12.6","1000"
"BT1","2017-11-13","12.6","12.6","12.6","12.6","1000"
"BT1","2017-12-15","11.9","11.9","11.9","11.9","4000"
"BT1","2018-01-17","11.9","11.9","11.9","11.9","1920"
"BT1","2018-06-28","12.75","12.75","12.75","12.75","4400"
"BT1","2018-07-02","13.13","13.13","12.75","12.75","8000"
"BT1","2018-08-23","15.45","15.45","15.45","15.45","1000"
"BT1","2018-09-06","15.84","15.84","15.84","15.84","1000"
"BT1","2018-09-13","13.52","13.52","13.52","13.52","1800"
"BT1","2018-09-14","13.52","13.52","13.52","13.52","200"
"BT1","2018-11-13","13.13","13.13","13.13","13.13","1500"
"BT1","2018-12-11","11.2","11.2","11.2","11.2","3566"
"BT1","2018-12-12","12.83","12.83","12.83","12.83","1000"
"BT1","2019-04-03","13.91","13.91","13.91","13.91","800"
"BT1","2019-04-11","11.82","11.82","11.82","11.82","2016"
"BT1","2019-05-02","13.52","13.52","13.52","13.52","1000"
"BT1","2019-05-08","13.52","13.52","13.52","13.52","300"
"BT1","2019-05-15","14.68","14.68","14.68","14.68","1000"
"BT1","2019-05-17","16.45","16.87","16.45","16.87","1300"
"BT1","2019-07-02","15.19","15.19","15.19","15.19","100"
"BT1","2019-07-09","15.19","15.19","15.19","15.19","3000"
