symbol,date,open,high,low,close,volume,year,month,week,weekday
"BT6","2002-04-18","21.67","21.67","21.67","21.67","37700","2002","04","16","Thursday"
"BT6","2002-04-19","22.04","22.04","22.04","22.04","10000","2002","04","16","Friday"
"BT6","2002-04-22","22.41","22.41","22.41","22.41","25600","2002","04","17","Monday"
"BT6","2002-04-23","22.13","22.13","22.13","22.13","48200","2002","04","17","Tuesday"
"BT6","2002-04-24","22.5","22.5","22.5","22.5","7600","2002","04","17","Wednesday"
"BT6","2002-04-25","22.68","22.68","22.68","22.68","17600","2002","04","17","Thursday"
"BT6","2002-04-26","23.05","23.05","23.05","23.05","20000","2002","04","17","Friday"
"BT6","2002-05-02","23.51","23.51","23.51","23.51","2300","2002","05","18","Thursday"
"BT6","2002-05-03","23.97","23.97","23.97","23.97","1700","2002","05","18","Friday"
"BT6","2002-05-06","24.43","24.43","24.43","24.43","500","2002","05","19","Monday"
"BT6","2002-05-07","23.97","23.97","23.97","23.97","21900","2002","05","19","Tuesday"
"BT6","2002-05-08","23.51","23.51","23.51","23.51","7900","2002","05","19","Wednesday"
"BT6","2002-05-09","23.97","23.97","23.97","23.97","3900","2002","05","19","Thursday"
"BT6","2002-05-10","24.43","24.43","24.43","24.43","29800","2002","05","19","Friday"
"BT6","2002-05-13","23.97","23.97","23.97","23.97","7000","2002","05","20","Monday"
"BT6","2002-05-14","23.51","23.51","23.51","23.51","25500","2002","05","20","Tuesday"
"BT6","2002-05-15","23.7","23.7","23.7","23.7","2700","2002","05","20","Wednesday"
"BT6","2002-05-16","23.24","23.24","23.24","23.24","7200","2002","05","20","Thursday"
"BT6","2002-05-17","23.51","23.51","23.51","23.51","4800","2002","05","20","Friday"
"BT6","2002-05-20","23.51","23.51","23.51","23.51","6300","2002","05","21","Monday"
"BT6","2002-05-21","23.51","23.51","23.51","23.51","13100","2002","05","21","Tuesday"
"BT6","2002-05-22","23.51","23.51","23.51","23.51","21500","2002","05","21","Wednesday"
"BT6","2002-05-23","23.51","23.51","23.51","23.51","10300","2002","05","21","Thursday"
