symbol,date,open,high,low,close,volume,year,month,week,weekday
"BTB","2017-01-13","15.4","15.4","15.4","15.4","100","2017","01","2","Friday"
"BTB","2017-01-17","17.7","17.7","17.7","17.7","4200","2017","01","3","Tuesday"
"BTB","2017-01-18","20.3","20.3","20.3","20.3","3500","2017","01","3","Wednesday"
"BTB","2017-01-19","17.3","18","17.3","18","210","2017","01","3","Thursday"
"BTB","2017-01-20","15.1","16","15.1","16","600","2017","01","3","Friday"
"BTB","2017-01-23","13.2","14","13.2","13.9","2900","2017","01","4","Monday"
"BTB","2017-01-24","12.4","13.5","12.2","13.5","1100","2017","01","4","Tuesday"
"BTB","2017-02-02","13.2","13.3","13.2","13.3","810","2017","02","5","Thursday"
"BTB","2017-02-03","13.8","14.2","13.6","13.6","700","2017","02","5","Friday"
"BTB","2017-02-06","14.4","14.4","14.4","14.4","1100","2017","02","6","Monday"
"BTB","2017-02-08","13.5","13.5","13.5","13.5","500","2017","02","6","Wednesday"
"BTB","2017-02-10","14.5","14.5","14.5","14.5","100","2017","02","6","Friday"
"BTB","2017-02-13","15","15","15","15","100","2017","02","7","Monday"
"BTB","2017-02-20","12.8","12.8","12.8","12.8","800","2017","02","8","Monday"
"BTB","2017-02-21","12","12","12","12","200","2017","02","8","Tuesday"
"BTB","2017-02-22","10.3","10.4","10.2","10.4","7700","2017","02","8","Wednesday"
"BTB","2017-02-23","10.4","10.4","9","9","1400","2017","02","8","Thursday"
"BTB","2017-02-24","10","10","10","10","300","2017","02","8","Friday"
"BTB","2017-02-27","10","10","10","10","300","2017","02","9","Monday"
"BTB","2017-02-28","10","10","10","10","2000","2017","02","9","Tuesday"
"BTB","2017-03-01","10","10","10","10","3000","2017","03","9","Wednesday"
"BTB","2017-03-06","10","10","10","10","600","2017","03","10","Monday"
"BTB","2017-03-08","10","10","10","10","300","2017","03","10","Wednesday"
"BTB","2017-03-09","9.5","9.5","9.5","9.5","100","2017","03","10","Thursday"
"BTB","2017-03-10","10","10","9.6","9.6","14800","2017","03","10","Friday"
"BTB","2017-03-13","10","10","10","10","100","2017","03","11","Monday"
"BTB","2017-03-14","10","10","10","10","200","2017","03","11","Tuesday"
