symbol,date,open,high,low,close,volume,year,month,week,weekday
"BTG","2010-07-15","8.85","8.85","8.85","8.85","100","2010","07","29","Thursday"
"BTG","2010-07-20","10.01","10.01","10.01","10.01","100","2010","07","30","Tuesday"
"BTG","2010-07-21","10.2","10.2","10.2","10.2","100","2010","07","30","Wednesday"
"BTG","2010-07-23","10.2","10.2","10.2","10.2","100","2010","07","30","Friday"
"BTG","2010-08-02","8.31","8.31","8.31","8.31","100","2010","08","32","Monday"
"BTG","2010-08-11","7.5","7.5","7.5","7.5","100","2010","08","33","Wednesday"
"BTG","2010-10-07","6.93","6.93","6.93","6.93","2700","2010","10","41","Thursday"
"BTG","2010-11-03","6.74","6.74","6.74","6.74","700","2010","11","45","Wednesday"
"BTG","2010-11-10","6.16","6.16","6.16","6.16","200","2010","11","46","Wednesday"
"BTG","2010-11-12","5.54","5.54","5.54","5.54","200","2010","11","46","Friday"
"BTG","2010-12-29","12.7","12.7","12.7","12.7","100","2010","12","53","Wednesday"
"BTG","2011-02-28","3.85","3.85","3.85","3.85","100","2011","02","9","Monday"
"BTG","2011-04-15","3.85","3.85","3.85","3.85","200","2011","04","15","Friday"
"BTG","2011-04-25","4.23","4.23","4.23","4.23","200","2011","04","17","Monday"
"BTG","2011-06-13","4.23","4.23","4.23","4.23","100","2011","06","24","Monday"
"BTG","2011-08-16","4.23","4.23","4.23","4.23","300","2011","08","33","Tuesday"
"BTG","2011-08-23","3.85","3.85","3.85","3.85","300","2011","08","34","Tuesday"
"BTG","2011-11-14","5","5","5","5","400","2011","11","46","Monday"
"BTG","2011-12-14","4.5","4.5","4.5","4.5","1600","2011","12","50","Wednesday"
"BTG","2012-03-08","3.85","3.85","3.85","3.85","100","2012","03","10","Thursday"
"BTG","2012-04-13","3.46","3.46","3.46","3.46","700","2012","04","15","Friday"
"BTG","2012-05-09","3.5","3.5","3.5","3.5","300","2012","05","19","Wednesday"
"BTG","2012-06-01","3.46","3.46","3.46","3.46","800","2012","06","22","Friday"
"BTG","2012-09-10","4.62","4.62","4.62","4.62","1300","2012","09","37","Monday"
"BTG","2013-01-28","5","5","5","5","700","2013","01","5","Monday"
"BTG","2013-02-04","5.39","5.39","5","5.04","1400","2013","02","6","Monday"
"BTG","2013-03-28","6.44","6.44","6.44","6.44","10000","2013","03","13","Thursday"
"BTG","2013-04-08","7.08","7.08","7.08","7.08","100","2013","04","15","Monday"
"BTG","2013-09-09","4.53","4.53","4.53","4.53","1900","2013","09","37","Monday"
"BTG","2013-11-25","6.34","6.34","6.34","6.34","500","2013","11","48","Monday"
"BTG","2013-12-27","5.86","5.86","5.86","5.86","1600","2013","12","52","Friday"
"BTG","2014-02-14","8.2","8.2","8.2","8.2","100","2014","02","7","Friday"
"BTG","2014-03-25","11.45","11.45","11.45","11.45","100","2014","03","13","Tuesday"
"BTG","2014-05-13","7.83","7.83","7.83","7.83","700","2014","05","20","Tuesday"
"BTG","2014-06-20","10.95","10.95","10.95","10.95","100","2014","06","25","Friday"
"BTG","2014-08-21","11.08","11.08","11.08","11.08","100","2014","08","34","Thursday"
"BTG","2014-09-15","10.19","10.19","10.19","10.19","100","2014","09","38","Monday"
"BTG","2014-09-18","9.17","9.17","9.17","9.17","100","2014","09","38","Thursday"
"BTG","2014-09-19","9.55","9.55","9.55","9.55","2000","2014","09","38","Friday"
"BTG","2014-10-01","9.55","9.55","9.55","9.55","700","2014","10","40","Wednesday"
"BTG","2014-10-02","8.6","8.6","8.6","8.6","100","2014","10","40","Thursday"
"BTG","2014-10-13","8.28","8.28","8.28","8.28","100","2014","10","42","Monday"
"BTG","2014-10-16","7.45","7.45","7.45","7.45","1000","2014","10","42","Thursday"
"BTG","2015-01-13","7.51","7.51","7.51","7.51","1500","2015","01","3","Tuesday"
"BTG","2015-02-12","8.21","8.21","8.21","8.21","670","2015","02","7","Thursday"
"BTG","2015-03-04","8.21","8.21","8.21","8.21","40","2015","03","10","Wednesday"
"BTG","2015-03-06","8.21","8.21","8.21","8.21","90","2015","03","10","Friday"
"BTG","2015-05-22","7.93","7.93","7.93","7.93","1400","2015","05","21","Friday"
"BTG","2015-08-25","5.12","5.12","5.12","5.12","100","2015","08","35","Tuesday"
"BTG","2015-08-26","5.12","5.12","5.12","5.12","90","2015","08","35","Wednesday"
"BTG","2015-08-27","4.39","4.39","4.39","4.39","100","2015","08","35","Thursday"
"BTG","2015-08-31","3.75","3.75","3.75","3.75","100","2015","08","36","Monday"
"BTG","2015-09-09","3.24","3.24","3.24","3.24","100","2015","09","37","Wednesday"
"BTG","2017-03-08","4.47","4.47","4.47","4.47","200","2017","03","10","Wednesday"
"BTG","2017-03-22","5.08","5.08","5.08","5.08","10","2017","03","12","Wednesday"
"BTG","2017-03-23","5.78","5.78","5.78","5.78","100","2017","03","12","Thursday"
"BTG","2017-04-17","5","5","5","5","100","2017","04","16","Monday"
"BTG","2017-05-17","5.72","5.72","5.72","5.72","3500","2017","05","20","Wednesday"
"BTG","2017-07-06","3.45","3.45","3.45","3.45","200","2017","07","27","Thursday"
"BTG","2017-09-19","4.81","4.81","4.81","4.81","100","2017","09","38","Tuesday"
"BTG","2017-10-20","5.45","5.45","5.45","5.45","100","2017","10","42","Friday"
"BTG","2017-12-05","5.45","5.45","5.45","5.45","100","2017","12","49","Tuesday"
"BTG","2018-02-27","6.36","6.36","6.36","6.36","100","2018","02","9","Tuesday"
"BTG","2018-03-13","5.45","5.45","5.45","5.45","100","2018","03","11","Tuesday"
"BTG","2019-07-02","5.5","5.5","5.5","5.5","1000","2019","07","27","Tuesday"
"BTG","2019-07-03","5.5","5.5","5.5","5.5","90","2019","07","27","Wednesday"
"BTG","2020-04-07","5.5","5.5","5.5","5.5","200","2020","04","15","Tuesday"
"BTG","2020-12-15","5.8","5.8","5.8","5.8","200","2020","12","51","Tuesday"
"BTG","2021-09-24","8.1","8.1","8.1","8.1","200","2021","09","39","Friday"
"BTG","2021-09-29","6.9","6.9","6.9","6.9","100","2021","09","40","Wednesday"
"BTG","2021-09-30","6.3","6.3","6.3","6.3","100","2021","09","40","Thursday"
"BTG","2021-10-11","5.7","5.7","5.7","5.7","100","2021","10","42","Monday"
"BTG","2021-10-13","5.1","5.1","5.1","5.1","100","2021","10","42","Wednesday"
"BTG","2021-10-29","5.2","5.2","5.2","5.2","100","2021","10","44","Friday"
"BTG","2021-12-08","6","6","6","6","100","2021","12","50","Wednesday"
"BTG","2021-12-09","5.7","5.7","5.7","5.7","100","2021","12","50","Thursday"
"BTG","2022-01-18","6.8","6.8","6.8","6.8","100","2022","01","3","Tuesday"
