symbol,date,open,high,low,close,volume,year,month,week,weekday
"BTP","2009-11-25","6.04","6.55","5.9","6.04","41590","2009","11","48","Wednesday"
"BTP","2009-11-26","5.75","5.75","5.75","5.75","19560","2009","11","48","Thursday"
"BTP","2009-11-27","5.5","6","5.5","6","32570","2009","11","48","Friday"
"BTP","2009-11-30","5.71","6","5.71","5.71","14250","2009","11","49","Monday"
"BTP","2009-12-01","5.71","5.9","5.46","5.71","12180","2009","12","49","Tuesday"
"BTP","2009-12-02","5.46","5.64","5.46","5.46","17480","2009","12","49","Wednesday"
"BTP","2009-12-03","5.2","5.2","5.2","5.2","19830","2009","12","49","Thursday"
"BTP","2009-12-04","4.99","5.02","4.95","4.95","30690","2009","12","49","Friday"
"BTP","2009-12-07","4.8","5.09","4.73","5.09","38590","2009","12","50","Monday"
"BTP","2009-12-08","5.09","5.09","4.84","4.91","11460","2009","12","50","Tuesday"
"BTP","2009-12-09","4.7","4.91","4.7","4.7","6480","2009","12","50","Wednesday"
"BTP","2009-12-10","4.73","4.73","4.48","4.48","4810","2009","12","50","Thursday"
"BTP","2009-12-11","4.29","4.33","4.26","4.33","19680","2009","12","50","Friday"
"BTP","2009-12-14","4.18","4.51","4.18","4.4","5310","2009","12","51","Monday"
"BTP","2009-12-15","4.4","4.62","4.37","4.62","7400","2009","12","51","Tuesday"
"BTP","2009-12-16","4.51","4.62","4.44","4.51","7930","2009","12","51","Wednesday"
"BTP","2009-12-17","4.73","4.73","4.37","4.48","13840","2009","12","51","Thursday"
"BTP","2009-12-18","4.37","4.7","4.37","4.7","7390","2009","12","51","Friday"
"BTP","2009-12-21","4.77","4.91","4.73","4.91","15750","2009","12","52","Monday"
"BTP","2009-12-22","5.02","5.02","4.73","4.91","9740","2009","12","52","Tuesday"
"BTP","2009-12-23","4.73","4.95","4.7","4.88","9750","2009","12","52","Wednesday"
"BTP","2009-12-24","4.73","4.84","4.73","4.84","4860","2009","12","52","Thursday"
"BTP","2009-12-25","4.88","5.02","4.73","5.02","26310","2009","12","52","Friday"
"BTP","2009-12-28","4.91","4.91","4.8","4.91","30340","2009","12","53","Monday"
"BTP","2009-12-29","5.02","5.02","4.7","4.91","2020","2009","12","53","Tuesday"
"BTP","2009-12-30","4.91","4.99","4.91","4.91","8090","2009","12","53","Wednesday"
"BTP","2009-12-31","4.73","4.91","4.73","4.73","35280","2009","12","53","Thursday"
"BTP","2010-01-04","4.8","4.95","4.8","4.95","40540","2010","01","2","Monday"
"BTP","2010-01-05","5.17","5.17","4.95","4.95","37310","2010","01","2","Tuesday"
"BTP","2010-01-06","4.95","5.09","4.91","4.95","10380","2010","01","2","Wednesday"
"BTP","2010-01-07","4.95","4.95","4.8","4.8","33470","2010","01","2","Thursday"
"BTP","2010-01-08","4.99","4.99","4.77","4.77","15300","2010","01","2","Friday"
"BTP","2010-01-11","4.91","4.91","4.66","4.7","11150","2010","01","3","Monday"
"BTP","2010-01-12","4.84","4.84","4.73","4.73","12300","2010","01","3","Tuesday"
"BTP","2010-01-13","4.62","4.77","4.62","4.62","10600","2010","01","3","Wednesday"
"BTP","2010-01-14","4.73","4.73","4.62","4.66","4220","2010","01","3","Thursday"
"BTP","2010-01-15","4.66","4.73","4.55","4.55","9670","2010","01","3","Friday"
"BTP","2010-01-18","4.37","4.66","4.37","4.44","5910","2010","01","4","Monday"
"BTP","2010-01-19","4.51","4.51","4.44","4.44","17650","2010","01","4","Tuesday"
"BTP","2010-01-20","4.48","4.62","4.48","4.48","14040","2010","01","4","Wednesday"
