symbol,date,open,high,low,close,volume
"BTV","2017-03-03","23.48","23.48","23.48","23.48","400"
"BTV","2017-03-06","27","27","27","27","21000"
"BTV","2017-03-07","30.98","30.98","30.98","30.98","2100"
"BTV","2017-03-08","35.58","35.58","34.32","34.32","7910"
"BTV","2017-03-09","34.95","34.95","30.25","30.25","3800"
"BTV","2017-03-10","26.37","26.37","26.37","26.37","3400"
"BTV","2017-03-13","22.58","22.58","22.58","22.58","4900"
"BTV","2017-03-14","23.48","23.48","23.48","23.48","100"
"BTV","2017-03-15","24.38","24.38","24.38","24.38","400"
"BTV","2017-03-16","21.31","21.4","21.31","21.31","600"
"BTV","2017-03-17","21.67","21.67","21.67","21.67","500"
"BTV","2017-03-20","21.67","21.67","19.96","20.32","1600"
"BTV","2017-03-22","23.48","23.48","23.48","23.48","10"
"BTV","2017-03-24","23.48","23.48","23.48","23.48","300"
"BTV","2017-03-30","19.96","19.96","19.96","19.96","200"
"BTV","2017-04-11","22.58","22.58","22.58","22.58","1500"
"BTV","2017-04-12","21.04","21.04","21.04","21.04","1000"
"BTV","2017-04-25","21.22","21.22","21.22","21.22","400"
"BTV","2017-04-26","21.22","21.22","21.22","21.22","500"
"BTV","2017-04-28","22.58","22.58","22.58","22.58","200"
"BTV","2017-05-05","19.87","19.87","19.87","19.87","200"
"BTV","2017-05-08","19.87","19.87","19.87","19.87","1000"
"BTV","2017-05-09","19.87","19.87","19.87","19.87","800"
"BTV","2017-05-12","18.06","18.06","18.06","18.06","1800"
"BTV","2017-05-15","18.06","18.06","18.06","18.06","300"
"BTV","2017-05-16","17.16","17.16","17.16","17.16","1600"
"BTV","2017-05-18","16.26","16.26","16.26","16.26","3000"
"BTV","2017-05-19","15.35","15.35","15.35","15.35","800"
"BTV","2017-05-24","15.35","17.16","15.35","17.16","1500"
"BTV","2017-05-25","17.7","17.7","17.7","17.7","100"
"BTV","2017-05-26","19.87","19.87","19.87","19.87","400"
"BTV","2017-06-20","19.87","19.87","19.87","19.87","200"
"BTV","2017-06-27","19.87","19.87","19.87","19.87","200"
"BTV","2017-06-29","19.42","19.42","19.42","19.42","100"
"BTV","2017-06-30","18.51","18.51","18.06","18.06","300"
"BTV","2017-07-05","19.87","19.87","19.87","19.87","500"
"BTV","2017-07-11","18.51","18.51","18.51","18.51","200"
"BTV","2017-07-13","18.24","18.24","18.24","18.24","200"
"BTV","2017-07-21","15.53","15.53","15.53","15.53","100"
"BTV","2017-07-24","14.45","14.45","13.28","14.45","1900"
"BTV","2017-07-26","14.36","14.36","14.36","14.36","500"
"BTV","2017-07-28","14.36","14.36","14.36","14.36","600"
"BTV","2017-08-07","13.64","13.64","13.64","13.64","100"
"BTV","2017-08-10","15.62","15.62","15.62","15.62","100"
"BTV","2017-08-15","17.16","17.16","17.16","17.16","600"
"BTV","2017-08-16","19.69","19.69","19.69","19.69","100"
"BTV","2017-08-22","22.58","22.58","21.67","22.58","1300"
"BTV","2017-08-25","19.15","19.15","19.15","19.15","400"
"BTV","2017-12-07","13.94","13.94","13.94","13.94","200"
"BTV","2017-12-11","15.99","15.99","15.99","15.99","1500"
"BTV","2017-12-12","18.12","18.31","18.12","18.31","700"
"BTV","2017-12-13","19.52","19.52","19.52","19.52","200"
"BTV","2017-12-14","19.98","21.1","19.98","19.98","3400"
"BTV","2017-12-15","22.96","22.96","17.01","22.96","2500"
"BTV","2017-12-18","22.77","23.33","22.77","23.33","1200"
"BTV","2017-12-19","26.3","26.3","26.3","26.3","100"
"BTV","2017-12-20","29.74","29.74","29.74","29.74","100"
"BTV","2017-12-21","28.81","28.81","28.81","28.81","100"
"BTV","2017-12-22","28.81","32.53","28.81","32.53","400"
"BTV","2017-12-25","25.28","32.81","25.28","25.28","1700"
"BTV","2017-12-26","26.95","26.95","26.95","26.95","100"
"BTV","2017-12-27","29.74","29.74","25.56","25.56","700"
"BTV","2017-12-28","26.95","30.86","26.95","30.76","900"
"BTV","2017-12-29","30.95","32.53","30.95","32.53","3800"
"BTV","2018-01-02","27.05","27.05","27.05","27.05","600"
"BTV","2018-01-05","24.16","24.16","24.16","24.16","500"
"BTV","2018-01-08","20.91","20.91","20.91","20.91","500"
"BTV","2018-01-10","17.94","17.94","17.94","17.94","100"
"BTV","2018-01-12","16.27","16.27","16.27","16.27","200"
"BTV","2018-02-05","18.68","18.68","18.68","18.68","200"
"BTV","2018-02-07","21.47","21.47","21.47","21.47","900"
"BTV","2018-02-22","18.59","18.59","18.59","18.59","500"
"BTV","2018-02-27","19.52","19.52","19.52","19.52","100"
"BTV","2018-03-08","19.52","19.52","19.52","19.52","100"
"BTV","2018-03-15","19.52","19.52","19.52","19.52","500"
"BTV","2018-03-23","18.59","19.52","18.59","19.52","1000"
"BTV","2018-05-09","25.84","25.84","25.84","25.84","100"
"BTV","2018-05-29","24.16","24.16","24.16","24.16","700"
"BTV","2018-05-31","24.07","24.07","24.07","24.07","200"
"BTV","2018-06-26","23.7","23.7","23.7","23.7","100"
"BTV","2018-08-02","26.95","26.95","26.95","26.95","200"
"BTV","2018-08-03","27.42","27.42","27.42","27.42","200"
"BTV","2018-08-06","27.42","27.42","27.42","27.42","200"
"BTV","2018-08-14","30.67","30.67","30.67","30.67","100"
"BTV","2018-08-16","30.58","30.58","30.58","30.58","100"
