symbol,date,open,high,low,close,volume,year,month,week,weekday
"C12","2017-03-24","14.05","14.05","14.05","14.05","100","2017","03","12","Friday"
"C12","2017-03-27","14.23","14.23","14.23","14.23","100","2017","03","13","Monday"
"C12","2017-03-28","14.88","14.88","14.88","14.88","100","2017","03","13","Tuesday"
"C12","2017-03-30","14.51","14.51","14.51","14.51","100","2017","03","13","Thursday"
"C12","2017-03-31","14.51","14.51","14.51","14.51","100","2017","03","13","Friday"
"C12","2017-05-08","13.95","13.95","13.95","13.95","6700","2017","05","19","Monday"
"C12","2017-05-09","13.95","13.95","13.95","13.95","2900","2017","05","19","Tuesday"
"C12","2017-05-16","16","16","16","16","9600","2017","05","20","Tuesday"
"C12","2018-01-23","10","10","10","10","18300","2018","01","4","Tuesday"
"C12","2018-01-24","10","10","10","10","28200","2018","01","4","Wednesday"
"C12","2018-01-26","10","10","10","10","20200","2018","01","4","Friday"
"C12","2018-01-31","10","10","10","10","41100","2018","01","5","Wednesday"
"C12","2018-03-16","9","9","9","9","2000","2018","03","11","Friday"
"C12","2018-03-21","10.3","10.3","10.3","10.3","100","2018","03","12","Wednesday"
"C12","2018-03-22","11.7","11.7","11.7","11.7","100","2018","03","12","Thursday"
"C12","2018-03-29","12.8","12.8","12.8","12.8","100","2018","03","13","Thursday"
"C12","2018-04-04","14.5","14.5","14.5","14.5","100","2018","04","14","Wednesday"
"C12","2018-04-06","12.4","12.4","12.4","12.4","2000","2018","04","14","Friday"
"C12","2018-04-10","14","14","14","14","100","2018","04","15","Tuesday"
"C12","2018-04-26","15.3","15.3","15.3","15.3","100","2018","04","17","Thursday"
"C12","2018-05-18","17.2","17.2","17.2","17.2","100","2018","05","20","Friday"
"C12","2018-06-21","16.5","16.5","16.5","16.5","100","2018","06","25","Thursday"
"C12","2018-07-10","14.1","14.1","14.1","14.1","6000","2018","07","28","Tuesday"
"C12","2018-07-11","15.7","15.7","15.7","15.7","100","2018","07","28","Wednesday"
"C12","2018-07-19","13.4","13.4","13.4","13.4","3000","2018","07","29","Thursday"
"C12","2018-07-20","15.3","15.3","15.3","15.3","100","2018","07","29","Friday"
"C12","2018-08-08","17.2","17.2","17.2","17.2","100","2018","08","32","Wednesday"
"C12","2018-09-12","18.5","18.5","18.5","18.5","100","2018","09","37","Wednesday"
"C12","2018-09-26","15.8","19.9","15.8","19.9","200","2018","09","39","Wednesday"
"C12","2018-09-27","15.3","15.3","15.3","15.3","600","2018","09","39","Thursday"
"C12","2018-10-01","14","14","13.1","13.1","500","2018","10","40","Monday"
"C12","2018-10-05","15.7","15.7","15.7","15.7","100","2018","10","40","Friday"
"C12","2018-10-10","13.4","13.4","13.4","13.4","100","2018","10","41","Wednesday"
"C12","2018-10-12","15.3","15.3","15.3","15.3","100","2018","10","41","Friday"
"C12","2018-11-13","13.1","13.1","13.1","13.1","200","2018","11","46","Tuesday"
"C12","2018-11-14","11.2","11.2","11.2","11.2","100","2018","11","46","Wednesday"
"C12","2018-11-15","12.8","12.8","9.6","9.6","500","2018","11","46","Thursday"
"C12","2018-11-19","11.6","11.6","11.6","11.6","100","2018","11","47","Monday"
"C12","2018-11-20","13.1","13.1","13.1","13.1","100","2018","11","47","Tuesday"
"C12","2018-11-23","12.5","12.5","12.5","12.5","500","2018","11","47","Friday"
"C12","2018-12-04","11","11","11","11","200","2018","12","49","Tuesday"
"C12","2018-12-06","12.4","12.4","12.4","12.4","100","2018","12","49","Thursday"
"C12","2018-12-10","13.3","13.3","13.3","13.3","100","2018","12","50","Monday"
"C12","2018-12-28","13","13","13","13","2300","2018","12","52","Friday"
"C12","2019-01-28","13.8","13.8","13.8","13.8","100","2019","01","5","Monday"
"C12","2019-02-26","14","14","14","14","100","2019","02","9","Tuesday"
"C12","2019-03-11","11.9","11.9","11.9","11.9","100","2019","03","11","Monday"
"C12","2019-03-12","10.2","10.2","10.2","10.2","100","2019","03","11","Tuesday"
"C12","2019-03-13","9.2","9.2","8.7","8.7","1400","2019","03","11","Wednesday"
"C12","2019-03-14","8","8","8","8","1000","2019","03","11","Thursday"
"C12","2019-03-15","6.9","6.9","6.8","6.8","300","2019","03","11","Friday"
"C12","2019-03-18","5.8","5.8","5.8","5.8","5900","2019","03","12","Monday"
"C12","2019-03-19","5","5","5","5","5200","2019","03","12","Tuesday"
"C12","2019-03-20","5","5","5","5","2300","2019","03","12","Wednesday"
"C12","2019-03-21","5","5","5","5","200","2019","03","12","Thursday"
"C12","2019-03-22","4.5","4.5","4.3","4.3","2100","2019","03","12","Friday"
"C12","2019-03-27","4.9","4.9","4.9","4.9","1300","2019","03","13","Wednesday"
"C12","2019-03-28","5","5","4.9","5","11400","2019","03","13","Thursday"
"C12","2019-03-29","5","5","5","5","4000","2019","03","13","Friday"
"C12","2019-04-01","4.6","4.6","4.6","4.6","100","2019","04","14","Monday"
"C12","2019-04-04","4.2","4.2","4.2","4.2","600","2019","04","14","Thursday"
"C12","2019-04-05","4.7","4.7","4.7","4.7","200","2019","04","14","Friday"
"C12","2019-04-08","4.3","4.3","4.3","4.3","300","2019","04","15","Monday"
"C12","2019-04-09","4.4","4.4","4.4","4.4","200","2019","04","15","Tuesday"
"C12","2019-04-10","4.6","4.6","4.6","4.6","100","2019","04","15","Wednesday"
"C12","2019-04-11","5","5.2","5","5.2","6400","2019","04","15","Thursday"
"C12","2019-04-12","5.9","5.9","5.5","5.9","700","2019","04","15","Friday"
"C12","2019-04-16","5.9","6.5","5.9","6.5","1000","2019","04","16","Tuesday"
"C12","2019-04-17","6","6","6","6","100","2019","04","16","Wednesday"
"C12","2019-04-18","5.1","5.1","5.1","5.1","200","2019","04","16","Thursday"
"C12","2019-04-19","4.8","5.4","4.8","5.4","600","2019","04","16","Friday"
"C12","2019-04-22","4.7","4.7","4.7","4.7","500","2019","04","17","Monday"
"C12","2019-04-24","5.3","5.3","4.4","4.4","6900","2019","04","17","Wednesday"
"C12","2019-04-25","5","5","5","5","400","2019","04","17","Thursday"
"C12","2019-04-26","5.3","5.3","5.3","5.3","100","2019","04","17","Friday"
"C12","2019-05-02","5","5","4.8","4.8","200","2019","05","18","Thursday"
"C12","2019-05-08","5","5","5","5","100","2019","05","19","Wednesday"
"C12","2019-05-14","4.7","4.7","4.5","4.5","8300","2019","05","20","Tuesday"
"C12","2019-05-17","4.1","4.1","4","4","7800","2019","05","20","Friday"
