symbol,date,open,high,low,close,volume,year,month,week,weekday
"CC4","2017-07-28","5.99","5.99","5.99","5.99","1000","2017","07","30","Friday"
"CC4","2017-08-01","6.81","6.81","6.81","6.81","9300","2017","08","31","Tuesday"
"CC4","2017-08-07","7.79","7.79","7.79","7.79","500","2017","08","32","Monday"
"CC4","2017-08-15","7.49","7.49","7.49","7.49","50000","2017","08","33","Tuesday"
"CC4","2017-08-16","7.49","7.49","7.49","7.49","30000","2017","08","33","Wednesday"
"CC4","2017-08-18","7.49","7.49","7.49","7.49","20000","2017","08","33","Friday"
"CC4","2017-08-21","7.49","7.49","7.49","7.49","20000","2017","08","34","Monday"
"CC4","2017-08-22","7.49","7.49","7.49","7.49","20500","2017","08","34","Tuesday"
"CC4","2017-08-24","7.49","7.49","7.49","7.49","40000","2017","08","34","Thursday"
"CC4","2017-09-05","7.49","7.49","7.49","7.49","4700","2017","09","36","Tuesday"
"CC4","2017-09-06","8.24","8.24","7.49","7.49","17000","2017","09","36","Wednesday"
"CC4","2017-09-12","6.74","7.49","6.74","7.49","1100","2017","09","37","Tuesday"
"CC4","2017-09-13","6.44","6.44","6.44","6.44","100","2017","09","37","Wednesday"
"CC4","2017-09-14","5.62","5.62","5.62","5.62","100","2017","09","37","Thursday"
"CC4","2017-09-15","5.02","5.02","5.02","5.02","100","2017","09","37","Friday"
"CC4","2017-10-03","4.27","4.27","4.27","4.27","100","2017","10","40","Tuesday"
"CC4","2017-10-05","3.67","3.67","3.67","3.67","100","2017","10","40","Thursday"
"CC4","2017-11-22","5.09","5.09","5.09","5.09","100","2017","11","47","Wednesday"
"CC4","2017-11-23","5.84","5.84","5.84","5.84","100","2017","11","47","Thursday"
"CC4","2017-11-24","6.66","6.66","6.37","6.66","3500","2017","11","47","Friday"
"CC4","2017-11-27","5.47","7.26","5.47","7.26","200","2017","11","48","Monday"
"CC4","2017-11-28","7.26","7.26","7.26","7.26","100","2017","11","48","Tuesday"
"CC4","2017-11-29","8.31","8.31","8.31","8.31","100","2017","11","48","Wednesday"
"CC4","2017-11-30","9.44","9.44","8.39","8.39","2200","2017","11","48","Thursday"
"CC4","2017-12-01","8.46","9.66","8.46","9.66","200","2017","12","48","Friday"
"CC4","2017-12-04","10.41","10.41","10.41","10.41","300","2017","12","49","Monday"
"CC4","2017-12-05","11.16","11.16","11.16","11.16","100","2017","12","49","Tuesday"
"CC4","2017-12-06","12.8","12.8","10.86","12.8","1100","2017","12","49","Wednesday"
"CC4","2017-12-07","10.78","14.45","10.78","10.78","600","2017","12","49","Thursday"
"CC4","2017-12-08","13.78","13.78","13.78","13.78","200","2017","12","49","Friday"
"CC4","2017-12-11","15.8","15.8","15.8","15.8","700","2017","12","50","Monday"
"CC4","2017-12-12","13.85","13.85","13.85","13.85","100","2017","12","50","Tuesday"
"CC4","2017-12-13","11.83","11.83","11.83","11.83","100","2017","12","50","Wednesday"
"CC4","2017-12-14","10.41","10.41","10.41","10.41","100","2017","12","50","Thursday"
"CC4","2017-12-15","8.91","8.91","8.91","8.91","1300","2017","12","50","Friday"
"CC4","2017-12-18","7.86","8.16","7.86","8.16","1400","2017","12","51","Monday"
"CC4","2017-12-19","6.89","6.89","6.89","6.89","500","2017","12","51","Tuesday"
"CC4","2017-12-20","5.92","7.86","5.92","7.86","300","2017","12","51","Wednesday"
"CC4","2017-12-21","5.84","7.56","5.84","7.56","400","2017","12","51","Thursday"
"CC4","2017-12-22","7.71","7.71","7.71","7.71","100","2017","12","51","Friday"
"CC4","2017-12-25","8.84","8.84","8.84","8.84","100","2017","12","52","Monday"
"CC4","2017-12-26","8.84","8.84","8.84","8.84","900","2017","12","52","Tuesday"
"CC4","2017-12-27","7.56","10.03","7.56","10.03","1400","2017","12","52","Wednesday"
"CC4","2017-12-28","9.66","9.66","9.66","9.66","100","2017","12","52","Thursday"
"CC4","2018-01-04","9.73","9.73","9.73","9.73","800","2018","01","1","Thursday"
