symbol,date,open,high,low,close,volume
"CEO","2014-09-29","6.85","6.85","6.67","6.85","2604800"
"CEO","2014-09-30","7.54","7.54","7.54","7.54","425690"
"CEO","2014-10-01","8.27","8.27","8.27","8.27","1125625"
"CEO","2014-10-02","9.09","9.09","8.32","9.05","1980565"
"CEO","2014-10-03","9.14","9.55","8.87","9.05","770850"
"CEO","2014-10-06","9.05","9.14","8.32","8.32","801205"
"CEO","2014-10-07","8.32","8.68","8.09","8.41","1044220"
"CEO","2014-10-08","8.45","8.59","7.81","7.81","963660"
"CEO","2014-10-09","7.81","8","7.58","7.63","776090"
"CEO","2014-10-10","7.68","7.68","7.22","7.22","1184660"
"CEO","2014-10-13","7.22","7.22","7.04","7.13","603690"
"CEO","2014-10-14","7.13","7.45","7.08","7.27","473790"
"CEO","2014-10-15","7.27","7.31","6.58","7.13","634900"
"CEO","2014-10-16","7.13","7.22","6.85","7.04","614740"
"CEO","2014-10-17","7.04","7.31","7.04","7.31","500900"
"CEO","2014-10-20","7.45","7.45","7.08","7.27","349900"
"CEO","2014-10-21","7.17","7.27","7.08","7.22","122700"
"CEO","2014-10-22","7.13","7.27","7.13","7.27","250410"
"CEO","2014-10-23","7.27","7.77","7.17","7.4","487603"
"CEO","2014-10-24","7.31","7.63","7.31","7.45","232410"
"CEO","2014-10-27","7.4","7.58","7.31","7.4","303500"
"CEO","2014-10-28","7.4","7.45","7.22","7.4","213800"
"CEO","2014-10-29","7.36","7.81","7.36","7.63","821900"
"CEO","2014-10-30","7.63","7.95","7.58","7.68","633930"
"CEO","2014-10-31","7.77","7.81","7.63","7.77","676620"
"CEO","2014-11-03","7.81","8.09","7.81","7.95","1342200"
"CEO","2014-11-04","8","8","7.81","7.81","555815"
"CEO","2014-11-05","7.81","7.86","7.58","7.72","806800"
"CEO","2014-11-06","7.72","7.77","7.54","7.54","644140"
"CEO","2014-11-07","7.58","7.68","7.54","7.63","713500"
"CEO","2014-11-10","7.68","8","7.68","7.91","1300900"
"CEO","2014-11-11","7.91","7.95","7.77","7.77","879740"
"CEO","2014-11-12","7.77","7.86","7.72","7.77","1040350"
"CEO","2014-11-13","7.77","7.77","7.68","7.77","615420"
"CEO","2014-11-14","7.77","8","7.72","7.86","1872510"
"CEO","2014-11-17","7.91","8.27","7.91","8.04","1343903"
"CEO","2014-11-18","8.13","8.32","8.04","8.09","2361540"
"CEO","2014-11-19","8.09","8.09","7.31","7.36","4022600"
"CEO","2014-11-20","7.4","7.63","7.36","7.49","1315013"
"CEO","2014-11-21","8.19","8.19","8.02","8.07","1574400"
"CEO","2014-11-24","7.96","7.96","7.55","7.55","388000"
"CEO","2014-11-25","7.55","7.73","7.49","7.55","401400"
