symbol,date,open,high,low,close,volume,year,month,week,weekday
"CET","2017-07-28","14.82","14.82","14.82","14.82","68000","2017","07","30","Friday"
"CET","2017-07-31","16.27","16.27","16.27","16.27","124400","2017","07","31","Monday"
"CET","2017-08-01","17.82","17.82","16.55","16.91","93200","2017","08","31","Tuesday"
"CET","2017-08-02","16.91","16.91","16.09","16.18","113200","2017","08","31","Wednesday"
"CET","2017-08-03","15.73","15.73","14.64","14.64","169600","2017","08","31","Thursday"
"CET","2017-08-04","14.09","14.09","13.18","13.18","26900","2017","08","31","Friday"
"CET","2017-08-07","13.18","13.18","11.91","11.91","48300","2017","08","32","Monday"
"CET","2017-08-08","11.09","11.64","10.73","10.73","143700","2017","08","32","Tuesday"
"CET","2017-08-09","10.73","10.73","9.73","9.73","139300","2017","08","32","Wednesday"
"CET","2017-08-10","9.55","9.64","8.82","8.82","58800","2017","08","32","Thursday"
"CET","2017-08-11","8.82","9.64","8.82","9.64","332800","2017","08","32","Friday"
"CET","2017-08-14","10.55","10.55","8.73","8.73","139800","2017","08","33","Monday"
"CET","2017-08-15","8.73","8.91","8.46","8.55","52000","2017","08","33","Tuesday"
"CET","2017-08-16","8.18","8.18","7.73","8","51000","2017","08","33","Wednesday"
"CET","2017-08-17","7.82","7.82","7.27","7.27","84400","2017","08","33","Thursday"
"CET","2017-08-18","6.73","6.91","6.55","6.73","193490","2017","08","33","Friday"
"CET","2017-08-21","6.64","6.91","6.46","6.73","105600","2017","08","34","Monday"
"CET","2017-08-22","6.82","6.82","6.55","6.73","67300","2017","08","34","Tuesday"
"CET","2017-08-23","6.64","7","6.64","6.91","88300","2017","08","34","Wednesday"
"CET","2017-08-24","6.91","7","6.73","6.91","75300","2017","08","34","Thursday"
"CET","2017-08-25","6.82","6.82","6.55","6.64","90000","2017","08","34","Friday"
"CET","2017-08-28","6.46","6.82","6.46","6.64","64300","2017","08","35","Monday"
"CET","2017-08-29","6.64","6.82","6.64","6.64","337000","2017","08","35","Tuesday"
"CET","2017-08-30","6.73","6.73","6.55","6.64","235500","2017","08","35","Wednesday"
