symbol,date,open,high,low,close,volume
"CI5","2012-09-28","2.02","2.02","2.02","2.02","110900"
"CI5","2013-12-20","2.52","2.52","2.52","2.52","5800"
"CI5","2014-02-12","2.55","2.55","2.55","2.55","20000"
"CI5","2014-04-08","3.56","3.56","3.56","3.56","600"
"CI5","2014-04-14","3.28","3.28","3.28","3.28","2000"
"CI5","2014-05-23","3.61","3.61","3.61","3.61","100"
"CI5","2014-05-26","3.96","3.96","3.96","3.96","1900"
"CI5","2014-05-29","4.24","4.24","4.24","4.24","500"
"CI5","2014-07-07","5.93","5.93","5.93","5.93","500"
"CI5","2014-07-09","6.5","6.5","6.5","6.5","100"
"CI5","2014-07-11","7.13","7.13","7.13","7.13","300"
"CI5","2014-07-18","7.82","7.82","7.82","7.82","100"
"CI5","2014-08-06","8.56","8.56","8.56","8.56","500"
"CI5","2014-09-03","9.39","9.39","9.39","9.39","100"
"CI5","2014-09-05","10.31","10.31","10.31","10.31","100"
"CI5","2014-09-08","11.34","11.34","11.34","11.34","100"
"CI5","2014-09-19","12.46","12.46","12.46","12.46","100"
"CI5","2014-10-02","11.22","11.22","11.22","11.22","100"
"CI5","2014-10-06","10.11","10.11","10.11","10.11","100"
"CI5","2014-10-10","9.13","9.13","9.13","9.13","100"
"CI5","2014-10-13","8.28","8.28","8.28","8.28","100"
"CI5","2014-10-15","7.59","7.59","7.59","7.59","100"
"CI5","2014-10-17","6.84","6.84","6.84","6.84","100"
"CI5","2014-10-22","6.21","6.21","6.21","6.21","100"
"CI5","2014-10-23","5.61","5.61","5.61","5.61","100"
"CI5","2014-10-24","5.13","5.13","5.13","5.13","100"
"CI5","2014-10-28","4.64","4.64","4.64","4.64","100"
"CI5","2014-10-29","4.21","4.21","4.21","4.21","100"
"CI5","2014-11-03","3.84","4.61","3.84","4.61","2200"
"CI5","2014-11-05","4.12","4.12","4.12","4.12","100"
"CI5","2014-11-07","3.72","3.72","3.72","3.72","200"
"CI5","2014-11-27","4.09","4.09","4.09","4.09","500"
"CI5","2014-12-23","4.5","4.5","4.5","4.5","100"
"CI5","2014-12-31","4.92","4.92","4.92","4.92","100"
"CI5","2015-02-03","5.33","5.33","5.33","5.33","1000"
"CI5","2015-02-04","4.87","4.87","4.87","4.87","1500"
"CI5","2015-02-10","4.58","4.58","4.58","4.58","100"
"CI5","2015-03-30","4.58","4.58","4.58","4.58","2600"
"CI5","2015-06-26","6.42","6.42","5.24","5.24","5800"
"CI5","2015-07-08","6.05","6.05","6.05","6.05","100"
