symbol,date,open,high,low,close,volume
"CII","2006-05-18","22.71","22.71","22.71","22.71","275600"
"CII","2006-05-19","21.57","21.57","21.57","21.57","443520"
"CII","2006-05-22","20.53","20.53","20.53","20.53","64200"
"CII","2006-05-23","19.53","19.53","19.53","19.53","12760"
"CII","2006-05-24","18.58","18.58","18.58","18.58","46460"
"CII","2006-05-25","17.67","17.67","17.67","17.67","156690"
"CII","2006-05-26","16.8","16.8","16.8","16.8","40310"
"CII","2006-05-29","15.99","15.99","15.99","15.99","65110"
"CII","2006-05-30","15.22","15.22","15.22","15.22","19540"
"CII","2006-05-31","14.49","14.49","14.49","14.49","31850"
"CII","2006-06-01","13.81","15.17","13.81","15.17","359050"
"CII","2006-06-02","15.9","15.9","15.9","15.9","192900"
"CII","2006-06-05","16.67","16.67","16.67","16.67","102280"
"CII","2006-06-06","17.49","17.49","17.26","17.26","304920"
"CII","2006-06-07","16.4","16.4","16.4","16.4","240390"
"CII","2006-06-08","16.8","16.99","16.8","16.99","170970"
"CII","2006-06-09","16.99","17.08","16.99","17.08","202770"
"CII","2006-06-12","17.03","17.03","16.76","16.76","66580"
"CII","2006-06-13","16.76","16.76","16.76","16.76","100080"
"CII","2006-06-14","16.76","16.76","16.44","16.44","39190"
"CII","2006-06-15","16.44","16.44","16.44","16.44","43000"
"CII","2006-06-16","16.35","16.35","16.17","16.35","31200"
"CII","2006-06-19","16.35","16.35","16.12","16.26","34410"
"CII","2006-06-20","15.9","15.9","15.49","15.49","90990"
"CII","2006-06-21","14.81","15.22","14.81","15.22","79820"
"CII","2006-06-22","15.22","15.94","15.22","15.94","52500"
"CII","2006-06-23","16.4","16.4","15.9","15.9","111530"
"CII","2006-06-26","15.67","15.67","15.13","15.13","85640"
"CII","2006-06-27","15.13","15.13","14.58","14.99","84870"
"CII","2006-06-28","14.99","14.99","14.99","14.99","54880"
"CII","2006-06-29","14.99","14.99","14.94","14.99","64250"
"CII","2006-06-30","14.99","15.58","14.99","15.58","140080"
"CII","2006-07-03","15.44","15.44","15.35","15.35","33510"
"CII","2006-07-04","15.22","15.35","15.22","15.35","55160"
"CII","2006-07-05","15.35","15.35","15.31","15.31","12850"
"CII","2006-07-06","15.22","15.44","15.22","15.4","25250"
"CII","2006-07-07","15.44","15.9","15.31","15.9","142240"
"CII","2006-07-10","15.9","15.9","15.53","15.53","8040"
"CII","2006-07-11","15.53","15.53","15.4","15.4","25600"
"CII","2006-07-12","15.44","15.44","15.4","15.4","20820"
"CII","2006-07-13","15.22","15.22","15.22","15.22","30550"
"CII","2006-07-14","15.13","15.22","15.13","15.17","57520"
"CII","2006-07-17","15.13","15.13","14.99","14.99","25900"
"CII","2006-07-18","14.63","14.94","14.63","14.94","35100"
