symbol,date,open,high,low,close,volume
"CLC","2006-11-17","9.92","10.25","9.92","10.25","28570"
"CLC","2006-11-20","10.25","10.25","9.84","10.09","13710"
"CLC","2006-11-21","10.09","10.09","10","10","2370"
"CLC","2006-11-22","9.67","9.67","9.59","9.59","600"
"CLC","2006-11-23","9.34","9.34","9.18","9.18","4320"
"CLC","2006-11-24","9.18","9.18","8.76","8.76","8090"
"CLC","2006-11-27","8.35","8.35","8.35","8.35","4110"
"CLC","2006-11-28","7.94","7.94","7.94","7.94","5100"
"CLC","2006-11-29","7.54","7.94","7.54","7.94","25030"
"CLC","2006-11-30","8.27","8.27","8.27","8.27","6610"
"CLC","2006-12-01","8.68","8.68","8.68","8.68","6100"
"CLC","2006-12-04","9.09","9.09","9.09","9.09","12020"
"CLC","2006-12-05","9.26","9.26","9.09","9.09","8810"
"CLC","2006-12-06","9.09","9.09","8.76","8.76","9050"
"CLC","2006-12-07","8.76","9.09","8.35","9.09","2110"
"CLC","2006-12-11","9.09","9.09","8.76","8.76","950"
"CLC","2006-12-12","8.6","8.6","8.35","8.35","4840"
"CLC","2006-12-13","8.35","8.35","8.27","8.35","4240"
"CLC","2006-12-14","8.35","8.35","8.35","8.35","6750"
"CLC","2006-12-15","8.18","8.76","8.18","8.76","2690"
"CLC","2006-12-18","8.76","9.09","8.76","9.09","6620"
"CLC","2006-12-19","8.93","8.93","8.93","8.93","5500"
"CLC","2006-12-20","8.93","8.93","8.52","8.52","1800"
"CLC","2006-12-21","8.52","8.93","8.52","8.52","3410"
"CLC","2006-12-22","8.18","8.27","8.1","8.27","2290"
"CLC","2006-12-25","8.27","8.27","7.94","7.94","6050"
"CLC","2006-12-26","7.94","7.94","7.94","7.94","5160"
"CLC","2006-12-27","8.1","8.1","8.1","8.1","250"
"CLC","2006-12-28","8.1","8.18","8.1","8.18","3460"
"CLC","2006-12-29","8.18","8.18","7.79","7.79","6080"
"CLC","2007-01-02","8.17","8.17","8.17","8.17","1460"
"CLC","2007-01-03","8.52","8.52","8.52","8.52","3980"
"CLC","2007-01-04","8.6","8.68","8.6","8.6","10670"
"CLC","2007-01-05","8.6","8.6","8.27","8.27","650"
"CLC","2007-01-08","8.27","8.27","8.27","8.27","1200"
"CLC","2007-01-09","8.27","8.27","7.94","7.94","1970"
"CLC","2007-01-10","7.94","8.27","7.94","8.27","2620"
"CLC","2007-01-11","8.27","8.27","8.1","8.1","1400"
"CLC","2007-01-12","8.1","8.1","8.1","8.1","3130"
"CLC","2007-01-15","8.1","8.25","8.1","8.25","2200"
"CLC","2007-01-16","7.85","7.85","7.85","7.85","3800"
"CLC","2007-01-17","7.85","8.18","7.85","8.02","3140"
"CLC","2007-01-18","8.02","8.02","8.02","8.02","3900"
"CLC","2007-01-19","8.02","8.27","8.02","8.27","8130"
"CLC","2007-01-22","8.27","8.35","8.27","8.35","4000"
"CLC","2007-01-25","8.35","8.35","7.94","7.94","550"
"CLC","2007-01-26","7.54","7.94","7.54","7.77","2430"
"CLC","2007-01-29","8.15","8.15","8.15","8.15","13490"
"CLC","2007-01-30","8.35","8.35","8.35","8.35","16600"
"CLC","2007-01-31","8.43","8.43","8.43","8.43","8740"
"CLC","2007-02-01","8.43","8.43","8.43","8.43","5400"
"CLC","2007-02-02","8.43","8.43","8.43","8.43","5350"
"CLC","2007-02-05","8.43","8.43","8.43","8.43","7200"
"CLC","2007-02-06","8.02","8.43","8.02","8.43","8370"
"CLC","2007-02-07","8.43","8.43","8.43","8.43","2310"
"CLC","2007-02-08","8.43","8.43","8.18","8.18","1290"
"CLC","2007-02-09","8.18","8.18","8.1","8.18","2620"
"CLC","2007-02-12","8.18","8.35","8.18","8.35","1890"
"CLC","2007-02-13","8.52","8.68","8.43","8.43","21750"
"CLC","2007-02-14","8.76","8.85","8.76","8.85","28620"
"CLC","2007-02-15","9.26","9.26","9.26","9.26","30810"
"CLC","2007-02-26","9.67","9.67","9.67","9.67","6450"
"CLC","2007-02-27","10.09","10.09","10.09","10.09","21260"
"CLC","2007-02-28","10.58","10.58","10.58","10.58","24970"
"CLC","2007-03-01","11.08","11.08","11.08","11.08","46720"
"CLC","2007-03-02","11.57","11.57","11.24","11.24","85510"
"CLC","2007-03-05","11.24","11.24","11.24","11.24","26870"
"CLC","2007-03-06","10.75","10.75","10.75","10.75","24860"
"CLC","2007-03-07","10.25","10.58","10.25","10.42","28010"
"CLC","2007-03-08","10.25","10.83","10.25","10.83","34500"
"CLC","2007-03-09","11.32","11.32","11.32","11.32","31250"
"CLC","2007-03-12","11.32","11.66","11.32","11.32","36920"
"CLC","2007-03-13","10.83","11.32","10.83","11.24","32930"
"CLC","2007-03-14","10.75","10.75","10.75","10.75","13080"
"CLC","2007-03-15","10.25","10.25","10.25","10.25","6570"
"CLC","2007-03-16","10.09","10.25","9.84","10.25","16220"
"CLC","2007-03-19","10.75","10.75","10.75","10.75","29500"
"CLC","2007-03-20","11.24","11.24","10.91","10.91","49110"
"CLC","2007-03-21","10.91","10.91","10.75","10.75","15780"
"CLC","2007-03-22","10.99","10.99","10.58","10.58","8390"
"CLC","2007-03-23","10.58","10.75","10.58","10.75","15380"
"CLC","2007-03-26","11.24","11.24","10.91","10.91","41670"
"CLC","2007-03-27","11.41","11.41","10.42","10.42","47020"
"CLC","2007-03-28","10.25","10.25","10.25","10.25","12920"
"CLC","2007-03-29","10.75","10.75","10.75","10.75","20420"
"CLC","2007-03-30","10.75","10.75","10.42","10.58","28750"
"CLC","2007-04-02","10.25","10.25","10.25","10.25","25180"
"CLC","2007-04-03","10.25","10.25","10.25","10.25","26460"
"CLC","2007-04-04","10.25","10.33","10.25","10.33","24120"
"CLC","2007-04-05","8.27","9.01","8.27","9.01","23540"
"CLC","2007-04-06","9.01","9.18","8.76","8.76","22370"
"CLC","2007-04-09","8.35","8.35","8.35","8.35","4800"
"CLC","2007-04-10","7.94","8.35","7.94","8.35","14010"
