symbol,date,open,high,low,close,volume
"CLM","2016-04-15","13.83","13.83","7.45","7.45","1400"
"CLM","2016-04-21","8.18","8.18","8.18","8.18","100"
"CLM","2016-04-26","8.98","8.98","8.98","8.98","700"
"CLM","2016-04-27","9.84","9.84","9.84","9.84","3000"
"CLM","2016-05-05","9.84","9.84","9.84","9.84","500"
"CLM","2016-05-19","9.31","9.97","9.31","9.97","200"
"CLM","2016-05-20","9.97","9.97","9.97","9.97","900"
"CLM","2016-06-07","9.97","10.97","9.97","10.97","2100"
"CLM","2016-06-08","11.64","11.64","11.64","11.64","100"
"CLM","2016-06-09","12.63","12.63","12.63","12.63","100"
"CLM","2016-11-16","13.9","13.9","13.9","13.9","100"
"CLM","2016-11-21","12.63","12.63","12.63","12.63","100"
"CLM","2016-12-01","11.37","11.37","11.37","11.37","100"
"CLM","2016-12-02","10.64","10.64","10.64","10.64","100"
"CLM","2017-02-21","10.64","10.64","10.64","10.64","2000"
"CLM","2017-02-22","9.97","9.97","9.97","9.97","300"
"CLM","2017-03-07","10.31","10.31","10.31","10.31","1000"
"CLM","2017-04-28","10.31","10.31","10.31","10.31","300"
"CLM","2017-07-03","11.22","11.22","11.22","11.22","100"
"CLM","2017-08-31","10.52","10.52","10.52","10.52","600"
"CLM","2017-09-26","9.54","9.54","9.54","9.54","100"
"CLM","2017-12-08","9.82","9.82","9.82","9.82","100"
"CLM","2018-01-08","10.8","10.8","10.8","10.8","3300"
"CLM","2018-01-09","11.85","11.85","11.85","11.85","100"
"CLM","2018-01-11","10.73","10.73","10.73","10.73","100"
"CLM","2018-01-25","11.29","11.29","11.29","11.29","100"
"CLM","2018-02-02","12.34","12.34","12.34","12.34","100"
"CLM","2018-03-16","11.15","13.46","11.15","11.15","300"
"CLM","2018-03-19","10.1","10.1","10.1","10.1","100"
"CLM","2018-04-02","11.08","11.08","11.08","11.08","100"
"CLM","2018-04-23","11.08","11.08","11.08","11.08","1000"
"CLM","2018-07-31","12.12","12.12","12.12","12.12","100"
"CLM","2018-09-11","11","11","11","11","100"
"CLM","2018-11-27","10.41","10.41","10.41","10.41","100"
"CLM","2019-07-24","11.44","11.44","11.44","11.44","100"
"CLM","2019-08-07","11.68","11.68","11.68","11.68","6400"
"CLM","2019-08-09","11.68","11.68","11.68","11.68","200"
"CLM","2019-08-26","11.13","11.13","11.13","11.13","10000"
"CLM","2019-09-04","11.13","11.13","10.33","10.33","900"
"CLM","2019-09-25","10.33","10.33","10.33","10.33","4100"
"CLM","2019-10-09","10.33","10.33","10.33","10.33","1000"
"CLM","2019-10-10","10.33","10.33","10.33","10.33","4000"
"CLM","2019-10-14","11.36","11.36","11.36","11.36","100"
"CLM","2019-10-16","12.48","12.48","12.48","12.48","100"
"CLM","2019-10-17","13.67","13.67","13.67","13.67","100"
"CLM","2019-11-05","15.02","15.02","15.02","15.02","100"
"CLM","2019-12-03","16.45","16.45","16.45","16.45","100"
"CLM","2020-01-13","14.86","14.86","14.86","14.86","6300"
"CLM","2020-03-19","14.86","14.86","14.86","14.86","22000"
"CLM","2020-04-10","14.3","14.3","14.3","14.3","5000"
"CLM","2020-04-13","12.87","12.87","12.87","12.87","100"
"CLM","2020-04-14","12.87","12.87","11.6","11.6","500"
"CLM","2020-04-17","12.71","12.71","12.71","12.71","100"
"CLM","2020-04-21","12.87","12.87","12.87","12.87","20000"
"CLM","2020-04-22","12.87","12.87","12.87","12.87","1000"
"CLM","2020-04-28","14.14","14.14","14.14","14.14","3900"
"CLM","2020-04-29","14.14","15.49","14.14","14.7","2600"
"CLM","2020-05-05","16.13","16.13","16.13","16.13","100"
"CLM","2020-05-06","16.69","16.69","15.49","15.49","200"
"CLM","2020-05-08","14.3","14.3","14.06","14.22","8700"
"CLM","2020-05-12","12.9","14.93","12.9","14.93","1300"
"CLM","2020-05-15","14.14","14.14","14.14","14.14","100"
"CLM","2020-06-05","15.02","15.02","15.02","15.02","100"
"CLM","2020-06-12","14.14","14.14","14.14","14.14","200"
"CLM","2020-06-16","14.14","14.14","14.14","14.14","200"
"CLM","2020-07-28","15.37","15.37","15.37","15.37","1000"
