symbol,date,open,high,low,close,volume,year,month,week,weekday
"CMF","2016-11-30","105.95","105.95","105.95","105.95","100","2016","11","49","Wednesday"
"CMF","2016-12-01","121.85","121.85","121.85","121.85","100","2016","12","49","Thursday"
"CMF","2016-12-02","140.09","140.09","136.23","140.09","3200","2016","12","49","Friday"
"CMF","2016-12-05","117.73","117.73","117.05","117.05","500","2016","12","50","Monday"
"CMF","2016-12-06","105.95","105.95","105.95","105.95","200","2016","12","50","Tuesday"
"CMF","2016-12-07","100.91","100.91","100.91","100.91","110","2016","12","50","Wednesday"
"CMF","2016-12-08","100.91","100.91","100.91","100.91","100","2016","12","50","Thursday"
"CMF","2016-12-09","100.91","100.91","100.91","100.91","100","2016","12","50","Friday"
"CMF","2016-12-12","93.34","109.23","88.29","109.23","600","2016","12","51","Monday"
"CMF","2016-12-13","86.61","86.61","86.61","86.61","3800","2016","12","51","Tuesday"
"CMF","2016-12-14","84.09","84.09","84.09","84.09","818","2016","12","51","Wednesday"
"CMF","2016-12-15","84.09","84.09","84.09","84.09","1032","2016","12","51","Thursday"
"CMF","2016-12-19","84.09","84.09","84.09","84.09","100","2016","12","52","Monday"
"CMF","2016-12-21","84.09","84.09","84.09","84.09","110","2016","12","52","Wednesday"
"CMF","2016-12-22","82.41","82.41","82.41","82.41","146","2016","12","52","Thursday"
"CMF","2016-12-26","82.41","82.41","82.41","82.41","204","2016","12","53","Monday"
"CMF","2016-12-29","82.41","82.41","82.41","82.41","100","2016","12","53","Thursday"
"CMF","2016-12-30","82.41","82.41","82.41","82.41","210","2016","12","53","Friday"
"CMF","2017-01-05","82.41","82.41","82.41","82.41","200","2017","01","1","Thursday"
"CMF","2017-01-10","79.89","79.89","79.89","79.89","500","2017","01","2","Tuesday"
"CMF","2017-01-16","77.36","77.36","77.36","77.36","300","2017","01","3","Monday"
"CMF","2017-01-18","75.68","75.68","74.84","74.84","905","2017","01","3","Wednesday"
"CMF","2017-02-20","77.36","77.36","77.36","77.36","1300","2017","02","8","Monday"
"CMF","2017-02-28","65.76","65.76","65.76","65.76","100","2017","02","9","Tuesday"
"CMF","2017-03-14","64.75","64.75","64.75","64.75","410","2017","03","11","Tuesday"
"CMF","2017-03-22","64.75","64.75","64.75","64.75","50","2017","03","12","Wednesday"
"CMF","2017-04-10","74.42","74.42","74.42","74.42","100","2017","04","15","Monday"
"CMF","2017-04-11","85.47","85.47","64.75","64.75","200","2017","04","15","Tuesday"
"CMF","2017-04-14","64.32","64.32","64.32","64.32","100","2017","04","15","Friday"
"CMF","2017-04-17","73.9","73.9","73.9","73.9","100","2017","04","16","Monday"
"CMF","2017-04-20","84.95","84.95","84.95","84.95","100","2017","04","16","Thursday"
"CMF","2017-04-21","84.61","84.61","84.61","84.61","100","2017","04","16","Friday"
"CMF","2017-04-24","96.69","97.3","96.69","97.3","1100","2017","04","17","Monday"
"CMF","2017-05-08","111.72","111.72","82.71","82.71","1200","2017","05","19","Monday"
"CMF","2017-05-15","103.6","103.6","103.6","103.6","5300","2017","05","20","Monday"
"CMF","2017-05-16","102.39","103.6","102.39","103.6","1800","2017","05","20","Tuesday"
"CMF","2017-05-25","87.63","87.63","87.63","87.63","100","2017","05","21","Thursday"
"CMF","2017-06-02","100.75","100.75","100.75","100.75","2100","2017","06","22","Friday"
"CMF","2017-08-22","77.7","77.7","77.7","77.7","500","2017","08","34","Tuesday"
"CMF","2017-09-05","77.7","77.7","77.7","77.7","10000","2017","09","36","Tuesday"
"CMF","2017-10-13","48.35","48.35","48.35","48.35","100","2017","10","41","Friday"
"CMF","2017-10-27","55.6","55.6","55.6","55.6","100","2017","10","43","Friday"
"CMF","2017-11-02","63.89","63.89","63.89","63.89","100","2017","11","44","Thursday"
"CMF","2017-11-21","73.38","73.38","54.3","54.3","1100","2017","11","47","Tuesday"
"CMF","2017-11-22","82.36","82.36","60.95","60.95","200","2017","11","47","Wednesday"
"CMF","2017-11-28","60.95","82.36","60.95","60.95","2800","2017","11","48","Tuesday"
"CMF","2017-11-29","68.03","68.03","68.03","68.03","110","2017","11","48","Wednesday"
"CMF","2017-11-30","58.71","58.71","58.71","58.71","100","2017","11","48","Thursday"
"CMF","2017-12-12","67.51","67.51","49.99","49.99","200","2017","12","50","Tuesday"
"CMF","2017-12-14","50.94","50.94","50.94","50.94","100","2017","12","50","Thursday"
"CMF","2017-12-15","44.03","44.03","44.03","44.03","100","2017","12","50","Friday"
"CMF","2017-12-20","50.59","50.59","50.59","50.59","104","2017","12","51","Wednesday"
"CMF","2017-12-21","58.1","58.1","58.1","58.1","102","2017","12","51","Thursday"
"CMF","2017-12-22","66.74","66.74","66.74","66.74","100","2017","12","51","Friday"
"CMF","2017-12-25","76.67","76.67","56.81","56.81","303","2017","12","52","Monday"
"CMF","2017-12-26","72.95","72.95","56.2","56.2","712","2017","12","52","Tuesday"
"CMF","2017-12-27","70.02","70.02","70.02","70.02","100","2017","12","52","Wednesday"
"CMF","2017-12-28","80.46","80.46","80.46","80.46","108","2017","12","52","Thursday"
"CMF","2017-12-29","92.46","92.46","92.46","92.46","100","2017","12","52","Friday"
"CMF","2018-01-02","106.28","106.28","106.28","106.28","100","2018","01","1","Tuesday"
"CMF","2018-04-16","111.01","111.01","111.01","111.01","1400","2018","04","16","Monday"
"CMF","2018-12-06","111.01","111.01","111.01","111.01","100","2018","12","49","Thursday"
"CMF","2018-12-28","113.73","113.73","113.73","113.73","100","2018","12","52","Friday"
"CMF","2019-01-16","113.73","113.73","113.73","113.73","1","2019","01","3","Wednesday"
"CMF","2019-01-21","113.73","113.73","113.73","113.73","3","2019","01","4","Monday"
"CMF","2019-01-29","113.73","113.73","113.73","113.73","1","2019","01","5","Tuesday"
