symbol,date,open,high,low,close,volume,year,month,week,weekday
"CPC","2010-01-18","7.5","7.5","7.06","7.06","4500","2010","01","4","Monday"
"CPC","2010-01-19","7.06","7.06","7.06","7.06","400","2010","01","4","Tuesday"
"CPC","2010-01-21","6.57","6.57","6.57","6.57","2500","2010","01","4","Thursday"
"CPC","2010-01-22","6.14","6.14","6.14","6.14","2500","2010","01","4","Friday"
"CPC","2010-01-25","5.74","5.74","5.74","5.74","200","2010","01","5","Monday"
"CPC","2010-01-26","5.36","6.08","5.36","5.76","25500","2010","01","5","Tuesday"
"CPC","2010-01-27","5.45","5.62","5.07","5.07","4000","2010","01","5","Wednesday"
"CPC","2010-01-28","4.99","4.99","4.84","4.84","1300","2010","01","5","Thursday"
"CPC","2010-01-29","4.9","5.19","4.9","5.19","1200","2010","01","5","Friday"
"CPC","2010-02-01","4.9","4.9","4.87","4.87","6400","2010","02","6","Monday"
"CPC","2010-02-02","4.76","4.9","4.61","4.9","7100","2010","02","6","Tuesday"
"CPC","2010-02-03","4.87","5.13","4.87","5.13","6600","2010","02","6","Wednesday"
"CPC","2010-02-04","5.33","5.33","5.3","5.33","7000","2010","02","6","Thursday"
"CPC","2010-02-05","5.54","5.54","5.36","5.36","2600","2010","02","6","Friday"
"CPC","2010-02-08","5.74","5.88","5.51","5.71","11500","2010","02","7","Monday"
"CPC","2010-02-09","5.39","5.48","5.36","5.36","1000","2010","02","7","Tuesday"
"CPC","2010-02-10","5.13","5.13","5.13","5.13","1100","2010","02","7","Wednesday"
"CPC","2010-02-11","5.19","5.48","5.19","5.48","3300","2010","02","7","Thursday"
"CPC","2010-02-12","5.76","5.79","5.48","5.48","1600","2010","02","7","Friday"
"CPC","2010-02-22","5.62","5.62","5.62","5.62","300","2010","02","9","Monday"
"CPC","2010-02-23","5.56","5.56","5.25","5.45","7800","2010","02","9","Tuesday"
"CPC","2010-02-24","5.22","5.28","5.22","5.28","1700","2010","02","9","Wednesday"
"CPC","2010-02-25","5.25","5.51","5.25","5.3","7900","2010","02","9","Thursday"
"CPC","2010-02-26","5.42","5.51","5.36","5.51","3500","2010","02","9","Friday"
"CPC","2010-03-01","5.42","5.42","5.04","5.04","2600","2010","03","10","Monday"
"CPC","2010-03-02","4.81","4.93","4.81","4.93","600","2010","03","10","Tuesday"
"CPC","2010-03-03","5.02","5.16","5.02","5.16","9200","2010","03","10","Wednesday"
"CPC","2010-03-04","5.39","5.39","5.39","5.39","100","2010","03","10","Thursday"
"CPC","2010-03-05","5.39","5.39","5.13","5.39","500","2010","03","10","Friday"
"CPC","2010-03-08","5.19","5.19","5.13","5.19","5000","2010","03","11","Monday"
"CPC","2010-03-09","5.04","5.19","5.04","5.19","1500","2010","03","11","Tuesday"
"CPC","2010-03-10","4.99","5.16","4.99","5.16","2800","2010","03","11","Wednesday"
"CPC","2010-03-11","5.19","5.25","5.1","5.25","4200","2010","03","11","Thursday"
"CPC","2010-03-12","5.22","5.3","5.22","5.3","2200","2010","03","11","Friday"
"CPC","2010-03-15","5.28","5.39","5.28","5.36","38300","2010","03","12","Monday"
"CPC","2010-03-16","5.33","5.33","5.33","5.33","4600","2010","03","12","Tuesday"
"CPC","2010-03-17","5.3","5.3","5.19","5.19","5100","2010","03","12","Wednesday"
"CPC","2010-03-18","5.19","5.19","5.19","5.19","2700","2010","03","12","Thursday"
"CPC","2010-03-19","5.19","5.19","5.04","5.04","2600","2010","03","12","Friday"
"CPC","2010-03-22","5.19","5.19","5.13","5.19","13200","2010","03","13","Monday"
"CPC","2010-03-23","5.19","5.19","5.16","5.16","7200","2010","03","13","Tuesday"
"CPC","2010-03-24","5.19","5.19","5.19","5.19","4000","2010","03","13","Wednesday"
"CPC","2010-03-25","5.19","5.19","5.02","5.02","10100","2010","03","13","Thursday"
"CPC","2010-03-29","5.33","5.33","5.07","5.07","1100","2010","03","14","Monday"
