symbol,date,open,high,low,close,volume
"CPI","2017-08-18","3.6","3.6","3.6","3.6","100"
"CPI","2017-08-21","3.6","3.6","3.6","3.6","100"
"CPI","2017-08-25","3.1","3.1","3.1","3.1","400"
"CPI","2017-09-01","2.7","2.7","2.7","2.7","200"
"CPI","2017-09-08","2.3","2.3","2.3","2.3","100"
"CPI","2017-09-15","2","2","2","2","100"
"CPI","2017-09-22","1.7","1.7","1.7","1.7","100"
"CPI","2017-09-29","1.7","1.7","1.7","1.7","60"
"CPI","2017-10-06","1.9","1.9","1.9","1.9","500"
"CPI","2017-10-13","1.9","1.9","1.9","1.9","60"
"CPI","2017-10-20","1.7","1.7","1.7","1.7","600"
"CPI","2017-10-27","1.5","1.5","1.5","1.5","100"
"CPI","2017-11-03","1.5","1.5","1.5","1.5","100"
"CPI","2017-11-10","1.3","1.3","1.3","1.3","100"
"CPI","2017-11-17","1.2","1.2","1.2","1.2","100"
"CPI","2017-11-24","1.2","1.2","1.1","1.1","1500"
"CPI","2017-12-01","1.2","1.2","1.1","1.1","410"
"CPI","2017-12-22","1.3","1.3","1.2","1.2","1130"
"CPI","2018-01-05","1.3","1.3","1.3","1.3","3900"
"CPI","2018-03-09","1.4","1.4","1.4","1.4","500"
"CPI","2018-06-01","1.6","1.6","1.6","1.6","97880"
"CPI","2018-11-09","1.8","1.8","1.8","1.8","3200"
"CPI","2018-11-16","2","2","2","2","400"
"CPI","2019-01-04","2.3","2.3","2.3","2.3","400"
"CPI","2019-02-22","2","2","2","2","100"
"CPI","2019-04-05","2","2","2","2","2500"
"CPI","2019-08-02","2.3","2.3","2.3","2.3","200"
"CPI","2019-08-16","2","2","2","2","200"
"CPI","2019-08-23","2.3","2.3","2.3","2.3","600"
"CPI","2019-08-30","2","2","2","2","100"
"CPI","2019-10-11","2.3","2.3","2","2","2200"
"CPI","2019-10-18","2","2","1.9","1.9","500"
"CPI","2019-10-25","1.7","1.7","1.7","1.7","300"
"CPI","2019-11-01","1.5","1.5","1.5","1.5","1000"
"CPI","2019-11-15","1.5","1.5","1.3","1.3","3400"
"CPI","2019-11-22","1.2","1.2","1.2","1.2","1500"
"CPI","2019-11-29","1.1","1.1","1.1","1.1","2000"
"CPI","2019-12-20","1.2","1.2","1.2","1.2","1900"
"CPI","2019-12-27","1.1","1.1","1.1","1.1","1100"
"CPI","2020-01-03","1","1","1","1","1000"
"CPI","2020-01-10","1","1","1","1","700"
"CPI","2020-01-17","1","1","1","1","2100"
"CPI","2020-02-07","1.1","1.1","0.9","0.9","10600"
"CPI","2020-02-21","1","1","1","1","100"
"CPI","2020-03-06","1.1","1.1","1.1","1.1","100"
"CPI","2020-03-20","1","1","1","1","100"
"CPI","2020-03-27","1.1","1.1","1.1","1.1","100"
"CPI","2020-04-03","1","1.2","1","1","2100"
"CPI","2020-04-10","1","1.2","1","1.2","3200"
"CPI","2020-05-22","1.1","1.1","1.1","1.1","1000"
"CPI","2020-05-29","1","1","1","1","6000"
"CPI","2020-08-07","1.1","1.1","1.1","1.1","100"
"CPI","2020-09-18","1","1","1","1","100"
"CPI","2020-10-30","1.1","1.1","1.1","1.1","4000"
"CPI","2020-11-06","1.2","1.2","1.2","1.2","100"
"CPI","2020-11-13","1.3","1.3","1.3","1.3","100"
"CPI","2020-11-20","1.4","1.4","1.4","1.4","1600"
"CPI","2020-11-27","1.3","1.3","1.3","1.3","1000"
"CPI","2020-12-04","1.4","1.4","1.4","1.4","100"
"CPI","2020-12-18","1.3","1.5","1.3","1.5","700"
"CPI","2021-01-08","1.6","1.7","1.6","1.7","400"
"CPI","2021-01-15","1.8","1.9","1.8","1.9","400"
"CPI","2021-01-22","2","2.1","2","2.1","300"
"CPI","2021-01-29","2.3","2.3","2.3","2.3","500"
"CPI","2021-02-05","2.5","2.6","2.5","2.6","700"
"CPI","2021-02-19","2.7","2.8","2.7","2.8","900"
"CPI","2021-02-26","2.9","3.2","2.9","3.2","3700"
"CPI","2021-03-05","3.4","3.4","3.4","3.4","1000"
"CPI","2021-03-12","3","3","3","3","4600"
"CPI","2021-03-19","3.4","3.4","3.4","3.4","2700"
"CPI","2021-03-26","3.4","3.4","3.4","3.4","100"
"CPI","2021-04-02","3.6","3.7","3.6","3.6","1900"
"CPI","2021-04-09","3.6","3.6","3.6","3.6","3000"
"CPI","2021-04-16","3.8","3.9","3.8","3.9","1800"
"CPI","2021-04-23","3.9","3.9","3.4","3.4","6600"
"CPI","2021-05-07","3.8","3.9","3.2","3.9","11300"
"CPI","2021-05-14","4","4","3.5","3.5","10100"
"CPI","2021-05-21","4.3","4.3","3.3","3.5","17400"
"CPI","2021-05-28","3.2","3.7","3.2","3.7","1300"
"CPI","2021-06-04","3.1","3.6","3.1","3.6","15500"
"CPI","2021-06-11","3.6","3.6","3.2","3.6","8900"
"CPI","2021-06-18","3","3.6","3","3.4","6400"
"CPI","2021-06-25","3.3","3.5","3.1","3.5","7100"
"CPI","2021-07-02","3.5","3.5","3","3","2500"
"CPI","2021-07-09","3","3","3","3","100"
"CPI","2021-07-16","3.4","3.4","3.3","3.3","800"
"CPI","2021-08-06","3","3","3","3","6400"
"CPI","2021-08-13","3","3.4","3","3.4","26000"
"CPI","2021-08-20","3.6","3.7","3.6","3.7","9200"
"CPI","2021-08-27","4.2","4.2","4.2","4.2","5100"
"CPI","2021-09-10","4.8","4.8","4.8","4.8","500"
"CPI","2021-09-17","5.5","5.5","5.5","5.5","2500"
"CPI","2021-09-24","6.3","6.3","6","6.3","11700"
"CPI","2021-10-01","6.3","7.1","6.3","7.1","19600"
"CPI","2021-10-08","7.5","7.5","7.4","7.5","26100"
"CPI","2021-10-15","8.3","8.6","7.5","8.6","14800"
"CPI","2021-10-22","9.7","9.7","9.7","9.7","28600"
"CPI","2021-10-29","11.1","11.1","8.3","8.3","50900"
"CPI","2021-11-05","8.6","8.6","7.6","8.5","63900"
"CPI","2021-11-12","8.3","8.5","7.2","7.9","35900"
