symbol,date,open,high,low,close,volume
"CSM","2009-08-11","7.38","7.38","7.38","7.38","1520"
"CSM","2009-08-12","7.75","7.75","7.75","7.75","60"
"CSM","2009-08-13","8.12","8.12","8.12","8.12","60"
"CSM","2009-08-14","8.49","8.49","8.49","8.49","60"
"CSM","2009-08-17","8.86","8.86","8.86","8.86","15550"
"CSM","2009-08-18","9.3","9.3","9.3","9.3","25230"
"CSM","2009-08-19","9.75","9.75","9.75","9.75","10020"
"CSM","2009-08-20","10.19","10.19","10.19","10.19","8350"
"CSM","2009-08-21","10.63","10.63","10.63","10.63","28100"
"CSM","2009-08-24","11.15","11.15","11.08","11.15","521340"
"CSM","2009-08-25","11.6","11.6","11.37","11.45","668620"
"CSM","2009-08-26","11.22","11.52","11.22","11.22","257170"
"CSM","2009-08-27","11.15","11.22","10.86","11.15","248710"
"CSM","2009-08-28","11.22","11.45","11.15","11.45","206080"
"CSM","2009-08-31","11.67","11.74","11.52","11.74","284580"
"CSM","2009-09-01","11.67","11.82","11.52","11.82","357630"
"CSM","2009-09-03","11.6","11.74","11.52","11.52","133230"
"CSM","2009-09-04","11.67","11.89","11.37","11.52","280700"
"CSM","2009-09-07","11.52","11.52","11.15","11.45","112100"
"CSM","2009-09-08","11.52","11.74","11.52","11.67","149360"
"CSM","2009-09-09","11.67","11.82","11.67","11.74","224780"
"CSM","2009-09-10","11.82","12.26","11.82","12.26","293520"
"CSM","2009-09-11","12.85","12.85","12.85","12.85","137330"
"CSM","2009-09-14","13.44","13.44","13.15","13.44","366610"
"CSM","2009-09-15","14.11","14.11","14.03","14.11","587810"
"CSM","2009-09-16","10.34","14.47","13.88","14.03","263490"
"CSM","2009-09-17","14.03","14.11","13.59","14.03","327140"
"CSM","2009-09-18","14.11","14.7","13.96","14.7","1017600"
"CSM","2009-09-21","15.36","15.36","15.21","15.36","587340"
"CSM","2009-09-22","16.1","16.1","15.95","16.1","541760"
"CSM","2009-09-23","16.84","16.84","16.84","16.84","454660"
"CSM","2009-09-24","16.54","17.58","16.54","17.58","1042290"
"CSM","2009-09-25","18.02","18.32","17.72","18.32","827610"
"CSM","2009-09-28","19.05","19.2","18.76","19.2","677400"
"CSM","2009-09-29","20.09","20.09","19.2","20.09","594960"
"CSM","2009-09-30","19.64","20.68","19.2","19.2","613100"
"CSM","2009-10-01","18.76","18.91","18.32","18.32","539050"
"CSM","2009-10-02","17.43","17.43","17.43","17.43","99790"
"CSM","2009-10-05","16.69","17.28","16.69","16.69","696370"
"CSM","2009-10-06","17.13","17.28","15.95","17.28","736300"
"CSM","2009-10-07","17.58","18.02","17.13","18.02","614930"
"CSM","2009-10-08","18.02","18.76","17.72","18.32","320220"
"CSM","2009-10-09","18.46","18.61","17.58","17.58","706490"
"CSM","2009-10-12","17.58","17.87","17.28","17.58","561420"
"CSM","2009-10-13","17.72","17.72","17.43","17.58","343580"
"CSM","2009-10-14","17.58","18.32","17.58","18.32","426120"
"CSM","2009-10-15","19.05","19.05","18.46","18.76","608420"
"CSM","2009-10-16","18.61","18.76","17.87","18.02","465490"
"CSM","2009-10-19","18.02","18.17","17.72","17.72","377070"
"CSM","2009-10-20","18.17","18.17","17.58","18.02","261610"
"CSM","2009-10-21","18.02","18.91","17.87","18.91","867180"
"CSM","2009-10-22","19.79","19.79","19.35","19.79","1029990"
"CSM","2009-10-23","19.79","19.79","18.91","18.91","262030"
"CSM","2009-10-26","18.46","18.76","18.02","18.02","393790"
"CSM","2009-10-27","17.13","17.28","17.13","17.13","290790"
"CSM","2009-10-28","17.13","17.28","16.39","16.69","991120"
"CSM","2009-10-29","16.1","16.25","15.95","16.1","506130"
"CSM","2009-10-30","16.84","16.84","16.25","16.84","360840"
"CSM","2009-11-02","16.1","16.25","16.1","16.1","85420"
"CSM","2009-11-03","15.66","15.66","15.36","15.36","196520"
"CSM","2009-11-04","14.62","15.36","14.62","14.62","466930"
"CSM","2009-11-05","14.77","15.21","14.62","15.21","306240"
"CSM","2009-11-06","15.95","15.95","15.8","15.95","598900"
"CSM","2009-11-09","15.8","15.8","15.21","15.21","305990"
"CSM","2009-11-10","15.21","15.21","14.47","14.62","280460"
"CSM","2009-11-11","14.62","15.07","14.47","14.92","238520"
"CSM","2009-11-12","14.92","15.36","14.77","15.07","231770"
"CSM","2009-11-13","14.77","14.92","14.7","14.92","158390"
"CSM","2009-11-16","15.07","15.36","14.62","14.62","269740"
"CSM","2009-11-17","14.77","14.77","14.55","14.62","187460"
"CSM","2009-11-18","14.62","15.21","14.55","15.21","472810"
"CSM","2009-11-19","15.51","15.8","15.21","15.36","462460"
"CSM","2009-11-20","15.07","15.36","14.77","14.92","200020"
"CSM","2009-11-23","15.07","15.07","14.18","14.33","398960"
"CSM","2009-11-24","14.25","14.47","14.03","14.11","302950"
"CSM","2009-11-25","13.44","14.03","13.44","13.44","306180"
"CSM","2009-11-26","12.78","12.78","12.78","12.78","198640"
"CSM","2009-11-27","12.19","13.37","12.19","12.78","432010"
"CSM","2009-11-30","12.78","13.37","12.78","13.07","239840"
"CSM","2009-12-01","13.59","13.59","13.15","13.59","151690"
"CSM","2009-12-02","13.52","13.52","12.92","12.92","144050"
"CSM","2009-12-03","12.85","13.29","12.41","12.85","195780"
"CSM","2009-12-04","13","13","12.63","12.7","98120"
"CSM","2009-12-07","12.85","12.85","12.55","12.78","133040"
"CSM","2009-12-08","12.78","12.78","12.41","12.48","118300"
"CSM","2009-12-09","11.89","11.96","11.89","11.89","227800"
"CSM","2009-12-10","12.26","12.26","11.3","11.3","211270"
"CSM","2009-12-11","10.93","11.08","10.78","10.78","190550"
"CSM","2009-12-14","11.08","11.3","10.34","11.15","248500"
"CSM","2009-12-15","10.78","11","10.63","10.63","134560"
"CSM","2009-12-16","10.27","10.34","10.12","10.12","115530"
"CSM","2009-12-17","9.75","9.9","9.68","9.68","209610"
"CSM","2009-12-18","9.75","10.12","9.75","10.12","136860"
"CSM","2009-12-21","10.56","10.56","10.56","10.56","99440"
"CSM","2009-12-22","11.08","11.08","11","11.08","397710"
"CSM","2009-12-23","11.22","11.6","11.15","11.6","341140"
"CSM","2009-12-24","11.96","12.04","11.67","12.04","267090"
"CSM","2009-12-25","12.26","12.26","11.96","12.11","327130"
"CSM","2009-12-28","11.74","12.26","11.74","12.26","369890"
