symbol,date,open,high,low,close,volume
"CTB","2006-10-10","5.13","5.3","4.97","5.15","1900"
"CTB","2006-10-11","5.3","5.3","5.3","5.22","1500"
"CTB","2006-10-12","5.3","5.3","5.3","5.22","100"
"CTB","2006-10-13","5.3","5.3","5.3","5.22","100"
"CTB","2006-10-16","4.97","4.97","4.97","4.97","300"
"CTB","2006-10-17","4.97","5.13","4.97","5.04","1400"
"CTB","2006-10-24","4.97","4.97","4.97","4.97","100"
"CTB","2006-10-27","4.97","4.97","4.97","4.97","100"
"CTB","2006-11-17","4.47","4.47","4.47","4.47","1000"
"CTB","2006-11-20","4.97","4.97","4.47","4.5","1100"
"CTB","2006-11-21","4.47","4.47","4.47","4.47","100"
"CTB","2006-11-22","4.47","4.47","4.47","4.47","100"
"CTB","2006-11-23","4.47","4.47","4.47","4.47","100"
"CTB","2006-11-24","4.31","4.31","4.31","4.31","100"
"CTB","2006-11-27","4.47","4.47","4.47","4.47","1000"
"CTB","2006-11-28","4.31","4.31","4.31","4.31","300"
"CTB","2006-11-30","4.14","4.14","4.14","4.14","5000"
"CTB","2006-12-05","3.98","3.98","3.98","3.98","1400"
"CTB","2006-12-06","3.98","3.98","3.98","3.89","1000"
"CTB","2006-12-07","3.64","3.81","3.64","3.81","500"
"CTB","2006-12-11","3.64","3.64","3.64","3.64","1500"
"CTB","2006-12-14","3.48","3.48","3.48","3.48","900"
"CTB","2006-12-20","3.31","3.31","3.31","3.31","100"
"CTB","2006-12-21","3.31","3.31","3.31","3.31","1500"
"CTB","2006-12-22","3.31","3.31","3.31","3.31","700"
"CTB","2006-12-25","3.48","3.48","3.48","3.48","100"
"CTB","2007-01-04","3.81","3.81","3.81","3.83","100"
"CTB","2007-01-10","4.14","4.14","4.14","4.14","100"
"CTB","2007-01-12","4.14","4.14","4.14","4.14","1000"
"CTB","2007-01-15","4.14","4.14","4.14","4.14","1600"
"CTB","2007-01-16","4.31","4.31","4.14","4.14","1800"
"CTB","2007-01-18","4.14","4.31","4.14","4.31","2500"
"CTB","2007-01-19","4.31","4.47","4.31","4.39","1500"
"CTB","2007-01-22","4.31","4.47","4.31","4.47","3000"
"CTB","2007-01-23","4.64","4.64","4.31","4.31","9100"
"CTB","2007-01-24","4.31","4.31","4.31","4.31","1500"
"CTB","2007-01-25","4.47","4.47","4.47","4.47","1400"
"CTB","2007-01-26","4.47","4.47","4.47","4.47","1000"
"CTB","2007-01-29","4.31","4.47","4.31","4.39","1500"
"CTB","2007-02-01","4.64","4.64","4.31","4.34","300"
"CTB","2007-02-06","4.47","4.47","4.31","4.31","1100"
"CTB","2007-02-08","4.31","4.31","4.31","4.31","1000"
"CTB","2007-02-09","4.31","4.31","4.31","4.31","800"
"CTB","2007-02-12","4.31","4.31","4.31","4.31","1000"
"CTB","2007-02-13","4.31","4.31","4.31","4.31","2500"
"CTB","2007-02-14","4.31","4.31","4.31","4.31","1600"
"CTB","2007-02-26","4.31","4.47","4.31","4.47","1500"
"CTB","2007-02-27","4.97","4.97","4.97","4.89","1400"
"CTB","2007-02-28","5.3","5.3","5.3","5.37","5600"
"CTB","2007-03-01","5.96","5.96","5.96","5.9","9900"
"CTB","2007-03-02","6.46","6.46","6.46","6.48","25000"
"CTB","2007-03-05","7.12","7.12","7.12","7.12","9800"
"CTB","2007-03-06","7.78","7.78","7.78","7.83","22800"
"CTB","2007-03-07","8.61","8.61","8.61","8.61","5500"
"CTB","2007-03-08","9.44","9.44","9.44","9.47","25600"
"CTB","2007-03-09","10.43","10.43","9.77","10.27","20600"
"CTB","2007-03-12","10.77","10.77","9.77","9.77","3900"
"CTB","2007-03-13","9.28","9.44","9.28","9.34","4100"
"CTB","2007-03-14","8.45","8.45","8.45","8.41","3800"
"CTB","2007-03-15","7.62","7.62","7.62","7.59","3000"
"CTB","2007-03-16","6.79","7.62","6.79","7.62","12400"
"CTB","2007-03-19","7.62","7.62","7.62","7.65","400"
"CTB","2007-03-20","8.45","8.45","8.28","8.41","18600"
"CTB","2007-03-21","8.78","8.94","8.61","8.7","8900"
