symbol,date,open,high,low,close,volume
"CTF","2017-05-30","5.76","5.76","5.76","5.76","790"
"CTF","2017-05-31","6.16","6.16","6.16","6.16","1100"
"CTF","2017-06-01","6.16","6.58","6.16","6.58","4110"
"CTF","2017-06-02","7.04","7.04","7.04","7.04","500"
"CTF","2017-06-05","7.51","7.51","7.51","7.51","400"
"CTF","2017-06-06","8.04","8.04","8.04","8.04","340"
"CTF","2017-06-07","8.59","8.59","8.59","8.59","30"
"CTF","2017-06-08","9.19","9.19","9.19","9.19","4140"
"CTF","2017-06-09","9.83","9.83","9.83","9.83","20510"
"CTF","2017-06-12","9.83","10.51","9.83","10.51","40580"
"CTF","2017-06-13","11.23","11.23","11.23","11.23","37250"
"CTF","2017-06-14","12.01","12.01","12.01","12.01","51250"
"CTF","2017-06-15","12.85","12.85","12.85","12.85","21830"
"CTF","2017-06-16","12.85","13.75","12.85","13.75","14700"
"CTF","2017-06-19","14.71","14.71","14.71","14.71","10260"
"CTF","2017-06-20","15.73","15.73","15.73","15.73","42030"
"CTF","2017-06-21","16.83","16.83","14.63","14.63","68460"
"CTF","2017-06-22","13.61","13.61","13.61","13.61","1860"
"CTF","2017-06-23","12.67","12.67","12.67","12.67","30"
"CTF","2017-06-26","11.79","13.51","11.79","11.79","60940"
"CTF","2017-06-27","11.79","11.79","10.97","10.97","20640"
"CTF","2017-06-28","10.21","10.21","10.21","10.21","3190"
"CTF","2017-06-29","9.51","10.19","9.51","9.59","44330"
"CTF","2017-06-30","10.25","10.25","10.23","10.25","1190"
"CTF","2017-07-03","10.95","10.95","10.95","10.95","30230"
"CTF","2017-07-04","11.71","11.71","11.71","11.71","18450"
"CTF","2017-07-05","12.53","12.53","11.79","12.51","16160"
"CTF","2017-07-06","12.51","12.75","11.65","12.19","17520"
"CTF","2017-07-07","11.63","11.79","11.63","11.75","11770"
"CTF","2017-07-10","11.71","11.71","11.31","11.59","3260"
"CTF","2017-07-11","11.31","11.39","11.31","11.35","630"
"CTF","2017-07-12","11.59","11.79","11.35","11.79","1360"
"CTF","2017-07-13","12.15","12.19","11.71","12.19","2500"
"CTF","2017-07-14","11.95","12.31","11.35","11.35","5700"
"CTF","2017-07-17","11.03","11.75","10.71","10.73","5620"
"CTF","2017-07-18","11.19","11.35","10.79","11.35","710"
"CTF","2017-07-19","10.91","11.55","10.85","11.55","2630"
"CTF","2017-07-20","11.59","11.59","10.75","10.75","1960"
"CTF","2017-07-21","10.75","11.39","10.75","11.31","210"
"CTF","2017-07-24","10.99","10.99","10.95","10.95","1860"
"CTF","2017-07-25","11.11","11.11","10.91","10.99","3750"
"CTF","2017-07-26","10.99","11.39","10.95","11.39","67320"
"CTF","2017-07-27","11.15","11.43","11.11","11.39","30740"
"CTF","2017-07-28","11.39","11.39","11.17","11.17","20950"
"CTF","2017-07-31","11.35","11.35","11.05","11.31","14750"
"CTF","2017-08-01","11.31","11.31","11.03","11.19","710"
"CTF","2017-08-02","11.05","11.15","11.05","11.15","1730"
"CTF","2017-08-03","11.05","11.13","10.99","11.13","30340"
"CTF","2017-08-04","11.11","11.11","11.07","11.11","4950"
"CTF","2017-08-07","11.03","11.11","11.03","11.11","9450"
"CTF","2017-08-08","11.11","11.11","10.95","10.95","42650"
"CTF","2017-08-09","10.95","11.07","10.95","11.07","18800"
"CTF","2017-08-10","11.19","11.59","11.19","11.59","6100"
"CTF","2017-08-11","11.67","11.71","11.59","11.67","27880"
"CTF","2017-08-14","11.71","11.79","11.67","11.75","25480"
"CTF","2017-08-15","11.79","11.87","11.59","11.87","22350"
"CTF","2017-08-16","11.87","11.99","11.87","11.95","16470"
"CTF","2017-08-17","11.95","11.99","11.75","11.87","13330"
"CTF","2017-08-18","11.87","11.91","11.05","11.05","14450"
"CTF","2017-08-21","10.79","11.05","10.79","11.05","21600"
"CTF","2017-08-22","11.07","11.07","11.03","11.05","15660"
"CTF","2017-08-23","11.07","11.81","11.07","11.19","15730"
"CTF","2017-08-24","11.27","11.27","11.23","11.23","7580"
"CTF","2017-08-25","11.35","11.67","11.35","11.67","18290"
"CTF","2017-08-28","11.67","11.79","11.59","11.59","22530"
"CTF","2017-08-29","11.39","11.75","11.03","11.67","19000"
"CTF","2017-08-30","11.59","11.79","11.55","11.69","15610"
"CTF","2017-08-31","11.75","11.87","11.63","11.67","12650"
"CTF","2017-09-01","11.79","11.79","11.63","11.67","9560"
"CTF","2017-09-05","11.67","11.79","10.87","11.79","30690"
"CTF","2017-09-06","11.75","11.75","10.97","11.19","11900"
"CTF","2017-09-07","11.39","11.59","10.79","11.59","10350"
"CTF","2017-09-08","11.59","11.59","11.55","11.59","7900"
"CTF","2017-09-11","11.59","11.63","11.39","11.63","12190"
"CTF","2017-09-12","11.67","11.75","11.63","11.75","10420"
"CTF","2017-09-13","11.79","11.79","11.59","11.59","10200"
"CTF","2017-09-14","11.63","11.75","11.59","11.59","12480"
"CTF","2017-09-15","11.51","11.55","10.79","11.51","21340"
