symbol,date,open,high,low,close,volume
"CTG","2009-07-16","11.7","13.16","11.7","11.72","2401900"
"CTG","2009-07-17","11.29","11.4","11.14","11.14","1002480"
"CTG","2009-07-20","10.58","10.58","10.58","10.58","156560"
"CTG","2009-07-21","10.06","10.38","10.06","10.2","2133390"
"CTG","2009-07-22","10.38","10.5","10.23","10.35","949090"
"CTG","2009-07-23","10.29","10.85","10.29","10.85","758310"
"CTG","2009-07-24","11.37","11.37","11.37","11.37","640060"
"CTG","2009-07-27","11.93","11.93","11.55","11.93","3264870"
"CTG","2009-07-28","11.93","12.22","11.61","11.64","2008120"
"CTG","2009-07-30","11.05","11.26","10.82","11.08","830120"
"CTG","2009-07-31","11.26","11.61","11.23","11.61","1807290"
"CTG","2009-08-03","11.7","11.93","11.55","11.7","1203870"
"CTG","2009-08-05","11.67","11.78","11.58","11.7","1130020"
"CTG","2009-08-06","11.7","11.78","11.55","11.55","1483460"
"CTG","2009-08-07","11.55","11.64","11.46","11.52","668260"
"CTG","2009-08-10","11.61","11.7","11.55","11.67","730910"
"CTG","2009-08-11","11.61","11.67","11.49","11.52","557710"
"CTG","2009-08-12","11.64","11.67","11.46","11.46","1001200"
"CTG","2009-08-13","11.64","11.64","11.46","11.52","1161040"
"CTG","2009-08-14","11.55","11.67","11.52","11.61","878140"
"CTG","2009-08-17","11.7","11.75","11.55","11.55","1534900"
"CTG","2009-08-18","11.4","11.55","11.37","11.43","778860"
"CTG","2009-08-19","11.43","11.52","11.4","11.43","713790"
"CTG","2009-08-20","11.4","11.43","11.34","11.34","867530"
"CTG","2009-08-21","11.55","11.7","11.4","11.43","1127700"
"CTG","2009-08-24","11.4","11.49","11.4","11.43","684140"
"CTG","2009-08-25","11.4","11.4","11.31","11.34","715430"
"CTG","2009-08-26","11.29","11.34","11.29","11.29","635150"
"CTG","2009-08-27","11.26","11.29","11.2","11.23","609730"
"CTG","2009-08-28","11.26","11.29","11.23","11.29","928800"
"CTG","2009-08-31","11.49","11.52","11.26","11.37","763090"
"CTG","2009-09-01","11.29","11.34","11.26","11.31","628060"
"CTG","2009-09-03","11.17","11.34","11.17","11.2","659050"
"CTG","2009-09-04","11.17","11.29","10.96","10.96","683440"
"CTG","2009-09-07","10.58","10.88","10.53","10.76","737000"
"CTG","2009-09-08","10.82","10.96","10.82","10.96","477720"
"CTG","2009-09-09","11.05","11.05","10.9","10.9","324240"
"CTG","2009-09-10","10.82","10.88","10.73","10.76","373890"
"CTG","2009-09-11","10.76","10.82","10.7","10.7","570170"
"CTG","2009-09-14","10.7","10.73","10.64","10.64","598780"
"CTG","2009-09-15","10.58","10.82","10.58","10.67","776350"
"CTG","2009-09-16","20.47","11.2","10.99","11.2","1260580"
"CTG","2009-09-17","11.4","11.4","11.05","11.11","1075010"
"CTG","2009-09-18","10.82","11.11","10.82","11.11","876100"
"CTG","2009-09-21","11.11","11.11","11.05","11.08","852040"
"CTG","2009-09-22","10.96","11.02","10.82","10.94","702320"
"CTG","2009-09-23","11.11","11.11","10.94","10.94","885880"
"CTG","2009-09-24","10.85","10.9","10.82","10.82","444170"
"CTG","2009-09-25","10.76","11.11","10.76","11.02","608020"
"CTG","2009-09-28","11.11","11.11","10.9","10.9","469480"
"CTG","2009-09-29","10.85","10.9","10.79","10.82","484260"
"CTG","2009-09-30","10.73","10.82","10.73","10.76","449040"
"CTG","2009-10-01","10.7","10.82","10.64","10.64","434790"
"CTG","2009-10-02","10.41","10.53","10.32","10.38","592860"
"CTG","2009-10-05","10.38","10.53","10.32","10.35","364210"
"CTG","2009-10-06","10.38","10.47","10.32","10.32","309510"
"CTG","2009-10-07","10.32","10.47","10.32","10.35","245860"
"CTG","2009-10-08","10.38","10.38","10.32","10.35","333010"
"CTG","2009-10-09","10.38","10.41","10.35","10.38","488560"
"CTG","2009-10-12","10.41","10.47","10.38","10.47","448330"
"CTG","2009-10-13","10.47","10.5","10.41","10.41","336930"
"CTG","2009-10-14","10.38","10.88","10.35","10.88","929480"
"CTG","2009-10-15","11.2","11.23","10.82","10.96","1060150"
"CTG","2009-10-16","10.7","10.88","10.7","10.73","347270"
"CTG","2009-10-19","10.76","10.76","10.67","10.73","454800"
"CTG","2009-10-20","10.76","10.76","10.67","10.73","433970"
"CTG","2009-10-21","10.58","10.64","10.55","10.58","384800"
"CTG","2009-10-22","10.58","10.7","10.58","10.7","448640"
"CTG","2009-10-23","10.82","11.23","10.73","10.82","2529720"
"CTG","2009-10-26","10.82","10.94","10.67","10.67","322910"
"CTG","2009-10-27","10.53","10.67","10.41","10.47","470240"
"CTG","2009-10-28","10.53","10.67","10.41","10.44","428140"
"CTG","2009-10-29","10.23","10.35","10.12","10.14","815460"
"CTG","2009-10-30","10.32","10.32","10.09","10.17","523470"
"CTG","2009-11-02","9.71","10.06","9.68","9.71","641990"
"CTG","2009-11-03","9.65","9.71","9.24","9.24","606340"
"CTG","2009-11-04","9.09","9.65","9.09","9.33","466720"
"CTG","2009-11-05","9.5","9.77","9.47","9.77","261170"
"CTG","2009-11-06","9.79","9.88","9.65","9.65","296090"
"CTG","2009-11-09","9.44","9.59","9.21","9.21","291820"
"CTG","2009-11-10","9.21","9.24","8.92","8.92","242450"
"CTG","2009-11-11","8.92","9.06","8.92","9.06","255010"
"CTG","2009-11-12","9.06","9.36","9.06","9.3","221650"
"CTG","2009-11-13","9.3","9.36","9.27","9.33","244650"
"CTG","2009-11-16","9.33","9.33","9.18","9.18","121650"
"CTG","2009-11-17","9.18","9.18","9.01","9.01","151170"
"CTG","2009-11-18","9.01","9.06","8.98","9.01","187600"
