symbol,date,open,high,low,close,volume,year,month,week,weekday
"D2D","2009-08-14","6.3","6.3","6.3","6.3","320950","2009","08","33","Friday"
"D2D","2009-08-17","6.43","6.43","6.05","6.05","86630","2009","08","34","Monday"
"D2D","2009-08-18","5.78","6.35","5.77","6.1","49070","2009","08","34","Tuesday"
"D2D","2009-08-19","6.28","6.28","6.03","6.16","30300","2009","08","34","Wednesday"
"D2D","2009-08-20","6.03","6.09","5.97","6.02","148730","2009","08","34","Thursday"
"D2D","2009-08-21","6.03","6.23","6.03","6.23","241130","2009","08","34","Friday"
"D2D","2009-08-24","6.3","6.3","6.23","6.27","91680","2009","08","35","Monday"
"D2D","2009-08-25","6.27","6.27","6.16","6.27","34270","2009","08","35","Tuesday"
"D2D","2009-08-26","6.28","6.3","6.23","6.23","82880","2009","08","35","Wednesday"
"D2D","2009-08-27","6.15","6.23","6.1","6.16","91230","2009","08","35","Thursday"
"D2D","2009-08-28","6.16","6.47","6.16","6.47","474080","2009","08","35","Friday"
"D2D","2009-08-31","6.75","6.75","6.75","6.75","156800","2009","08","36","Monday"
"D2D","2009-09-01","7.08","7.08","6.89","7.08","347200","2009","09","36","Tuesday"
"D2D","2009-09-03","6.95","7.34","6.89","7.34","248700","2009","09","36","Thursday"
"D2D","2009-09-04","7.34","7.34","7.02","7.02","112340","2009","09","36","Friday"
"D2D","2009-09-07","6.89","6.95","6.69","6.75","252680","2009","09","37","Monday"
"D2D","2009-09-08","6.95","6.95","6.75","6.82","90870","2009","09","37","Tuesday"
"D2D","2009-09-09","6.82","6.82","6.5","6.56","63070","2009","09","37","Wednesday"
"D2D","2009-09-10","6.56","6.82","6.48","6.56","80250","2009","09","37","Thursday"
"D2D","2009-09-11","6.75","6.89","6.56","6.89","303550","2009","09","37","Friday"
"D2D","2009-09-14","6.89","7.21","6.89","6.95","169370","2009","09","38","Monday"
"D2D","2009-09-15","6.89","6.95","6.69","6.95","173330","2009","09","38","Tuesday"
"D2D","2009-09-16","9.18","6.89","6.69","6.69","106760","2009","09","38","Wednesday"
"D2D","2009-09-17","6.82","6.82","6.45","6.56","190050","2009","09","38","Thursday"
"D2D","2009-09-18","6.56","6.75","6.53","6.69","330750","2009","09","38","Friday"
"D2D","2009-09-21","6.89","7.02","6.75","7.02","195890","2009","09","39","Monday"
"D2D","2009-09-22","7.08","7.34","6.95","7.34","525410","2009","09","39","Tuesday"
"D2D","2009-09-23","7.34","7.41","7.02","7.02","254430","2009","09","39","Wednesday"
"D2D","2009-09-24","6.89","6.95","6.75","6.82","108880","2009","09","39","Thursday"
"D2D","2009-09-25","6.95","7.08","6.82","6.95","267940","2009","09","39","Friday"
"D2D","2009-09-28","7.28","7.28","7.28","7.28","104250","2009","09","40","Monday"
"D2D","2009-09-29","7.61","7.61","7.28","7.34","550090","2009","09","40","Tuesday"
"D2D","2009-09-30","7.34","7.54","7.15","7.34","506590","2009","09","40","Wednesday"
"D2D","2009-10-01","7.28","7.34","7.08","7.08","351110","2009","10","40","Thursday"
"D2D","2009-10-02","6.82","7.02","6.75","6.82","282930","2009","10","40","Friday"
"D2D","2009-10-05","6.89","7.15","6.82","6.95","255330","2009","10","41","Monday"
"D2D","2009-10-06","7.15","7.28","7.02","7.28","269080","2009","10","41","Tuesday"
"D2D","2009-10-07","7.61","7.61","7.54","7.61","409020","2009","10","41","Wednesday"
"D2D","2009-10-08","7.93","7.93","7.93","7.93","107060","2009","10","41","Thursday"
"D2D","2009-10-09","8.33","8.33","8.33","8.33","130950","2009","10","41","Friday"
"D2D","2009-10-12","8.72","8.72","8.72","8.72","32530","2009","10","42","Monday"
"D2D","2009-10-13","9.12","9.12","9.12","9.12","91570","2009","10","42","Tuesday"
"D2D","2009-10-14","9.51","9.51","9.38","9.51","820890","2009","10","42","Wednesday"
"D2D","2009-10-15","9.97","9.97","9.71","9.97","645870","2009","10","42","Thursday"
"D2D","2009-10-16","9.84","9.97","9.51","9.51","271610","2009","10","42","Friday"
"D2D","2009-10-19","9.18","9.51","9.05","9.05","355450","2009","10","43","Monday"
"D2D","2009-10-20","9.12","9.44","8.92","9.44","388710","2009","10","43","Tuesday"
"D2D","2009-10-21","9.57","9.71","9.18","9.18","234410","2009","10","43","Wednesday"
"D2D","2009-10-22","8.92","9.25","8.92","9.18","185870","2009","10","43","Thursday"
"D2D","2009-10-23","9.12","9.18","8.79","8.79","240350","2009","10","43","Friday"
"D2D","2009-10-26","8.53","8.92","8.39","8.39","209860","2009","10","44","Monday"
"D2D","2009-10-27","8.2","8.26","8","8.13","182630","2009","10","44","Tuesday"
"D2D","2009-10-28","8.53","8.53","8.26","8.53","170490","2009","10","44","Wednesday"
"D2D","2009-10-29","8.26","8.53","8.13","8.53","277330","2009","10","44","Thursday"
"D2D","2009-10-30","8.92","8.92","8.79","8.92","229460","2009","10","44","Friday"
"D2D","2009-11-02","8.53","8.59","8.53","8.53","242710","2009","11","45","Monday"
"D2D","2009-11-03","8.66","8.66","8.13","8.2","278920","2009","11","45","Tuesday"
"D2D","2009-11-04","8.53","8.59","8.2","8.33","188020","2009","11","45","Wednesday"
"D2D","2009-11-05","8.46","8.72","8.33","8.66","148670","2009","11","45","Thursday"
"D2D","2009-11-06","8.72","8.72","8.26","8.26","185950","2009","11","45","Friday"
"D2D","2009-11-09","8.07","8.26","7.87","7.87","137230","2009","11","46","Monday"
"D2D","2009-11-10","7.87","8.07","7.48","7.54","152380","2009","11","46","Tuesday"
"D2D","2009-11-11","7.54","7.87","7.54","7.87","76080","2009","11","46","Wednesday"
"D2D","2009-11-12","8.2","8.26","8.13","8.26","127080","2009","11","46","Thursday"
"D2D","2009-11-13","8.2","8.66","8.13","8.66","274490","2009","11","46","Friday"
"D2D","2009-11-16","8.53","8.66","8.46","8.46","83640","2009","11","47","Monday"
"D2D","2009-11-17","8.46","8.46","8.26","8.33","126090","2009","11","47","Tuesday"
"D2D","2009-11-18","8.33","8.72","8.26","8.72","178200","2009","11","47","Wednesday"
"D2D","2009-11-19","8.85","9.12","8.66","8.85","275670","2009","11","47","Thursday"
"D2D","2009-11-20","8.66","8.85","8.53","8.59","131270","2009","11","47","Friday"
"D2D","2009-11-23","8.59","8.59","8.2","8.26","134660","2009","11","48","Monday"
"D2D","2009-11-24","8.26","8.33","8.13","8.2","76530","2009","11","48","Tuesday"
"D2D","2009-11-25","7.8","8.13","7.8","7.8","207270","2009","11","48","Wednesday"
"D2D","2009-11-26","7.48","7.54","7.48","7.48","74010","2009","11","48","Thursday"
"D2D","2009-11-27","7.15","7.8","7.15","7.54","116410","2009","11","48","Friday"
"D2D","2009-11-30","7.54","7.8","7.21","7.61","54650","2009","11","49","Monday"
"D2D","2009-12-01","7.48","7.74","7.48","7.48","85650","2009","12","49","Tuesday"
"D2D","2009-12-02","7.21","7.41","7.15","7.15","139330","2009","12","49","Wednesday"
"D2D","2009-12-03","7.02","7.21","6.82","7.15","68150","2009","12","49","Thursday"
"D2D","2009-12-04","7.08","7.28","6.95","7.15","30940","2009","12","49","Friday"
"D2D","2009-12-07","7.15","7.28","7.15","7.28","30180","2009","12","50","Monday"
"D2D","2009-12-08","7.28","7.28","6.95","7.02","97470","2009","12","50","Tuesday"
"D2D","2009-12-09","6.69","6.82","6.69","6.69","124490","2009","12","50","Wednesday"
"D2D","2009-12-10","6.69","6.75","6.43","6.56","63270","2009","12","50","Thursday"
"D2D","2009-12-11","6.56","6.56","6.23","6.23","37060","2009","12","50","Friday"
"D2D","2009-12-14","6.3","6.53","6.23","6.43","63500","2009","12","51","Monday"
"D2D","2009-12-15","6.11","6.43","6.11","6.41","45090","2009","12","51","Tuesday"
"D2D","2009-12-16","6.14","6.28","6.1","6.1","19220","2009","12","51","Wednesday"
"D2D","2009-12-17","5.81","5.81","5.8","5.8","51120","2009","12","51","Thursday"
"D2D","2009-12-18","5.8","6.07","5.8","6.03","30910","2009","12","51","Friday"
"D2D","2009-12-21","6.28","6.33","6.03","6.33","46810","2009","12","52","Monday"
"D2D","2009-12-22","6.33","6.36","6.07","6.07","24350","2009","12","52","Tuesday"
"D2D","2009-12-23","6.14","6.16","6.02","6.16","33980","2009","12","52","Wednesday"
"D2D","2009-12-24","6.1","6.47","6.1","6.47","44320","2009","12","52","Thursday"
"D2D","2009-12-25","6.69","6.75","6.56","6.75","225570","2009","12","52","Friday"
"D2D","2009-12-28","6.56","6.95","6.56","6.82","66940","2009","12","53","Monday"
