symbol,date,open,high,low,close,volume,year,month,week,weekday
"DAN","2021-12-30","42.25","42.25","42.25","42.25","1700","2021","12","53","Thursday"
"DAN","2021-12-31","48.57","48.57","48.57","48.57","9500","2021","12","53","Friday"
"DAN","2022-01-04","55.83","55.83","55.83","55.83","1800","2022","01","1","Tuesday"
"DAN","2022-01-05","64.13","64.13","63.19","64.13","4900","2022","01","1","Wednesday"
"DAN","2022-01-06","73.56","73.56","54.51","64.13","2600","2022","01","1","Thursday"
"DAN","2022-01-07","57.15","57.15","48.38","48.38","1600","2022","01","1","Friday"
"DAN","2022-01-10","48.1","48.1","41.78","41.97","3900","2022","01","2","Monday"
"DAN","2022-01-11","42.53","42.53","42.53","42.53","500","2022","01","2","Tuesday"
"DAN","2022-01-14","36.4","42.34","36.4","42.34","200","2022","01","2","Friday"
"DAN","2022-01-17","45.27","45.27","45.27","45.27","1700","2022","01","3","Monday"
"DAN","2022-01-18","48.1","48.1","48.1","48.1","200","2022","01","3","Tuesday"
"DAN","2022-01-19","50.93","50.93","50.93","50.93","100","2022","01","3","Wednesday"
"DAN","2022-01-20","52.72","52.72","52.72","52.72","100","2022","01","3","Thursday"
"DAN","2022-01-21","54.6","54.6","54.6","54.6","100","2022","01","3","Friday"
"DAN","2022-01-24","51.87","55.64","51.87","55.64","200","2022","01","4","Monday"
"DAN","2022-01-25","45.74","53.76","45.74","53.76","600","2022","01","4","Tuesday"
"DAN","2022-01-28","41.97","48.1","41.97","48.1","900","2022","01","4","Friday"
"DAN","2022-02-07","41.69","49.98","39.61","39.61","800","2022","02","6","Monday"
"DAN","2022-02-08","47.16","47.16","47.16","47.16","100","2022","02","6","Tuesday"
"DAN","2022-02-09","49.04","49.04","40.55","40.55","667","2022","02","6","Wednesday"
"DAN","2022-02-10","41.12","47.06","41.12","47.06","300","2022","02","6","Thursday"
"DAN","2022-02-11","40.74","41.5","40.74","41.5","600","2022","02","6","Friday"
"DAN","2022-02-14","45.27","45.27","45.27","45.27","100","2022","02","7","Monday"
"DAN","2022-02-15","45.27","45.27","45.27","45.27","67","2022","02","7","Tuesday"
"DAN","2022-02-16","38.48","45.27","38.48","45.27","373","2022","02","7","Wednesday"
"DAN","2022-02-17","44.8","44.8","44.8","44.8","100","2022","02","7","Thursday"
"DAN","2022-02-21","44.8","44.8","44.8","44.8","33","2022","02","8","Monday"
"DAN","2022-02-22","42.44","45.17","42.44","45.17","367","2022","02","8","Tuesday"
"DAN","2022-03-03","36.97","36.97","36.88","36.88","5000","2022","03","9","Thursday"
"DAN","2022-03-07","35.46","39.04","35.46","38.57","4900","2022","03","10","Monday"
"DAN","2022-03-08","38.57","38.57","35.84","35.84","1200","2022","03","10","Tuesday"
"DAN","2022-03-09","34.14","34.14","33.95","33.95","1600","2022","03","10","Wednesday"
"DAN","2022-03-10","33.95","33.95","33.48","33.57","1500","2022","03","10","Thursday"
"DAN","2022-03-11","37.25","37.25","37.25","37.25","100","2022","03","10","Friday"
"DAN","2022-03-14","37.25","37.25","32.63","32.63","200","2022","03","11","Monday"
"DAN","2022-03-16","33.01","33.01","33.01","33.01","500","2022","03","11","Wednesday"
"DAN","2022-03-17","33.01","33.01","32.35","32.35","3900","2022","03","11","Thursday"
"DAN","2022-03-18","32.35","32.35","32.35","32.35","1500","2022","03","11","Friday"
"DAN","2022-03-21","32.35","32.35","32.35","32.35","300","2022","03","12","Monday"
"DAN","2022-03-22","32.35","32.35","32.35","32.35","100","2022","03","12","Tuesday"
"DAN","2022-03-23","32.35","32.54","32.35","32.54","300","2022","03","12","Wednesday"
"DAN","2022-03-24","32.54","33.01","32.54","33.01","1307","2022","03","12","Thursday"
"DAN","2022-03-25","33.01","33.01","32.91","32.91","800","2022","03","12","Friday"
"DAN","2022-03-28","35.27","35.27","35.27","35.27","100","2022","03","13","Monday"
"DAN","2022-03-29","32.73","32.73","32.73","32.73","400","2022","03","13","Tuesday"
"DAN","2022-03-30","32.73","32.73","32.73","32.73","600","2022","03","13","Wednesday"
"DAN","2022-03-31","36.69","36.69","36.69","36.69","100","2022","03","13","Thursday"
"DAN","2022-04-01","33.01","35.37","33.01","33.01","2300","2022","04","13","Friday"
"DAN","2022-04-05","37.63","37.63","37.63","37.63","110","2022","04","14","Tuesday"
"DAN","2022-04-12","37.63","37.63","37.63","37.63","1","2022","04","15","Tuesday"
"DAN","2022-04-20","33.01","33.86","32.06","32.06","1600","2022","04","16","Wednesday"
"DAN","2022-04-21","32.63","32.63","32.63","32.63","480","2022","04","16","Thursday"
"DAN","2022-04-22","32.63","32.63","32.63","32.63","200","2022","04","16","Friday"
"DAN","2022-04-25","35.27","35.27","35.27","35.27","100","2022","04","17","Monday"
"DAN","2022-04-29","32.82","32.82","32.82","32.82","100","2022","04","17","Friday"
"DAN","2022-05-05","32.06","32.06","32.06","32.06","605","2022","05","18","Thursday"
"DAN","2022-05-06","31.59","31.59","31.59","31.59","102","2022","05","18","Friday"
"DAN","2022-05-11","32.06","32.06","32.06","32.06","400","2022","05","19","Wednesday"
"DAN","2022-05-16","28.77","29.71","27.44","27.44","1200","2022","05","20","Monday"
"DAN","2022-05-17","27.92","31.88","27.92","31.88","200","2022","05","20","Tuesday"
"DAN","2022-05-18","27.82","31.88","27.82","31.88","200","2022","05","20","Wednesday"
"DAN","2022-05-20","31.97","31.97","31.97","31.97","108","2022","05","20","Friday"
"DAN","2022-05-26","33.2","33.2","32.54","32.54","301","2022","05","21","Thursday"
"DAN","2022-06-06","33.2","33.2","32.54","32.54","65000","2022","06","23","Monday"
"DAN","2022-06-07","28.01","28.29","28.01","28.01","701","2022","06","23","Tuesday"
"DAN","2022-06-08","28.29","28.29","28.1","28.1","3208","2022","06","23","Wednesday"
"DAN","2022-06-10","31.97","31.97","31.97","31.97","100","2022","06","23","Friday"
"DAN","2022-06-13","31.88","31.88","31.88","31.88","101","2022","06","24","Monday"
"DAN","2022-06-20","31.88","31.88","31.88","31.88","39000","2022","06","25","Monday"
"DAN","2022-06-21","31.88","31.88","31.88","31.88","3000","2022","06","25","Tuesday"
"DAN","2022-06-22","34.61","34.61","34.61","34.61","100","2022","06","25","Wednesday"
"DAN","2022-06-23","34.61","34.61","34.61","34.61","3000","2022","06","25","Thursday"
"DAN","2022-06-28","34.61","34.61","34.61","34.61","33000","2022","06","26","Tuesday"
"DAN","2022-06-29","34.61","34.61","34.61","34.61","2000","2022","06","26","Wednesday"
"DAN","2022-07-01","29.43","29.43","29.43","29.43","19553","2022","07","26","Friday"
"DAN","2022-07-04","26.41","26.41","26.41","26.41","100","2022","07","27","Monday"
"DAN","2022-07-06","30.09","30.09","30.09","30.09","5100","2022","07","27","Wednesday"
"DAN","2022-07-13","31.03","31.03","31.03","31.03","100","2022","07","28","Wednesday"
"DAN","2022-07-14","31.03","31.03","31.03","31.03","27774","2022","07","28","Thursday"
"DAN","2022-07-27","27.82","27.82","27.82","27.82","200","2022","07","30","Wednesday"
"DAN","2022-08-01","30.09","30.09","30.09","30.09","100","2022","08","31","Monday"
"DAN","2022-08-02","25.75","28.01","25.75","28.01","41400","2022","08","31","Tuesday"
"DAN","2022-08-03","31.41","31.41","28.29","28.29","1900","2022","08","31","Wednesday"
"DAN","2022-08-05","32.44","32.44","32.44","32.44","100","2022","08","31","Friday"
"DAN","2022-08-08","27.63","29.14","27.63","29.14","4800","2022","08","32","Monday"
"DAN","2022-08-09","27.63","27.63","27.63","27.63","200","2022","08","32","Tuesday"
"DAN","2022-08-11","26.03","26.03","26.03","26.03","4100","2022","08","32","Thursday"
"DAN","2022-08-15","26.03","26.03","26.03","26.03","500","2022","08","33","Monday"
"DAN","2022-08-16","22.92","22.92","22.92","22.92","100","2022","08","33","Tuesday"
"DAN","2022-08-18","19.62","19.62","19.62","19.62","100","2022","08","33","Thursday"
"DAN","2022-08-19","22.54","22.54","22.54","22.54","1000","2022","08","33","Friday"
"DAN","2022-08-22","19.9","19.9","19.9","19.9","100","2022","08","34","Monday"
"DAN","2022-08-24","22.8","22.8","19.1","19.1","400","2022","08","34","Wednesday"
"DAN","2022-08-25","23","23","23","23","1700","2022","08","34","Thursday"
"DAN","2022-08-26","26.4","26.4","26.4","26.4","1600","2022","08","34","Friday"
"DAN","2022-08-29","27.5","30.3","26.4","30.3","2500","2022","08","35","Monday"
"DAN","2022-08-30","27.5","27.5","27.2","27.2","1600","2022","08","35","Tuesday"
"DAN","2022-08-31","23.6","23.6","23.6","23.6","100","2022","08","35","Wednesday"
"DAN","2022-09-05","20.6","20.6","20.6","20.6","100","2022","09","36","Monday"
"DAN","2022-09-06","23.6","23.6","23.6","23.6","100","2022","09","36","Tuesday"
"DAN","2022-09-07","20.1","27.1","20.1","27.1","200","2022","09","36","Wednesday"
"DAN","2022-09-08","27.1","27.1","27.1","27.1","100","2022","09","36","Thursday"
"DAN","2022-09-13","31.1","31.1","31.1","31.1","100","2022","09","37","Tuesday"
"DAN","2022-09-16","30","30","27","27","1500","2022","09","37","Friday"
"DAN","2022-09-19","25","25","25","25","400","2022","09","38","Monday"
"DAN","2022-09-22","22.7","22.7","22.7","22.7","200","2022","09","38","Thursday"
"DAN","2022-09-23","26.1","26.1","23.5","23.5","200","2022","09","38","Friday"
"DAN","2022-09-26","28.4","28.4","28.4","28.4","100","2022","09","39","Monday"
"DAN","2022-09-29","28.3","28.3","28.3","28.3","100","2022","09","39","Thursday"
"DAN","2022-10-05","24.5","24.5","24.5","24.5","700","2022","10","40","Wednesday"
"DAN","2022-10-06","24.5","24.5","24.5","24.5","400","2022","10","40","Thursday"
"DAN","2022-10-07","27.9","27.9","27.9","27.9","100","2022","10","40","Friday"
"DAN","2022-10-11","29.9","29.9","29.9","29.9","100","2022","10","41","Tuesday"
"DAN","2022-10-18","26.5","26.5","26.5","26.5","300","2022","10","42","Tuesday"
"DAN","2022-10-20","30.2","30.2","30.2","30.2","100","2022","10","42","Thursday"
"DAN","2022-10-26","26.9","26.9","26.9","26.9","100","2022","10","43","Wednesday"
"DAN","2022-11-18","30.4","30.4","30.4","30.4","100","2022","11","46","Friday"
"DAN","2022-11-22","25.9","25.9","25.9","25.9","100","2022","11","47","Tuesday"
