symbol,date,open,high,low,close,volume
"DAT","2015-11-05","9.44","9.44","9.44","9.44","27900"
"DAT","2015-11-06","10.05","10.05","10.05","10.05","110"
"DAT","2015-11-09","10.71","10.71","10.71","10.71","94040"
"DAT","2015-11-10","11.44","11.44","11.08","11.08","115370"
"DAT","2015-11-11","11.8","11.8","10.9","10.96","31980"
"DAT","2015-11-12","10.96","11.56","10.84","10.96","10980"
"DAT","2015-11-13","11.14","11.14","10.71","10.9","29830"
"DAT","2015-11-16","10.9","11.02","10.84","10.96","20050"
"DAT","2015-11-17","10.96","11.02","10.96","10.96","32150"
"DAT","2015-11-18","10.96","11.02","10.78","11.02","37360"
"DAT","2015-11-19","10.96","11.2","10.96","11.14","25310"
"DAT","2015-11-20","11.14","11.26","11.14","11.2","35200"
"DAT","2015-11-23","11.26","11.93","11.2","11.93","75120"
"DAT","2015-11-24","12.11","12.71","12.11","12.71","21250"
"DAT","2015-11-25","12.71","13.56","12.53","13.56","21120"
"DAT","2015-11-26","14.47","14.47","13.68","14.41","6680"
"DAT","2015-11-27","14.23","15.13","14.11","14.11","43610"
"DAT","2015-11-30","13.92","14.17","13.86","13.86","49430"
"DAT","2015-12-01","13.86","14.04","13.86","13.92","26970"
"DAT","2015-12-02","13.92","14.89","13.56","14.89","47220"
"DAT","2015-12-03","15.07","15.92","14.71","15.92","47470"
"DAT","2015-12-04","15.98","16.35","15.86","16.16","51060"
"DAT","2015-12-07","16.23","16.23","16.04","16.16","35320"
"DAT","2015-12-08","16.23","17.25","15.98","17.25","29550"
"DAT","2015-12-09","18.4","18.4","18.22","18.28","39860"
"DAT","2015-12-10","19.37","19.55","18.34","19.31","54160"
"DAT","2015-12-11","20.4","20.64","19.31","20.64","32580"
"DAT","2015-12-14","21.79","22.04","21.25","22.04","24550"
"DAT","2015-12-15","23.55","23.55","23.55","23.55","4230"
"DAT","2015-12-16","25.18","25.18","25.18","25.18","4100"
"DAT","2015-12-17","26.94","26.94","23.73","25.55","73820"
"DAT","2015-12-18","27.3","27.3","26.03","26.94","25310"
"DAT","2015-12-21","26.94","28.82","26.94","28.82","16470"
"DAT","2015-12-22","28.82","30.09","28.82","29.42","24110"
"DAT","2015-12-23","29.06","29.97","28.45","28.64","35030"
"DAT","2015-12-24","28.45","28.57","27.73","28.45","30300"
"DAT","2015-12-25","28.45","28.45","27.24","28.45","38380"
"DAT","2015-12-28","28.45","29.06","28.33","29.06","31400"
"DAT","2015-12-29","29.12","30.88","29.06","30.88","18930"
"DAT","2015-12-30","32.99","32.99","32.69","32.99","16910"
"DAT","2015-12-31","35.11","35.11","33.3","33.3","3550"
"DAT","2016-01-04","31.18","35.11","31.18","31.18","480"
"DAT","2016-01-05","29","29.36","29","29.06","19240"
"DAT","2016-01-06","29.06","29.06","27.3","27.48","25880"
"DAT","2016-01-07","27.48","27.48","25.61","25.67","32740"
"DAT","2016-01-08","25.67","25.79","25.61","25.67","38400"
"DAT","2016-01-11","25.67","25.79","25.61","25.73","13660"
"DAT","2016-01-12","25.79","26.27","25.73","26.27","31520"
"DAT","2016-01-13","26.27","26.39","26.21","26.27","33330"
"DAT","2016-01-14","26.27","26.27","26.03","26.03","25470"
"DAT","2016-01-15","25.97","26.03","25.67","25.85","30190"
"DAT","2016-01-18","25.79","25.79","25.73","25.79","17240"
"DAT","2016-01-19","25.79","26.27","25.79","26.27","42010"
"DAT","2016-01-20","26.34","26.34","26.21","26.27","16310"
"DAT","2016-01-21","26.15","26.34","26.03","26.21","32360"
"DAT","2016-01-22","26.21","26.34","25.97","26.34","36870"
"DAT","2016-01-25","26.34","26.64","26.34","26.64","12800"
"DAT","2016-01-26","26.64","26.64","25.85","25.97","37250"
"DAT","2016-01-27","25.73","26.09","25.31","25.31","12290"
"DAT","2016-01-28","25.31","25.73","25.31","25.73","33470"
"DAT","2016-01-29","25.91","25.91","25.73","25.79","14770"
"DAT","2016-02-01","25.85","26.03","25.85","25.91","20260"
"DAT","2016-02-02","25.91","25.97","25.61","25.73","22910"
"DAT","2016-02-03","25.73","25.85","25.61","25.85","22310"
"DAT","2016-02-04","25.91","26.21","25.91","26.15","24730"
"DAT","2016-02-05","26.15","26.34","26.09","26.27","39600"
"DAT","2016-02-15","26.27","26.34","26.09","26.34","31320"
"DAT","2016-02-16","26.27","26.7","26.27","26.64","29540"
"DAT","2016-02-17","26.7","26.76","26.64","26.7","29920"
"DAT","2016-02-18","26.7","26.7","26.52","26.64","31080"
"DAT","2016-02-19","26.64","26.7","26.46","26.46","27380"
"DAT","2016-02-22","26.39","26.52","26.34","26.39","22160"
"DAT","2016-02-23","26.39","26.58","26.09","26.58","31870"
"DAT","2016-02-24","26.58","26.7","26.52","26.7","30470"
"DAT","2016-02-25","26.64","26.76","26.58","26.58","6210"
"DAT","2016-02-26","26.64","26.7","26.58","26.64","18080"
"DAT","2016-02-29","26.64","26.7","26.46","26.46","16830"
"DAT","2016-03-01","26.46","26.58","26.46","26.58","22430"
"DAT","2016-03-02","26.64","26.94","26.64","26.82","22850"
"DAT","2016-03-03","26.88","27","26.82","26.94","22110"
"DAT","2016-03-04","27","27","26.7","26.76","11240"
"DAT","2016-03-07","26.82","26.94","26.7","26.82","17690"
"DAT","2016-03-08","26.82","26.82","26.64","26.7","11210"
"DAT","2016-03-09","26.7","26.7","26.46","26.52","8940"
"DAT","2016-03-10","26.46","26.64","26.46","26.58","11640"
"DAT","2016-03-11","26.58","26.64","26.39","26.64","11130"
"DAT","2016-03-14","26.58","26.7","26.52","26.64","14850"
"DAT","2016-03-15","26.58","26.7","26.58","26.64","7150"
"DAT","2016-03-16","26.7","26.82","26.58","26.76","15940"
"DAT","2016-03-17","26.82","27.06","26.76","27","20350"
"DAT","2016-03-18","27.12","27.12","26.88","26.94","11090"
"DAT","2016-03-21","26.94","26.94","26.76","26.76","12120"
"DAT","2016-03-22","26.7","26.82","26.7","26.76","15430"
"DAT","2016-03-23","26.76","26.88","26.76","26.88","7790"
"DAT","2016-03-24","26.94","27","26.82","26.88","18460"
"DAT","2016-03-25","26.88","27","26.76","26.82","20090"
"DAT","2016-03-28","26.82","26.88","26.7","26.76","12300"
"DAT","2016-03-29","26.7","26.7","26.39","26.46","16250"
"DAT","2016-03-30","26.39","26.52","26.34","26.34","11850"
"DAT","2016-03-31","26.34","26.34","26.15","26.15","7940"
"DAT","2016-04-01","26.15","26.21","25.97","26.15","17920"
"DAT","2016-04-04","26.15","26.21","26.09","26.09","9210"
"DAT","2016-04-05","26.09","26.21","26.03","26.03","15410"
"DAT","2016-04-06","25.97","26.09","25.91","25.97","12030"
"DAT","2016-04-07","25.91","26.03","25.91","26.03","8580"
"DAT","2016-04-08","26.03","26.03","25.79","25.79","18450"
"DAT","2016-04-11","25.73","25.79","25.61","25.61","16140"
"DAT","2016-04-12","25.43","25.55","23.85","23.85","16070"
"DAT","2016-04-13","23.85","23.85","23.49","23.49","14180"
"DAT","2016-04-14","23.43","23.67","23.43","23.55","11720"
"DAT","2016-04-15","23.55","23.67","23.49","23.49","10870"
"DAT","2016-04-19","23.49","23.49","21.86","21.86","18240"
"DAT","2016-04-20","21.86","21.86","20.34","20.34","14440"
"DAT","2016-04-21","20.4","20.52","20.4","20.52","11710"
"DAT","2016-04-22","20.52","20.77","20.46","20.77","17080"
"DAT","2016-04-25","20.77","20.83","20.46","20.46","20390"
