symbol,date,open,high,low,close,volume
"DCL","2008-09-17","15.61","15.61","15.61","15.61","27960"
"DCL","2008-09-18","14.85","14.85","14.85","14.85","20"
"DCL","2008-09-19","14.22","15.48","14.22","14.85","152680"
"DCL","2008-09-22","15.48","15.48","15.35","15.48","71690"
"DCL","2008-09-23","14.72","14.72","14.72","14.72","67410"
"DCL","2008-09-24","14.72","14.72","14.35","14.72","33000"
"DCL","2008-09-25","14.85","15.35","14.72","15.35","36430"
"DCL","2008-09-26","16.11","16.11","15.73","16.11","85110"
"DCL","2008-09-29","15.48","16.49","15.48","15.61","11680"
"DCL","2008-09-30","14.85","14.85","14.85","14.85","7640"
"DCL","2008-10-01","14.85","15.48","14.22","14.98","27920"
"DCL","2008-10-02","15.1","15.35","14.72","15.35","29650"
"DCL","2008-10-03","15.61","15.61","15.1","15.35","6390"
"DCL","2008-10-06","14.85","14.85","14.6","14.6","37980"
"DCL","2008-10-07","13.97","13.97","13.97","13.97","32950"
"DCL","2008-10-08","13.47","14.47","13.47","14.47","12040"
"DCL","2008-10-09","14.1","14.47","13.97","13.97","13670"
"DCL","2008-10-10","13.34","13.34","13.34","13.34","19630"
"DCL","2008-10-13","13.97","13.97","12.71","12.71","25760"
"DCL","2008-10-14","13.34","13.34","13.34","13.34","6450"
"DCL","2008-10-15","13.97","13.97","13.84","13.97","39280"
"DCL","2008-10-16","13.47","13.84","13.47","13.84","6940"
"DCL","2008-10-17","13.47","14.35","13.47","14.22","30250"
"DCL","2008-10-20","14.35","14.35","13.84","13.84","25300"
"DCL","2008-10-21","13.97","13.97","13.47","13.47","22240"
"DCL","2008-10-22","13.09","13.34","12.96","13.34","10920"
"DCL","2008-10-23","12.71","12.84","12.71","12.71","24540"
"DCL","2008-10-24","9.87","9.87","9.87","9.87","15100"
"DCL","2008-10-27","9.39","9.39","9.39","9.39","810"
"DCL","2008-10-28","8.94","9.06","8.94","8.94","16300"
"DCL","2008-10-29","9.34","9.36","9.06","9.34","32860"
"DCL","2008-10-30","8.94","9.31","8.88","8.88","12450"
"DCL","2008-10-31","9.14","9.14","8.46","8.46","18930"
"DCL","2008-11-03","8.21","8.56","8.05","8.15","42590"
"DCL","2008-11-04","7.98","8.56","7.85","8.56","64120"
"DCL","2008-11-05","8.99","8.99","8.96","8.99","110030"
"DCL","2008-11-06","8.81","9.41","8.81","9.29","67420"
"DCL","2008-11-07","8.84","9.21","8.84","8.84","19470"
"DCL","2008-11-10","8.88","9.04","8.84","9.04","50100"
"DCL","2008-11-11","8.81","8.81","8.61","8.81","49890"
"DCL","2008-11-12","8.38","8.78","8.38","8.73","58300"
"DCL","2008-11-13","8.68","8.94","8.68","8.81","24400"
"DCL","2008-11-14","8.86","8.94","8.86","8.86","26950"
"DCL","2008-11-17","8.81","8.81","8.56","8.58","5750"
"DCL","2008-11-18","8.36","8.43","8.15","8.15","31130"
"DCL","2008-11-19","8.15","8.15","7.9","8.05","27450"
"DCL","2008-11-20","7.68","7.8","7.65","7.68","17710"
"DCL","2008-11-21","7.32","7.55","7.3","7.3","10280"
"DCL","2008-11-24","7.58","7.58","6.95","6.95","13050"
"DCL","2008-11-25","7.05","7.05","6.62","6.67","27660"
"DCL","2008-11-26","6.52","6.85","6.52","6.7","14800"
"DCL","2008-11-27","6.77","6.8","6.59","6.59","8970"
"DCL","2008-11-28","6.92","6.92","6.92","6.92","10240"
"DCL","2008-12-01","7","7","6.92","6.95","19870"
"DCL","2008-12-02","6.64","6.95","6.64","6.9","1310"
"DCL","2008-12-03","6.72","6.9","6.72","6.82","13500"
"DCL","2008-12-04","6.92","6.92","6.82","6.92","3490"
"DCL","2008-12-05","6.8","6.8","6.59","6.59","24880"
"DCL","2008-12-08","6.29","6.29","6.27","6.27","8310"
"DCL","2008-12-09","6.07","6.52","6.04","6.19","40850"
"DCL","2008-12-10","6.09","6.49","6.09","6.49","18800"
"DCL","2008-12-11","6.72","6.8","6.67","6.8","31750"
"DCL","2008-12-12","7.12","7.12","7.05","7.12","39270"
"DCL","2008-12-15","7.42","7.47","7.1","7.45","42440"
"DCL","2008-12-16","7.3","7.3","7.1","7.1","6550"
"DCL","2008-12-17","6.97","7.2","6.92","7.15","30030"
"DCL","2008-12-18","7.15","7.42","7.07","7.42","35560"
"DCL","2008-12-19","7.78","7.78","7.55","7.78","23410"
"DCL","2008-12-22","8.15","8.15","8.08","8.13","32680"
"DCL","2008-12-23","7.83","7.83","7.73","7.73","19430"
"DCL","2008-12-24","7.38","7.73","7.38","7.73","23210"
"DCL","2008-12-25","7.98","7.98","7.47","7.68","4230"
"DCL","2008-12-26","7.55","7.68","7.55","7.55","14240"
"DCL","2008-12-29","7.58","7.7","7.58","7.7","6330"
"DCL","2008-12-30","7.8","7.93","7.65","7.93","35640"
"DCL","2008-12-31","7.93","8","7.8","7.93","11700"
"DCL","2009-01-02","7.73","7.93","7.73","7.93","2720"
"DCL","2009-01-05","8","8","7.93","7.95","17350"
"DCL","2009-01-06","8.15","8.15","7.95","8.13","40870"
"DCL","2009-01-07","8.18","8.36","8.18","8.36","23290"
"DCL","2009-01-08","8.08","8.18","8","8","19040"
"DCL","2009-01-09","8.18","8.18","8","8.18","6640"
"DCL","2009-01-12","8.18","8.18","8.13","8.13","2230"
"DCL","2009-01-13","7.88","7.95","7.78","7.88","24500"
"DCL","2009-01-14","7.58","8","7.58","7.95","22180"
"DCL","2009-01-15","7.88","8.05","7.88","7.93","5750"
"DCL","2009-01-16","7.93","7.93","7.83","7.83","6530"
"DCL","2009-01-19","7.83","8.11","7.83","8.11","32690"
