symbol,date,open,high,low,close,volume
"DFC","2017-05-15","9.3","9.3","9.3","9.3","100"
"DFC","2017-06-08","10.63","10.63","10.63","10.63","100"
"DFC","2017-06-09","12.19","12.19","12.19","12.19","100"
"DFC","2017-06-12","13.96","13.96","13.96","13.96","100"
"DFC","2017-06-13","16.02","16.02","16.02","16.02","100"
"DFC","2017-06-14","18.39","18.39","18.39","18.39","100"
"DFC","2017-08-21","21.49","21.49","21.49","21.49","100"
"DFC","2017-08-24","18.39","24.67","18.39","24.67","2100"
"DFC","2017-08-25","16.02","16.02","16.02","16.02","2500"
"DFC","2017-08-29","18.39","18.39","18.39","18.39","100"
"DFC","2017-08-30","18.76","18.76","18.76","18.76","2100"
"DFC","2017-08-31","16.98","21.56","16.98","21.56","600"
"DFC","2017-09-05","21.27","21.27","21.27","21.27","100"
"DFC","2017-09-06","24.44","24.44","24.44","24.44","1510100"
"DFC","2017-09-07","28.06","28.06","28.06","28.06","2092200"
"DFC","2017-09-08","32.27","32.27","32.27","32.27","300"
"DFC","2017-09-11","37.07","37.07","37.07","37.07","1700"
"DFC","2017-09-12","37.07","42.61","31.53","32.49","14900"
"DFC","2017-09-13","29.91","30.28","29.54","29.54","21500"
"DFC","2017-09-14","29.54","31.02","29.54","31.02","800"
"DFC","2017-09-15","29.54","34.63","29.54","34.63","1400"
"DFC","2017-09-18","35.23","35.45","33.97","35.45","1800"
"DFC","2017-09-19","34.71","34.71","34.71","34.71","300"
"DFC","2017-09-20","36.92","36.92","32.49","32.49","1100"
"DFC","2017-09-21","33.97","33.97","31.02","33.75","2700"
"DFC","2017-09-22","36.92","36.92","29.02","33.23","2000"
"DFC","2017-09-25","29.91","33.23","29.91","31.75","3300"
"DFC","2017-09-26","30.28","30.28","30.28","30.28","100"
"DFC","2017-09-27","31.68","31.68","30.35","30.35","1200"
"DFC","2017-09-29","30.8","31.39","30.8","31.02","1400"
"DFC","2017-10-05","31.02","31.02","30.65","31.02","800"
"DFC","2017-10-06","30.72","30.72","30.72","30.72","300"
"DFC","2017-10-10","30.65","31.02","30.65","31.02","500"
"DFC","2017-10-11","30.72","30.72","30.72","30.72","100"
"DFC","2017-10-13","28.43","28.43","28.43","28.43","100"
"DFC","2017-10-16","24.22","31.75","24.22","31.75","700"
"DFC","2017-10-17","24.3","24.3","24.3","24.3","100"
"DFC","2017-10-18","27.91","27.91","27.91","27.91","100"
"DFC","2017-10-19","31.75","31.75","31.75","31.75","300"
"DFC","2017-10-20","31.75","31.75","31.75","31.75","100"
"DFC","2017-10-23","33.97","33.97","33.97","33.97","100"
"DFC","2017-11-02","29.02","29.02","29.02","29.02","1300"
"DFC","2017-11-06","33.16","33.16","33.16","33.16","100"
"DFC","2017-11-15","31.02","31.02","30.28","30.28","1300"
"DFC","2017-11-24","28.06","29.54","28.06","29.54","1500"
"DFC","2017-12-01","33.23","33.23","33.23","33.23","100"
"DFC","2017-12-14","28.8","28.8","28.8","28.8","300"
"DFC","2017-12-15","28.8","28.8","28.8","28.8","500"
"DFC","2017-12-18","25.85","25.85","25.85","25.85","1000"
"DFC","2017-12-20","28.8","28.8","28.8","28.8","100"
"DFC","2017-12-21","31.75","31.75","31.75","31.75","100"
"DFC","2017-12-22","36.48","36.48","36.48","36.48","100"
"DFC","2017-12-25","31.02","31.02","31.02","31.02","200"
"DFC","2018-01-04","29.47","33.97","29.47","33.97","2600"
"DFC","2018-01-10","29.54","29.54","29.54","29.54","200"
"DFC","2018-01-11","29.54","29.54","29.54","29.54","100"
"DFC","2018-01-26","28.8","28.8","28.8","28.8","2000"
"DFC","2018-01-30","25.11","25.26","25.11","25.26","700"
"DFC","2018-02-02","28.65","28.65","28.65","28.65","100"
"DFC","2018-02-08","32.49","32.49","32.49","32.49","100"
"DFC","2018-02-09","37.29","37.29","37.29","37.29","100"
"DFC","2018-02-12","31.75","31.75","31.75","31.75","100"
"DFC","2018-02-13","27.32","27.32","27.03","27.03","200"
"DFC","2018-02-21","30.94","30.94","30.94","30.94","100"
"DFC","2018-02-23","28.8","28.8","28.8","28.8","3500"
"DFC","2018-03-01","27.32","27.32","27.32","27.32","100"
"DFC","2018-03-05","28.8","28.8","28.8","28.8","200"
"DFC","2018-03-06","28.8","28.8","28.8","28.8","100"
"DFC","2018-03-07","24.59","24.59","24.59","24.59","100"
"DFC","2018-03-13","20.97","20.97","20.97","20.97","400"
"DFC","2018-03-14","24.07","24.07","24.07","24.07","300"
"DFC","2018-03-16","24.15","24.15","24.15","24.15","100"
"DFC","2018-03-29","27.77","27.77","27.69","27.69","200"
"DFC","2018-04-03","27.32","27.32","25.85","25.85","400"
"DFC","2018-04-04","25.85","25.85","25.85","25.85","200"
"DFC","2018-04-06","28.14","28.21","28.06","28.06","1100"
"DFC","2018-04-09","28.06","28.06","28.06","28.06","600"
"DFC","2018-05-09","27.25","27.25","27.25","27.25","100"
"DFC","2018-05-15","26.51","26.51","26.51","26.51","100"
"DFC","2018-06-05","26.59","26.59","26.59","26.59","200"
"DFC","2018-06-08","25.85","25.85","25.85","25.85","100"
"DFC","2018-06-20","29.71","29.71","29.71","29.71","100"
"DFC","2018-06-27","29.79","29.79","29.79","29.79","100"
"DFC","2018-07-18","28.18","28.18","28.18","28.18","200"
"DFC","2018-08-01","28.18","28.18","28.18","28.18","100"
"DFC","2018-08-08","26.57","26.57","26.57","26.57","100"
"DFC","2018-08-24","28.99","28.99","28.99","28.99","2000"
"DFC","2018-09-25","28.99","28.99","28.99","28.99","1400"
"DFC","2018-09-27","29.79","29.79","29.79","29.79","100"
"DFC","2018-10-09","33.74","33.74","33.74","33.74","100"
"DFC","2018-11-02","38.65","38.65","38.65","38.65","200"
"DFC","2018-11-07","44.13","44.13","44.13","44.13","100"
"DFC","2018-11-08","50.57","50.57","50.57","50.57","100"
"DFC","2018-12-10","43","43","43","43","900"
"DFC","2018-12-27","43","43","43","43","-1614250"
"DFC","2019-01-31","49.44","49.44","49.44","49.44","100"
"DFC","2019-02-11","56.53","56.53","56.53","56.53","100"
"DFC","2019-02-13","64.66","64.66","64.66","64.66","100"
"DFC","2019-04-08","48.31","48.31","48.31","48.31","100"
"DFC","2019-06-21","32.21","32.21","32.21","32.21","100"
"DFC","2019-07-03","37.04","37.04","37.04","37.04","900"
"DFC","2019-07-04","38.65","38.65","37.04","37.04","500"
"DFC","2019-07-05","37.04","37.04","37.04","37.04","200"
"DFC","2019-07-08","36.24","36.24","36.24","36.24","100"
"DFC","2019-07-09","31.24","31.24","31.24","31.24","700"
"DFC","2019-07-10","27.86","27.86","27.86","27.86","500"
"DFC","2019-07-11","24.96","24.96","23.75","23.75","1200"
"DFC","2019-07-16","28.18","28.43","24.4","28.43","1800"
"DFC","2019-07-17","28.74","28.74","28.74","28.74","300"
"DFC","2019-07-18","32.88","32.97","32.88","32.97","400"
"DFC","2019-08-07","28.38","28.38","28.38","28.38","700"
"DFC","2019-08-08","24.5","24.5","24.5","24.5","900"
"DFC","2019-08-12","21.8","21.8","21.8","21.8","400"
"DFC","2019-08-14","21.62","21.62","21.62","21.62","1000"
"DFC","2019-08-15","21.71","21.89","21.71","21.89","3000"
"DFC","2019-08-23","23.42","23.42","23.42","23.42","100"
"DFC","2019-08-30","20.09","25.22","20.09","25.22","200"
"DFC","2019-09-03","24.32","24.32","24.32","24.32","200"
"DFC","2019-09-05","27.02","27.02","21.17","21.17","1000"
"DFC","2019-09-17","24.32","24.32","24.32","24.32","100"
"DFC","2019-09-20","25.22","25.22","25.22","25.22","100"
"DFC","2019-09-23","29.01","29.01","29.01","29.01","100"
"DFC","2019-09-24","33.24","33.24","33.24","33.24","100"
"DFC","2019-10-07","33.33","33.33","33.33","33.33","100"
"DFC","2019-11-08","29.73","29.73","29.73","29.73","400"
"DFC","2019-11-11","26.12","26.12","26.12","26.12","700"
"DFC","2019-11-14","23.42","23.42","23.42","23.42","2000"
"DFC","2019-11-22","21.17","21.17","21.17","21.17","5600"
"DFC","2019-12-13","18.02","21.17","18.02","21.17","400"
"DFC","2019-12-18","23.33","23.33","23.33","23.33","100"
"DFC","2019-12-31","24.77","24.77","24.77","24.77","100"
"DFC","2020-01-31","27.02","27.02","27.02","27.02","100"
"DFC","2020-02-17","22.97","22.97","22.97","22.97","200"
"DFC","2020-02-21","20.72","20.72","20.72","20.72","2900"
"DFC","2020-02-24","23.78","23.78","23.78","23.78","2100"
"DFC","2020-02-26","27.02","27.02","27.02","27.02","100"
"DFC","2020-02-28","27.02","27.02","27.02","27.02","100"
"DFC","2020-03-05","22.97","22.97","22.97","22.97","100"
"DFC","2020-03-10","19.55","19.55","19.55","19.55","100"
"DFC","2020-03-11","22.43","22.43","22.43","22.43","1800"
"DFC","2020-03-12","25.67","25.67","25.67","25.67","200"
"DFC","2020-03-19","26.93","26.93","26.93","26.93","100"
"DFC","2020-03-20","30.54","30.54","30.54","30.54","100"
"DFC","2020-03-27","26.03","26.03","26.03","26.03","900"
"DFC","2020-03-30","22.16","22.16","22.16","22.16","400"
"DFC","2020-04-03","22.16","22.16","22.16","22.16","500"
"DFC","2020-04-06","19.01","19.19","19.01","19.19","300"
"DFC","2020-04-09","21.8","21.8","21.8","21.8","100"
"DFC","2020-04-10","20.09","20.09","20.09","20.09","400"
"DFC","2020-04-13","23.06","23.06","23.06","23.06","100"
"DFC","2020-04-14","26.48","26.48","26.48","26.48","100"
"DFC","2020-04-20","27.02","27.02","27.02","27.02","500"
"DFC","2020-04-22","30.99","30.99","30.99","30.99","100"
"DFC","2020-04-28","26.39","26.39","26.39","26.39","200"
"DFC","2020-04-29","22.61","22.61","22.61","22.61","100"
"DFC","2020-05-06","20.09","20.09","20.09","20.09","100"
"DFC","2020-05-08","19.91","19.91","19.91","19.91","100"
"DFC","2020-05-13","16.94","16.94","16.94","16.94","100"
"DFC","2020-06-22","17.03","17.03","17.03","17.03","100"
"DFC","2020-06-30","19.55","19.55","14.5","14.5","200"
"DFC","2020-07-07","19.55","19.55","19.55","19.55","300"
