symbol,date,open,high,low,close,volume,year,month,week,weekday
"DGW","2015-08-03","8.31","8.31","7.64","7.71","313220","2015","08","32","Monday"
"DGW","2015-08-04","7.71","7.77","7.17","7.17","9220","2015","08","32","Tuesday"
"DGW","2015-08-05","7.17","7.37","7.1","7.37","19420","2015","08","32","Wednesday"
"DGW","2015-08-06","7.17","7.17","6.9","6.9","23650","2015","08","32","Thursday"
"DGW","2015-08-07","6.42","6.9","6.42","6.42","23890","2015","08","32","Friday"
"DGW","2015-08-10","6.42","6.84","6.42","6.84","11530","2015","08","33","Monday"
"DGW","2015-08-11","6.9","7.17","6.5","6.5","22830","2015","08","33","Tuesday"
"DGW","2015-08-12","6.51","6.63","6.3","6.43","25000","2015","08","33","Wednesday"
"DGW","2015-08-13","6.43","6.57","6.15","6.55","14720","2015","08","33","Thursday"
"DGW","2015-08-14","6.37","6.55","6.34","6.54","3570","2015","08","33","Friday"
"DGW","2015-08-17","6.25","6.51","6.25","6.49","49820","2015","08","34","Monday"
"DGW","2015-08-18","6.42","6.46","6.38","6.43","47070","2015","08","34","Tuesday"
"DGW","2015-08-19","6.43","6.55","6.42","6.49","25460","2015","08","34","Wednesday"
"DGW","2015-08-20","6.51","6.57","6.33","6.57","102480","2015","08","34","Thursday"
"DGW","2015-08-21","6.57","6.69","6.46","6.66","104370","2015","08","34","Friday"
"DGW","2015-08-24","6.53","6.53","6.41","6.53","48760","2015","08","35","Monday"
"DGW","2015-08-25","6.59","6.59","6.17","6.38","75340","2015","08","35","Tuesday"
"DGW","2015-08-26","6.47","6.47","6.17","6.39","105380","2015","08","35","Wednesday"
"DGW","2015-08-27","6.39","6.42","6.27","6.27","20510","2015","08","35","Thursday"
"DGW","2015-08-28","6.42","6.42","6.21","6.22","49470","2015","08","35","Friday"
"DGW","2015-08-31","6.31","6.31","6.17","6.23","63050","2015","08","36","Monday"
"DGW","2015-09-01","6.3","6.33","6.19","6.23","64670","2015","09","36","Tuesday"
"DGW","2015-09-03","6.26","6.26","6.11","6.21","105250","2015","09","36","Thursday"
"DGW","2015-09-04","6.25","6.25","6.11","6.11","16340","2015","09","36","Friday"
"DGW","2015-09-07","6.13","6.13","6.03","6.11","82270","2015","09","37","Monday"
"DGW","2015-09-08","6.07","6.1","6.03","6.07","57180","2015","09","37","Tuesday"
"DGW","2015-09-09","6.1","6.1","6.02","6.02","59660","2015","09","37","Wednesday"
"DGW","2015-09-10","6.03","6.03","6","6.02","60240","2015","09","37","Thursday"
"DGW","2015-09-11","6.02","6.03","6","6.02","17410","2015","09","37","Friday"
"DGW","2015-09-14","6.02","6.15","6","6.02","69820","2015","09","38","Monday"
"DGW","2015-09-15","6.02","6.02","5.76","6","12800","2015","09","38","Tuesday"
"DGW","2015-09-16","5.95","6.02","5.94","5.96","71540","2015","09","38","Wednesday"
"DGW","2015-09-17","5.96","6.21","5.96","6.15","43750","2015","09","38","Thursday"
"DGW","2015-09-18","6.15","6.3","6.15","6.21","44790","2015","09","38","Friday"
"DGW","2015-09-21","6.17","6.26","6.13","6.19","41170","2015","09","39","Monday"
"DGW","2015-09-22","6.19","6.27","6.17","6.27","78730","2015","09","39","Tuesday"
"DGW","2015-09-23","6.27","6.27","6.22","6.23","6260","2015","09","39","Wednesday"
"DGW","2015-09-24","6.27","6.27","6.02","6.21","47390","2015","09","39","Thursday"
"DGW","2015-09-25","6.21","6.21","6.17","6.19","30020","2015","09","39","Friday"
"DGW","2015-09-28","6.18","6.18","6.15","6.17","50280","2015","09","40","Monday"
"DGW","2015-09-29","6.17","6.17","6.06","6.17","47480","2015","09","40","Tuesday"
"DGW","2015-09-30","6.27","6.27","6.17","6.26","25130","2015","09","40","Wednesday"
"DGW","2015-10-01","6.27","6.37","6.25","6.31","34670","2015","10","40","Thursday"
"DGW","2015-10-02","6.37","6.7","6.37","6.65","153920","2015","10","40","Friday"
"DGW","2015-10-05","6.65","6.9","6.63","6.77","77660","2015","10","41","Monday"
"DGW","2015-10-06","6.77","7.04","6.7","6.77","102720","2015","10","41","Tuesday"
"DGW","2015-10-07","6.7","6.9","6.59","6.62","49580","2015","10","41","Wednesday"
"DGW","2015-10-08","6.69","6.77","6.66","6.7","92140","2015","10","41","Thursday"
"DGW","2015-10-09","6.85","7.11","6.76","6.9","80930","2015","10","41","Friday"
"DGW","2015-10-12","7.09","7.09","6.54","6.54","89850","2015","10","42","Monday"
"DGW","2015-10-13","6.53","6.85","6.46","6.85","100500","2015","10","42","Tuesday"
"DGW","2015-10-14","6.92","6.92","6.76","6.81","84390","2015","10","42","Wednesday"
"DGW","2015-10-15","6.54","6.85","6.4","6.56","61910","2015","10","42","Thursday"
"DGW","2015-10-16","6.26","6.67","6.26","6.56","94770","2015","10","42","Friday"
"DGW","2015-10-19","6.56","6.56","6.22","6.38","75400","2015","10","43","Monday"
"DGW","2015-10-20","6.22","6.47","6.22","6.44","78030","2015","10","43","Tuesday"
"DGW","2015-10-21","6.35","6.35","6.05","6.29","41820","2015","10","43","Wednesday"
"DGW","2015-10-22","6.29","6.29","6.05","6.1","80090","2015","10","43","Thursday"
"DGW","2015-10-23","6.1","6.1","5.71","6.1","112570","2015","10","43","Friday"
"DGW","2015-10-26","6.1","6.46","6.1","6.38","107010","2015","10","44","Monday"
"DGW","2015-10-27","6.4","6.44","6.28","6.44","86810","2015","10","44","Tuesday"
"DGW","2015-10-28","6.4","6.44","6.13","6.44","75340","2015","10","44","Wednesday"
"DGW","2015-10-29","6.47","6.62","6.44","6.62","43620","2015","10","44","Thursday"
"DGW","2015-10-30","6.74","7.06","6.69","6.83","103510","2015","10","44","Friday"
"DGW","2015-11-02","6.93","6.93","6.67","6.67","31060","2015","11","45","Monday"
