symbol,date,open,high,low,close,volume
"DHN","2018-04-26","7.68","7.68","7.62","7.62","3500"
"DHN","2018-04-27","7.62","7.62","6.95","6.95","5210"
"DHN","2018-05-07","7.28","7.28","7.28","7.28","2000"
"DHN","2018-05-10","6.62","6.62","6.62","6.62","300"
"DHN","2018-05-11","6.95","6.95","6.95","6.95","2000"
"DHN","2018-05-15","7.09","7.09","7.09","7.09","3000"
"DHN","2018-05-18","6.82","6.82","6.82","6.82","3000"
"DHN","2018-05-22","6.89","7.09","6.82","7.09","4000"
"DHN","2018-05-24","6.69","6.69","6.69","6.69","300"
"DHN","2018-05-29","6.49","6.49","6.49","6.49","300"
"DHN","2018-06-01","7.09","7.15","7.09","7.09","1000"
"DHN","2018-06-04","7.22","7.22","7.22","7.22","100"
"DHN","2018-06-12","7.42","7.42","7.42","7.42","1000"
"DHN","2018-06-15","7.62","7.62","7.62","7.62","1000"
"DHN","2018-06-18","7.62","7.62","7.62","7.62","1000"
"DHN","2018-06-19","6.49","6.49","6.49","6.49","100"
"DHN","2018-06-22","5.63","7.42","5.63","7.42","1200"
"DHN","2018-06-25","6.22","6.22","6.22","6.22","100"
"DHN","2018-06-26","5.7","5.7","5.7","5.7","100"
"DHN","2018-07-13","5.96","5.96","5.96","5.96","200"
"DHN","2018-07-16","5.96","5.96","5.96","5.96","100"
"DHN","2018-07-23","6.69","6.69","6.69","6.69","500"
"DHN","2018-07-25","7.15","7.15","7.15","7.15","100"
"DHN","2018-07-26","7.15","7.22","7.15","7.22","500"
"DHN","2018-07-27","7.22","7.22","7.22","7.22","310"
"DHN","2018-08-01","7.29","7.29","7.29","7.29","500"
"DHN","2018-08-03","7.22","7.22","7.22","7.22","300"
"DHN","2018-08-06","7.29","7.36","7.29","7.36","2000"
"DHN","2018-08-21","7.71","7.71","7.71","7.71","1000"
"DHN","2018-08-29","7.57","7.57","7.57","7.57","2000"
"DHN","2018-09-05","7.57","7.57","7.57","7.57","700"
"DHN","2018-09-06","7.57","7.57","7.57","7.57","2000"
"DHN","2018-09-14","7.36","7.36","7.36","7.36","30000"
"DHN","2018-09-24","8.41","8.41","7.36","7.36","30100"
"DHN","2018-10-22","7.43","7.43","7.36","7.43","1300"
"DHN","2018-10-23","7.36","7.36","7.36","7.36","800"
"DHN","2018-10-24","7.36","7.43","7.36","7.43","1000"
"DHN","2018-10-25","7.43","7.43","7.43","7.43","500"
"DHN","2018-10-26","7.43","7.43","7.43","7.43","500"
"DHN","2018-11-15","7.43","7.43","7.43","7.43","500"
"DHN","2018-11-29","7.43","7.43","7.43","7.43","500"
"DHN","2018-11-30","7.43","7.43","7.43","7.43","1300"
"DHN","2018-12-03","7.43","7.43","7.43","7.43","200"
"DHN","2018-12-20","7.36","7.36","7.36","7.36","200"
"DHN","2018-12-27","7.43","7.43","7.43","7.43","600"
"DHN","2019-01-28","7.36","7.43","7.36","7.43","3500"
"DHN","2019-01-29","7.71","7.71","7.71","7.71","500"
"DHN","2019-02-18","7.71","7.71","7.71","7.71","20"
"DHN","2019-02-22","7.79","7.79","7.71","7.71","1000"
"DHN","2019-02-25","7.71","7.71","7.71","7.71","1000"
"DHN","2019-02-27","8.81","8.81","8.81","8.81","100"
"DHN","2019-03-04","7.71","7.71","7.71","7.71","2500"
"DHN","2019-03-05","8.67","8.67","8.67","8.67","100"
"DHN","2019-03-06","9.77","9.77","7.71","7.71","200"
"DHN","2019-03-11","7.71","7.71","7.71","7.71","200"
"DHN","2019-03-13","7.57","7.57","7.57","7.57","200"
"DHN","2019-03-14","8.67","8.67","7.79","7.79","200"
"DHN","2019-03-19","9.33","9.33","9.33","9.33","197"
"DHN","2019-03-20","7.93","7.93","7.93","7.93","100"
"DHN","2019-03-22","9.11","9.11","7.79","7.79","200"
"DHN","2019-03-26","8.45","8.45","8.45","8.45","500"
"DHN","2019-03-27","9.62","9.62","7.71","7.71","200"
"DHN","2019-03-29","8.52","9.77","8.08","8.08","2300"
"DHN","2019-04-01","9.11","9.11","8.08","8.08","1100"
"DHN","2019-04-02","8.08","9.26","8.08","9.26","3600"
"DHN","2019-04-03","9.4","9.4","8.08","8.45","2200"
"DHN","2019-04-04","8.3","8.3","8.3","8.3","200"
"DHN","2019-04-05","9.33","9.33","8.38","8.38","700"
"DHN","2019-04-08","8.45","8.45","8.45","8.45","500"
"DHN","2019-04-09","9.62","9.62","8.45","8.45","900"
"DHN","2019-04-10","8.52","8.52","8.52","8.52","600"
"DHN","2019-04-11","9.7","9.7","8.52","8.52","1000"
"DHN","2019-04-12","8.52","9.33","8.52","9.33","900"
"DHN","2019-04-16","8.45","8.52","8.45","8.52","1300"
"DHN","2019-04-17","8.45","8.52","8.45","8.52","1400"
"DHN","2019-04-18","8.45","8.52","8.45","8.52","800"
"DHN","2019-04-22","8.6","8.6","8.6","8.6","148"
"DHN","2019-04-23","8.67","8.67","8.67","8.67","100"
"DHN","2019-04-24","8.45","8.45","8.45","8.45","4000"
"DHN","2019-04-25","8.45","8.45","8.45","8.45","2000"
"DHN","2019-04-26","9.62","9.62","7.71","7.71","300"
"DHN","2019-05-02","7.71","7.71","7.71","7.71","100"
"DHN","2019-05-03","8.38","8.38","8.38","8.38","110"
"DHN","2019-05-06","9.55","9.55","8.45","8.52","1400"
"DHN","2019-05-07","8.52","8.52","8.52","8.52","400"
"DHN","2019-05-08","9.18","9.18","8.67","8.67","500"
"DHN","2019-05-10","9.7","9.7","8.67","8.67","700"
"DHN","2019-05-14","8.67","8.67","7.86","7.86","600"
"DHN","2019-05-16","9.55","9.55","8.67","8.67","1000"
"DHN","2019-05-17","9.7","9.7","8.67","8.67","400"
"DHN","2019-05-21","9.55","9.55","8.81","8.81","400"
"DHN","2019-05-22","9.33","9.33","8.81","8.81","400"
"DHN","2019-05-23","8.81","8.81","8.81","8.81","500"
"DHN","2019-05-27","9.04","9.04","9.04","9.04","100"
"DHN","2019-05-28","9.04","9.04","9.04","9.04","48"
"DHN","2019-05-29","9.92","9.92","8.67","8.67","200"
"DHN","2019-05-31","8.81","8.81","8.81","8.81","500"
"DHN","2019-06-03","9.11","9.11","9.11","9.11","100"
"DHN","2019-06-10","8.74","8.74","8.74","8.74","100"
"DHN","2019-06-14","9.55","9.55","9.55","9.55","100"
"DHN","2019-06-17","8.67","8.67","8.67","8.67","100"
"DHN","2019-06-20","9.7","9.7","9.7","9.7","100"
"DHN","2019-06-24","8.45","8.45","8.45","8.45","100"
"DHN","2019-06-26","8.67","8.67","8.67","8.67","300"
"DHN","2019-07-03","8.67","8.67","8.67","8.67","48"
"DHN","2019-07-04","9.04","9.04","8.67","8.67","1300"
"DHN","2019-07-05","9.04","9.04","9.04","9.04","1100"
"DHN","2019-07-08","9.04","9.04","9.04","9.04","300"
"DHN","2019-07-10","9.04","9.04","9.04","9.04","300"
"DHN","2019-07-11","9.04","9.04","9.04","9.04","300"
"DHN","2019-07-16","9.99","9.99","9.04","9.04","900"
"DHN","2019-07-17","9.04","9.04","9.04","9.04","1500"
"DHN","2019-07-18","9.04","9.04","9.04","9.04","500"
"DHN","2019-07-19","9.04","9.04","9.04","9.04","800"
"DHN","2019-07-22","9.04","9.04","9.04","9.04","700"
"DHN","2019-07-23","8.01","8.01","8.01","8.01","100"
"DHN","2019-07-25","9.04","9.04","8.08","8.08","200"
"DHN","2019-07-26","9.77","9.77","9.77","9.77","100"
"DHN","2019-07-29","8.52","8.52","8.52","8.52","100"
"DHN","2019-08-02","9.7","9.7","9.7","9.7","100"
"DHN","2019-08-05","9.7","9.7","9.7","9.7","300"
"DHN","2019-08-06","8.96","8.96","8.96","8.96","100"
"DHN","2019-08-07","8.96","10.21","8.01","8.01","500"
"DHN","2019-08-08","8.01","8.01","8.01","8.01","100"
"DHN","2019-08-13","9.11","9.11","7.71","7.71","200"
"DHN","2019-08-15","7.79","7.79","7.79","7.79","100"
"DHN","2019-08-29","8.89","8.89","8.89","8.89","100"
"DHN","2019-08-30","10.21","10.21","8.52","8.52","400"
"DHN","2019-09-03","8.45","8.45","8.45","8.45","100"
"DHN","2019-09-04","7.2","7.2","7.2","7.2","100"
"DHN","2019-09-24","8.25","8.25","8.25","8.25","100"
"DHN","2019-10-11","9.3","9.3","9.3","9.3","100"
"DHN","2019-10-14","8.49","8.49","8.49","8.49","100"
"DHN","2019-10-16","9.71","9.71","9.71","9.71","100"
"DHN","2019-10-17","8.57","8.57","8.57","8.57","100"
"DHN","2019-11-13","8.9","8.9","7.36","7.36","200"
"DHN","2019-11-19","8.09","8.09","8.09","8.09","100"
"DHN","2019-12-17","8.49","8.49","8.49","8.49","100"
"DHN","2020-01-13","8.49","8.49","8.49","8.49","200"
"DHN","2020-02-19","9.71","9.71","9.71","9.71","100"
"DHN","2020-03-03","8.49","8.49","8.49","8.49","100"
"DHN","2020-03-16","9.71","9.71","9.71","9.71","100"
"DHN","2020-03-26","8.33","8.33","8.33","8.33","100"
"DHN","2020-03-27","9.54","9.54","8.33","8.33","200"
"DHN","2020-03-30","8.49","8.49","8.49","8.49","100"
"DHN","2020-04-06","8.49","8.49","8.49","8.49","100"
"DHN","2020-04-10","9.71","9.71","8.17","8.17","200"
"DHN","2020-04-17","8.41","8.41","8.41","8.41","100"
"DHN","2020-05-06","9.3","9.3","9.3","9.3","2100"
"DHN","2020-05-13","8.49","8.49","8.49","8.49","100"
"DHN","2020-07-24","9.76","9.76","9.76","9.76","100"
"DHN","2020-07-28","11.2","11.2","11.2","11.2","100"
"DHN","2020-07-29","12.83","12.83","12.83","12.83","100"
