symbol,date,open,high,low,close,volume,year,month,week,weekday
"DNA","2017-10-19","12.03","12.03","12.03","12.03","21000","2017","10","42","Thursday"
"DNA","2017-10-20","13.82","13.82","13.82","13.82","30500","2017","10","42","Friday"
"DNA","2017-10-23","14.07","14.07","11.84","11.84","31900","2017","10","43","Monday"
"DNA","2017-10-24","11.21","11.33","11.14","11.14","27500","2017","10","43","Tuesday"
"DNA","2017-10-25","9.93","10.12","9.93","10","4300","2017","10","43","Wednesday"
"DNA","2017-10-26","10.19","10.19","10.19","10.19","5400","2017","10","43","Thursday"
"DNA","2017-10-27","11.14","11.14","10.31","10.95","900","2017","10","43","Friday"
"DNA","2017-10-30","10.31","10.31","10.25","10.25","1300","2017","10","44","Monday"
"DNA","2017-11-02","10.51","10.95","10.51","10.95","1800","2017","11","44","Thursday"
"DNA","2017-11-03","10.82","10.82","10.31","10.31","1400","2017","11","44","Friday"
"DNA","2017-11-07","10.06","10.06","10","10","1000","2017","11","45","Tuesday"
"DNA","2017-11-08","10.95","10.95","10","10","2110","2017","11","45","Wednesday"
"DNA","2017-11-09","10","10","10","10","900","2017","11","45","Thursday"
"DNA","2017-11-14","10.06","10.19","10.06","10.19","1300","2017","11","46","Tuesday"
"DNA","2017-11-16","11.71","11.71","10.19","11.14","6800","2017","11","46","Thursday"
"DNA","2017-11-17","12.41","12.41","10.51","10.51","7000","2017","11","46","Friday"
"DNA","2017-11-20","10.31","11.78","10.31","10.7","3100","2017","11","47","Monday"
"DNA","2017-11-21","11.4","11.4","10.82","10.95","700","2017","11","47","Tuesday"
"DNA","2017-11-22","11.33","11.46","11.33","11.33","3000","2017","11","47","Wednesday"
"DNA","2017-11-23","10.82","11.4","10.82","11.4","1600","2017","11","47","Thursday"
"DNA","2017-11-24","11.52","11.52","11.52","11.52","100","2017","11","47","Friday"
"DNA","2017-11-27","11.65","11.78","11.65","11.78","2000","2017","11","48","Monday"
"DNA","2017-11-28","12.03","12.1","10.82","11.91","8100","2017","11","48","Tuesday"
"DNA","2017-11-29","11.71","11.97","11.33","11.33","1500","2017","11","48","Wednesday"
"DNA","2017-11-30","12.1","12.29","10.82","11.4","4600","2017","11","48","Thursday"
"DNA","2017-12-01","11.91","11.91","11.91","11.91","200","2017","12","48","Friday"
"DNA","2017-12-04","11.14","11.21","11.14","11.14","2000","2017","12","49","Monday"
"DNA","2017-12-05","11.71","11.71","10.82","10.82","7000","2017","12","49","Tuesday"
"DNA","2017-12-07","11.4","11.4","11.4","11.4","100","2017","12","49","Thursday"
"DNA","2017-12-08","11.14","11.14","10.82","10.82","8600","2017","12","49","Friday"
"DNA","2017-12-11","11.14","11.14","11.14","11.14","300","2017","12","50","Monday"
"DNA","2017-12-12","11.27","11.33","10.82","10.82","11500","2017","12","50","Tuesday"
"DNA","2017-12-14","11.08","11.08","10.82","10.82","200","2017","12","50","Thursday"
"DNA","2017-12-15","11.02","11.02","10.25","10.25","4900","2017","12","50","Friday"
"DNA","2017-12-18","10","10.89","10","10.89","3400","2017","12","51","Monday"
"DNA","2017-12-19","10.95","10.95","10.95","10.95","100","2017","12","51","Tuesday"
"DNA","2017-12-20","10","10","10","10","100","2017","12","51","Wednesday"
"DNA","2017-12-21","11.46","11.46","11.46","11.46","100","2017","12","51","Thursday"
"DNA","2017-12-25","11.65","11.65","11.65","11.65","100","2017","12","52","Monday"
"DNA","2017-12-26","10.06","10.31","10.06","10.31","1300","2017","12","52","Tuesday"
"DNA","2017-12-27","10.44","10.44","10.19","10.25","3900","2017","12","52","Wednesday"
"DNA","2017-12-28","11.33","11.78","11.33","11.78","6900","2017","12","52","Thursday"
"DNA","2017-12-29","10.38","11.14","10.38","11.14","9500","2017","12","52","Friday"
"DNA","2018-01-02","10.44","10.44","10.44","10.44","100","2018","01","1","Tuesday"
"DNA","2018-01-03","10.38","10.38","10.38","10.38","300","2018","01","1","Wednesday"
"DNA","2018-01-05","11.14","11.14","11.14","11.14","3500","2018","01","1","Friday"
"DNA","2018-01-08","11.33","11.46","11.33","11.46","14300","2018","01","2","Monday"
"DNA","2018-01-09","11.33","11.59","11.33","11.46","15600","2018","01","2","Tuesday"
"DNA","2018-01-10","11.65","11.78","11.65","11.78","10000","2018","01","2","Wednesday"
"DNA","2018-01-11","11.46","11.46","11.46","11.46","3000","2018","01","2","Thursday"
"DNA","2018-01-12","11.14","11.14","11.14","11.14","100","2018","01","2","Friday"
"DNA","2018-01-15","10.82","10.82","10.82","10.82","14400","2018","01","3","Monday"
"DNA","2018-01-16","11.14","11.14","11.14","11.14","600","2018","01","3","Tuesday"
"DNA","2018-01-18","11.59","12.1","10.95","11.02","13500","2018","01","3","Thursday"
"DNA","2018-01-19","11.78","12.73","11.78","12.73","39500","2018","01","3","Friday"
"DNA","2018-01-22","13.56","13.88","12.73","13.88","54800","2018","01","4","Monday"
"DNA","2018-01-23","12.73","12.73","12.48","12.48","15600","2018","01","4","Tuesday"
"DNA","2018-01-24","12.54","12.54","12.41","12.41","2100","2018","01","4","Wednesday"
"DNA","2018-01-25","13.12","13.5","10.89","10.89","25600","2018","01","4","Thursday"
"DNA","2018-01-26","12.73","13.31","11.21","11.21","6700","2018","01","4","Friday"
"DNA","2018-01-29","11.52","11.52","11.52","11.52","100","2018","01","5","Monday"
"DNA","2018-01-30","13.05","13.24","11.59","13.05","31800","2018","01","5","Tuesday"
"DNA","2018-01-31","12.73","13.94","11.65","13.69","80800","2018","01","5","Wednesday"
"DNA","2018-02-01","13.88","13.88","13.88","13.88","100","2018","02","5","Thursday"
"DNA","2018-02-02","12.8","12.8","12.8","12.8","5000","2018","02","5","Friday"
"DNA","2018-02-05","12.8","13.05","12.16","12.16","26100","2018","02","6","Monday"
"DNA","2018-02-06","12.73","13.63","11.91","12.16","36300","2018","02","6","Tuesday"
"DNA","2018-02-08","13.69","13.88","12.22","12.22","2400","2018","02","6","Thursday"
"DNA","2018-02-22","13.05","14.13","11.59","11.91","106900","2018","02","8","Thursday"
"DNA","2018-02-26","11.52","12.29","11.52","12.22","13300","2018","02","9","Monday"
"DNA","2018-02-28","12.35","12.35","12.35","12.35","100","2018","02","9","Wednesday"
"DNA","2018-03-01","12.99","12.99","12.8","12.8","1900","2018","03","9","Thursday"
"DNA","2018-03-02","12.73","12.73","12.73","12.73","5000","2018","03","9","Friday"
"DNA","2018-03-05","12.41","12.41","12.41","12.41","19800","2018","03","10","Monday"
"DNA","2018-03-06","12.73","12.73","12.73","12.73","1000","2018","03","10","Tuesday"
"DNA","2018-03-08","12.73","12.73","12.73","12.73","3000","2018","03","10","Thursday"
"DNA","2018-03-14","12.73","14.01","12.29","12.29","34100","2018","03","11","Wednesday"
"DNA","2018-03-16","14.01","14.2","12.54","12.54","27500","2018","03","11","Friday"
"DNA","2018-03-19","12.61","12.61","12.61","12.61","5000","2018","03","12","Monday"
"DNA","2018-03-20","12.73","12.73","12.73","12.73","400","2018","03","12","Tuesday"
"DNA","2018-03-21","13.82","14.01","12.86","12.86","25500","2018","03","12","Wednesday"
"DNA","2018-03-26","12.35","12.35","12.35","12.35","5000","2018","03","13","Monday"
"DNA","2018-03-29","10.51","10.51","10.51","10.51","10000","2018","03","13","Thursday"
"DNA","2018-03-30","12.03","12.03","12.03","12.03","100","2018","03","13","Friday"
"DNA","2018-04-03","10.38","12.1","10.38","12.1","12000","2018","04","14","Tuesday"
"DNA","2018-04-05","12.29","12.29","12.29","12.29","600","2018","04","14","Thursday"
"DNA","2018-04-11","12.73","13.24","12.16","12.16","19900","2018","04","15","Wednesday"
"DNA","2018-04-12","13.5","13.5","11.91","12.1","30500","2018","04","15","Thursday"
"DNA","2018-04-13","13.37","13.37","13.37","13.37","500","2018","04","15","Friday"
"DNA","2018-04-17","11.52","11.59","11.52","11.59","10000","2018","04","16","Tuesday"
"DNA","2018-04-18","12.73","12.8","12.1","12.1","4600","2018","04","16","Wednesday"
"DNA","2018-04-20","12.73","12.73","12.73","12.73","3000","2018","04","16","Friday"
"DNA","2018-04-24","12.73","12.73","12.73","12.73","1400","2018","04","17","Tuesday"
"DNA","2018-04-26","11.02","11.02","11.02","11.02","10000","2018","04","17","Thursday"
"DNA","2018-04-27","12.61","12.61","11.52","11.52","16500","2018","04","17","Friday"
"DNA","2018-05-03","12.1","12.1","12.1","12.1","1500","2018","05","18","Thursday"
"DNA","2018-05-04","10.38","10.38","10.38","10.38","9400","2018","05","18","Friday"
"DNA","2018-05-22","11.91","11.91","11.91","11.91","100","2018","05","21","Tuesday"
"DNA","2018-05-23","13.05","13.05","13.05","13.05","500","2018","05","21","Wednesday"
"DNA","2018-05-25","11.14","11.14","11.14","11.14","100","2018","05","21","Friday"
"DNA","2018-05-29","9.68","9.68","9.68","9.68","100","2018","05","22","Tuesday"
"DNA","2018-06-01","11.08","11.08","11.08","11.08","100","2018","06","22","Friday"
"DNA","2018-06-04","12.12","12.68","12.12","12.68","1200","2018","06","23","Monday"
"DNA","2018-06-05","11.01","14.42","11.01","14.42","200","2018","06","23","Tuesday"
"DNA","2018-06-07","12.61","12.61","12.61","12.61","500","2018","06","23","Thursday"
"DNA","2018-06-08","10.8","12.61","10.8","12.61","200","2018","06","23","Friday"
"DNA","2018-06-11","12.54","12.54","12.54","12.54","100","2018","06","24","Monday"
"DNA","2018-06-12","10.66","10.66","10.66","10.66","100","2018","06","24","Tuesday"
"DNA","2018-06-13","12.19","12.19","12.19","12.19","100","2018","06","24","Wednesday"
"DNA","2018-06-14","10.38","13.94","10.38","13.94","2400","2018","06","24","Thursday"
"DNA","2018-06-15","11.43","11.43","11.43","11.43","100","2018","06","24","Friday"
