symbol,date,open,high,low,close,volume,year,month,week,weekday
"DP2","2017-05-19","14.2","14.2","14.2","14.2","100","2017","05","20","Friday"
"DP2","2017-05-24","16.3","16.3","16.3","16.3","100","2017","05","21","Wednesday"
"DP2","2017-05-25","18.7","18.7","18.7","18.7","100","2017","05","21","Thursday"
"DP2","2017-05-26","21.5","21.5","21.5","21.5","100","2017","05","21","Friday"
"DP2","2017-05-29","24.7","24.7","24.7","24.7","100","2017","05","22","Monday"
"DP2","2017-05-30","28.4","28.4","28.4","28.4","5120","2017","05","22","Tuesday"
"DP2","2017-05-31","32.6","32.6","32.6","32.6","1510","2017","05","22","Wednesday"
"DP2","2017-06-01","37.4","37.4","34.7","37.4","3230","2017","06","22","Thursday"
"DP2","2017-06-02","30.7","35","30.7","35","220","2017","06","22","Friday"
"DP2","2017-06-05","28.6","28.6","28.5","28.6","510","2017","06","23","Monday"
"DP2","2017-06-06","25","28.5","24.4","28.5","12220","2017","06","23","Tuesday"
"DP2","2017-06-07","24","24","22","22","3950","2017","06","23","Wednesday"
"DP2","2017-06-08","20","26","20","26","1400","2017","06","23","Thursday"
"DP2","2017-06-09","24.7","25","24.7","25","9410","2017","06","23","Friday"
"DP2","2017-06-12","25","25","24.8","24.8","4105","2017","06","24","Monday"
"DP2","2017-06-14","24.8","24.8","24.7","24.7","2400","2017","06","24","Wednesday"
"DP2","2017-06-15","25","25","24","25","10270","2017","06","24","Thursday"
"DP2","2017-06-16","24","25.5","24","24","10775","2017","06","24","Friday"
"DP2","2017-06-19","24","24","24","24","5955","2017","06","25","Monday"
"DP2","2017-06-20","24","24","24","24","6850","2017","06","25","Tuesday"
"DP2","2017-06-21","23.5","23.5","23","23","1300","2017","06","25","Wednesday"
"DP2","2017-06-22","23.7","23.8","23.7","23.7","300","2017","06","25","Thursday"
"DP2","2017-06-23","23","23","23","23","4100","2017","06","25","Friday"
"DP2","2017-06-26","22.5","22.5","22.5","22.5","2810","2017","06","26","Monday"
"DP2","2017-06-27","22.5","22.5","21.5","21.5","4100","2017","06","26","Tuesday"
