symbol,date,open,high,low,close,volume,year,month,week,weekday
"DPC","2001-11-28","17.6","17.6","17.6","17.6","15000","2001","11","48","Wednesday"
"DPC","2001-11-30","17.25","17.25","17.25","17.25","11800","2001","11","48","Friday"
"DPC","2001-12-03","16.95","16.95","16.95","16.95","600","2001","12","49","Monday"
"DPC","2001-12-05","16.95","16.95","16.95","16.95","600","2001","12","49","Wednesday"
"DPC","2001-12-07","16.65","16.65","16.65","16.65","1200","2001","12","49","Friday"
"DPC","2001-12-10","16.65","16.65","16.65","16.65","100","2001","12","50","Monday"
"DPC","2001-12-12","16.34","16.34","16.34","16.34","300","2001","12","50","Wednesday"
"DPC","2001-12-14","16.04","16.04","16.04","16.04","400","2001","12","50","Friday"
"DPC","2001-12-17","15.74","15.74","15.74","15.74","300","2001","12","51","Monday"
"DPC","2001-12-19","15.44","15.44","15.44","15.44","100","2001","12","51","Wednesday"
"DPC","2001-12-21","15.14","15.14","15.14","15.14","1100","2001","12","51","Friday"
"DPC","2001-12-24","14.84","14.84","14.84","14.84","10800","2001","12","52","Monday"
"DPC","2001-12-26","14.58","14.58","14.58","14.58","2400","2001","12","52","Wednesday"
"DPC","2001-12-28","14.53","14.53","14.53","14.53","100","2001","12","52","Friday"
"DPC","2001-12-31","14.28","14.28","14.28","14.28","100","2001","12","1","Monday"
"DPC","2002-01-04","14.03","14.03","14.03","14.03","100","2002","01","1","Friday"
"DPC","2002-01-07","13.78","13.78","13.78","13.78","100","2002","01","2","Monday"
"DPC","2002-01-09","13.53","13.53","13.53","13.53","3400","2002","01","2","Wednesday"
"DPC","2002-01-11","13.28","13.28","13.28","13.28","1000","2002","01","2","Friday"
"DPC","2002-01-14","13.03","13.03","13.03","13.03","1100","2002","01","3","Monday"
"DPC","2002-01-16","12.77","12.77","12.77","12.77","100","2002","01","3","Wednesday"
"DPC","2002-01-18","12.52","12.52","12.52","12.52","200","2002","01","3","Friday"
"DPC","2002-01-21","12.32","12.32","12.32","12.32","100","2002","01","4","Monday"
"DPC","2002-01-23","12.12","12.12","12.12","12.12","11100","2002","01","4","Wednesday"
"DPC","2002-01-25","11.82","11.82","11.82","11.82","54200","2002","01","4","Friday"
"DPC","2002-01-28","12.02","12.02","12.02","12.02","41000","2002","01","5","Monday"
"DPC","2002-01-30","12.02","12.02","12.02","12.02","55800","2002","01","5","Wednesday"
"DPC","2002-02-01","11.82","11.82","11.82","11.82","500","2002","02","5","Friday"
"DPC","2002-02-04","11.62","11.62","11.62","11.62","1500","2002","02","6","Monday"
"DPC","2002-02-06","11.42","11.42","11.42","11.42","2000","2002","02","6","Wednesday"
"DPC","2002-02-08","11.42","11.42","11.42","11.42","20600","2002","02","6","Friday"
"DPC","2002-02-18","11.21","11.21","11.21","11.21","4200","2002","02","8","Monday"
"DPC","2002-02-20","11.01","11.01","11.01","11.01","6400","2002","02","8","Wednesday"
