symbol,date,open,high,low,close,volume,year,month,week,weekday
"DPP","2010-05-19","5.06","5.06","5.06","5.06","100","2010","05","21","Wednesday"
"DPP","2010-07-07","5.57","5.57","5.57","5.57","2360","2010","07","28","Wednesday"
"DPP","2010-07-08","6.12","6.12","6.12","6.12","350","2010","07","28","Thursday"
"DPP","2010-07-09","6.72","6.72","6.72","6.72","2610","2010","07","28","Friday"
"DPP","2010-07-13","7.36","7.36","7.36","7.36","1300","2010","07","29","Tuesday"
"DPP","2010-07-14","8.05","8.1","8.05","8.05","1160","2010","07","29","Wednesday"
"DPP","2010-07-15","8.28","8.88","7.31","8.88","1660","2010","07","29","Thursday"
"DPP","2010-07-19","8.97","9.47","8.97","9.47","3100","2010","07","30","Monday"
"DPP","2010-07-20","9.84","9.84","9.84","9.84","100","2010","07","30","Tuesday"
"DPP","2010-07-21","10.81","10.81","10.81","10.81","500","2010","07","30","Wednesday"
"DPP","2010-07-22","10.58","10.58","10.58","10.58","2000","2010","07","30","Thursday"
"DPP","2010-07-26","10.58","10.58","10.58","10.58","200","2010","07","31","Monday"
"DPP","2010-07-27","9.52","9.52","9.52","9.52","200","2010","07","31","Tuesday"
"DPP","2010-08-02","9.66","9.66","8.6","8.6","4300","2010","08","32","Monday"
"DPP","2010-08-09","6.49","6.49","6.49","6.49","100","2010","08","33","Monday"
"DPP","2010-08-10","5.84","5.84","5.84","5.84","100","2010","08","33","Tuesday"
"DPP","2010-08-11","5.52","5.52","5.52","5.52","1000","2010","08","33","Wednesday"
"DPP","2010-08-16","6.07","6.07","5.75","6.07","1100","2010","08","34","Monday"
"DPP","2010-08-17","6.03","6.35","6.03","6.35","1500","2010","08","34","Tuesday"
"DPP","2010-08-18","6.26","6.72","6.26","6.44","6100","2010","08","34","Wednesday"
"DPP","2010-08-23","6.99","6.99","6.99","6.99","1000","2010","08","35","Monday"
"DPP","2010-08-30","7.64","7.64","7.36","7.36","1300","2010","08","36","Monday"
"DPP","2010-09-01","7.5","7.5","7.5","7.5","100","2010","09","36","Wednesday"
"DPP","2010-09-06","7.45","7.45","7.45","7.45","100","2010","09","37","Monday"
"DPP","2010-09-07","6.9","6.9","6.72","6.72","1100","2010","09","37","Tuesday"
"DPP","2010-09-08","6.44","6.44","6.44","6.44","10000","2010","09","37","Wednesday"
"DPP","2010-09-10","5.84","5.84","5.84","5.84","100","2010","09","37","Friday"
"DPP","2010-09-16","5.52","5.98","5.52","5.98","1100","2010","09","38","Thursday"
"DPP","2010-10-25","5.38","5.38","5.38","5.38","1000","2010","10","44","Monday"
"DPP","2010-10-26","5.89","5.89","5.89","5.89","100","2010","10","44","Tuesday"
"DPP","2010-10-27","5.75","5.75","5.75","5.75","100","2010","10","44","Wednesday"
"DPP","2010-10-28","5.8","5.8","5.8","5.8","100","2010","10","44","Thursday"
"DPP","2010-11-09","5.8","5.8","5.8","5.8","1000","2010","11","46","Tuesday"
"DPP","2010-11-16","6.35","6.35","6.35","6.35","100","2010","11","47","Tuesday"
"DPP","2010-11-25","5.84","5.84","5.84","5.84","100","2010","11","48","Thursday"
"DPP","2010-11-26","5.34","5.34","5.34","5.34","100","2010","11","48","Friday"
"DPP","2010-11-30","5.34","5.34","4.88","4.88","1100","2010","11","49","Tuesday"
"DPP","2010-12-03","5.38","5.38","5.38","5.38","100","2010","12","49","Friday"
"DPP","2010-12-13","5.38","5.38","5.38","5.38","800","2010","12","51","Monday"
"DPP","2010-12-16","5.06","5.06","5.06","5.06","100","2010","12","51","Thursday"
"DPP","2011-01-21","5.06","5.06","5.06","5.06","200","2011","01","3","Friday"
"DPP","2011-02-15","4.6","4.6","4.6","4.6","100","2011","02","7","Tuesday"
"DPP","2011-03-04","4.23","4.23","4.23","4.23","100","2011","03","9","Friday"
"DPP","2011-03-18","3.82","3.82","3.82","3.82","2900","2011","03","11","Friday"
"DPP","2011-03-21","3.63","3.63","3.45","3.45","3000","2011","03","12","Monday"
"DPP","2011-03-28","3.45","3.68","3.13","3.68","13700","2011","03","13","Monday"
"DPP","2011-05-12","2.76","2.76","2.76","2.76","100","2011","05","19","Thursday"
"DPP","2011-05-24","2.48","2.48","2.48","2.48","300","2011","05","21","Tuesday"
"DPP","2011-05-25","2.67","2.67","2.25","2.25","4000","2011","05","21","Wednesday"
"DPP","2011-05-26","2.44","2.44","2.44","2.44","200","2011","05","21","Thursday"
"DPP","2011-06-01","2.67","2.67","2.67","2.67","100","2011","06","22","Wednesday"
"DPP","2011-06-02","2.9","2.9","2.9","2.9","100","2011","06","22","Thursday"
"DPP","2011-06-03","3.17","3.17","3.17","3.17","100","2011","06","22","Friday"
"DPP","2011-06-06","3.45","3.45","3.45","3.45","1000","2011","06","23","Monday"
"DPP","2011-06-07","3.13","3.13","3.13","3.13","100","2011","06","23","Tuesday"
"DPP","2011-06-08","3.4","3.4","3.4","3.4","100","2011","06","23","Wednesday"
"DPP","2011-06-13","3.08","3.08","3.08","3.08","100","2011","06","24","Monday"
"DPP","2011-06-16","3.36","3.36","3.36","3.36","100","2011","06","24","Thursday"
"DPP","2011-06-17","3.68","3.68","3.68","3.68","100","2011","06","24","Friday"
"DPP","2011-06-20","3.31","3.31","3.31","3.31","100","2011","06","25","Monday"
"DPP","2011-06-21","3.63","3.63","3.63","3.63","900","2011","06","25","Tuesday"
"DPP","2011-06-24","3.31","3.31","3.31","3.31","100","2011","06","25","Friday"
"DPP","2011-06-27","3.63","3.63","3.63","3.63","100","2011","06","26","Monday"
"DPP","2011-07-05","3.31","3.31","3.31","3.31","100","2011","07","27","Tuesday"
"DPP","2011-07-06","3.63","3.63","3.63","3.63","100","2011","07","27","Wednesday"
"DPP","2011-07-07","3.96","3.96","3.96","3.96","100","2011","07","27","Thursday"
"DPP","2011-07-11","3.68","3.68","3.68","3.68","100","2011","07","28","Monday"
"DPP","2011-07-12","3.31","3.31","3.31","3.31","100","2011","07","28","Tuesday"
"DPP","2011-07-13","3.63","3.63","3.59","3.59","300","2011","07","28","Wednesday"
"DPP","2011-07-21","3.31","3.31","3.31","3.31","100","2011","07","29","Thursday"
"DPP","2011-07-22","3.63","3.63","3.63","3.63","200","2011","07","29","Friday"
"DPP","2011-07-27","3.31","3.31","3.31","3.31","100","2011","07","30","Wednesday"
"DPP","2011-08-02","2.99","2.99","2.99","2.99","100","2011","08","31","Tuesday"
"DPP","2011-08-08","2.71","2.71","2.71","2.71","100","2011","08","32","Monday"
"DPP","2011-08-09","2.76","2.76","2.71","2.71","400","2011","08","32","Tuesday"
"DPP","2011-08-12","2.48","2.48","2.48","2.48","100","2011","08","32","Friday"
"DPP","2011-08-18","2.3","2.3","2.3","2.3","100","2011","08","33","Thursday"
"DPP","2011-08-19","2.53","2.53","2.53","2.53","100","2011","08","33","Friday"
"DPP","2011-08-22","2.76","2.76","2.76","2.76","100","2011","08","34","Monday"
"DPP","2011-08-23","3.04","3.04","3.04","3.04","100","2011","08","34","Tuesday"
"DPP","2011-08-24","2.76","2.76","2.76","2.76","100","2011","08","34","Wednesday"
"DPP","2011-08-25","2.48","2.48","2.48","2.48","100","2011","08","34","Thursday"
"DPP","2011-08-26","2.25","2.25","2.25","2.25","100","2011","08","34","Friday"
"DPP","2011-08-30","1.89","1.89","1.89","1.89","100","2011","08","35","Tuesday"
"DPP","2011-08-31","2.07","2.07","2.07","2.07","100","2011","08","35","Wednesday"
