symbol,date,open,high,low,close,volume
"DRI","2017-05-23","13.24","13.24","5.7","5.7","111700"
"DRI","2017-05-24","5.77","6.76","5.77","5.77","640820"
"DRI","2017-05-25","5.7","6.69","5.7","6.69","202103"
"DRI","2017-05-26","7.19","7.19","7.12","7.19","180912"
"DRI","2017-05-29","8.26","8.26","7.83","8.26","659560"
"DRI","2017-05-30","8.47","8.54","7.55","7.83","222051"
"DRI","2017-05-31","7.55","7.83","7.33","7.55","307650"
"DRI","2017-06-01","7.48","8.04","7.48","7.83","260098"
"DRI","2017-06-02","8.04","8.04","7.55","7.69","201770"
"DRI","2017-06-05","7.83","8.9","7.83","8.9","1181703"
"DRI","2017-06-06","9.75","9.9","9.26","9.9","1144164"
"DRI","2017-06-07","11.25","11.25","9.11","9.4","534081"
"DRI","2017-06-08","9.4","9.61","8.9","9.26","626765"
"DRI","2017-06-09","9.04","9.97","8.76","9.4","809448"
"DRI","2017-06-12","9.33","9.4","8.9","8.9","303639"
"DRI","2017-06-13","8.83","9.26","8.76","8.9","282010"
"DRI","2017-06-14","9.04","9.26","8.9","9.11","335263"
"DRI","2017-06-15","9.19","9.47","9.11","9.33","683387"
"DRI","2017-06-16","9.26","9.4","9.11","9.26","478560"
"DRI","2017-06-19","9.11","9.11","8.97","9.04","263813"
"DRI","2017-06-20","8.97","9.19","8.83","8.97","292594"
"DRI","2017-06-21","8.97","8.97","8.19","8.76","469469"
"DRI","2017-06-22","8.69","8.9","8.54","8.69","179955"
"DRI","2017-06-23","8.62","8.76","8.4","8.54","323882"
"DRI","2017-06-26","8.54","8.62","8.47","8.54","296132"
"DRI","2017-06-27","8.47","8.54","8.33","8.33","323371"
"DRI","2017-06-28","8.4","8.62","8.33","8.47","191987"
"DRI","2017-06-29","8.47","8.54","8.33","8.47","147894"
"DRI","2017-06-30","8.4","8.62","8.33","8.62","228730"
"DRI","2017-07-03","8.4","8.47","8.26","8.4","129963"
"DRI","2017-07-04","8.4","8.4","8.19","8.19","108441"
"DRI","2017-07-05","8.19","8.26","7.9","8.04","184216"
"DRI","2017-07-06","8.04","8.04","7.76","7.97","258661"
"DRI","2017-07-07","7.83","8.76","7.83","8.54","323455"
"DRI","2017-07-10","8.19","8.62","8.19","8.4","184762"
"DRI","2017-07-11","8.33","8.54","8.26","8.4","244318"
"DRI","2017-07-12","8.4","8.69","8.4","8.54","162603"
"DRI","2017-07-13","8.54","8.54","8.33","8.47","91623"
"DRI","2017-07-14","8.4","8.47","8.33","8.4","70471"
"DRI","2017-07-17","8.4","8.4","8.19","8.26","121410"
"DRI","2017-07-18","8.26","8.26","8.04","8.12","110384"
"DRI","2017-07-19","8.19","8.33","8.12","8.33","137456"
"DRI","2017-07-20","8.76","8.9","8.4","8.54","278599"
"DRI","2017-07-21","8.54","8.54","8.33","8.4","145319"
"DRI","2017-07-24","8.26","8.54","8.19","8.19","129474"
"DRI","2017-07-25","8.47","8.54","8.19","8.19","313589"
"DRI","2017-07-26","8.26","8.4","8.26","8.33","156911"
"DRI","2017-07-27","8.33","8.47","8.26","8.47","176065"
"DRI","2017-07-28","8.47","8.9","8.4","8.76","729965"
"DRI","2017-07-31","8.83","9.54","8.83","9.26","1015920"
"DRI","2017-08-01","9.26","9.26","8.97","9.19","354922"
"DRI","2017-08-02","8.97","9.04","8.76","9.04","489515"
"DRI","2017-08-03","8.97","9.4","8.97","9.26","1033806"
"DRI","2017-08-04","9.26","9.33","9.04","9.19","496171"
"DRI","2017-08-07","8.54","10.25","8.54","9.82","1478248"
"DRI","2017-08-08","10.11","10.18","9.9","9.9","979616"
"DRI","2017-08-09","10.11","10.18","9.68","9.82","779444"
"DRI","2017-08-10","9.75","9.9","9.68","9.82","400919"
"DRI","2017-08-11","9.82","10.11","9.75","9.9","532324"
"DRI","2017-08-14","9.9","9.97","9.9","9.97","220878"
"DRI","2017-08-15","9.97","10.47","9.97","10.39","919203"
"DRI","2017-08-16","10.39","10.39","10.25","10.39","409341"
"DRI","2017-08-17","10.32","10.39","10.11","10.11","551343"
"DRI","2017-08-18","10.11","10.18","9.9","10.18","330354"
"DRI","2017-08-21","10.18","10.18","10.04","10.04","203296"
