symbol,date,open,high,low,close,volume
"DSG","2018-04-06","10","10","10","10","100"
"DSG","2018-10-26","14","14","14","14","2400"
"DSG","2018-12-28","16.1","16.1","16.1","16.1","2400"
"DSG","2019-11-11","22","22","22","22","4000"
"DSG","2020-09-11","13.3","13.3","13.3","13.3","1000"
"DSG","2020-09-14","13.3","13.3","11.4","11.4","500"
"DSG","2020-10-06","12.5","12.5","11.9","11.9","200"
"DSG","2020-10-07","11.9","11.9","11.9","11.9","200"
"DSG","2020-10-09","11.9","11.9","11.9","11.9","100"
"DSG","2020-10-12","10.2","10.2","10.2","10.2","2100"
"DSG","2020-10-13","8.7","8.7","8.7","8.7","3100"
"DSG","2020-10-14","7.6","7.6","7.4","7.4","2100"
"DSG","2020-10-15","6.5","6.5","6.4","6.4","1200"
"DSG","2020-10-19","6.4","6.4","5.5","5.5","4500"
"DSG","2020-10-20","5.1","5.1","5","5","1000"
"DSG","2020-10-23","5.7","5.7","5.7","5.7","100"
"DSG","2020-10-26","5","5","5","5","1100"
"DSG","2020-10-28","5","5","5","5","100"
"DSG","2020-10-29","4.5","4.5","4.3","4.3","800"
"DSG","2020-11-02","4.9","4.9","4.9","4.9","200"
"DSG","2020-11-03","5.6","5.6","5.6","5.6","100"
"DSG","2020-11-04","6.4","6.4","6.3","6.3","1000"
"DSG","2020-11-06","5.4","5.4","5.4","5.4","100"
"DSG","2020-11-09","4.6","4.6","4.6","4.6","800"
"DSG","2020-11-10","4.2","4.5","4","4.5","1400"
"DSG","2020-11-11","4","4","4","4","1500"
"DSG","2020-11-13","4","4","4","4","1000"
"DSG","2020-11-16","4.6","4.6","4.6","4.6","100"
"DSG","2020-11-17","4.9","4.9","4.9","4.9","100"
"DSG","2020-11-18","4.2","4.9","4.2","4.9","2000"
"DSG","2020-11-19","4.8","4.8","4.8","4.8","2100"
"DSG","2020-11-23","4.6","4.6","4.1","4.1","300"
"DSG","2020-11-24","3.7","3.7","3.7","3.7","1400"
"DSG","2020-11-25","4.2","4.2","4","4","2100"
"DSG","2020-11-26","3.8","3.8","3.7","3.7","4000"
"DSG","2020-11-27","4","4","4","4","3000"
"DSG","2020-11-30","4.6","4.6","4","4.6","13900"
"DSG","2020-12-01","5.1","5.1","4.5","4.5","7700"
"DSG","2020-12-04","4.4","4.6","4.4","4.6","2900"
"DSG","2020-12-07","5","5","5","5","100"
"DSG","2020-12-08","5","5","5","5","2000"
"DSG","2020-12-09","4.4","4.4","4.4","4.4","1100"
"DSG","2020-12-10","5","5","4","4","1300"
"DSG","2020-12-11","4","4","4","4","200"
"DSG","2020-12-15","4.6","4.6","4.6","4.6","8200"
"DSG","2020-12-16","4.5","4.5","4.1","4.1","1000"
"DSG","2020-12-17","4.8","4.8","4.2","4.2","2000"
"DSG","2020-12-18","4.1","4.2","4.1","4.1","1800"
"DSG","2020-12-21","4.2","4.2","4.1","4.1","4300"
"DSG","2020-12-22","4","4.2","4","4.2","600"
"DSG","2020-12-24","4.3","4.5","4.3","4.5","700"
"DSG","2020-12-25","4.4","4.4","4.4","4.4","1200"
"DSG","2020-12-28","4.4","4.4","3.9","3.9","6200"
"DSG","2020-12-29","4","4","3.8","3.8","3600"
"DSG","2020-12-30","3.8","3.8","3.8","3.8","200"
"DSG","2020-12-31","4.2","4.2","4.2","4.2","200"
"DSG","2021-01-04","3.8","4.1","3.8","4.1","2900"
"DSG","2021-01-05","4.2","4.2","4.2","4.2","100"
"DSG","2021-01-07","4.6","4.6","4.5","4.5","900"
"DSG","2021-01-08","4.4","4.4","4","4.2","1500"
"DSG","2021-01-11","4.7","4.7","3.6","3.6","30300"
"DSG","2021-01-12","3.6","3.8","3.6","3.8","44400"
"DSG","2021-01-13","3.9","4","3.9","4","24100"
"DSG","2021-01-14","4","4","3.7","3.9","7000"
"DSG","2021-01-15","4","4","3.8","3.8","28600"
"DSG","2021-01-18","3.9","3.9","3.8","3.8","19100"
"DSG","2021-01-19","3.8","4","3.7","3.7","33400"
"DSG","2021-01-20","3.8","4.1","3.6","4.1","68400"
"DSG","2021-01-21","4.1","4.2","4","4","30200"
"DSG","2021-01-22","4","4.1","4","4","2800"
"DSG","2021-01-25","4","4","3.9","4","10400"
"DSG","2021-01-26","3.9","4","3.7","4","22500"
"DSG","2021-01-27","4.2","4.3","3.9","4.2","33600"
"DSG","2021-01-28","4.2","4.3","3.6","3.6","18300"
"DSG","2021-01-29","3.7","3.7","3.6","3.7","33300"
"DSG","2021-02-01","4","4","3.5","3.5","19600"
"DSG","2021-02-02","3.5","4","3.5","4","28700"
"DSG","2021-02-03","4","4.1","3.7","4.1","6800"
"DSG","2021-02-04","3.8","3.9","3.6","3.9","3500"
"DSG","2021-02-05","3.9","3.9","3.6","3.6","14700"
"DSG","2021-02-08","3.4","3.9","3.4","3.8","10100"
"DSG","2021-02-09","3.9","3.9","3.5","3.5","1800"
"DSG","2021-02-17","3.7","3.8","3.5","3.7","9900"
"DSG","2021-02-18","3.8","3.8","3.8","3.8","17600"
"DSG","2021-02-19","3.7","3.7","3.6","3.7","8800"
"DSG","2021-02-22","3.6","3.7","3.6","3.7","8900"
"DSG","2021-02-23","3.6","3.8","3.6","3.8","17400"
"DSG","2021-02-24","3.8","3.8","3.8","3.8","7600"
"DSG","2021-02-25","3.7","3.9","3.7","3.8","14200"
"DSG","2021-02-26","4","4.3","3.8","4.3","37100"
"DSG","2021-03-01","4.5","4.8","4.5","4.8","29100"
"DSG","2021-03-02","5","5.5","5","5.5","37500"
"DSG","2021-03-03","6.3","6.3","5.8","6.3","24300"
"DSG","2021-03-04","7.1","7.1","7.1","7.1","43000"
"DSG","2021-03-05","8.1","8.1","7.9","8.1","50800"
"DSG","2021-03-08","9.3","9.3","9.3","9.3","18500"
"DSG","2021-03-09","10.6","10.6","8","8","76500"
"DSG","2021-03-10","7.5","7.5","7.5","7.5","14600"
"DSG","2021-03-11","6.4","6.4","6.4","6.4","29700"
"DSG","2021-03-12","5.7","7.3","5.5","7.3","56700"
"DSG","2021-03-15","7.1","7.1","6.9","7.1","16200"
"DSG","2021-03-16","7.5","7.5","6.1","7.1","22900"
"DSG","2021-03-17","6.3","6.4","6.2","6.3","84500"
"DSG","2021-03-18","6.3","6.3","6.2","6.3","44000"
"DSG","2021-03-19","6.3","6.3","5.9","6.2","18200"
"DSG","2021-03-22","6.3","6.3","6.1","6.1","5500"
"DSG","2021-03-23","6","6","5.6","5.7","8300"
"DSG","2021-03-24","5.3","5.6","5.3","5.6","47000"
"DSG","2021-03-25","5.6","6.3","5.6","6.3","110600"
"DSG","2021-03-26","7.2","7.2","6.4","7","115500"
"DSG","2021-03-29","7.2","7.2","6.4","6.9","101400"
"DSG","2021-03-30","6.7","6.7","6.3","6.7","34600"
"DSG","2021-03-31","6.6","6.7","6.5","6.6","41100"
"DSG","2021-04-01","6.5","6.6","6.5","6.5","24600"
"DSG","2021-04-02","6.5","6.7","6.5","6.7","33100"
"DSG","2021-04-05","6.6","7.5","6.5","7.5","211500"
"DSG","2021-04-06","7.8","8.1","7.6","8.1","212400"
"DSG","2021-04-07","8.1","9.2","8.1","9.2","117600"
"DSG","2021-04-08","9.2","10.4","9","9.8","158800"
"DSG","2021-04-09","9.2","9.2","8.3","8.8","122100"
"DSG","2021-04-12","8.8","9.2","8.2","8.9","41800"
"DSG","2021-04-13","9.1","9.1","8","8.2","103700"
"DSG","2021-04-14","8.2","8.2","7.1","8.2","64300"
"DSG","2021-04-15","8.2","8.5","8.2","8.3","51500"
"DSG","2021-04-16","8.2","8.2","7.7","7.7","29700"
"DSG","2021-04-19","7.8","7.8","7.5","7.6","33500"
"DSG","2021-04-20","6.6","7.7","6.6","7.4","35400"
"DSG","2021-04-22","7.4","7.4","6.9","6.9","36000"
"DSG","2021-04-23","7.1","7.4","7.1","7.4","7600"
"DSG","2021-04-26","7.4","7.7","7","7.5","18700"
"DSG","2021-04-27","7.4","8","7.4","8","14400"
"DSG","2021-04-28","7.7","8","7.6","7.9","6400"
"DSG","2021-04-29","7.9","8.3","7.1","7.8","27100"
"DSG","2021-05-04","7.8","7.8","6.9","7.4","7200"
"DSG","2021-05-05","7.9","7.9","7","7.6","19300"
"DSG","2021-05-06","7.4","7.9","7.1","7.2","4100"
"DSG","2021-05-07","7.2","7.2","7","7","14200"
"DSG","2021-05-10","7.4","7.4","7","7","7700"
"DSG","2021-05-11","7","7.3","7","7.3","20100"
"DSG","2021-05-12","8.1","8.1","8","8","600"
"DSG","2021-05-13","7.3","7.5","6.8","7.5","15800"
"DSG","2021-05-14","7","7.4","7","7.4","5600"
"DSG","2021-05-17","7.4","7.4","6.9","7","17900"
"DSG","2021-05-18","7.4","7.4","6.9","7","1900"
"DSG","2021-05-19","7","7.2","6.9","7","5000"
"DSG","2021-05-20","7","7.2","7","7","7700"
"DSG","2021-05-21","6.9","7","6.9","7","500"
"DSG","2021-05-24","6.9","6.9","6.8","6.8","8400"
"DSG","2021-05-25","7.1","7.1","6.6","7","2700"
"DSG","2021-05-26","6.6","7","6.5","6.5","6500"
"DSG","2021-05-27","6.5","6.5","6","6","14000"
"DSG","2021-05-28","6","6.1","6","6.1","11700"
"DSG","2021-05-31","6.1","6.3","6","6.2","11900"
"DSG","2021-06-01","6.1","6.1","6.1","6.1","2100"
"DSG","2021-06-02","6.5","6.5","6.3","6.3","10700"
"DSG","2021-06-03","6.5","7","6.5","6.9","30700"
"DSG","2021-06-04","6.9","6.9","6","6.1","8800"
"DSG","2021-06-07","6.9","7","6.7","6.9","26800"
"DSG","2021-06-08","7","7","7","7","6800"
"DSG","2021-06-09","6.8","6.9","6.8","6.8","7200"
"DSG","2021-06-11","6.9","6.9","6","6.1","6400"
"DSG","2021-06-14","6.8","6.8","6","6","1300"
"DSG","2021-06-15","6.2","6.6","6","6.2","8000"
"DSG","2021-06-16","6.6","6.6","6.2","6.5","16000"
"DSG","2021-06-17","6.5","6.5","6","6.4","6600"
"DSG","2021-06-18","6.4","6.5","6","6.4","4900"
"DSG","2021-06-21","6.5","6.5","6.3","6.3","3900"
"DSG","2021-06-22","6.5","7","6.2","6.6","3500"
"DSG","2021-06-23","6.6","6.6","6.3","6.3","9800"
"DSG","2021-06-24","6.5","6.5","6.5","6.5","300"
"DSG","2021-06-25","6.3","6.3","6.2","6.2","8300"
"DSG","2021-06-28","6.8","6.8","6.4","6.4","5900"
"DSG","2021-06-29","6.1","6.3","6.1","6.2","5500"
"DSG","2021-06-30","6.4","6.4","6.4","6.4","100"
"DSG","2021-07-01","6.3","6.3","5.6","5.8","26800"
"DSG","2021-07-02","5.9","6.3","5.7","6.3","5300"
"DSG","2021-07-05","6","6","5.7","5.9","9200"
"DSG","2021-07-06","5.9","6","5.9","6","17600"
"DSG","2021-07-07","6","6","5.9","5.9","3000"
"DSG","2021-07-08","5.9","5.9","5.5","5.5","4100"
"DSG","2021-07-09","5.6","5.7","5.4","5.4","7500"
"DSG","2021-07-12","5.5","5.5","4.9","5","12200"
"DSG","2021-07-13","5.2","5.2","5","5","1400"
"DSG","2021-07-14","5","5","4.7","4.7","5000"
"DSG","2021-07-15","5.5","5.5","5.2","5.5","3300"
"DSG","2021-07-16","5.8","6.3","5.5","5.7","19300"
"DSG","2021-07-19","6.2","6.2","6.2","6.2","100"
"DSG","2021-07-20","6.1","6.2","6","6.2","3600"
"DSG","2021-07-21","6.3","6.3","6","6.1","3400"
"DSG","2021-07-22","6.3","6.3","5.8","6.1","600"
"DSG","2021-07-23","6.2","6.2","6","6","900"
"DSG","2021-07-26","5.3","6.1","5.2","6","1400"
"DSG","2021-07-27","6.1","6.1","6","6","200"
"DSG","2021-07-28","5.4","6.1","5.4","6","1000"
"DSG","2021-07-29","6.1","6.1","6.1","6.1","200"
"DSG","2021-08-02","6.1","6.1","5.6","6","1300"
"DSG","2021-08-03","6.1","6.1","6","6","900"
"DSG","2021-08-04","5.7","5.8","5.7","5.7","1400"
"DSG","2021-08-05","5.9","5.9","5.7","5.7","4400"
"DSG","2021-08-06","5.7","5.7","5.7","5.7","4100"
"DSG","2021-08-09","5.9","5.9","5.7","5.8","1400"
"DSG","2021-08-10","5.9","6.6","5.9","6","22400"
"DSG","2021-08-11","6","6","5.9","5.9","3700"
"DSG","2021-08-12","5.9","5.9","5.8","5.9","2500"
"DSG","2021-08-13","5.9","5.9","5.9","5.9","400"
"DSG","2021-08-16","6","6","6","6","500"
"DSG","2021-08-17","5.8","5.9","5.8","5.8","2200"
"DSG","2021-08-18","5.8","5.8","5.4","5.4","3900"
"DSG","2021-08-19","6","6","5.8","5.8","300"
"DSG","2021-08-20","5.7","5.7","5.6","5.6","11400"
"DSG","2021-08-24","5.4","5.4","5.2","5.2","5100"
"DSG","2021-08-25","5.8","5.8","5.8","5.8","100"
"DSG","2021-08-26","5.4","5.7","5.4","5.7","11400"
"DSG","2021-08-27","5.7","5.7","5.7","5.7","100"
"DSG","2021-08-31","5.4","5.6","5.4","5.6","3600"
"DSG","2021-09-06","5.6","5.6","5.6","5.6","6300"
"DSG","2021-09-07","5.6","5.6","5.3","5.3","7800"
"DSG","2021-09-08","5.4","5.5","5.3","5.5","800"
"DSG","2021-09-09","5.6","5.6","5.2","5.2","5000"
"DSG","2021-09-10","5.2","5.4","5.2","5.4","4100"
"DSG","2021-09-13","5.8","6","5.8","6","9800"
"DSG","2021-09-14","6.9","6.9","6.9","6.9","53600"
"DSG","2021-09-15","6.9","7.3","6.9","7","17800"
"DSG","2021-09-16","7","7","6.1","6.1","14500"
"DSG","2021-09-17","6.5","6.5","6","6.3","14000"
"DSG","2021-09-20","6","6.5","5.8","6.5","7200"
"DSG","2021-09-21","6.1","6.5","6.1","6.2","2500"
"DSG","2021-09-22","6.5","7.1","6.5","7.1","74500"
"DSG","2021-09-23","7.4","7.4","7.1","7.1","49200"
"DSG","2021-09-24","7.2","7.2","7.2","7.2","600"
"DSG","2021-09-27","7.1","7.1","6.2","6.4","4300"
"DSG","2021-09-28","6.1","6.4","6.1","6.4","3000"
"DSG","2021-09-30","5.5","6.8","5.5","6.8","5200"
"DSG","2021-10-01","6.5","6.5","6.4","6.4","1200"
"DSG","2021-10-04","6","6.6","6","6.6","8900"
"DSG","2021-10-05","6","6.3","5.6","6","4800"
"DSG","2021-10-06","6.4","6.6","6.4","6.4","15700"
"DSG","2021-10-07","6.1","6.5","6.1","6.5","300"
"DSG","2021-10-08","6.2","6.2","6.1","6.1","5400"
"DSG","2021-10-11","6.2","6.4","6.1","6.1","6300"
"DSG","2021-10-12","6.2","6.2","6","6","2700"
"DSG","2021-10-13","6.4","6.9","6.4","6.4","14200"
"DSG","2021-10-14","6.4","6.4","6.4","6.4","100"
"DSG","2021-10-15","6.1","6.4","6.1","6.4","1000"
"DSG","2021-10-18","6.2","6.3","6","6.3","3100"
"DSG","2021-10-19","6","6.1","6","6","7900"
"DSG","2021-10-20","6","6","5.8","6","35900"
"DSG","2021-10-21","6","6.4","6","6.4","36300"
"DSG","2021-10-22","6.2","6.3","6.2","6.2","31300"
"DSG","2021-10-25","6.4","6.6","6.3","6.5","18500"
"DSG","2021-10-26","6.5","6.5","6.2","6.4","12200"
"DSG","2021-10-27","6.4","7.1","6.4","7","53000"
"DSG","2021-10-28","7","7","6.7","6.8","28900"
"DSG","2021-10-29","6.9","7.1","6.9","7","29600"
"DSG","2021-11-01","6.8","8","6.8","8","76400"
"DSG","2021-11-02","8.8","8.8","8.8","8.8","51500"
"DSG","2021-11-03","10.1","10.1","8.8","8.9","77100"
"DSG","2021-11-04","8.9","8.9","8.3","8.4","36700"
"DSG","2021-11-05","8.4","8.6","8.4","8.4","8100"
"DSG","2021-11-08","8.4","8.5","7.6","8.1","55500"
"DSG","2021-11-09","8.1","8.8","8.1","8.1","37500"
"DSG","2021-11-10","8.2","9","8.2","8.8","70300"
"DSG","2021-11-11","9","9","8.1","8.8","21100"
"DSG","2021-11-12","8.6","9.3","8.4","9.3","69900"
"DSG","2021-11-15","8.7","9.9","8.7","9.8","10500"
"DSG","2021-11-16","10.1","10.3","9.5","9.6","97100"
"DSG","2021-11-17","9.8","9.8","9","9.1","13500"
"DSG","2021-11-18","9.3","9.3","8.4","9","21000"
"DSG","2021-11-19","8.9","9.2","8.5","8.8","31800"
"DSG","2021-11-22","8.9","8.9","7.7","7.7","89200"
"DSG","2021-11-23","7.9","8.1","7.8","7.8","29000"
"DSG","2021-11-24","7.9","8.1","7.9","8.1","43500"
"DSG","2021-11-25","8","8","7.8","8","13500"
"DSG","2021-11-26","8","8.2","7.8","8.2","39700"
"DSG","2021-11-29","8.1","8.3","7.8","8","7800"
"DSG","2021-11-30","8","8","7.7","7.7","20300"
"DSG","2021-12-01","7.8","8","7.6","8","26200"
