symbol,date,open,high,low,close,volume,year,month,week,weekday
"DST","2007-10-16","28.3","64.32","28.3","50.17","62300","2007","10","42","Tuesday"
"DST","2007-10-17","48.24","48.24","48.24","48.24","70700","2007","10","42","Wednesday"
"DST","2007-10-18","53.06","53.06","50.81","52.1","46600","2007","10","42","Thursday"
"DST","2007-10-19","56.6","56.6","47.66","48.24","12400","2007","10","42","Friday"
"DST","2007-10-22","50.49","50.49","45.35","45.35","17800","2007","10","43","Monday"
"DST","2007-10-23","42.13","43.67","41.42","41.42","27800","2007","10","43","Tuesday"
"DST","2007-10-24","37.63","45.67","37.5","45.35","46900","2007","10","43","Wednesday"
"DST","2007-10-25","45.28","45.28","41.16","45.28","30300","2007","10","43","Thursday"
"DST","2007-10-26","49.4","49.4","46.95","48.56","28900","2007","10","43","Friday"
"DST","2007-10-29","48.24","48.88","44.19","44.19","10800","2007","10","44","Monday"
"DST","2007-10-30","46.31","46.31","42.84","42.84","7800","2007","10","44","Tuesday"
"DST","2007-10-31","42.45","43.09","38.91","43.09","9600","2007","10","44","Wednesday"
"DST","2007-11-01","41.81","44.06","39.23","43.42","8400","2007","11","44","Thursday"
"DST","2007-11-02","44.06","44.06","41.81","42.13","6400","2007","11","44","Friday"
"DST","2007-11-05","39.23","39.88","38.59","39.23","10700","2007","11","45","Monday"
"DST","2007-11-06","37.37","38.53","37.31","38.27","4700","2007","11","45","Tuesday"
"DST","2007-11-07","37.63","39.23","37.31","38.27","24000","2007","11","45","Wednesday"
"DST","2007-11-08","38.66","39.23","37.95","37.95","4500","2007","11","45","Thursday"
"DST","2007-11-09","37.31","37.31","36.6","36.66","9900","2007","11","45","Friday"
"DST","2007-11-12","36.66","36.66","36.66","36.66","500","2007","11","46","Monday"
"DST","2007-11-13","34.41","34.41","33.45","33.45","2000","2007","11","46","Tuesday"
"DST","2007-11-14","34.09","36.02","34.09","35.38","17000","2007","11","46","Wednesday"
"DST","2007-11-15","37.31","37.31","35.38","36.66","1300","2007","11","46","Thursday"
"DST","2007-11-19","34.09","36.02","34.09","36.02","700","2007","11","47","Monday"
"DST","2007-11-21","32.16","32.16","32.16","32.16","1500","2007","11","47","Wednesday"
"DST","2007-11-22","33.77","33.77","32.16","32.16","3900","2007","11","47","Thursday"
"DST","2007-11-23","31.52","31.52","31.52","31.52","3000","2007","11","47","Friday"
"DST","2007-11-26","29.91","32.48","29.91","32.48","21400","2007","11","48","Monday"
"DST","2007-11-27","32.8","34.8","32.8","33.45","2500","2007","11","48","Tuesday"
"DST","2007-11-28","33.45","33.45","32.8","32.8","500","2007","11","48","Wednesday"
"DST","2007-11-29","33.77","34.09","33.51","33.51","500","2007","11","48","Thursday"
"DST","2007-11-30","33.45","33.45","33.45","33.45","400","2007","11","48","Friday"
"DST","2007-12-03","33.83","33.83","32.35","32.35","2500","2007","12","49","Monday"
"DST","2007-12-04","33.45","35.7","33.45","35.7","15300","2007","12","49","Tuesday"
"DST","2007-12-05","35.18","35.63","34.41","34.41","14500","2007","12","49","Wednesday"
"DST","2007-12-06","34.09","35.38","32.16","32.8","10200","2007","12","49","Thursday"
"DST","2007-12-07","33.45","35.05","33.45","33.45","6400","2007","12","49","Friday"
"DST","2007-12-10","32.8","33.13","32.8","32.8","1400","2007","12","50","Monday"
"DST","2007-12-11","32.8","32.8","30.23","30.23","1500","2007","12","50","Tuesday"
"DST","2007-12-12","31.58","32.48","31.58","32.48","8000","2007","12","50","Wednesday"
"DST","2007-12-13","34.73","34.73","32.16","32.35","2600","2007","12","50","Thursday"
"DST","2007-12-14","30.87","32.16","30.87","32.16","600","2007","12","50","Friday"
"DST","2007-12-17","31.52","31.52","30.87","30.87","6200","2007","12","51","Monday"
"DST","2007-12-18","29.59","30.87","29.59","30.87","2000","2007","12","51","Tuesday"
"DST","2007-12-19","31.52","32.16","30.87","30.87","4600","2007","12","51","Wednesday"
"DST","2007-12-21","32.03","32.03","28.24","28.24","300","2007","12","51","Friday"
"DST","2007-12-25","27.91","32.16","27.91","31.84","1600","2007","12","52","Tuesday"
"DST","2007-12-26","27.14","28.94","27.01","28.94","7900","2007","12","52","Wednesday"
"DST","2007-12-27","28.94","28.94","28.94","28.94","2100","2007","12","52","Thursday"
"DST","2007-12-28","29.27","29.27","29.14","29.27","1600","2007","12","52","Friday"
"DST","2008-01-02","29.39","29.59","29.39","29.59","3500","2008","01","1","Wednesday"
"DST","2008-01-03","29.91","31.52","29.91","31.52","5000","2008","01","1","Thursday"
"DST","2008-01-04","30.62","30.62","30.55","30.55","3000","2008","01","1","Friday"
"DST","2008-01-07","28.17","30.55","28.17","30.55","300","2008","01","2","Monday"
"DST","2008-01-09","27.66","28.94","27.66","28.94","1500","2008","01","2","Wednesday"
"DST","2008-01-10","26.37","26.37","26.05","26.05","5900","2008","01","2","Thursday"
"DST","2008-01-11","27.01","27.01","26.37","27.01","3600","2008","01","2","Friday"
"DST","2008-01-14","25.73","25.73","25.09","25.73","5700","2008","01","3","Monday"
"DST","2008-01-15","23.8","23.8","23.16","23.48","3100","2008","01","3","Tuesday"
"DST","2008-01-16","25.92","25.92","25.73","25.86","19100","2008","01","3","Wednesday"
"DST","2008-01-17","27.66","27.66","25.73","27.01","1000","2008","01","3","Thursday"
"DST","2008-01-18","26.37","26.37","25.66","25.73","4200","2008","01","3","Friday"
"DST","2008-01-21","25.73","27.01","25.73","25.73","12000","2008","01","4","Monday"
"DST","2008-01-22","25.09","25.09","25.02","25.02","1500","2008","01","4","Tuesday"
"DST","2008-01-23","22.58","22.64","22.58","22.58","1200","2008","01","4","Wednesday"
"DST","2008-01-24","23.22","23.22","22.58","22.58","600","2008","01","4","Thursday"
"DST","2008-01-25","22.83","22.9","22.83","22.9","900","2008","01","4","Friday"
"DST","2008-01-28","22.83","22.9","22.83","22.9","1600","2008","01","5","Monday"
"DST","2008-01-29","20.9","23.03","20.65","22.9","1700","2008","01","5","Tuesday"
"DST","2008-01-30","23.73","23.8","22.83","23.8","8000","2008","01","5","Wednesday"
"DST","2008-01-31","25.09","25.41","23.16","23.16","1900","2008","01","5","Thursday"
"DST","2008-02-01","23.16","23.48","22.51","22.51","14200","2008","02","5","Friday"
"DST","2008-02-12","22.9","22.9","22.9","22.9","1800","2008","02","7","Tuesday"
"DST","2008-02-13","22.9","22.9","22.9","22.9","1100","2008","02","7","Wednesday"
"DST","2008-02-14","22.9","22.9","21.23","21.23","17100","2008","02","7","Thursday"
"DST","2008-02-15","21.87","21.87","19.88","19.88","1800","2008","02","7","Friday"
"DST","2008-02-18","19.81","21.55","19.81","19.94","1600","2008","02","8","Monday"
"DST","2008-02-19","19.94","20.32","19.04","19.04","3800","2008","02","8","Tuesday"
"DST","2008-02-20","20.58","20.58","18.65","18.65","5100","2008","02","8","Wednesday"
"DST","2008-02-21","17.37","17.37","16.98","17.05","4500","2008","02","8","Thursday"
"DST","2008-02-22","15.5","15.76","15.5","15.5","1300","2008","02","8","Friday"
"DST","2008-02-25","16.4","17.17","16.4","17.17","1700","2008","02","9","Monday"
"DST","2008-02-26","18.27","18.27","15.18","15.18","3900","2008","02","9","Tuesday"
"DST","2008-02-27","14.79","14.79","14.79","14.79","200","2008","02","9","Wednesday"
"DST","2008-02-28","13.7","14.15","13.7","13.7","1300","2008","02","9","Thursday"
"DST","2008-02-29","13.51","15.12","13.51","15.12","4200","2008","02","9","Friday"
"DST","2008-03-03","13.19","13.19","13.12","13.19","4700","2008","03","10","Monday"
"DST","2008-03-04","12.86","12.86","11.9","11.9","2100","2008","03","10","Tuesday"
"DST","2008-03-05","11","12.22","11","12.22","5300","2008","03","10","Wednesday"
