symbol,date,open,high,low,close,volume,year,month,week,weekday
"DTA","2010-07-16","30","31.91","29.52","30.95","160300","2010","07","29","Friday"
"DTA","2010-07-19","30","30","29.43","29.43","94410","2010","07","30","Monday"
"DTA","2010-07-20","30.67","30.67","29.52","30.48","85180","2010","07","30","Tuesday"
"DTA","2010-07-21","31.81","31.81","30.95","31.05","44010","2010","07","30","Wednesday"
"DTA","2010-07-22","30.19","30.48","29.62","30.38","45220","2010","07","30","Thursday"
"DTA","2010-07-23","29.05","31.24","29.05","29.05","42080","2010","07","30","Friday"
"DTA","2010-07-26","30","30","27.62","28.67","41210","2010","07","31","Monday"
"DTA","2010-07-27","28.67","28.67","27.33","27.33","13090","2010","07","31","Tuesday"
"DTA","2010-07-28","26.1","26.1","26","26","69810","2010","07","31","Wednesday"
"DTA","2010-07-29","25.91","26.67","25.71","26.67","50070","2010","07","31","Thursday"
"DTA","2010-07-30","26.67","27.14","26.67","27.14","38210","2010","07","31","Friday"
"DTA","2010-08-02","27.62","27.62","27.14","27.14","43870","2010","08","32","Monday"
"DTA","2010-08-03","27.43","27.43","26.19","26.19","16070","2010","08","32","Tuesday"
"DTA","2010-08-04","26.19","26.19","25.14","25.71","3680","2010","08","32","Wednesday"
"DTA","2010-08-05","25.71","25.71","25.05","25.05","8050","2010","08","32","Thursday"
"DTA","2010-08-06","25.71","25.71","23.91","24.1","16030","2010","08","32","Friday"
"DTA","2010-08-09","24.95","24.95","23.62","24.38","23710","2010","08","33","Monday"
"DTA","2010-08-10","24.38","24.38","23.24","23.81","15700","2010","08","33","Tuesday"
"DTA","2010-08-11","23.81","23.81","23.33","23.81","11470","2010","08","33","Wednesday"
"DTA","2010-08-12","23.81","23.81","22.67","22.86","3910","2010","08","33","Thursday"
"DTA","2010-08-13","21.71","21.91","21.71","21.71","1200","2010","08","33","Friday"
"DTA","2010-08-16","22.67","22.76","21.71","22.76","21450","2010","08","34","Monday"
"DTA","2010-08-17","23.81","23.81","23.33","23.81","55240","2010","08","34","Tuesday"
"DTA","2010-08-18","24.95","24.95","24.76","24.95","150720","2010","08","34","Wednesday"
"DTA","2010-08-19","25.14","25.14","23.71","24.76","82080","2010","08","34","Thursday"
"DTA","2010-08-20","24.38","24.48","24.29","24.48","22400","2010","08","34","Friday"
"DTA","2010-08-23","24.57","24.57","23.62","23.81","23100","2010","08","35","Monday"
"DTA","2010-08-24","22.67","22.67","22.67","22.67","8940","2010","08","35","Tuesday"
"DTA","2010-08-25","21.62","21.62","21.62","21.62","50","2010","08","35","Wednesday"
"DTA","2010-08-26","21.91","22.38","20.57","20.57","45730","2010","08","35","Thursday"
"DTA","2010-08-27","20.57","20.95","19.62","20.57","52870","2010","08","35","Friday"
"DTA","2010-08-30","20.57","21.52","20.57","21.24","54010","2010","08","36","Monday"
"DTA","2010-08-31","22.19","22.19","21.81","22.19","15100","2010","08","36","Tuesday"
"DTA","2010-09-01","21.43","22.29","21.14","21.43","21540","2010","09","36","Wednesday"
"DTA","2010-09-06","22.19","22.48","22.19","22.48","72000","2010","09","37","Monday"
"DTA","2010-09-07","22.48","22.86","21.43","21.43","19720","2010","09","37","Tuesday"
"DTA","2010-09-08","22.38","22.38","20.48","21.43","10590","2010","09","37","Wednesday"
"DTA","2010-09-09","20.67","21.81","20.38","21.43","89020","2010","09","37","Thursday"
"DTA","2010-09-10","21.52","21.52","20.38","20.86","48160","2010","09","37","Friday"
"DTA","2010-09-13","19.91","20.86","19.91","20.86","52780","2010","09","38","Monday"
"DTA","2010-09-14","20.86","20.95","19.91","20.48","27500","2010","09","38","Tuesday"
"DTA","2010-09-15","20.48","20.48","19.52","19.52","28630","2010","09","38","Wednesday"
"DTA","2010-09-16","18.67","18.67","18.57","18.57","89860","2010","09","38","Thursday"
"DTA","2010-09-17","19.05","19.43","18.57","19.24","58740","2010","09","38","Friday"
"DTA","2010-09-20","19.91","20","18.95","19.62","46440","2010","09","39","Monday"
"DTA","2010-09-21","19.62","19.62","18.67","19.62","155270","2010","09","39","Tuesday"
"DTA","2010-09-22","19.62","20.57","18.67","20.57","185180","2010","09","39","Wednesday"
"DTA","2010-09-23","21.52","21.52","20.1","21.14","396090","2010","09","39","Thursday"
"DTA","2010-09-24","20.95","20.95","20.1","20.1","267480","2010","09","39","Friday"
"DTA","2010-09-27","20.76","20.76","19.33","19.33","78560","2010","09","40","Monday"
"DTA","2010-09-28","19.52","19.52","18.95","19.52","78620","2010","09","40","Tuesday"
"DTA","2010-09-29","19.33","19.33","18.57","19.05","172050","2010","09","40","Wednesday"
"DTA","2010-09-30","18.29","18.67","18.1","18.1","152030","2010","09","40","Thursday"
"DTA","2010-10-01","18.57","18.57","17.33","17.33","64230","2010","10","40","Friday"
"DTA","2010-10-04","16.76","17.33","16.48","16.48","171280","2010","10","41","Monday"
"DTA","2010-10-05","16.48","16.48","15.71","16.19","116860","2010","10","41","Tuesday"
"DTA","2010-10-06","16.19","16.76","16.19","16.67","57360","2010","10","41","Wednesday"
"DTA","2010-10-07","16.76","17.05","16","16","36140","2010","10","41","Thursday"
"DTA","2010-10-08","15.52","16.1","15.33","15.33","126750","2010","10","41","Friday"
"DTA","2010-10-11","15.14","15.81","15.14","15.14","56380","2010","10","42","Monday"
"DTA","2010-10-12","15.33","15.81","15.33","15.62","100420","2010","10","42","Tuesday"
"DTA","2010-10-13","15.24","15.9","15.24","15.52","16920","2010","10","42","Wednesday"
"DTA","2010-10-14","15.62","15.71","15.43","15.43","23770","2010","10","42","Thursday"
"DTA","2010-10-15","15.43","15.43","15.14","15.24","22990","2010","10","42","Friday"
"DTA","2010-10-18","15.24","15.52","15.05","15.33","94190","2010","10","43","Monday"
"DTA","2010-10-19","15.24","15.62","14.67","15.52","35310","2010","10","43","Tuesday"
"DTA","2010-10-20","15.52","15.52","14.76","14.76","99390","2010","10","43","Wednesday"
"DTA","2010-10-21","14.67","14.95","14.1","14.19","77780","2010","10","43","Thursday"
"DTA","2010-10-22","13.81","14.38","13.52","13.52","87470","2010","10","43","Friday"
"DTA","2010-10-25","13.24","13.24","12.86","12.95","101350","2010","10","44","Monday"
"DTA","2010-10-26","13.52","13.52","13.05","13.52","83310","2010","10","44","Tuesday"
"DTA","2010-10-27","13.33","13.52","12.95","12.95","56170","2010","10","44","Wednesday"
"DTA","2010-10-28","13.14","13.24","12.95","13.05","22540","2010","10","44","Thursday"
"DTA","2010-10-29","13.24","13.24","12.95","13.05","41440","2010","10","44","Friday"
"DTA","2010-11-01","13.05","13.33","13.05","13.05","42870","2010","11","45","Monday"
"DTA","2010-11-02","13.05","13.05","12.67","12.67","47470","2010","11","45","Tuesday"
"DTA","2010-11-03","12.57","12.57","12.38","12.38","39040","2010","11","45","Wednesday"
