symbol,date,open,high,low,close,volume,year,month,week,weekday
"DTC","2006-12-25","6.35","6.35","6.35","6.75","1300","2006","12","52","Monday"
"DTC","2007-01-31","6.75","6.75","6.75","7.14","100","2007","01","5","Wednesday"
"DTC","2007-02-01","7.54","7.54","7.54","7.74","400","2007","02","5","Thursday"
"DTC","2007-02-06","8.34","8.34","7.54","7.78","3300","2007","02","6","Tuesday"
"DTC","2007-02-07","7.94","7.94","7.94","8.34","100","2007","02","6","Wednesday"
"DTC","2007-02-08","8.73","8.73","8.73","9.17","100","2007","02","6","Thursday"
"DTC","2007-02-09","9.53","9.53","9.53","10.08","100","2007","02","6","Friday"
"DTC","2007-02-12","10.72","10.72","10.72","11.07","2800","2007","02","7","Monday"
"DTC","2007-02-13","11.51","11.51","11.51","12.15","2200","2007","02","7","Tuesday"
"DTC","2007-02-14","12.7","12.7","12.7","13.34","2500","2007","02","7","Wednesday"
"DTC","2007-02-15","13.89","13.89","13.89","14.65","2500","2007","02","7","Thursday"
"DTC","2007-02-26","15.48","15.48","15.48","16.07","100","2007","02","9","Monday"
"DTC","2007-02-27","17.07","17.07","17.07","17.66","2000","2007","02","9","Tuesday"
"DTC","2007-02-28","18.66","18.66","18.66","19.41","100","2007","02","9","Wednesday"
"DTC","2007-03-01","20.24","20.24","18.66","21.12","4700","2007","03","9","Thursday"
"DTC","2007-03-02","20.24","20.24","20.24","21.04","200","2007","03","9","Friday"
"DTC","2007-03-06","20.64","20.64","19.05","21.04","1500","2007","03","10","Tuesday"
"DTC","2007-03-07","19.85","20.64","19.05","21.43","6100","2007","03","10","Wednesday"
"DTC","2007-03-08","21.04","21.83","21.04","22.66","1300","2007","03","10","Thursday"
"DTC","2007-03-09","21.43","22.23","21.43","23.02","1000","2007","03","10","Friday"
"DTC","2007-03-12","23.82","23.82","23.02","24.21","4900","2007","03","11","Monday"
"DTC","2007-03-13","23.82","23.82","23.42","24.61","2100","2007","03","11","Tuesday"
"DTC","2007-03-14","23.42","23.42","23.02","23.82","300","2007","03","11","Wednesday"
"DTC","2007-03-15","20.64","20.64","20.64","21.71","200","2007","03","11","Thursday"
"DTC","2007-03-16","23.02","23.02","23.02","23.82","2600","2007","03","11","Friday"
"DTC","2007-03-19","25.01","25.01","25.01","26.24","2700","2007","03","12","Monday"
"DTC","2007-03-20","25.01","27.78","25.01","28.86","4000","2007","03","12","Tuesday"
"DTC","2007-03-21","27.39","27.39","27.39","28.58","1000","2007","03","12","Wednesday"
"DTC","2007-03-23","26.2","26.2","26.2","27.39","400","2007","03","12","Friday"
"DTC","2007-03-28","23.82","23.82","23.82","24.65","1000","2007","03","13","Wednesday"
"DTC","2007-03-29","21.83","21.83","21.83","22.62","900","2007","03","13","Thursday"
"DTC","2007-03-30","21.83","23.02","21.83","23.82","200","2007","03","13","Friday"
"DTC","2007-04-06","22.62","22.62","22.62","23.42","200","2007","04","14","Friday"
"DTC","2007-04-11","20.64","20.64","20.64","21.43","200","2007","04","15","Wednesday"
"DTC","2007-04-16","19.85","19.85","18.66","19.29","400","2007","04","16","Monday"
"DTC","2007-04-17","17.07","17.07","17.07","16.99","100","2007","04","16","Tuesday"
"DTC","2007-04-18","15.48","17.46","15.48","17.46","200","2007","04","16","Wednesday"
"DTC","2007-04-19","14.69","14.69","14.69","14.77","200","2007","04","16","Thursday"
"DTC","2007-04-20","14.69","14.69","13.49","13.3","700","2007","04","16","Friday"
"DTC","2007-04-23","12.7","12.7","12.7","12.5","500","2007","04","17","Monday"
"DTC","2007-04-24","11.51","11.51","11.51","11.35","200","2007","04","17","Tuesday"
"DTC","2007-04-25","12.3","12.3","11.11","11.15","400","2007","04","17","Wednesday"
"DTC","2007-05-02","12.3","12.3","12.3","12.3","100","2007","05","18","Wednesday"
"DTC","2007-05-03","11.91","11.91","11.91","11.91","600","2007","05","18","Thursday"
"DTC","2007-05-04","11.91","11.91","11.91","11.71","100","2007","05","18","Friday"
"DTC","2007-05-07","12.3","12.3","11.51","11.59","500","2007","05","19","Monday"
"DTC","2007-05-08","12.7","13.1","12.7","12.9","6000","2007","05","19","Tuesday"
"DTC","2007-05-09","13.49","13.89","13.49","13.69","600","2007","05","19","Wednesday"
"DTC","2007-05-11","12.3","12.3","12.3","12.3","200","2007","05","19","Friday"
"DTC","2007-05-15","13.1","13.1","13.1","12.9","400","2007","05","20","Tuesday"
"DTC","2007-05-16","12.7","12.7","12.7","12.5","100","2007","05","20","Wednesday"
"DTC","2007-05-17","13.1","13.1","13.1","13.1","400","2007","05","20","Thursday"
"DTC","2007-05-18","11.91","11.91","11.91","11.83","200","2007","05","20","Friday"
"DTC","2007-05-21","11.51","11.51","11.51","11.59","100","2007","05","21","Monday"
"DTC","2007-05-23","12.7","12.7","12.7","12.74","500","2007","05","21","Wednesday"
"DTC","2007-05-24","13.89","13.89","11.91","12.82","700","2007","05","21","Thursday"
"DTC","2007-05-25","12.7","12.7","11.91","11.71","400","2007","05","21","Friday"
"DTC","2007-05-28","12.3","12.3","11.91","11.91","600","2007","05","22","Monday"
"DTC","2007-05-31","10.72","12.3","10.72","12.3","600","2007","05","22","Thursday"
"DTC","2007-06-01","12.7","13.1","12.7","13.1","500","2007","06","22","Friday"
"DTC","2007-06-04","11.91","11.91","11.51","11.67","600","2007","06","23","Monday"
"DTC","2007-06-05","12.3","12.3","10.72","10.64","500","2007","06","23","Tuesday"
"DTC","2007-06-06","11.51","11.51","11.51","11.51","400","2007","06","23","Wednesday"
"DTC","2007-06-07","11.91","11.91","11.51","11.31","4300","2007","06","23","Thursday"
"DTC","2007-06-08","12.3","12.3","12.3","12.3","1000","2007","06","23","Friday"
"DTC","2007-06-12","12.3","12.3","12.3","12.11","3300","2007","06","24","Tuesday"
"DTC","2007-06-13","12.7","12.7","12.7","12.7","100","2007","06","24","Wednesday"
"DTC","2007-06-15","12.7","12.7","12.7","12.5","500","2007","06","24","Friday"
"DTC","2007-06-18","12.3","12.3","12.3","12.3","100","2007","06","25","Monday"
"DTC","2007-06-20","12.3","12.3","12.3","12.11","200","2007","06","25","Wednesday"
"DTC","2007-06-21","12.3","12.3","11.11","11.11","3300","2007","06","25","Thursday"
"DTC","2007-06-22","10.72","10.72","10.72","10.52","300","2007","06","25","Friday"
"DTC","2007-06-25","10.72","10.72","10.72","10.52","100","2007","06","26","Monday"
"DTC","2007-06-27","9.92","9.92","9.92","9.72","100","2007","06","26","Wednesday"
"DTC","2007-06-28","10.32","10.32","10.32","10.32","200","2007","06","26","Thursday"
"DTC","2007-07-03","10.32","10.32","9.92","9.92","1200","2007","07","27","Tuesday"
"DTC","2007-07-04","10.72","10.72","10.72","10.72","800","2007","07","27","Wednesday"
"DTC","2007-07-06","9.92","9.92","9.92","9.92","100","2007","07","27","Friday"
"DTC","2007-07-09","10.32","10.32","10.32","10.32","500","2007","07","28","Monday"
"DTC","2007-07-10","11.11","11.11","11.11","11.11","100","2007","07","28","Tuesday"
"DTC","2007-07-11","11.51","11.51","11.51","11.31","100","2007","07","28","Wednesday"
"DTC","2007-07-13","11.11","11.11","10.72","10.84","1000","2007","07","28","Friday"
"DTC","2007-07-16","11.91","11.91","11.91","11.91","100","2007","07","29","Monday"
"DTC","2007-07-19","11.11","12.7","11.11","12.82","3200","2007","07","29","Thursday"
"DTC","2007-07-20","12.3","12.3","12.3","12.11","100","2007","07","29","Friday"
"DTC","2007-07-23","13.49","13.49","13.49","13.3","500","2007","07","30","Monday"
"DTC","2007-07-25","13.1","13.49","11.91","11.99","5200","2007","07","30","Wednesday"
"DTC","2007-07-30","11.91","11.91","11.91","12.03","400","2007","07","31","Monday"
"DTC","2007-08-02","11.91","11.91","11.91","11.91","100","2007","08","31","Thursday"
"DTC","2007-08-03","12.3","12.3","12.3","12.3","100","2007","08","31","Friday"
