symbol,date,open,high,low,close,volume
"DTT","2006-12-22","23.73","23.73","23.73","23.73","1000"
"DTT","2006-12-25","23.73","24.89","23.73","24.89","2320"
"DTT","2006-12-26","24.89","26.11","24.89","26.11","3000"
"DTT","2006-12-27","27.16","27.16","27.16","27.16","32270"
"DTT","2006-12-28","28.48","28.48","26.11","26.11","4100"
"DTT","2006-12-29","26.11","27.16","26.11","27.16","16300"
"DTT","2007-01-02","27.16","28.48","27.16","28.48","10"
"DTT","2007-01-03","28.48","28.48","27.16","27.16","2310"
"DTT","2007-01-04","25.84","25.84","25.84","25.84","500"
"DTT","2007-01-05","24.57","24.57","24.57","24.57","27230"
"DTT","2007-01-08","24.57","24.57","23.57","23.57","19670"
"DTT","2007-01-09","22.41","22.68","22.41","22.68","81290"
"DTT","2007-01-10","21.57","23.78","21.57","23.78","30060"
"DTT","2007-01-11","24.94","24.94","24.57","24.94","11230"
"DTT","2007-01-12","24.84","24.84","23.73","23.73","8180"
"DTT","2007-01-15","23.73","23.73","22.57","22.57","23100"
"DTT","2007-01-16","22.68","22.68","22.68","22.68","21360"
"DTT","2007-01-17","22.68","22.68","22.68","22.68","22200"
"DTT","2007-01-18","22.68","23.73","22.68","23.73","39600"
"DTT","2007-01-19","23.73","24.89","23.73","24.89","46150"
"DTT","2007-01-22","25.95","26.05","25.95","26.05","66090"
"DTT","2007-01-23","26.11","26.11","26.11","26.11","41970"
"DTT","2007-01-24","27.16","27.16","27.16","27.16","32690"
"DTT","2007-01-25","28.48","28.48","28.21","28.21","46460"
"DTT","2007-01-26","28.21","28.21","26.9","26.9","9550"
"DTT","2007-01-29","26.9","26.9","25.58","26.63","30750"
"DTT","2007-01-30","26.9","27.42","26.9","27.42","4650"
"DTT","2007-01-31","28.74","28.74","28.74","28.74","37660"
"DTT","2007-02-01","30.06","30.06","30.06","30.06","49850"
"DTT","2007-02-02","31.38","31.38","31.38","31.38","23600"
"DTT","2007-02-05","30.85","30.85","30.06","30.06","4910"
"DTT","2007-02-06","28.74","28.74","28.74","28.74","8190"
"DTT","2007-02-07","27.42","29.27","27.42","29.27","14720"
"DTT","2007-02-08","30.59","30.59","27.95","27.95","5790"
"DTT","2007-02-09","26.9","26.9","26.63","26.63","8200"
"DTT","2007-02-12","26.63","27.95","26.63","27.95","500"
"DTT","2007-02-13","29.27","29.27","27.95","27.95","1100"
"DTT","2007-02-14","27.95","28.21","27.95","28.21","3320"
"DTT","2007-02-15","28.21","29.27","27.95","29.27","3400"
"DTT","2007-02-26","30.06","30.06","30.06","30.06","9730"
"DTT","2007-02-27","31.38","31.38","30.06","31.38","13380"
"DTT","2007-02-28","31.64","31.64","31.64","31.64","6460"
"DTT","2007-03-01","31.64","31.64","30.06","30.06","2270"
"DTT","2007-03-02","28.74","29","28.74","29","11280"
"DTT","2007-03-05","28.21","29","28.21","29","25370"
"DTT","2007-03-06","29","30.32","29","30.32","23710"
"DTT","2007-03-07","31.11","31.64","30.59","31.64","23710"
"DTT","2007-03-08","33.22","33.22","33.22","33.22","27600"
"DTT","2007-03-09","34.81","34.81","34.81","34.81","22170"
"DTT","2007-03-12","36.39","36.39","36.39","36.39","19080"
"DTT","2007-03-13","37.97","37.97","34.81","35.86","40540"
"DTT","2007-03-14","35.86","35.86","34.28","34.28","20570"
"DTT","2007-03-15","33.22","33.22","32.7","32.7","8610"
"DTT","2007-03-16","31.11","32.7","31.11","32.7","20300"
"DTT","2007-03-19","34.02","34.28","34.02","34.28","17920"
"DTT","2007-03-20","32.7","34.28","32.7","33.22","5800"
"DTT","2007-03-21","31.64","32.7","31.64","32.7","7320"
"DTT","2007-03-22","31.64","32.17","31.64","31.91","8900"
"DTT","2007-03-23","30.59","30.59","30.59","30.59","13670"
"DTT","2007-03-26","30.59","30.59","29.53","29.53","6270"
"DTT","2007-03-27","28.21","28.21","28.21","28.21","6920"
"DTT","2007-03-28","27.16","29","27.16","29","6610"
"DTT","2007-03-29","30.32","30.32","30.32","30.32","4300"
"DTT","2007-03-30","31.38","31.38","31.38","31.38","5360"
"DTT","2007-04-02","30.06","30.06","30.06","30.06","14130"
"DTT","2007-04-03","28.74","28.74","28.74","28.74","2000"
"DTT","2007-04-04","29.8","29.8","29.8","29.8","7000"
"DTT","2007-04-05","29.8","29.8","29","29","5210"
"DTT","2007-04-06","28.21","29.27","28.21","29.27","2360"
"DTT","2007-04-09","29.27","29.27","28.48","29","2340"
"DTT","2007-04-10","29","29","27.95","28.48","3230"
"DTT","2007-04-11","29","29","27.95","27.95","920"
"DTT","2007-04-12","28.48","28.48","27.42","27.42","1820"
"DTT","2007-04-13","27.42","27.42","26.37","26.37","13440"
"DTT","2007-04-16","26.37","26.37","25.84","26.37","5480"
"DTT","2007-04-17","25.05","25.84","25.05","25.84","8530"
"DTT","2007-04-18","25.84","26.9","25.84","26.9","7470"
"DTT","2007-04-19","27.42","27.42","26.9","26.9","9010"
"DTT","2007-04-20","26.37","26.9","26.37","26.37","3860"
"DTT","2007-04-23","26.37","26.37","26.37","26.37","950"
"DTT","2007-04-24","26.37","26.37","26.37","26.37","3890"
"DTT","2007-04-25","26.37","26.37","26.37","26.37","5700"
"DTT","2007-05-02","26.37","26.37","25.84","25.84","2900"
"DTT","2007-05-03","25.84","25.84","25.31","25.31","200"
"DTT","2007-05-04","25.31","26.21","25.31","26.21","1480"
"DTT","2007-05-07","25.84","27.42","25.84","27.42","8720"
"DTT","2007-05-08","27.42","27.42","26.63","27.42","10450"
"DTT","2007-05-09","27.42","27.42","26.37","26.37","3140"
"DTT","2007-05-10","26.37","26.37","25.31","26.37","4300"
"DTT","2007-05-11","26.37","27.16","25.84","27.16","2600"
"DTT","2007-05-14","25.84","26.9","25.84","26.37","8640"
"DTT","2007-05-15","26.37","26.37","26.37","26.37","8310"
"DTT","2007-05-16","27.69","27.69","27.42","27.42","7040"
"DTT","2007-05-17","26.63","26.9","26.37","26.9","4600"
"DTT","2007-05-18","26.37","26.37","26.37","26.37","10620"
"DTT","2007-05-21","26.37","26.37","26.37","26.37","7290"
"DTT","2007-05-22","26.37","27.69","26.37","26.9","11200"
"DTT","2007-05-23","28.21","28.21","28.21","28.21","6560"
"DTT","2007-05-24","29.53","29.53","26.9","26.9","8510"
"DTT","2007-05-25","27.42","27.42","27.42","27.42","3680"
"DTT","2007-05-28","28.21","28.21","27.69","27.69","5700"
"DTT","2007-05-29","27.69","27.69","27.42","27.42","7070"
"DTT","2007-05-30","27.42","27.42","26.9","27.42","4480"
"DTT","2007-05-31","27.42","28.21","27.42","28.21","12220"
"DTT","2007-06-01","29","29","28.21","28.48","15600"
"DTT","2007-06-04","27.95","27.95","27.69","27.95","12980"
"DTT","2007-06-05","28.48","29.27","28.48","29.27","26980"
"DTT","2007-06-06","30.59","30.59","30.59","30.59","33790"
"DTT","2007-06-07","31.91","31.91","31.91","31.91","20190"
"DTT","2007-06-08","33.22","33.22","30.85","30.85","53350"
"DTT","2007-06-11","29.53","29.53","29.53","29.53","9280"
"DTT","2007-06-12","29.53","30.32","29.53","30.32","17630"
"DTT","2007-06-13","31.38","31.38","31.11","31.11","45960"
"DTT","2007-06-14","30.06","30.32","30.06","30.32","9000"
"DTT","2007-06-15","30.06","30.32","30.06","30.06","14110"
"DTT","2007-06-18","30.06","30.32","30.06","30.06","6900"
"DTT","2007-06-19","30.59","30.59","30.32","30.59","6600"
"DTT","2007-06-20","31.11","31.11","30.59","30.59","1800"
"DTT","2007-06-21","31.11","31.11","30.06","30.06","36260"
"DTT","2007-06-22","30.85","30.85","30.06","30.06","18850"
"DTT","2007-06-25","31.11","31.11","30.06","30.59","10600"
"DTT","2007-06-26","30.59","30.59","30.32","30.32","4110"
"DTT","2007-06-27","29.53","29.53","29.53","29.53","13110"
"DTT","2007-06-28","29.27","29.27","29.27","29.27","7100"
"DTT","2007-06-29","18.53","19.29","18.38","30.32","11170"
"DTT","2007-07-02","19.44","19.44","18.83","29.53","20440"
"DTT","2007-07-03","18.23","18.53","18.23","29","13090"
"DTT","2007-07-04","19.14","19.14","18.53","30.06","4350"
"DTT","2007-07-05","19.14","19.14","18.68","29.53","8000"
"DTT","2007-07-06","18.83","18.83","18.83","29.53","5730"
"DTT","2007-07-09","19.29","19.29","18.83","29.53","19060"
"DTT","2007-07-10","18.83","18.83","18.53","29","28010"
"DTT","2007-07-11","18.53","18.53","18.38","28.74","14220"
"DTT","2007-07-12","18.23","18.38","18.23","28.74","18990"
"DTT","2007-07-13","18.23","18.83","18.08","29.53","35570"
"DTT","2007-07-16","18.46","18.98","18.46","18.46","19380"
"DTT","2007-07-17","18.46","18.98","18.46","18.98","19300"
"DTT","2007-07-18","19.25","19.93","19.25","19.93","23740"
"DTT","2007-07-19","20.88","20.88","20.88","20.88","32290"
"DTT","2007-07-20","21.89","21.89","21.89","21.89","40160"
"DTT","2007-07-23","21.09","21.09","20.83","20.83","53220"
"DTT","2007-07-24","19.88","19.88","19.83","19.88","17540"
"DTT","2007-07-25","19.88","20.14","19.51","20.14","9850"
"DTT","2007-07-26","19.83","19.83","19.14","19.25","5200"
"DTT","2007-07-27","19.93","19.93","19.78","19.78","10180"
"DTT","2007-07-30","19.51","20.04","19.51","19.51","6950"
"DTT","2007-07-31","19.25","20.04","19.25","19.78","13130"
"DTT","2007-08-01","19.51","19.78","19.25","19.25","10530"
"DTT","2007-08-02","19.25","19.35","18.98","19.25","21190"
"DTT","2007-08-03","18.72","19.25","18.56","18.56","10280"
"DTT","2007-08-06","18.98","18.98","18.46","18.93","3390"
"DTT","2007-08-07","18.51","18.98","18.51","18.98","10040"
"DTT","2007-08-08","19.2","19.2","18.98","18.98","1870"
"DTT","2007-08-09","18.98","18.98","18.04","18.93","7030"
"DTT","2007-08-10","18.93","18.93","18.72","18.72","8580"
"DTT","2007-08-13","18.46","18.46","17.82","18.46","5580"
"DTT","2007-08-14","19.25","19.25","18.98","18.98","6400"
"DTT","2007-08-15","18.98","18.98","18.04","18.51","2380"
"DTT","2007-08-16","18.98","18.98","17.98","18.19","360"
"DTT","2007-08-17","18.19","18.88","18.19","18.88","12250"
"DTT","2007-08-20","18.88","18.98","18.46","18.98","2730"
"DTT","2007-08-21","18.25","18.93","18.25","18.88","6990"
"DTT","2007-08-22","18.46","18.46","18.46","18.46","2900"
"DTT","2007-08-23","18.19","18.19","18.19","18.19","8700"
"DTT","2007-08-24","18.19","18.19","17.93","18.19","3600"
"DTT","2007-08-27","18.19","18.46","18.19","18.46","3700"
"DTT","2007-08-28","18.46","18.56","18.46","18.46","4150"
"DTT","2007-08-29","18.46","18.46","18.19","18.35","870"
"DTT","2007-08-30","18.35","18.35","18.35","18.35","1200"
"DTT","2007-08-31","17.98","18.19","17.98","18.04","12450"
"DTT","2007-09-04","18.41","18.41","17.93","18.41","5150"
"DTT","2007-09-05","18.51","18.51","18.19","18.46","5600"
"DTT","2007-09-06","18.46","18.51","18.46","18.51","3520"
"DTT","2007-09-07","18.51","18.51","18.41","18.41","2860"
"DTT","2007-09-10","18.41","18.41","18.41","18.41","9590"
"DTT","2007-09-11","18.56","19.3","18.56","19.3","47730"
"DTT","2007-09-12","19.3","19.3","18.98","19.25","18200"
"DTT","2007-09-13","19.25","19.25","18.98","18.98","3630"
"DTT","2007-09-14","18.77","18.93","18.72","18.93","2140"
"DTT","2007-09-17","18.98","18.98","18.41","18.41","15410"
"DTT","2007-09-18","18.72","18.77","18.46","18.77","14410"
"DTT","2007-09-19","18.93","18.93","18.72","18.93","6200"
"DTT","2007-09-20","18.46","18.93","18.46","18.93","11600"
"DTT","2007-09-21","18.72","18.88","18.56","18.67","7030"
"DTT","2007-09-24","18.67","18.72","18.62","18.72","10770"
"DTT","2007-09-25","18.72","18.98","18.72","18.98","22450"
"DTT","2007-09-26","19.51","19.51","19.2","19.3","29460"
"DTT","2007-09-27","19.3","19.51","19.25","19.25","13270"
"DTT","2007-09-28","19.25","19.46","19.25","19.25","20790"
"DTT","2007-10-01","19.25","20.09","19.25","20.09","27960"
"DTT","2007-10-02","20.46","20.57","20.46","20.46","33900"
"DTT","2007-10-03","20.83","20.83","19.78","20.57","16810"
"DTT","2007-10-04","19.62","20.57","19.62","20.3","13180"
"DTT","2007-10-05","19.51","20.3","19.51","20.25","12050"
"DTT","2007-10-08","20.25","20.25","20.04","20.14","16550"
"DTT","2007-10-09","20.14","20.14","19.99","20.14","13380"
"DTT","2007-10-10","20.2","20.3","20.14","20.2","14440"
"DTT","2007-10-11","20.83","20.83","20.36","20.57","21430"
"DTT","2007-10-15","21.36","21.83","21.36","21.83","57220"
"DTT","2007-10-16","22.89","22.89","22.89","22.89","33620"
"DTT","2007-10-17","24","24","24","24","48440"
"DTT","2007-10-18","24","24","22.84","22.84","44000"
"DTT","2007-10-19","21.78","21.89","21.73","21.78","30470"
