symbol,date,open,high,low,close,volume,year,month,week,weekday
"DVW","2018-06-25","15.54","15.54","15.54","15.54","100","2018","06","26","Monday"
"DVW","2018-06-28","16.53","16.53","16.53","16.53","200","2018","06","26","Thursday"
"DVW","2018-07-06","16.53","16.53","16.53","16.53","200","2018","07","27","Friday"
"DVW","2018-07-11","14.07","14.07","14.07","14.07","100","2018","07","28","Wednesday"
"DVW","2018-07-25","12.03","12.03","12.03","12.03","100","2018","07","30","Wednesday"
"DVW","2018-09-04","16.79","16.79","16.79","16.79","100","2018","09","36","Tuesday"
"DVW","2018-09-05","19.31","19.31","19.31","19.31","100","2018","09","36","Wednesday"
"DVW","2018-09-06","22.15","22.15","22.15","22.15","100","2018","09","36","Thursday"
"DVW","2018-09-07","22.15","25.13","22.15","25.13","200","2018","09","36","Friday"
"DVW","2018-09-26","20.17","20.17","20.17","20.17","100","2018","09","39","Wednesday"
"DVW","2018-10-03","17.19","17.19","17.19","17.19","100","2018","10","40","Wednesday"
"DVW","2018-10-15","16.33","16.33","16.33","16.33","2835","2018","10","42","Monday"
"DVW","2018-10-23","16.53","16.53","16.53","16.53","2243","2018","10","43","Tuesday"
"DVW","2018-10-24","16.53","16.53","16.53","16.53","1000","2018","10","43","Wednesday"
"DVW","2018-10-25","16.53","16.53","16.53","16.53","1400","2018","10","43","Thursday"
"DVW","2018-10-26","14.08","16.53","14.08","16.53","2100","2018","10","43","Friday"
"DVW","2018-10-30","14.02","14.02","14.02","14.02","100","2018","10","44","Tuesday"
"DVW","2018-10-31","12.17","12.17","12.17","12.17","100","2018","10","44","Wednesday"
"DVW","2018-11-01","12.17","12.17","12.17","12.17","100","2018","11","44","Thursday"
"DVW","2018-11-07","10.38","10.38","10.38","10.38","100","2018","11","45","Wednesday"
"DVW","2018-11-08","9.39","9.39","9.39","9.39","100","2018","11","45","Thursday"
"DVW","2018-11-12","8.13","8.13","8.13","8.13","100","2018","11","46","Monday"
"DVW","2018-11-21","9.32","9.32","9.32","9.32","2014","2018","11","47","Wednesday"
"DVW","2018-11-22","10.71","10.71","10.71","10.71","100","2018","11","47","Thursday"
"DVW","2018-11-23","9.59","9.59","9.59","9.59","100","2018","11","47","Friday"
"DVW","2018-11-28","8.99","10.98","8.99","10.98","200","2018","11","48","Wednesday"
"DVW","2018-11-29","8.99","8.99","8.99","8.99","100","2018","11","48","Thursday"
"DVW","2018-12-03","8.6","9.92","8.6","9.92","400","2018","12","49","Monday"
"DVW","2018-12-04","8.2","10.98","8.2","10.98","200","2018","12","49","Tuesday"
"DVW","2018-12-05","8.99","8.99","8.99","8.99","100","2018","12","49","Wednesday"
"DVW","2018-12-07","9.92","9.92","9.92","9.92","700","2018","12","49","Friday"
"DVW","2018-12-10","11.37","11.37","11.37","11.37","200","2018","12","50","Monday"
"DVW","2018-12-11","9.72","13.03","9.72","13.03","200","2018","12","50","Tuesday"
"DVW","2018-12-12","10.58","13.03","10.58","13.03","200","2018","12","50","Wednesday"
"DVW","2018-12-13","11.11","11.11","11.11","11.11","100","2018","12","50","Thursday"
"DVW","2018-12-14","9.98","12.76","9.98","12.76","300","2018","12","50","Friday"
"DVW","2018-12-17","10.31","10.31","10.31","10.31","100","2018","12","51","Monday"
"DVW","2018-12-19","11.84","11.84","11.84","11.84","100","2018","12","51","Wednesday"
"DVW","2018-12-20","12.89","12.89","12.89","12.89","100","2018","12","51","Thursday"
"DVW","2018-12-26","11.97","11.97","11.97","11.97","100","2018","12","52","Wednesday"
"DVW","2018-12-27","11.9","11.9","11.9","11.9","100","2018","12","52","Thursday"
"DVW","2018-12-28","12.03","12.03","12.03","12.03","100","2018","12","52","Friday"
"DVW","2019-01-04","11.77","11.77","11.77","11.77","100","2019","01","1","Friday"
"DVW","2019-01-07","11.57","11.57","11.57","11.57","100","2019","01","2","Monday"
"DVW","2019-02-25","8.79","8.79","8.6","8.6","5400","2019","02","9","Monday"
"DVW","2019-02-26","8.79","8.79","8.6","8.6","81","2019","02","9","Tuesday"
"DVW","2019-03-20","10.05","10.05","10.05","10.05","100","2019","03","12","Wednesday"
"DVW","2019-05-03","13.95","13.95","13.95","13.95","100","2019","05","18","Friday"
"DVW","2019-05-14","16","16","16","16","100","2019","05","20","Tuesday"
"DVW","2019-05-17","16.22","18.36","16.22","18.36","1100","2019","05","20","Friday"
"DVW","2019-07-02","18.43","18.43","18.43","18.43","1000","2019","07","27","Tuesday"
"DVW","2019-07-05","19.17","19.17","19.17","19.17","1000","2019","07","27","Friday"
"DVW","2019-07-10","20.65","20.65","20.65","20.65","2000","2019","07","28","Wednesday"
"DVW","2019-07-17","19.91","19.91","19.91","19.91","100","2019","07","29","Wednesday"
"DVW","2019-07-18","19.25","19.25","18.8","18.8","1000","2019","07","29","Thursday"
"DVW","2019-07-29","16.22","16.22","16.07","16.07","3000","2019","07","31","Monday"
"DVW","2019-07-30","14.38","18.43","13.79","18.43","39200","2019","07","31","Tuesday"
"DVW","2019-07-31","13.49","13.49","13.49","13.49","500","2019","07","31","Wednesday"
"DVW","2019-08-02","14.75","14.75","14.75","14.75","900","2019","08","31","Friday"
"DVW","2019-08-09","16.96","16.96","16.96","16.96","300","2019","08","32","Friday"
"DVW","2019-08-13","18.07","18.07","18.07","18.07","100","2019","08","33","Tuesday"
"DVW","2019-08-21","18.43","18.43","18.43","18.43","10000","2019","08","34","Wednesday"
"DVW","2019-09-16","18.51","19.17","18.43","19.17","1800","2019","09","38","Monday"
"DVW","2019-10-02","16.22","16.22","16","16","4000","2019","10","40","Wednesday"
"DVW","2019-12-27","9.66","9.66","9.66","9.66","17100","2019","12","52","Friday"
"DVW","2020-02-12","11.8","11.8","11.8","11.8","3600","2020","02","7","Wednesday"
"DVW","2020-07-09","16.52","16.52","16.52","16.52","700","2020","07","28","Thursday"
"DVW","2021-05-24","10.03","10.03","10.03","10.03","100","2021","05","22","Monday"
"DVW","2021-05-26","11.46","11.46","11.46","11.46","900","2021","05","22","Wednesday"
"DVW","2021-06-21","13.12","13.12","13.12","13.12","900","2021","06","26","Monday"
"DVW","2021-07-28","13.12","13.12","13.12","13.12","700","2021","07","31","Wednesday"
"DVW","2022-05-26","18.3","18.3","18.3","18.3","7500","2022","05","21","Thursday"
"DVW","2022-05-27","19.8","19.8","19.8","19.8","74","2022","05","21","Friday"
"DVW","2022-07-13","18","18","18","18","100","2022","07","28","Wednesday"
"DVW","2022-07-14","18","18","18","18","94","2022","07","28","Thursday"
"DVW","2022-07-19","20","20","20","20","1000","2022","07","29","Tuesday"
"DVW","2022-08-01","23","23","23","23","756","2022","08","31","Monday"
"DVW","2022-10-10","23","23","23","23","700","2022","10","41","Monday"
"DVW","2023-02-09","13.8","13.9","13.8","13.9","2800","2023","02","6","Thursday"
